SA4_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
111,872,1399,2270,357,594,949,383,1458,1837,437,3115,3548,1488,8337,9828,1727,5160,6885,6054,3079,9131,5540,3923,9463,6604,3954,10556,7414,3125,10540,5541,2565,8104,5764,2079,7840,13268,3474,16747,10579,703,11279,9133,924,10055,5910,296,6201,14807,1266,16069,6031,1071,7103,998,1667,2660,102887,48175,151064
112,591,990,1578,322,463,787,286,1094,1380,382,2371,2752,1262,6495,7756,1482,4801,6279,5034,2802,7830,4482,3227,7710,5301,2986,8292,6021,1977,7996,4086,1460,5545,4239,1065,5303,8380,1625,10003,5736,397,6133,4185,419,4606,2474,149,2623,6059,843,6901,4449,658,5112,941,1781,2723,65722,35594,101312
113,375,565,943,188,219,407,183,634,817,226,1256,1489,802,3427,4229,902,1874,2778,2633,1418,4048,2297,1836,4131,2860,1826,4685,3409,1278,4685,2426,1027,3451,2835,806,3644,5562,1189,6752,4009,211,4220,3025,269,3295,1836,66,1900,3841,449,4289,3024,224,3251,669,1033,1701,41094,19613,60708
114,526,697,1221,268,307,573,217,638,860,221,1338,1555,891,3927,4823,927,2538,3469,3604,1586,5196,2888,1807,4694,3554,1681,5238,4064,1122,5189,2552,911,3457,2799,681,3476,5247,998,6240,3738,154,3894,2794,266,3059,1659,77,1733,4600,880,5479,2664,188,2855,559,1046,1606,43771,20835,64611
115,735,550,1288,292,229,521,217,350,570,217,542,759,710,1610,2316,684,1142,1831,1976,849,2826,1973,1002,2967,2597,1088,3692,3312,874,4185,2605,819,3422,3046,619,3665,7367,1203,8572,6434,143,6577,6577,306,6885,5088,57,5146,22666,584,23250,3638,155,3787,583,402,983,70724,12517,83235
116,1044,1081,2124,263,303,560,381,792,1173,518,1767,2291,1397,3618,5015,1654,1754,3415,4245,1298,5538,3880,1837,5724,4969,2167,7139,6398,1662,8062,5405,1372,6775,5601,1091,6691,14024,1773,15794,11037,338,11367,9769,425,10192,6777,150,6925,16393,562,16949,5080,367,5441,1118,908,2030,99966,23254,123215
117,1123,3103,4228,274,636,906,271,1613,1883,310,3133,3444,844,4619,5465,834,3056,3884,2062,2828,4896,2090,3772,5859,2642,5009,7651,3346,4905,8248,2824,4750,7569,3216,4464,7684,8436,10251,18685,7061,1666,8725,6975,3735,10708,5536,1060,6603,24332,7828,32160,3246,2344,5589,567,1754,2320,75973,70529,146507
118,676,1403,2082,204,420,627,215,881,1096,217,1637,1855,572,2963,3535,580,2087,2661,1502,1779,3278,1470,2230,3694,2036,2727,4758,2447,2480,4928,1897,2464,4364,2377,2392,4764,5757,5195,10948,4834,830,5662,5083,1970,7051,3929,561,4492,26385,5131,31521,3534,1318,4858,659,1117,1768,64362,39593,103953
119,2667,2815,5475,681,734,1411,897,1876,2770,1002,4293,5295,2874,8067,10941,3171,4116,7287,8602,3125,11735,7446,3880,11326,9293,4415,13712,10809,3612,14424,8142,3115,11256,8561,2504,11067,18344,4231,22573,13788,885,14673,11468,1158,12626,7950,351,8308,23253,1509,24762,7607,974,8585,1817,1923,3736,148377,53581,201962
120,1036,1588,2626,327,436,766,327,888,1210,352,1855,2210,882,3470,4359,982,2344,3319,2531,2044,4577,2374,2577,4946,3245,3112,6359,3984,2979,6969,3206,2676,5883,3484,2381,5863,8586,4895,13483,6847,810,7653,6676,1612,8285,5047,478,5526,24596,2850,27445,3638,941,4580,622,871,1498,78753,38800,117550
121,1440,1588,3029,468,552,1019,426,1011,1439,390,1651,2037,1061,3249,4316,1119,2832,3952,2455,2504,4954,2636,2916,5554,3839,3675,7512,4778,3338,8116,3971,3434,7404,4450,3024,7471,10906,6628,17524,8592,592,9181,9188,2198,11387,6923,358,7287,46034,4678,50712,5651,611,6257,790,1052,1851,115116,45883,161003
122,526,838,1365,214,365,574,186,602,792,181,1046,1223,573,2571,3141,593,2018,2607,1760,1602,3363,1696,1835,3528,2512,2042,4560,3123,1654,4779,2555,1536,4093,2888,1345,4244,6805,2566,9375,5814,347,6165,5804,918,6718,4397,201,4599,26325,2078,28403,3833,382,4214,538,809,1349,70330,24760,95090
123,748,808,1553,234,219,457,309,657,960,420,1415,1835,1064,3338,4409,1438,1792,3228,3733,1257,4987,3544,1797,5345,4433,1895,6328,5267,1506,6776,4516,1173,5694,4611,922,5540,10684,1340,12025,8430,177,8611,6855,233,7092,4481,59,4538,10662,333,10999,4087,211,4302,871,776,1644,76388,19927,96312
124,786,1086,1866,266,365,633,323,908,1232,367,1890,2261,1149,4736,5882,1424,3032,4454,4042,2147,6190,3875,2761,6639,4955,3062,8020,6079,2493,8567,4975,1946,6924,5325,1564,6885,12068,2377,14454,9671,293,9957,7973,459,8437,5365,97,5457,12552,611,13158,4536,315,4850,834,1063,1897,86557,31204,117766
