CED_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
CED321,869,246,204,381,553,234,107,122,4698,15,5,0,0,0,0,0,3,0,21,41,8039,1784,1479,338,326,511,712,308,124,552,14174
CED322,2281,673,662,671,776,357,96,291,13510,28,5,3,3,0,0,6,0,4,106,150,21818,6914,5140,1264,1124,1233,1340,685,256,1060,40829
CED323,4412,1431,1768,2069,2831,1049,213,544,26865,20,11,4,0,0,3,8,0,0,229,282,28789,8375,7716,2105,2433,2781,3716,1529,454,1575,59470
CED324,8670,2075,2191,2750,3409,1190,259,996,47617,17,11,19,0,3,5,5,0,0,97,159,27610,12365,10590,2439,2529,3137,3815,1416,337,1525,65760
CED325,8257,1520,1394,1560,1711,634,228,940,43157,28,15,18,0,0,0,11,4,0,573,645,30593,14574,11267,2009,1805,1976,2122,803,351,2075,67582
CED326,4477,945,921,847,1060,397,125,307,20915,46,7,10,0,0,5,0,0,0,60,132,22210,11740,8265,1554,1465,1357,1526,631,249,1086,50089
CED327,9366,1885,1527,1747,2260,806,219,798,45421,20,18,20,0,0,3,6,0,0,81,153,30381,15183,12025,2243,1833,2149,2630,939,297,1521,69200
CED328,4132,1168,1377,1782,2182,1045,313,293,22681,11,8,6,3,0,0,0,0,0,14,46,20686,8695,7229,1741,1902,2333,2852,1433,489,680,48039
CED329,733,206,225,228,269,148,39,122,4364,32,0,0,0,0,0,0,0,0,94,136,15860,2754,2027,469,430,472,501,325,110,909,23853
CED330,1377,322,352,427,693,251,114,206,8840,26,11,4,0,0,0,5,0,0,150,196,19069,5324,3417,599,613,680,966,373,205,993,32243
CED397,0,6,8,0,6,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,8,0,4,6,8,4,12,3,0,4,48
CED401,9690,3082,3644,4414,5728,2461,410,935,54172,32,4,4,3,3,4,9,4,0,122,185,27435,10535,11252,3512,4094,4926,6374,2850,573,1468,73006
