CED_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
CED511,22807,560,74,711,179,24327,18945,480,29,69,58,19580,4772,1265,188,14,7,6257,1978,791,62,7,19,2863,482,393,88,17,13,988,4639,365,47,60,39,5147,1731,266,36,366,120,2527,103,50,11,6,0,169,13712,3141,426,468,195,17949,2603,260,31,89,116,3105,5270,677,123,880,112,7058,63332,5117,690,2217,661,72020
CED512,10914,764,45,112,9,11843,32913,792,61,10,15,33788,7396,743,119,0,0,8260,520,296,8,0,0,827,108,118,0,0,0,221,3005,225,23,16,0,3268,302,40,8,38,6,390,45,13,0,0,0,58,11380,1430,154,55,7,13027,687,537,4,13,0,1242,1914,216,22,34,11,2202,57806,3740,285,224,45,62103
CED513,13137,3700,2446,12,9,19303,15069,5353,4240,15,20,24702,4870,5190,10876,30,27,20991,453,989,873,0,3,2321,87,214,342,0,6,654,2836,1973,2460,15,18,7298,239,244,293,4,11,793,38,59,68,0,0,160,8519,8669,14920,45,67,32223,487,468,432,7,5,1398,1214,948,1749,442,39,4392,38434,19137,23787,525,140,82014
CED514,13929,3214,1220,135,14,18514,18863,3981,1736,10,22,24599,7761,5889,4299,18,33,18001,1354,1338,303,0,4,3000,194,313,136,0,0,641,3613,1952,982,9,17,6571,429,233,120,40,16,840,97,60,37,0,0,192,13443,9791,5875,64,74,29251,696,591,394,7,4,1693,2003,1063,739,128,45,3984,48936,18636,9966,333,163,78038
CED515,21974,2419,543,3,25,24968,21503,2040,492,3,5,24036,6041,1747,697,3,9,8489,456,391,48,0,0,898,61,71,29,0,0,165,2532,708,193,4,9,3445,247,47,37,4,4,339,29,24,10,0,0,62,9368,2992,1018,8,21,13405,744,544,394,0,3,1680,1180,333,159,14,16,1703,54756,8322,2607,30,74,65791
CED597,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,5,8,13
CED601,14657,583,394,72,25,15726,13183,423,233,14,9,13865,4491,870,1074,53,12,6499,820,438,300,4,6,1566,384,277,151,0,3,813,2607,365,356,19,20,3370,299,78,52,19,9,458,76,22,14,0,0,115,8680,2051,1939,102,49,12826,627,156,50,13,11,848,1666,388,204,132,16,2413,38811,3603,2824,334,111,45682
CED602,16677,530,54,207,38,17508,13707,180,15,38,19,13957,3591,860,87,26,9,4568,1501,797,29,0,4,2322,335,249,18,0,0,599,3055,450,48,31,13,3593,534,113,43,109,18,815,67,41,4,3,0,112,9087,2503,224,166,41,12017,715,101,9,29,12,863,2038,359,46,179,14,2636,42231,3673,349,619,125,46989
CED603,12773,575,923,73,16,14367,11801,533,636,24,11,12996,4089,1072,2488,52,21,7722,950,412,742,0,25,2130,209,159,231,0,16,617,2600,520,1083,48,28,4275,284,85,178,8,5,559,41,22,33,0,0,91,8171,2268,4751,108,99,15396,386,154,249,9,8,797,1043,233,465,113,22,1868,34172,3761,7019,325,151,45425
CED604,16030,364,101,154,22,16678,15538,268,73,23,20,15920,3612,429,152,18,0,4213,1008,355,57,0,0,1424,203,150,18,0,0,367,2476,207,85,22,17,2811,253,34,3,58,3,350,62,24,5,0,0,93,7620,1195,327,102,19,9257,668,138,20,17,7,848,1363,133,30,87,11,1632,41221,2108,548,383,87,44337
CED605,17044,294,338,225,48,17947,15380,171,242,44,21,15851,2947,221,385,18,11,3583,1147,148,202,0,5,1505,279,108,84,0,0,478,2768,102,239,35,13,3158,541,21,33,97,29,730,65,11,12,0,4,96,7754,614,954,156,66,9537,875,29,25,31,21,978,2315,125,119,111,10,2684,43373,1230,1677,548,166,46998
CED697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED701,4300,262,63,3199,527,8356,8253,691,76,251,68,9346,1885,1284,454,30,40,3697,3922,876,202,26,38,5064,1671,245,72,26,42,2052,1498,381,89,221,96,2287,1937,532,205,917,395,3983,111,25,4,9,0,156,11023,3340,1027,1225,617,17228,2184,316,133,351,204,3192,2554,500,257,1456,361,5128,28317,5119,1561,6484,1777,43257
CED702,4760,540,1049,481,21,6857,9517,938,1996,21,5,12473,3574,1515,5996,12,30,11121,1123,734,685,0,7,2545,135,32,75,0,7,246,1598,569,1342,24,42,3578,987,97,397,146,50,1674,42,18,52,3,0,112,7458,2958,8547,191,125,19280,309,80,146,22,23,588,1528,451,1052,454,85,3583,23580,4973,12791,1170,268,42780
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,7
CED801,14583,2041,893,51,14,17587,19540,3272,2239,0,11,25072,2908,1664,1867,0,3,6445,1719,1140,297,18,4,3176,89,119,22,0,0,231,1662,666,530,4,11,2866,297,121,69,7,12,505,35,16,3,0,0,52,6713,3721,2784,29,30,13278,472,245,240,5,9,968,1175,412,348,18,19,1973,42483,9700,6510,99,83,58876
CED802,11053,2269,2600,42,19,15980,9789,2845,4981,0,12,17621,2625,2292,8004,0,25,12947,1140,766,901,0,4,2807,107,102,184,0,4,398,1593,918,2143,4,26,4686,385,189,384,32,23,1008,35,18,35,0,0,92,5886,4282,11646,38,84,21937,348,307,407,5,9,1075,835,393,1266,163,12,2663,27908,10090,20890,248,138,59269
CED803,9793,1573,599,6,7,11981,19884,3774,1881,0,19,25557,4053,2344,3340,0,20,9752,1589,828,251,0,12,2679,223,100,95,0,3,427,1751,810,821,5,10,3388,1044,177,144,5,9,1379,40,16,14,0,0,75,8703,4270,4668,11,41,17695,298,293,198,0,4,797,1111,456,369,0,5,1937,39785,10369,7712,24,74,57967
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
