CED_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
CED409,3538,6171,2926,1962,5983,975,34,21586,1755,3405,2166,1801,5021,866,50,15066,830,1421,1054,871,3538,691,9,8424,348,417,184,187,1795,503,0,3436,27790,36445,15994,12834,45004,8670,237,146976
CED410,3951,7782,3594,1814,3857,518,87,21605,2465,5816,3702,2195,4254,495,68,18994,1720,3316,2177,1473,3981,558,32,13266,790,1015,531,356,3273,443,9,6418,33576,46034,20607,12447,37531,5035,349,155578
CED497,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,19,8,7,40
CED501,3042,5859,2562,1817,4626,763,52,18717,1538,3103,2016,1776,4001,627,51,13116,790,1389,954,879,2737,584,18,7352,260,352,166,148,1127,415,8,2474,26737,35854,15359,13035,36394,8646,249,136274
CED502,2929,4956,2192,1600,4883,780,92,17435,1698,3145,2042,1731,4369,652,115,13758,768,1322,867,775,2616,537,32,6918,253,312,149,122,1139,426,4,2401,26556,34059,14443,12652,42615,7955,379,138659
CED503,3139,6053,3050,2161,4169,779,31,19380,2017,4484,3170,2763,4997,819,36,18291,1158,2147,1595,1521,3642,793,9,10862,400,487,276,275,1647,544,4,3632,22773,32690,15646,13969,30823,6708,167,122770
CED504,3566,6086,2679,1890,5753,788,89,20858,2250,4184,2582,1940,5290,700,59,17019,1126,1929,1213,984,3494,585,13,9354,421,519,223,179,1524,308,4,3175,29272,36007,14914,11642,45210,7391,289,144725
CED505,3914,7372,2988,1432,2511,600,86,18912,2416,5132,2936,1588,3080,730,77,15957,1338,2585,1797,1179,2915,772,33,10616,614,792,446,297,2270,667,14,5087,34976,42703,17451,10899,28091,6272,518,140914
CED506,5805,9489,3955,2702,8518,6144,103,36723,3666,6332,3689,3179,7496,3458,78,27896,1180,1950,1256,1264,3328,1457,16,10444,245,322,195,187,1045,416,6,2415,36814,49668,20455,16511,50956,39165,1284,214855
CED507,3462,6672,3233,2095,3511,1146,34,20154,2079,4580,3320,2558,3919,1009,23,17490,1029,1886,1417,1255,2724,694,14,9021,374,494,279,225,1448,469,0,3286,24206,35093,16711,13132,26131,8095,298,123674
CED508,3629,6440,2548,1514,3902,732,76,18836,1931,4036,2295,1586,3822,671,60,14410,888,1687,1004,794,2554,639,14,7578,360,439,210,177,1439,521,4,3143,29944,39043,15235,10923,31135,6559,420,133266
