CED_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
CED315,1404,1216,2619,4255,4010,8265,2322,2229,4549,711,673,1387,7303,6925,14230,2897,2776,5675,1647,1992,3638,933,937,1871,5483,5715,11199,306,205,509,208,390,597,378,299,678,528,987,1514,0,0,0,1421,1881,3306,1324,2456,3784,621,990,1612,233,374,600,758,1449,2205,10,6,13,2946,5274,8212,4367,7164,11530,280,236,519,383,615,995,3,12,16,667,860,1528,6493,5640,12136,249,141,389,25968,27664,53631
CED316,929,930,1861,3862,3615,7480,1018,983,1997,937,862,1801,5828,5476,11298,3038,3036,6075,1046,1038,2083,897,817,1719,4988,4895,9884,129,154,288,126,248,378,299,302,606,406,829,1237,11,7,16,971,1548,2519,243,539,781,216,511,727,88,204,291,382,856,1240,4,4,7,928,2120,3052,1905,3672,5580,169,169,338,337,472,809,5,10,14,504,649,1157,4747,4894,9640,189,214,400,19092,20732,39821
CED317,1185,1067,2258,5086,4750,9836,1954,1885,3842,386,372,755,7443,7010,14453,3932,3668,7601,1446,1481,2927,507,502,1001,5888,5642,11539,181,125,306,159,209,371,315,293,605,384,890,1275,11,8,23,1047,1530,2578,188,449,636,129,383,508,56,183,240,406,1082,1484,3,7,9,780,2099,2879,1829,3635,5458,191,205,393,342,527,869,18,18,36,546,749,1299,12446,9313,21758,806,394,1202,30146,27815,57963
CED318,1287,1253,2536,5011,4755,9765,1931,1853,3787,620,558,1175,7567,7177,14743,3949,3768,7721,1464,1499,2958,494,566,1060,5926,5840,11760,198,185,389,303,515,818,388,331,719,691,1391,2076,9,14,24,1585,2436,4023,593,1048,1641,461,842,1306,162,266,428,730,1489,2221,9,4,12,1953,3657,5611,3547,6103,9645,212,258,472,409,682,1087,12,12,25,629,947,1582,10991,9637,20626,782,556,1338,30721,31513,62239
CED319,1555,1430,2986,3988,3835,7826,2004,1835,3842,260,320,575,6260,5999,12250,2681,2468,5155,2079,1807,3885,496,611,1103,5263,4888,10153,333,295,629,351,481,829,344,268,611,627,1057,1681,12,8,13,1662,2109,3768,1501,2231,3733,742,1049,1793,317,427,750,1056,1679,2734,0,6,4,3623,5391,9010,5292,7506,12795,242,265,510,384,608,987,5,7,11,633,875,1509,3334,3349,6679,147,174,323,22486,24215,46699
CED320,1621,1477,3103,6156,5789,11945,905,922,1830,1080,1007,2083,8157,7735,15889,4552,4574,9118,970,985,1956,963,935,1896,6493,6507,13001,216,275,491,159,402,563,431,400,839,603,1198,1799,6,9,19,1417,2287,3703,705,1185,1891,343,726,1066,152,299,451,374,1103,1478,3,4,13,1577,3320,4896,3000,5614,8609,246,280,524,464,668,1128,0,18,18,713,965,1672,5873,4680,10552,357,206,562,26213,27180,53391
CED321,958,932,1886,4376,4244,8627,1361,1368,2727,565,549,1112,6309,6163,12475,3450,3265,6715,640,734,1376,572,546,1114,4671,4553,9216,134,104,239,94,154,245,304,281,579,374,841,1215,17,9,23,920,1376,2301,141,431,581,114,281,394,67,211,280,318,820,1133,8,3,11,653,1749,2402,1572,3130,4703,104,148,253,263,453,713,12,13,20,377,614,985,8432,7041,15470,191,136,328,22502,22561,45067
CED322,1670,1451,3123,4442,4319,8754,929,954,1883,1287,1291,2577,6675,6576,13249,3246,2996,6241,673,702,1380,1627,1648,3271,5550,5357,10904,184,231,414,245,433,679,450,289,738,681,1122,1800,6,0,6,1568,2076,3643,1486,2283,3763,623,1010,1623,259,410,666,664,1300,1961,6,4,16,3033,4997,8027,4603,7071,11680,177,206,376,367,617,986,4,6,13,545,828,1376,4130,4687,8815,214,198,411,23394,26167,49557
CED323,1393,1280,2670,3512,3309,6816,874,859,1730,1111,1107,2217,5502,5290,10791,2771,2674,5439,617,601,1223,1789,1509,3297,5190,4791,9984,374,402,780,690,948,1642,448,364,809,1043,1657,2702,6,12,16,2564,3389,5949,1876,2777,4659,1079,1364,2438,315,393,708,652,1238,1896,9,11,22,3930,5789,9721,6499,9188,15692,341,382,724,637,906,1549,7,8,19,992,1300,2286,7533,7522,15054,465,449,911,27573,29814,57386
CED324,1589,1420,3011,4950,4750,9703,1215,1172,2382,722,746,1466,6892,6675,13567,2803,2831,5638,1381,1182,2568,1154,1193,2345,5344,5222,10568,474,366,837,689,842,1529,327,263,590,713,1122,1828,3,6,18,2203,2594,4797,3066,3485,6550,1500,1479,2980,410,448,857,1051,1575,2625,14,15,24,6040,7001,13039,8251,9605,17859,484,448,934,508,681,1197,6,10,19,1001,1143,2149,3239,2986,6224,231,273,507,26554,27323,53875
CED325,1931,1728,3659,6565,6138,12706,1425,1324,2755,1195,1242,2433,9204,8734,17937,4885,4672,9553,1068,1068,2137,1176,1133,2313,7140,6886,14027,345,363,703,358,618,978,356,316,672,626,1220,1849,9,17,23,1696,2523,4215,1693,2280,3965,676,909,1588,291,423,708,798,1338,2137,4,4,16,3472,4952,8423,5170,7492,12656,371,370,737,549,699,1247,11,16,25,929,1080,2006,7227,4453,11679,147,195,347,31744,30568,62310
CED326,1788,1644,3431,5499,5344,10841,1697,1669,3371,1116,1064,2187,8330,8099,16424,4120,3737,7859,1318,1252,2573,1191,1199,2388,6639,6201,12838,257,290,547,247,449,703,438,365,805,669,1361,2032,6,5,14,1612,2477,4090,1166,1595,2761,447,858,1307,222,336,557,666,1332,1997,3,5,13,2508,4124,6631,4126,6608,10735,289,276,560,438,756,1202,10,11,20,739,1041,1782,3647,3911,7560,134,158,295,25402,27659,53061
CED327,1848,1721,3569,7001,6443,13442,1268,1246,2513,1191,1200,2388,9490,8921,18408,5352,5207,10555,927,914,1838,1059,1133,2197,7363,7270,14630,354,399,748,442,825,1266,367,358,721,646,1204,1848,8,5,14,1809,2788,4599,1428,1804,3240,571,845,1415,203,299,502,578,940,1516,7,12,17,2794,3901,6690,4615,6702,11313,431,424,860,445,726,1176,12,12,28,893,1165,2054,5686,5526,11214,165,186,352,30062,31484,61544
CED328,1570,1420,2996,5509,5452,10962,1329,1211,2542,663,481,1144,7506,7152,14656,3457,3091,6549,1650,1574,3225,1820,1498,3318,6933,6168,13098,291,242,532,221,346,563,348,248,598,491,876,1367,0,4,4,1353,1718,3071,5095,5626,10721,1641,1725,3368,528,534,1063,1237,1878,3113,10,10,17,8511,9773,18287,9866,11495,21362,238,207,440,329,526,855,3,5,5,568,734,1304,2014,2054,4071,238,229,463,28691,29256,57949
CED329,903,854,1755,3956,3667,7627,693,656,1352,860,875,1735,5519,5213,10730,3188,2929,6114,702,752,1453,1115,1105,2217,5010,4784,9800,139,145,286,110,203,314,303,293,597,384,818,1201,3,5,13,939,1474,2411,292,599,890,175,481,660,85,176,264,294,791,1090,4,9,9,854,2058,2912,1798,3539,5334,147,175,316,261,458,721,4,10,20,410,637,1050,5852,4986,10838,189,187,370,19675,20199,39877
CED330,1672,1497,3176,6022,5568,11589,1422,1291,2709,1340,1271,2609,8788,8148,16937,4577,4216,8792,1121,1164,2282,1511,1591,3106,7231,6982,14210,193,235,430,144,334,471,528,350,881,512,1043,1555,6,9,13,1381,1972,3357,824,1552,2382,313,634,949,154,292,445,459,1101,1563,7,0,10,1759,3588,5347,3152,5569,8716,248,250,496,369,606,974,6,9,10,622,859,1478,5117,5288,10398,130,130,256,26710,28462,55174
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,29,228,17,10,24,210,42,257
CED401,1584,1391,2978,4430,3957,8389,1766,1713,3482,1110,1079,2186,7313,6763,14078,2249,2075,4325,1327,1523,2854,1226,1398,2624,4802,5009,9811,558,392,953,765,957,1724,384,220,606,945,1281,2227,9,5,11,2662,2855,5524,4573,5476,10051,2304,2478,4779,406,474,882,1303,1803,3104,10,11,26,8596,10247,18842,11278,13118,24398,507,487,992,563,698,1265,18,9,26,1089,1197,2280,5152,4499,9648,393,391,782,31619,32360,63976
CED402,1213,1174,2389,5481,5179,10663,996,973,1972,1080,1053,2133,7559,7216,14773,3644,3490,7138,491,424,907,740,711,1450,4876,4633,9510,117,126,244,98,285,383,540,348,886,519,967,1487,12,10,29,1285,1743,3022,263,623,887,146,414,566,68,159,225,258,748,1008,3,5,7,743,1953,2695,2026,3696,5718,131,152,281,201,416,618,13,13,20,349,576,923,6758,5134,11890,722,153,874,23501,22587,46085
CED403,1536,1393,2928,4533,4148,8687,1326,1273,2597,1136,1074,2207,7003,6504,13506,2257,2273,4540,1422,1348,2775,1347,1414,2758,5037,5047,10080,265,215,476,323,402,720,425,224,652,746,939,1684,15,6,21,1768,1789,3555,2539,3389,5931,1239,1610,2850,301,411,714,935,1560,2493,9,8,22,5028,6982,12012,6805,8784,15590,233,224,458,392,545,937,3,7,14,627,781,1407,2357,2541,4893,132,165,304,23491,25203,48695
CED404,1213,1196,2410,5343,4933,10271,1287,1270,2556,766,745,1513,7404,6957,14362,3443,3167,6609,760,876,1635,435,521,958,4641,4574,9217,109,144,251,106,213,325,439,291,729,448,885,1335,9,14,21,1114,1546,2659,211,602,818,159,368,529,62,161,218,278,772,1049,3,9,14,717,1908,2618,1830,3451,5285,91,110,208,194,386,579,12,11,19,293,513,805,9281,6494,15778,110,73,186,24778,23267,48043
CED405,1340,1253,2596,3958,3640,7603,1974,1925,3905,606,613,1220,6550,6183,12741,2261,2083,4347,1654,1720,3374,689,722,1411,4610,4536,9147,323,211,535,348,514,856,421,270,690,679,1025,1708,8,8,13,1776,2029,3804,1742,2283,4024,723,1004,1728,260,360,617,710,1211,1920,14,17,34,3452,4873,8323,5234,6915,12145,186,231,418,374,596,969,6,5,11,571,838,1403,2808,2835,5645,138,152,289,21246,22699,43951
CED406,1394,1295,2692,5356,4911,10260,1115,1041,2160,1063,1038,2105,7539,7008,14545,3257,3050,6306,920,821,1738,926,954,1881,5108,4829,9937,210,205,412,152,333,490,488,339,827,711,1059,1767,12,6,21,1571,1943,3516,1083,1597,2680,467,755,1221,195,349,544,508,1209,1721,3,0,6,2250,3920,6176,3830,5874,9703,142,158,304,356,577,931,10,4,10,508,736,1246,2607,2722,5331,59,90,149,21049,22556,43602
CED407,1409,1337,2745,5418,4972,10389,1262,1140,2405,1408,1417,2824,8095,7537,15633,2979,2756,5727,1120,1164,2285,1236,1294,2531,5340,5214,10558,375,258,638,380,527,907,445,324,773,727,1148,1878,9,8,16,1942,2269,4205,1882,2230,4109,763,956,1725,236,310,544,634,1045,1673,4,6,15,3521,4543,8070,5472,6817,12285,292,282,571,446,643,1093,7,12,17,745,936,1685,3067,2815,5885,113,129,246,24251,24781,49031
CED408,1381,1239,2617,5425,5058,10483,624,654,1276,1636,1590,3229,7698,7306,15000,2901,2820,5729,532,574,1107,1844,1967,3811,5281,5368,10654,164,167,332,109,250,352,450,282,731,608,917,1532,10,9,16,1343,1620,2966,1006,1533,2536,329,660,989,174,251,428,498,1301,1800,3,8,18,2020,3760,5775,3368,5380,8748,137,138,272,278,493,769,8,10,17,416,640,1051,3457,3533,6997,91,72,161,21695,23537,45228
CED409,1742,1635,3377,6679,6160,12839,1549,1585,3133,1692,1766,3460,9936,9524,19466,3498,3326,6829,1310,1301,2610,1329,1275,2602,6147,5906,12054,293,313,609,346,613,953,472,412,885,768,1383,2150,7,12,24,1888,2738,4623,1050,1672,2728,464,732,1197,195,268,464,479,911,1393,11,9,11,2194,3601,5791,4100,6347,10444,275,348,625,418,676,1095,9,15,30,709,1040,1750,5021,5105,10133,114,129,242,27778,29690,57471
CED410,1610,1485,3098,5260,4950,10213,1584,1493,3077,1102,1120,2220,7957,7576,15535,2712,2353,5066,1492,1588,3082,1916,1670,3590,6131,5615,11739,295,198,495,405,613,1016,340,211,555,725,1173,1901,11,4,15,1781,2200,3980,3151,3521,6669,1317,1494,2812,390,383,771,1018,1530,2550,11,11,20,5888,6938,12821,7667,9147,16818,295,283,582,458,648,1107,8,3,10,760,938,1699,2535,2613,5146,201,176,377,26865,27553,54413
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,7,0,7,12,0,12
CED501,1748,1642,3388,6697,6182,12875,1115,1088,2206,1185,1223,2410,9004,8508,17515,4289,4047,8336,1002,1076,2074,1353,1316,2668,6649,6454,13104,419,418,842,229,530,756,701,453,1157,586,1174,1761,7,13,24,1949,2588,4536,875,1340,2220,341,749,1088,178,295,477,523,1045,1573,3,11,13,1933,3444,5371,3894,6033,9925,277,287,560,443,736,1177,11,8,18,725,1031,1751,5439,4035,9477,138,134,271,27598,27834,55430
CED502,1900,1764,3669,6530,6125,12652,1136,1086,2222,1547,1511,3063,9241,8741,17982,4296,4019,8315,863,828,1697,1181,1254,2436,6349,6117,12462,497,502,998,410,737,1144,556,386,947,650,1200,1843,12,13,31,2119,2847,4966,1359,1779,3138,556,846,1404,240,346,579,550,904,1448,6,10,16,2705,3878,6586,4842,6728,11571,359,370,724,509,801,1304,10,9,24,876,1178,2054,4435,4507,8942,179,231,411,27812,29276,57088
CED503,1326,1266,2591,4448,4390,8839,1115,1089,2204,1210,1224,2433,6791,6714,13502,3175,2945,6119,858,940,1796,1288,1298,2586,5326,5186,10510,276,318,593,130,355,485,604,354,958,423,904,1323,4,5,14,1438,1936,3371,547,1108,1654,190,516,706,125,221,346,312,760,1071,5,3,11,1183,2606,3790,2632,4543,7176,168,218,385,304,560,867,3,4,9,483,779,1261,3767,3656,7424,78,109,186,20392,22251,42646
CED504,1526,1446,2972,4863,4361,9229,1586,1538,3127,863,816,1684,7331,6745,14078,3360,3162,6523,1490,1407,2902,891,893,1783,5757,5469,11234,487,486,971,495,760,1258,485,289,780,647,1161,1811,8,11,23,2128,2705,4841,1711,2228,3941,709,831,1540,328,389,721,586,942,1522,12,15,23,3344,4399,7748,5497,7130,12624,337,399,734,496,737,1232,9,7,21,841,1144,1986,3962,4023,7989,102,203,309,25031,26167,51194
CED505,1507,1358,2865,4808,4535,9341,1054,1047,2102,1125,1005,2127,6988,6593,13582,2851,2581,5430,1143,1304,2451,2790,2600,5395,6786,6501,13287,255,255,512,252,397,656,244,141,385,448,735,1186,3,3,8,1202,1536,2737,3617,4154,7773,1182,1371,2556,420,464,883,1039,1594,2632,8,10,22,6266,7596,13867,7477,9143,16617,164,204,366,365,584,951,0,8,15,532,800,1330,3095,3404,6505,292,281,571,26678,28088,54764
CED506,1699,1608,3308,6800,6243,13039,1752,1719,3478,744,716,1457,9306,8689,17997,3908,3621,7533,1219,1310,2526,532,611,1142,5670,5547,11218,209,235,445,170,267,439,582,418,1001,834,1393,2229,17,9,24,1814,2326,4140,189,405,589,182,470,650,80,199,281,655,1266,1917,7,4,10,1111,2334,3456,2932,4670,7599,198,211,409,345,559,904,14,11,25,557,779,1334,27407,15374,42783,812,504,1319,48382,37174,85555
CED507,1333,1284,2623,4754,4282,9041,1252,1190,2445,1074,1001,2075,7092,6484,13579,3609,3456,7064,1126,1213,2343,968,996,1962,5706,5662,11371,254,212,466,132,359,487,594,309,905,426,959,1391,9,8,19,1417,1849,3261,151,431,581,137,435,571,53,136,195,327,903,1232,0,3,8,673,1917,2589,2092,3767,5856,149,161,307,287,500,783,6,6,14,439,667,1107,4765,4218,8985,186,142,328,21615,22227,43845
CED508,1587,1426,3022,4846,4757,9602,1199,1287,2483,522,546,1066,6578,6592,13174,2685,2508,5192,1755,1774,3529,850,804,1655,5300,5089,10390,282,287,564,252,396,653,487,281,774,543,920,1464,7,3,18,1569,1893,3467,1513,2238,3758,635,1071,1713,331,426,760,799,1461,2257,8,6,21,3292,5208,8504,4878,7112,11986,169,160,331,422,636,1063,14,0,13,603,807,1407,3423,3287,6714,246,204,455,22615,24522,47138
CED509,1751,1605,3363,5616,5251,10869,1259,1245,2505,1355,1283,2639,8254,7796,16049,3255,3067,6325,1548,1399,2948,1781,1593,3372,6588,6083,12665,327,370,701,221,449,670,598,338,937,570,983,1560,5,3,9,1726,2146,3877,1145,1566,2710,386,674,1062,217,333,550,549,1099,1652,10,4,11,2303,3678,5980,4041,5838,9876,221,272,496,429,702,1129,9,4,13,664,979,1641,5134,3584,8717,120,162,275,26554,26043,52592
CED510,1460,1279,2740,5242,4848,10089,1293,1265,2557,993,988,1979,7535,7117,14649,3606,3262,6863,1299,1343,2642,1639,1619,3259,6546,6235,12781,334,308,640,158,278,437,582,235,816,410,695,1107,0,0,3,1481,1520,3004,1924,2301,4224,527,652,1178,307,372,673,592,1103,1700,11,5,14,3354,4439,7791,4835,5963,10802,152,175,327,388,594,980,0,3,9,538,769,1310,1891,1967,3855,112,116,225,22923,23442,46366
CED511,1353,1341,2697,5386,5036,10416,911,876,1782,610,646,1262,6915,6571,13483,3872,3685,7554,608,652,1255,673,748,1422,5156,5096,10249,270,249,514,129,224,348,602,357,959,552,1132,1685,14,11,25,1568,1962,3530,172,319,495,178,314,491,59,146,209,377,837,1214,5,3,11,796,1624,2415,2360,3590,5951,166,154,319,288,474,763,11,4,15,469,629,1098,14269,8578,22848,250,142,395,30774,25952,56724
CED512,1856,1715,3571,6663,6196,12860,1226,1284,2509,1463,1400,2858,9368,8903,18272,4488,4150,8638,1077,1127,2202,1540,1464,3003,7109,6753,13863,469,431,897,206,478,677,614,359,969,524,1017,1539,4,8,13,1811,2287,4104,1341,1922,3265,430,820,1246,299,411,712,550,1135,1684,3,6,13,2622,4286,6914,4449,6590,11032,276,269,543,439,798,1239,7,3,11,724,1074,1801,2725,2887,5618,160,156,317,26389,28076,54461
CED513,1446,1253,2696,3549,3308,6859,1210,1218,2430,525,634,1166,5293,5175,10467,2087,1904,3991,1293,1120,2415,747,959,1705,4132,3987,8124,449,435,885,621,911,1534,326,255,581,757,1153,1906,10,6,16,2161,2755,4920,2213,2880,5092,1424,1605,3029,382,457,839,1283,1790,3069,13,15,33,5321,6745,12063,7499,9510,17004,332,384,720,550,821,1367,7,12,19,896,1214,2109,5707,4562,10268,687,468,1161,25658,26173,51826
CED514,1557,1447,3011,4288,3891,8180,1331,1275,2604,971,980,1951,6599,6149,12750,2465,2396,4861,1638,1241,2885,1149,1109,2258,5264,4753,10020,700,529,1230,635,868,1502,511,314,825,747,1222,1973,9,13,23,2598,2953,5556,2948,3452,6401,1599,1731,3332,450,530,978,988,1454,2440,15,9,26,6000,7172,13172,8623,10134,18765,477,445,926,514,734,1249,22,16,35,1010,1197,2210,5223,5247,10476,321,271,597,28608,29210,57815
CED515,1545,1461,3005,6404,6165,12566,1087,1114,2201,666,682,1346,8168,7968,16132,5014,4646,9661,1292,1474,2765,1115,1096,2203,7432,7214,14644,409,296,709,296,463,757,529,222,754,487,895,1384,6,6,10,1727,1877,3605,3196,3793,6988,910,966,1886,462,452,914,797,1189,1986,0,21,20,5369,6419,11786,7099,8317,15420,224,264,492,406,562,966,9,13,20,635,839,1476,3471,2963,6436,293,273,567,28643,29031,57671
CED597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,5,6,3,9,22,0,21,0,0,0,30,3,32,3,0,3,5,0,5,0,0,0,21,5,27,0,0,0,33,5,36,60,10,69,0,0,0,8,3,7,0,0,0,8,3,7,1252,127,1379,143,16,164,1464,160,1629
CED601,661,656,1317,3408,3188,6592,648,614,1262,572,560,1139,4633,4366,9001,2138,2047,4187,517,565,1082,686,666,1354,3347,3283,6629,174,213,385,311,403,714,395,229,628,503,591,1096,7,10,16,1392,1448,2843,629,816,1445,455,602,1063,95,160,257,392,716,1109,6,3,7,1576,2302,3874,2968,3750,6716,219,208,425,234,348,588,5,4,7,458,558,1018,3033,2890,5919,106,84,193,15202,15592,30789
CED602,567,515,1080,3343,3243,6583,858,788,1643,347,385,737,4557,4411,8972,2259,2222,4482,602,658,1265,289,273,563,3154,3158,6315,213,203,419,163,213,376,399,241,646,381,578,960,7,6,9,1164,1240,2405,181,418,602,142,304,445,52,105,154,308,607,912,0,8,10,676,1443,2123,1841,2696,4532,146,159,301,143,273,419,0,8,12,294,441,733,3327,3190,6520,90,60,153,13830,14474,28303
CED603,683,642,1329,3016,2587,5606,725,840,1566,485,490,979,4237,3923,8158,1718,1609,3337,699,721,1420,833,807,1637,3255,3145,6394,282,229,515,870,872,1743,301,208,507,689,694,1387,9,9,16,2155,2010,4162,1365,1626,2993,1135,1250,2386,162,226,386,708,1172,1878,5,3,11,3382,4278,7663,5544,6297,11843,317,333,646,258,380,637,8,7,15,580,722,1305,2641,2665,5307,281,115,392,17218,17508,34727
CED604,798,734,1529,3229,3065,6295,1012,1057,2069,617,611,1225,4859,4734,9590,1930,1679,3608,880,1005,1892,642,602,1244,3457,3290,6749,199,205,408,334,358,690,435,205,637,611,639,1249,9,6,16,1587,1405,2989,540,708,1251,402,533,938,118,161,278,524,1015,1544,0,3,7,1595,2425,4016,3187,3830,7015,183,193,374,223,360,583,15,0,15,419,561,972,2706,2202,4910,49,56,102,15470,15408,30879
CED605,622,615,1243,3558,3317,6876,933,899,1836,342,348,692,4833,4569,9402,1990,1955,3940,735,724,1457,332,307,641,3064,2983,6044,175,200,372,154,214,368,378,227,605,425,554,975,15,12,23,1140,1201,2346,236,393,630,162,296,453,68,116,180,236,628,865,9,3,10,706,1441,2144,1847,2645,4492,160,180,338,137,302,434,6,11,14,301,485,789,3557,3490,7047,128,70,198,14349,14861,29214
CED697,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,4,0,0,0,0,0,6,0,0,0,4,3,10,4,8,9,0,0,0,0,0,0,0,0,0,0,0,0,101,15,109,8,0,13,113,18,134
CED701,1230,1103,2331,5099,4668,9765,784,778,1567,593,633,1227,6483,6088,12567,2285,2261,4550,551,581,1136,722,631,1352,3566,3473,7038,75,60,131,104,127,231,219,153,370,451,624,1069,6,6,17,851,959,1815,127,294,416,199,433,631,87,213,296,592,1288,1881,4,9,14,1011,2228,3237,1862,3194,5056,158,166,323,204,365,574,14,15,23,374,548,918,12047,8542,20593,1616,389,2003,27178,23331,50509
CED702,1068,1015,2081,3768,3510,7272,552,554,1109,607,628,1231,4932,4701,9629,2241,2236,4472,574,543,1118,587,620,1202,3406,3398,6806,149,115,268,302,313,613,204,189,393,519,862,1385,3,10,11,1185,1484,2668,591,843,1435,758,1152,1905,190,279,470,854,1703,2553,8,9,14,2396,3985,6381,3586,5476,9066,326,322,647,309,559,868,10,7,12,638,882,1527,5908,5495,11406,814,377,1196,20362,21349,41707
CED797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,7,0,0,0,3,0,9,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,135,19,151,12,7,17,154,19,172
CED801,1548,1443,2985,4297,4023,8321,1871,1718,3588,642,741,1389,6816,6492,13312,2914,2639,5554,1643,1434,3076,610,662,1273,5170,4742,9912,228,214,449,274,285,557,668,362,1022,801,1048,1844,6,3,11,1973,1910,3884,1216,1549,2767,550,729,1272,294,374,670,1042,1653,2694,10,6,14,3102,4313,7420,5087,6229,11318,280,278,564,477,671,1153,4,5,12,764,961,1724,2722,2346,5067,142,164,303,22249,22367,44616
CED802,1134,1037,2170,3529,3218,6750,717,643,1365,656,706,1360,4910,4565,9478,2351,2157,4506,638,691,1333,951,1112,2063,3947,3968,7913,219,174,392,349,352,704,324,231,553,656,838,1494,0,7,10,1555,1603,3155,4792,5537,10327,1637,1585,3228,542,663,1202,1853,2326,4175,11,8,22,8837,10122,18955,10399,11733,22133,353,263,617,466,575,1039,3,8,11,826,847,1672,4199,3757,7958,281,245,527,25700,26147,51851
CED803,1948,1774,3718,5182,4855,10036,1918,1831,3744,874,829,1698,7978,7522,15503,3257,2977,6234,1372,1340,2719,671,650,1322,5300,4975,10282,280,290,569,458,507,960,596,371,971,1020,1350,2372,9,3,11,2355,2522,4881,1758,2168,3928,1024,1211,2233,314,453,764,1352,1919,3267,16,10,28,4463,5761,10223,6834,8293,15125,436,400,837,689,863,1556,10,3,11,1136,1267,2402,2542,2436,4974,138,197,337,25872,26473,52343
