SOSR_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
SOSR515,200,391,589,90,182,274,125,462,587,156,807,964,475,1968,2440,487,1171,1658,1619,886,2504,1197,1067,2268,1391,1152,2545,1487,968,2456,1053,792,1848,1212,691,1906,2591,1324,3918,2044,226,2264,1724,454,2175,991,115,1108,2433,676,3107,2800,205,3003,321,827,1148,22399,14351,36749
SOSR521,97,190,283,73,75,145,76,254,329,79,384,462,212,960,1176,247,476,728,789,405,1198,598,483,1083,593,455,1048,634,411,1048,430,337,765,482,330,817,1022,485,1506,704,86,789,582,135,723,317,28,345,711,229,941,1125,57,1188,184,561,745,8983,6341,15326
SOSR522,40,106,148,26,57,82,46,158,203,62,241,308,167,606,778,165,264,434,472,243,715,383,282,667,373,340,718,392,305,697,217,213,433,268,180,451,515,363,872,317,59,382,248,95,346,138,38,176,316,171,488,559,42,601,160,366,522,4880,4130,9012
SOSR531,515,706,1221,252,270,521,232,568,795,214,904,1120,829,1982,2811,653,1235,1890,2126,1273,3395,1875,1571,3440,2323,1754,4075,2571,1350,3928,1809,1021,2834,2052,896,2947,4249,1628,5877,3432,409,3841,2812,602,3416,1897,225,2119,5425,1166,6601,5472,273,5743,659,1408,2066,39395,19242,58639
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,13,13
SOSR603,382,609,992,152,255,411,206,789,989,252,1605,1856,883,4346,5227,1143,2829,3975,2828,2024,4850,2910,2283,5196,3619,2445,6062,4299,1801,6093,3111,1649,4763,3211,1163,4372,6726,1748,8470,4955,371,5328,3865,460,4332,2571,154,2723,6192,695,6888,3184,544,3727,420,881,1301,50921,26646,77566
SOSR611,137,283,417,88,127,210,86,420,509,135,829,963,416,2150,2567,522,1439,1961,1573,942,2509,1453,1122,2572,1692,1122,2815,1977,770,2751,1332,591,1922,1271,429,1697,2816,557,3373,1848,126,1971,1418,138,1552,817,47,858,1722,239,1958,1309,184,1491,202,414,619,20807,11930,32734
SOSR612,91,166,255,42,77,116,66,266,333,102,596,700,279,1549,1829,376,902,1271,1275,486,1762,1013,599,1610,946,606,1552,1150,376,1524,783,304,1084,763,222,986,1489,285,1772,921,31,950,647,42,690,337,13,348,616,92,702,851,73,922,174,342,515,11905,7019,18929
SOSR613,19,43,65,15,17,35,17,69,85,24,149,171,88,533,621,95,278,372,449,150,596,278,132,411,305,128,435,328,68,395,224,71,291,203,60,264,384,62,449,259,11,269,181,14,187,95,0,103,184,16,201,275,13,284,46,111,157,3465,1922,5396
SOSR614,20,62,80,17,23,39,23,93,111,37,208,248,110,615,726,130,299,427,449,158,610,341,169,513,372,187,551,447,137,586,307,90,395,310,59,374,570,67,641,383,7,389,223,14,235,141,8,147,208,25,235,363,24,384,57,99,158,4510,2344,6848
