SOSR_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Oth_lt_health_cond_0_14,M_Oth_lt_health_cond_15_24,M_Oth_lt_health_cond_25_34,M_Oth_lt_health_cond_35_44,M_Oth_lt_health_cond_45_54,M_Oth_lt_health_cond_55_64,M_Oth_lt_health_cond_65_74,M_Oth_lt_health_cond_75_84,M_Oth_lt_health_cond_85_over,M_Oth_lt_health_cond_Tot,M_No_lt_health_cond_0_14,M_No_lt_health_cond_15_24,M_No_lt_health_cond_25_34,M_No_lt_health_cond_35_44,M_No_lt_health_cond_45_54,M_No_lt_health_cond_55_64,M_No_lt_health_cond_65_74,M_No_lt_health_cond_75_84,M_No_lt_health_cond_85_over,M_No_lt_health_cond_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
SOSR622,0,3,6,28,52,143,200,106,29,556,47,44,34,41,53,57,55,30,3,362,0,0,0,4,17,45,78,59,8,214,0,0,0,0,0,6,9,12,14,35,0,6,6,12,31,79,128,69,11,341,3,0,6,5,30,75,125,79,30,345,0,0,5,5,7,8,9,6,8,47,0,0,0,5,8,21,68,35,4,144,25,36,45,59,80,89,90,29,3,454,0,0,0,0,3,13,34,16,7,77,34,16,19,46,50,106,94,37,14,411,525,251,280,247,324,367,282,88,16,2380,69,43,38,30,54,62,73,39,27,440,692,387,410,424,590,815,831,378,99,4625,0,6,9,31,122,205,253,137,63,826,33,30,56,66,82,91,89,49,3,500,0,0,4,4,26,50,75,37,8,201,0,0,0,0,0,0,9,16,17,38,0,0,3,11,30,57,62,46,12,224,0,3,3,3,11,31,58,54,21,182
SOSR631,3,30,68,230,687,1526,1939,928,162,5578,683,442,393,460,505,628,560,199,35,3915,11,13,30,59,133,433,713,430,83,1903,0,0,0,0,5,27,49,74,35,188,24,37,30,110,311,742,980,482,92,2803,24,19,13,61,236,729,1180,697,163,3108,11,11,11,22,40,93,158,126,40,515,5,12,19,38,122,343,449,279,70,1326,226,433,468,645,812,922,590,164,22,4284,0,5,4,10,54,133,217,163,41,629,396,237,260,347,660,1001,832,282,60,4069,7212,3941,3628,3886,4484,4453,2827,873,117,31418,834,522,493,556,697,757,609,235,70,4779,9274,5490,5178,5977,7619,9391,7821,3166,588,54513,10,36,161,368,1002,2076,2183,1011,243,7085,499,438,594,724,832,874,692,212,50,4913,10,9,22,92,266,471,502,243,54,1668,0,0,0,0,0,9,25,53,59,153,16,22,56,130,293,513,567,263,56,1919,20,6,13,35,113,329,443,302,125,1389
SOSR679,0,0,0,0,0,8,6,0,0,18,0,0,0,0,7,6,4,0,0,16,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,10,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,6,0,0,0,12,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,3,3,0,0,9,0,10,28,35,29,20,8,0,0,131,0,0,25,24,26,23,0,0,0,97,0,12,58,65,70,62,25,4,0,294,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,3,32,130,249,468,754,921,408,76,3046,660,393,626,505,437,371,302,91,9,3392,12,9,31,66,141,322,510,252,32,1378,0,0,0,9,10,29,55,92,49,242,8,46,75,224,462,722,794,338,56,2730,29,28,47,85,254,531,801,387,100,2266,21,14,22,63,79,101,128,92,19,536,40,9,21,37,80,210,255,155,24,829,192,366,547,580,556,441,276,88,19,3060,0,4,3,20,38,103,170,100,23,462,626,313,413,541,619,667,556,226,74,4035,10299,5878,8850,6860,4940,3463,1944,508,67,42809,1460,1145,1907,1539,1303,1108,738,217,55,9488,13170,8082,12383,10260,8516,7389,5506,1926,362,67594,11,40,137,293,655,1091,1292,621,175,4317,432,464,933,778,639,636,461,180,39,4571,3,11,42,102,243,319,369,165,25,1291,0,0,0,4,8,15,50,91,74,241,13,42,138,252,381,624,613,252,61,2366,24,25,49,68,154,293,362,242,102,1309
SOSR712,3,3,26,48,62,153,185,58,15,547,129,70,131,129,95,94,75,26,13,765,3,0,8,13,33,55,82,38,7,239,0,0,0,0,0,7,18,26,15,63,8,6,32,54,114,188,161,64,11,651,15,7,10,16,48,133,171,73,17,497,7,3,4,5,28,40,31,16,4,145,4,8,6,10,10,36,63,22,10,166,39,66,153,110,99,92,58,19,0,637,0,0,0,7,7,28,35,20,6,104,122,65,80,101,105,161,109,41,14,792,2297,1018,1680,1418,963,777,403,87,5,8643,256,161,260,232,201,236,175,38,9,1572,2858,1372,2300,2049,1613,1659,1162,336,55,13405,3,10,37,55,152,245,249,121,57,923,96,101,230,184,165,184,101,37,8,1105,0,3,8,11,32,95,70,38,13,272,0,0,0,0,0,6,22,21,30,82,4,20,44,86,147,184,156,62,24,733,10,12,22,35,44,76,83,60,28,368
SOSR714,0,0,4,10,7,52,56,24,0,157,26,16,32,30,16,30,20,6,0,186,0,0,3,3,6,17,13,10,0,55,0,0,0,0,0,0,3,6,0,19,0,0,11,23,30,44,34,18,5,164,4,4,7,9,14,46,55,24,0,155,0,0,0,0,8,9,7,9,0,25,0,0,4,3,6,7,13,5,0,40,5,17,20,18,34,26,14,7,0,150,0,0,0,3,3,9,7,0,0,27,40,16,20,13,29,38,28,11,0,198,541,285,435,302,213,185,125,19,0,2100,130,70,106,98,77,76,49,20,3,628,743,406,624,493,396,445,323,110,16,3551,0,4,11,8,27,66,53,20,6,191,29,22,50,31,43,44,27,3,0,248,0,0,0,0,13,16,16,8,0,59,0,0,0,0,0,0,7,8,3,26,0,0,7,19,48,50,39,9,3,179,4,6,6,7,21,26,17,8,3,92
SOSR715,0,3,0,19,20,40,38,11,0,129,66,21,33,55,79,51,29,11,0,346,0,0,0,3,12,22,19,7,0,67,0,0,0,0,5,3,9,4,0,15,6,11,16,41,72,81,47,14,0,287,64,69,36,58,92,83,68,8,0,473,7,5,11,19,22,31,15,5,0,118,9,4,3,10,17,20,9,6,0,87,21,61,61,97,51,35,15,3,0,335,0,4,0,0,15,16,9,3,0,46,93,53,55,77,90,91,43,6,0,512,1782,1181,1139,899,592,369,131,32,5,6132,268,149,256,187,167,139,61,11,3,1239,2300,1543,1583,1398,1101,825,384,87,10,9230,0,14,5,23,35,48,38,15,3,181,27,38,63,87,101,95,45,10,3,477,0,0,0,5,16,28,15,0,0,63,0,0,0,0,0,3,10,9,9,25,3,16,29,81,117,127,64,12,0,450,48,91,69,80,80,82,30,18,4,508
SOSR721,0,3,10,15,24,40,61,17,0,171,46,21,32,36,42,42,26,10,0,258,0,0,0,0,4,24,27,11,0,65,0,0,0,0,0,0,3,3,0,9,5,6,18,53,77,78,53,12,0,299,17,39,24,19,53,64,39,16,3,280,4,0,10,9,23,26,8,0,3,75,3,0,0,8,9,7,15,11,0,50,10,27,35,40,40,29,16,6,0,205,0,0,0,0,3,8,10,3,0,30,48,23,29,39,47,54,35,12,0,289,1323,881,899,663,511,358,183,33,0,4842,121,66,125,102,106,103,61,19,0,694,1573,1057,1167,950,862,736,434,106,12,6888,0,0,12,14,37,87,69,15,3,241,34,36,51,65,81,78,37,8,6,392,0,0,0,4,12,23,17,4,5,66,0,0,0,0,3,5,8,8,3,16,3,4,36,73,106,121,57,13,0,404,25,38,42,45,45,50,32,4,0,287
SOSR722,0,0,4,13,19,58,111,19,3,222,37,8,15,27,38,38,39,8,0,213,0,0,0,0,6,21,43,14,3,86,0,0,0,0,3,5,10,7,0,26,4,9,22,49,90,99,83,29,3,389,26,19,27,25,39,81,83,22,0,315,7,0,0,9,18,17,21,0,0,73,6,0,0,10,13,27,35,9,3,104,12,17,26,36,26,33,33,0,0,187,0,0,0,3,6,14,9,9,0,40,37,16,25,28,46,56,56,17,3,288,1326,822,789,596,423,351,227,49,4,4593,196,76,107,67,82,128,119,33,0,810,1645,964,1013,829,739,757,678,160,21,6815,0,0,3,12,49,95,120,18,8,315,15,16,38,43,67,84,61,11,0,330,0,0,0,5,13,22,41,8,0,82,0,0,0,0,0,0,12,11,0,25,6,10,50,113,143,133,91,23,0,573,19,32,36,36,54,59,42,19,4,283
SOSR731,0,11,33,66,157,387,527,164,7,1342,172,108,141,142,168,195,179,46,3,1173,4,3,9,14,40,123,246,94,10,532,0,0,0,0,0,3,14,13,5,41,5,16,18,65,152,282,371,121,13,1038,18,42,27,32,99,254,400,144,13,1026,4,7,6,16,32,35,68,32,7,202,11,4,3,13,41,104,136,60,4,365,47,76,116,131,172,188,147,22,5,902,0,0,0,6,14,37,66,41,7,162,135,72,86,136,176,280,272,78,5,1249,2917,1849,2096,1787,1851,1649,1105,238,21,13515,540,622,1017,908,917,771,568,150,9,5513,3833,2770,3494,3209,3556,3708,3175,835,67,24652,0,10,35,89,217,472,545,164,37,1568,93,102,167,203,232,284,199,45,4,1332,0,0,7,27,64,172,156,42,3,480,0,5,0,0,4,6,13,13,7,44,3,25,45,94,181,228,202,61,12,850,13,29,33,39,78,129,164,51,18,556
SOSR779,0,0,0,0,3,6,4,0,0,16,0,3,3,6,3,7,0,0,0,19,0,4,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,9,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,6,0,15,33,54,60,41,8,0,0,206,0,6,14,40,39,34,7,0,0,140,0,26,51,101,111,97,19,4,0,414,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR802,47,123,451,966,1721,2565,3072,2152,839,11924,3248,2683,3099,2911,2098,1606,1257,653,201,17749,31,66,144,273,516,1098,1683,1320,439,5573,4,4,0,12,19,57,182,419,426,1133,53,162,346,803,1479,2166,2476,1459,394,9336,72,93,130,300,771,1577,2566,2065,886,8460,47,46,82,143,232,327,538,454,226,2093,42,43,55,131,264,479,800,733,279,2825,1119,2921,3650,3195,2765,1918,1106,517,190,17371,8,17,24,68,147,265,460,475,247,1704,2293,1562,2068,2510,2872,2967,2479,1331,482,18566,34002,21682,27770,23336,16725,10433,5634,2100,478,142152,2401,2430,2625,2002,1665,1224,804,459,211,13822,42476,30538,38545,34158,27736,21494,16146,8571,2856,222519,42,250,724,1475,2963,4891,5958,4453,1940,22704,2215,2965,4227,3840,3138,2658,2255,1179,414,22898,29,63,194,476,934,1341,1769,1198,434,6441,0,5,0,9,12,43,160,537,732,1502,84,150,362,724,1209,1725,1944,1323,490,8005,49,78,116,201,375,780,1340,1556,1029,5514
SOSR822,0,0,0,3,0,0,7,6,0,25,6,3,3,4,4,5,0,0,0,25,0,0,0,0,0,0,4,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,15,0,0,0,0,5,4,6,0,0,15,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,4,4,4,6,3,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,7,3,6,0,25,57,33,21,38,28,12,5,0,0,198,3,0,0,0,0,3,9,0,0,20,73,40,30,47,47,25,30,15,0,307,0,0,0,3,7,12,3,15,0,36,5,6,0,4,4,3,0,3,0,27,0,0,0,0,0,4,0,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,12,0,0,0,0,0,0,0,0,3,5
SOSR831,0,0,0,0,4,4,7,0,0,13,5,4,3,4,0,3,4,0,0,25,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,3,3,4,4,0,5,0,0,18,0,0,0,0,0,0,0,0,0,0,5,5,0,3,0,0,4,0,0,20,46,55,57,18,20,11,12,0,3,219,6,20,10,0,9,7,7,0,0,62,58,85,70,30,38,30,33,6,3,360,0,0,0,0,5,6,9,0,0,22,5,6,9,0,6,10,0,0,0,33,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,0,0,0,0,0,0,0,0,7
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,0,0,0,7,5,8,4,0,0,23,5,4,10,3,4,6,5,0,0,47,0,0,0,6,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,16,0,0,30,0,0,0,0,4,3,10,6,0,14,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,0,3,0,3,6,0,8,5,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,0,0,7,5,4,7,3,0,30,119,40,81,62,68,73,53,5,4,500,16,20,58,37,41,21,26,5,0,222,145,66,159,110,125,117,113,24,4,867,0,0,0,0,7,4,5,0,0,22,7,4,6,12,7,4,5,0,0,43,0,0,0,3,4,7,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,3,0,0,20,0,0,0,0,0,0,0,0,0,9
SOSR921,0,0,0,3,3,20,19,16,5,67,3,4,0,12,12,14,5,5,0,55,0,0,0,4,0,0,12,8,0,29,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,6,14,5,0,32,0,0,0,0,0,16,19,6,5,50,0,0,0,0,0,0,0,8,0,13,0,0,0,0,0,4,10,4,0,16,4,5,0,14,4,9,0,0,0,39,0,0,0,0,0,0,0,0,0,8,9,3,0,5,7,14,7,5,3,57,105,53,44,52,75,97,47,17,9,493,20,8,12,16,19,23,17,10,0,125,138,69,59,97,113,185,124,64,13,870,0,0,0,4,10,25,28,21,8,88,5,7,6,9,17,11,12,9,0,72,0,0,0,0,5,12,8,8,0,36,0,0,0,0,0,0,0,3,6,10,0,0,0,0,0,9,7,3,0,23,0,0,0,0,3,5,17,5,5,29
SOSR922,0,0,0,3,4,7,9,0,0,22,5,3,5,0,4,0,3,0,0,27,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,4,0,13,0,0,0,0,3,3,0,6,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,4,3,0,16,67,59,73,43,26,45,18,11,4,341,10,9,11,9,8,23,15,10,0,100,84,72,85,60,51,84,49,31,3,525,0,0,0,0,0,0,10,3,0,19,0,11,10,0,0,3,0,0,0,29,0,0,0,0,0,4,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,4,0,16,0,0,0,0,0,0,0,4,0,3
SOSR931,0,0,0,0,5,4,8,0,7,26,7,0,0,0,6,0,4,3,0,13,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,3,0,0,9,0,0,0,0,5,4,11,3,0,28,0,0,0,0,0,3,17,4,7,29,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,4,0,0,3,0,0,0,3,3,3,7,0,0,18,0,0,0,0,4,0,7,0,0,7,0,0,0,5,6,5,3,0,0,28,52,15,27,29,39,25,33,10,0,224,13,30,118,57,42,17,11,8,0,298,67,50,139,99,95,58,70,26,9,617,0,0,0,0,6,12,10,10,0,31,0,0,4,0,7,0,4,0,0,22,0,0,0,0,7,0,6,6,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,6,9,5,0,23,0,0,0,0,5,3,3,5,0,16
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
