SOSR_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
SOSR201,1139648,3300049,163742,337901,131817,325015,295563,662916,90593,163557,56268,92262,66669,109262,81245,140113,1075,2360,295856,507544,508,689,1561,1961,698,711,3942,7714,6708,11076,2068,4007,1739836,4485591,188947,..,1928785,4485591
SOSR203,133735,333526,15840,25339,2836,5561,18672,30899,3411,5192,294,455,351,529,151,257,47,68,4254,6502,107,159,327,468,74,77,229,513,729,1212,296,578,157684,372715,11552,..,169237,372715
SOSR211,37289,105004,3369,5706,404,892,3768,6607,376,565,0,0,0,0,0,0,24,51,399,623,49,57,0,0,16,17,21,71,87,140,43,106,41587,112475,2464,..,44052,112475
SOSR212,89947,233232,8044,12800,1518,2983,9556,15781,4165,6188,141,205,31,32,0,0,37,65,4368,6489,255,438,491,820,64,94,276,426,1078,1772,186,356,105140,257628,10914,..,116053,257628
SOSR213,89760,222023,8632,12713,641,1107,9269,13816,2756,3924,54,104,0,0,0,0,35,64,2848,4092,268,409,456,650,56,72,106,226,888,1357,117,245,102882,241532,8678,..,111554,241532
SOSR214,55492,128545,5330,7807,532,1029,5865,8838,672,957,52,68,6,5,0,0,32,41,764,1076,273,398,351,525,17,22,136,270,771,1211,157,306,63048,139975,14820,..,77871,139975
SOSR215,86422,205762,4143,6124,579,1210,4719,7331,1370,2009,17,33,15,32,7,20,39,92,1447,2181,568,873,464,680,49,62,243,473,1319,2093,228,455,94135,217820,17285,..,111414,217820
SOSR221,24722,57502,553,836,83,155,636,993,170,232,0,4,205,306,0,0,11,22,391,569,269,404,104,149,22,32,120,259,517,846,51,75,26316,59979,9261,..,35583,59979
SOSR222,13438,31109,169,282,56,132,224,413,185,398,94,275,76,179,29,70,4,15,395,943,102,172,55,102,17,30,75,149,247,446,63,125,14366,33038,4954,..,19321,33038
SOSR231,158570,410461,518,1115,165,387,683,1501,157,254,0,5,0,3,5,14,79,161,243,438,1107,1685,1193,1911,243,371,118,260,2662,4227,475,977,162638,417607,29150,..,191791,417607
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR301,608985,1755585,31864,55498,74061,163486,105923,218985,37339,62043,36422,63451,32873,58905,33067,58022,1749,3478,141445,245909,1180,1632,1774,2420,484,526,303,631,3736,5211,1681,3067,861772,2228754,56848,..,918619,2228754
SOSR302,205503,586589,26156,48963,41886,93600,68043,142562,15651,27644,19565,34837,17489,32048,21037,38166,572,1196,74318,133894,2570,4479,701,1096,342,420,205,430,3820,6427,1434,2695,353110,872163,40938,..,394047,872163
SOSR303,127099,338566,14703,24315,8440,14866,23139,39181,9901,16848,5339,9241,2291,4118,1356,2339,70,150,18970,32697,1244,2311,607,1040,182,229,149,314,2185,3896,888,1548,172279,415878,16281,..,188559,415878
SOSR311,82607,210803,7950,12901,3837,6490,11787,19388,4687,7398,239,390,516,901,449,810,79,162,5961,9660,1567,2849,626,933,130,153,92,168,2417,4101,706,1320,103483,245275,9473,..,112957,245275
SOSR312,32784,81248,2604,4003,2543,4281,5143,8288,2278,3441,440,641,374,604,106,159,32,62,3233,4905,312,433,403,585,104,112,21,29,839,1156,107,189,42107,95786,4553,..,46665,95786
SOSR313,51910,137992,4415,7204,1459,2664,5876,9863,3001,4972,467,870,397,700,12,21,19,34,3906,6594,1287,2494,409,731,312,393,64,165,2080,3779,712,1364,64477,159597,7717,..,72199,159597
