SOSR_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
SOSR301,11894,28600,454,40946,187288,9347,901,238479,2289,30148,217,32656,140738,7595,750,181738,394,5939,37,6374,87347,6545,218,100479,43,277,8,326,33645,5074,60,39100,396499,107823,12510,516830,1222790,96862,5013,1841492
SOSR302,5010,11638,135,16792,85446,5648,385,108267,931,12592,84,13601,79268,5621,431,98922,205,2362,20,2584,51621,5075,209,59493,23,112,3,140,17673,3646,46,21510,145611,41277,4344,191229,502999,49017,2546,745805
SOSR303,2190,6084,111,8383,39204,3695,139,51427,392,5404,27,5813,32394,3193,128,41534,79,1123,4,1207,19240,2154,57,22658,18,63,0,77,6966,1129,14,8188,66462,22250,3224,91935,234132,31057,1349,358477
SOSR311,966,4056,45,5071,25101,1946,67,32185,195,3014,18,3228,24913,1877,65,30085,41,572,0,621,16487,1782,26,18914,5,38,0,45,5865,1016,9,6926,36525,13074,1868,51461,141081,15328,469,208345
SOSR312,417,1497,30,1939,10805,669,22,13432,84,1198,13,1292,11285,618,18,13209,16,188,0,206,7250,577,16,8050,0,8,0,15,2471,362,6,2859,13770,4825,669,19273,56951,5172,101,81494
SOSR313,630,2285,36,2953,15183,1476,40,19657,141,1738,11,1897,14143,1272,39,17347,29,370,8,402,8201,728,22,9352,0,18,0,15,2741,358,3,3125,26735,8177,1405,36320,84498,10604,562,131990
SOSR314,730,2290,25,3046,15940,1783,28,20794,142,1821,0,1966,14641,1464,39,18100,30,369,0,405,8790,1002,4,10210,3,33,0,36,3041,584,3,3665,26735,7694,1126,35549,88126,14111,1017,138801
SOSR315,1106,3783,51,4940,28685,3541,82,37241,250,2699,13,2964,29154,2903,35,35051,46,498,7,546,15076,1683,27,17329,8,26,0,42,4625,881,6,5549,37411,12418,1863,51692,142882,23912,876,219358
SOSR321,435,1581,30,2051,12346,1188,22,15605,101,1180,10,1294,12276,1162,19,14748,22,210,0,236,6046,652,10,6942,0,17,0,17,1382,181,3,1584,13570,5031,642,19239,55374,8057,296,82962
SOSR322,191,734,20,938,6768,764,17,8487,50,507,3,556,6901,681,24,8168,16,71,0,89,3071,360,13,3525,0,3,0,3,611,110,0,733,5489,2277,368,8136,27916,3941,157,40152
SOSR331,2573,8535,108,11210,59660,7767,92,78733,503,6249,31,6786,51617,5664,112,64173,106,1025,9,1142,23131,2582,38,26888,16,54,4,66,4523,568,3,5166,66394,24450,2664,93503,253517,45771,1732,394529
