SOSR_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SOSR703,219,457,751,535,553,670,1196,644,196,5222,292,621,1196,726,570,645,994,418,83,5551,212,761,1481,930,626,649,703,283,61,5711,216,1030,2401,1421,1050,954,812,242,33,8169,165,1258,3421,2175,1580,1339,743,204,20,10901,77,1057,2989,2000,1434,1090,501,98,8,9250,29,486,2741,2133,1583,1157,405,94,14,8638,9,198,1846,1729,1390,953,308,54,4,6488,6,145,2332,3383,2955,1964,491,82,8,11368,0,14,304,643,619,475,146,15,0,2216,9,22,298,858,992,752,272,52,14,3259,712,1158,3207,2411,1990,1748,1284,449,141,13099,99,1217,675,199,84,144,77,24,6,2519,6828,9975,26196,21165,17025,14864,10705,3789,809,111361
SOSR712,48,49,117,123,98,161,265,144,48,1063,51,72,195,156,124,158,215,76,23,1071,67,133,234,173,106,144,137,59,12,1063,81,186,495,285,204,204,161,61,25,1699,33,171,717,436,343,348,169,35,3,2257,10,137,667,430,345,316,113,19,0,2046,3,83,574,455,350,289,90,12,0,1854,0,24,380,330,312,245,77,3,0,1376,0,19,437,597,536,448,114,5,0,2172,0,4,67,126,109,91,28,3,0,430,0,3,66,145,164,163,53,5,0,600,149,136,488,400,365,412,339,84,20,2385,0,13,35,10,6,21,7,8,0,96,1474,1350,5054,4199,3426,3507,2328,715,180,22232
SOSR714,12,23,44,41,67,57,77,41,5,372,6,20,43,48,29,53,54,22,8,289,7,28,47,41,37,47,46,13,0,272,9,60,102,68,61,66,38,5,0,409,6,73,189,96,79,88,26,0,0,554,6,52,128,92,71,45,26,0,0,425,5,30,169,87,67,60,27,0,0,447,0,12,113,68,53,46,15,0,0,307,3,8,116,106,97,94,30,0,0,449,0,0,17,25,12,25,8,0,0,83,0,0,18,26,28,34,5,3,0,113,58,62,185,150,131,140,77,31,6,835,4,6,8,0,0,13,0,0,0,29,319,489,1329,970,869,935,598,178,32,5716
SOSR715,21,56,156,154,132,125,89,28,11,770,15,40,119,111,85,63,41,12,0,489,20,30,77,86,57,43,23,3,0,344,19,48,104,82,77,46,24,0,0,403,17,52,181,112,107,94,37,6,0,601,0,30,139,131,90,76,15,5,0,485,0,17,147,102,93,80,27,0,0,480,4,10,114,105,92,74,25,7,0,438,0,11,170,203,204,148,22,3,0,760,0,0,29,38,35,26,13,0,0,127,0,0,9,58,49,41,13,0,0,167,294,169,449,366,290,234,101,20,4,1918,0,0,18,8,3,8,3,0,0,43,1560,1432,3317,2796,2207,1622,698,165,27,13831
SOSR721,24,38,96,82,99,109,100,37,6,591,29,57,116,106,96,91,76,21,0,592,28,68,116,97,84,71,44,12,0,526,20,50,120,80,77,92,37,10,0,482,9,49,148,99,114,119,49,5,0,588,5,45,119,90,70,70,41,3,0,450,3,19,109,75,77,83,30,0,0,396,0,7,73,67,70,63,24,0,0,307,0,9,128,186,161,167,43,0,0,693,0,0,19,46,47,38,7,0,0,162,0,0,17,47,47,56,9,0,0,181,104,95,225,178,182,197,112,22,0,1107,0,3,35,4,5,7,5,0,0,65,1023,1118,2483,1932,1726,1572,851,189,24,10920
SOSR722,18,45,109,112,117,117,168,43,3,731,16,47,138,107,94,93,113,20,0,627,4,29,74,73,79,65,74,14,3,420,10,28,79,60,62,73,59,13,0,372,4,14,73,51,75,105,66,6,0,394,3,15,80,60,81,75,52,4,0,357,0,10,55,72,67,95,35,4,0,330,0,3,38,49,47,51,23,4,0,208,0,4,63,94,110,110,44,5,0,430,0,0,12,8,20,24,19,0,0,83,0,0,3,15,16,32,15,0,0,78,190,117,253,176,183,248,206,57,4,1435,0,0,11,0,3,4,0,0,0,17,929,981,2130,1699,1603,1636,1302,281,34,10585
SOSR731,82,83,143,184,211,338,732,236,35,2043,111,129,217,191,227,384,517,151,16,1942,120,184,280,220,216,349,394,84,11,1859,114,283,424,259,335,402,322,76,4,2226,73,290,564,398,485,595,337,55,3,2804,20,206,493,410,466,435,240,40,0,2312,9,96,526,460,522,457,158,38,0,2264,3,54,354,377,439,347,115,14,0,1700,5,54,527,787,900,648,158,12,0,3095,0,12,108,144,188,139,49,12,0,650,0,8,91,215,255,181,99,14,0,861,433,612,1517,1327,1349,1256,968,238,23,7727,8,86,141,44,15,22,14,0,0,343,2392,2781,6564,6046,6569,7082,5758,1379,145,38714
SOSR779,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,5,0,0,10,0,0,0,4,3,0,4,0,0,12,6,4,6,0,0,0,5,0,0,20,0,7,5,4,10,4,0,0,0,29,0,7,0,0,4,3,0,0,0,14,0,0,7,3,8,4,6,0,0,21,0,0,6,6,4,5,0,0,0,22,0,3,4,15,22,22,0,0,0,75,0,0,0,6,8,11,0,0,0,23,0,0,9,27,26,18,5,0,0,83,4,7,18,43,40,32,11,3,0,159,0,0,9,0,0,0,0,0,0,17,11,27,65,112,124,106,40,10,0,494
SOSR802,981,2491,2264,1503,1393,1803,3396,2709,1323,17872,1117,3312,3693,2120,1568,1922,2759,1941,772,19201,834,3289,4353,2363,1772,2037,2754,1743,610,19754,730,3930,6609,3787,2731,2762,3059,1729,597,25933,343,4188,9472,5649,4055,3847,3315,1562,467,32903,129,3510,9697,5821,3951,3520,2624,1068,337,30664,54,1847,10151,7011,5148,3917,2269,876,233,31504,16,568,6968,6901,5176,3524,1548,488,136,25324,19,431,10571,16733,14010,7750,2190,608,170,52488,9,54,1283,3352,3172,1850,544,131,45,10433,16,55,1378,5576,6353,3852,995,272,94,18595,1339,2145,3968,2840,2039,1570,1451,1218,1053,17628,45,92,179,177,139,179,153,49,7,1016,26420,34485,77611,69193,56022,44784,34910,19045,7199,369675
SOSR822,0,0,3,0,0,5,0,6,0,16,4,0,0,0,3,0,8,0,0,20,3,0,0,3,3,0,5,0,0,13,0,6,3,0,9,3,8,0,0,32,0,4,10,3,12,8,8,0,0,48,0,0,5,11,11,4,7,0,0,37,0,0,5,10,7,10,0,0,0,40,0,0,7,12,11,5,0,0,0,32,0,0,9,28,25,11,0,0,0,78,0,0,3,3,4,4,0,0,0,14,0,0,0,11,14,7,0,0,0,34,5,7,0,3,3,5,10,6,0,33,0,0,0,0,0,0,0,0,0,0,47,24,54,94,99,69,62,33,6,479
SOSR831,0,7,4,0,3,4,4,0,0,20,0,4,3,3,0,4,5,0,0,19,3,6,8,0,3,4,0,0,0,26,3,12,17,7,5,4,8,0,3,61,6,26,29,6,4,9,10,0,0,87,4,11,22,5,8,3,0,0,0,50,0,3,14,7,14,4,0,3,0,44,0,0,8,6,6,0,0,0,0,24,0,0,7,10,10,5,0,0,0,32,0,0,0,5,3,3,6,0,0,12,0,0,0,8,0,8,3,0,0,23,9,19,20,4,11,11,8,0,0,95,0,0,0,0,0,0,0,0,0,0,51,87,134,61,71,74,58,9,7,553
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,0,0,0,4,8,4,10,8,0,39,6,3,9,5,4,7,8,0,0,41,0,3,6,10,4,5,5,4,0,47,3,10,9,10,10,11,5,0,0,58,0,10,33,18,22,14,17,0,0,106,0,4,25,12,17,13,12,0,0,87,0,3,26,32,21,19,11,0,0,113,0,6,23,26,19,14,8,0,0,94,0,3,19,40,42,25,20,0,0,156,0,0,8,3,9,9,4,0,0,38,0,0,0,5,7,7,6,0,0,28,12,23,91,67,72,53,33,3,0,360,0,0,0,0,0,0,0,0,0,6,59,67,264,240,258,227,175,36,4,1332
SOSR921,11,8,3,10,3,21,35,32,17,143,3,0,9,14,18,37,32,9,0,134,3,11,24,24,24,36,25,11,0,162,0,13,17,28,49,54,18,10,4,204,4,6,23,26,36,41,15,6,0,152,0,3,10,22,14,25,15,0,0,93,0,0,3,11,16,27,10,0,0,59,0,0,3,7,7,14,7,0,0,46,0,0,10,16,13,25,9,0,0,73,0,0,0,0,0,3,0,0,0,9,0,0,0,0,4,9,5,0,0,19,10,9,19,31,31,44,25,24,3,190,0,0,0,0,0,0,0,0,0,8,83,71,133,205,249,380,281,139,37,1578
SOSR922,0,5,3,5,6,4,11,3,0,34,6,9,4,9,5,9,9,5,0,51,8,3,9,5,6,6,12,0,0,45,10,13,14,8,17,9,7,0,0,76,10,20,36,12,12,9,0,0,0,93,0,3,16,10,4,10,0,0,0,47,0,10,22,6,0,8,0,5,0,53,0,0,12,8,10,5,4,0,0,35,0,4,13,12,15,19,3,0,0,68,0,0,0,4,7,9,0,0,0,18,0,0,0,3,7,3,3,7,0,17,6,8,18,19,24,43,24,16,0,154,0,3,4,0,0,0,0,0,0,3,50,88,161,116,100,164,92,45,10,828
SOSR931,0,0,0,0,16,6,20,16,0,62,0,3,9,0,9,11,6,9,0,49,3,4,4,7,9,7,10,3,0,48,0,5,9,9,3,13,6,0,0,42,0,3,9,8,12,11,6,0,0,56,0,0,4,4,5,5,0,4,0,26,0,0,12,14,14,7,10,0,0,46,0,0,4,5,8,8,3,0,0,31,0,0,4,12,10,6,0,0,0,35,0,0,0,0,3,0,3,0,0,10,0,0,0,4,0,0,0,3,0,10,9,29,123,65,53,29,17,14,0,340,0,0,0,0,0,0,0,0,0,5,37,58,188,130,165,120,120,69,10,893
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
