UCL_CODE_2021,Uses_Eng_on_M,Uses_Eng_on_F,Uses_Eng_on_P,Uses_othr_lang_Afrikaans_M,Uses_othr_lang_Afrikaans_F,Uses_othr_lang_Afrikaans_P,Uses_othr_lang_Arabic_M,Uses_othr_lang_Arabic_F,Uses_othr_lang_Arabic_P,Uses_othr_lang_Aus_Ind_lang_M,Uses_othr_lang_Aus_Ind_lang_F,Uses_othr_lang_Aus_Ind_lang_P,Uses_othr_lan_Chin_lan_Cant_M,Uses_othr_lan_Chin_lan_Cant_F,Uses_othr_lan_Chin_lan_Cant_P,Uses_othr_lan_Chin_lan_Mand_M,Uses_othr_lan_Chin_lan_Mand_F,Uses_othr_lan_Chin_lan_Mand_P,Uses_othr_lan_Chin_lan_othr_M,Uses_othr_lan_Chin_lan_othr_F,Uses_othr_lan_Chin_lan_othr_P,Uses_othr_lan_Chin_lan_Tot_M,Uses_othr_lan_Chin_lan_Tot_F,Uses_othr_lan_Chin_lan_Tot_P,Uses_othr_lang_Croatian_M,Uses_othr_lang_Croatian_F,Uses_othr_lang_Croatian_P,Uses_othr_lang_French_M,Uses_othr_lang_French_F,Uses_othr_lang_French_P,Uses_othr_lang_German_M,Uses_othr_lang_German_F,Uses_othr_lang_German_P,Uses_othr_lang_Greek_M,Uses_othr_lang_Greek_F,Uses_othr_lang_Greek_P,Us_oth_lan_Indo_Ary_lan_Ben_M,Us_oth_lan_Indo_Ary_lan_Ben_F,Us_oth_lan_Indo_Ary_lan_Ben_P,Us_oth_lan_Indo_Ary_lan_Guj_M,Us_oth_lan_Indo_Ary_lan_Guj_F,Us_oth_lan_Indo_Ary_lan_Guj_P,Us_oth_lan_Indo_Ary_lan_Hin_M,Us_oth_lan_Indo_Ary_lan_Hin_F,Us_oth_lan_Indo_Ary_lan_Hin_P,Us_oth_lan_Indo_Ary_lan_Nep_M,Us_oth_lan_Indo_Ary_lan_Nep_F,Us_oth_lan_Indo_Ary_lan_Nep_P,Us_oth_lan_Ind_Ary_lan_Punj_M,Us_oth_lan_Ind_Ary_lan_Punj_F,Us_oth_lan_Ind_Ary_lan_Punj_P,Us_oth_lan_Ind_Ary_lan_Sinh_M,Us_oth_lan_Ind_Ary_lan_Sinh_F,Us_oth_lan_Ind_Ary_lan_Sinh_P,Us_oth_lan_Indo_Ary_lan_Urd_M,Us_oth_lan_Indo_Ary_lan_Urd_F,Us_oth_lan_Indo_Ary_lan_Urd_P,Us_oth_lan_Indo_Ary_lan_oth_M,Us_oth_lan_Indo_Ary_lan_oth_F,Us_oth_lan_Indo_Ary_lan_oth_P,Us_oth_lan_Indo_Ary_lan_Tot_M,Us_oth_lan_Indo_Ary_lan_Tot_F,Us_oth_lan_Indo_Ary_lan_Tot_P,Uses_othr_lang_Italian_M,Uses_othr_lang_Italian_F,Uses_othr_lang_Italian_P,Uses_othr_lang_Japanese_M,Uses_othr_lang_Japanese_F,Uses_othr_lang_Japanese_P,Uses_othr_lang_Khmer_M,Uses_othr_lang_Khmer_F,Uses_othr_lang_Khmer_P,Uses_othr_lang_Korean_M,Uses_othr_lang_Korean_F,Uses_othr_lang_Korean_P,Uses_othr_lang_Macedonian_M,Uses_othr_lang_Macedonian_F,Uses_othr_lang_Macedonian_P,Uses_othr_lang_Malayalam_M,Uses_othr_lang_Malayalam_F,Uses_othr_lang_Malayalam_P,Us_oth_lan_Persian_ex_Dari_M,Us_oth_lan_Persian_ex_Dari_F,Us_oth_lan_Persian_ex_Dari_P,Uses_othr_lang_Polish_M,Uses_othr_lang_Polish_F,Uses_othr_lang_Polish_P,Uses_othr_lang_Portugese_M,Uses_othr_lang_Portugese_F,Uses_othr_lang_Portugese_P,Uses_othr_lang_Russian_M,Uses_othr_lang_Russian_F,Uses_othr_lang_Russian_P,Uses_othr_lang_Samoan_M,Uses_othr_lang_Samoan_F,Uses_othr_lang_Samoan_P,Uses_othr_lang_Serbian_M,Uses_othr_lang_Serbian_F,Uses_othr_lang_Serbian_P,Us_oth_la_SE_As_Au_la_Fili_M,Us_oth_la_SE_As_Au_la_Fili_F,Us_oth_la_SE_As_Au_la_Fili_P,Us_oth_la_SE_As_Au_la_Indo_M,Us_oth_la_SE_As_Au_la_Indo_F,Us_oth_la_SE_As_Au_la_Indo_P,Us_oth_la_SE_As_Au_la_Tag_M,Us_oth_la_SE_As_Au_la_Tag_F,Us_oth_la_SE_As_Au_la_Tag_P,Us_oth_la_SE_As_Au_la_oth_M,Us_oth_la_SE_As_Au_la_oth_F,Us_oth_la_SE_As_Au_la_oth_P,Us_oth_la_SE_As_Au_la_Tot_M,Us_oth_la_SE_As_Au_la_Tot_F,Us_oth_la_SE_As_Au_la_Tot_P,Uses_othr_lang_Spanish_M,Uses_othr_lang_Spanish_F,Uses_othr_lang_Spanish_P,Uses_othr_lang_Tamil_M,Uses_othr_lang_Tamil_F,Uses_othr_lang_Tamil_P,Uses_othr_lang_Thai_M,Uses_othr_lang_Thai_F,Uses_othr_lang_Thai_P,Uses_othr_lang_Turkish_M,Uses_othr_lang_Turkish_F,Uses_othr_lang_Turkish_P,Uses_othr_lang_Vietnamese_M,Uses_othr_lang_Vietnamese_F,Uses_othr_lang_Vietnamese_P,Uses_othr_lang_Other_M,Uses_othr_lang_Other_F,Uses_othr_lang_Other_P,Uses_othr_lang_Tot_M,Uses_othr_lang_Tot_F,Uses_othr_lang_Tot_P,Lang_used_home_ns_M,Lang_used_home_ns_F,Lang_used_home_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
UCL315011,778,763,1542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,3,5,5,7,20,40,45,79,0,0,0,827,820,1643
UCL315012,1988,2000,3988,8,14,19,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,5,6,0,8,10,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,0,8,5,0,3,6,4,3,6,7,20,29,7,4,11,0,5,4,0,0,0,0,0,0,5,5,5,19,13,29,60,68,131,111,83,192,0,0,0,2163,2151,4314
UCL315013,788,845,1633,5,4,10,0,0,0,0,0,0,0,0,0,7,8,15,0,0,0,6,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,3,8,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,26,28,55,49,65,122,0,0,0,866,938,1806
UCL315014,665,614,1272,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,4,0,4,5,5,4,0,0,0,0,0,0,0,0,0,4,5,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,14,0,0,0,8,7,12,0,0,0,12,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,8,22,34,38,68,72,71,142,0,0,0,765,721,1488
UCL315015,969,983,1953,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,26,34,56,36,35,73,0,0,0,1030,1049,2081
UCL315016,1485,1419,2908,0,3,9,0,0,0,0,0,4,5,6,5,4,0,6,0,0,0,6,9,13,0,0,0,0,0,0,4,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,7,11,11,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,6,6,0,11,14,0,0,0,0,0,0,0,0,0,0,0,0,11,30,37,39,72,117,49,42,92,0,0,0,1577,1537,3112
UCL315017,1029,1169,2195,0,0,0,0,0,0,7,8,10,3,0,4,3,0,5,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,11,0,0,0,6,14,17,0,0,0,0,0,0,0,0,5,0,0,0,64,66,126,19,19,40,100,112,210,163,158,320,8,0,8,1292,1433,2729
UCL315018,540,577,1119,0,0,0,0,0,0,10,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,20,10,18,23,13,18,30,0,0,0,560,612,1169
UCL315019,559,559,1114,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,5,7,0,0,0,4,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,26,0,0,0,0,3,3,0,0,0,0,0,0,3,0,3,3,9,11,0,4,3,0,0,0,0,0,0,0,0,0,0,3,3,22,11,34,54,43,97,127,125,252,20,9,30,760,732,1492
UCL315020,994,993,1994,6,5,9,0,0,0,3,4,3,6,3,10,0,0,3,0,0,0,7,6,13,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,11,9,17,0,0,0,3,10,13,0,3,5,15,17,38,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,16,14,26,48,53,95,100,71,168,5,0,7,1139,1120,2264
UCL315021,568,617,1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,19,0,0,0,4,5,10,0,0,0,10,14,22,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,17,20,43,35,33,63,0,0,0,621,670,1290
UCL315022,1325,1199,2520,3,6,8,3,0,3,11,0,10,0,0,0,11,12,21,0,0,0,11,12,19,0,0,0,5,3,5,3,6,11,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,4,5,7,3,8,14,0,0,0,0,0,0,14,16,28,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,3,0,9,0,3,4,5,4,8,0,0,0,11,14,23,0,0,0,0,0,0,0,3,3,0,0,0,4,0,7,20,12,32,77,77,155,293,198,494,4,3,11,1704,1477,3177
UCL315023,612,524,1138,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,8,7,17,0,4,4,6,6,6,0,0,4,9,19,25,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,10,0,11,27,34,62,122,71,193,0,0,0,761,626,1391
UCL315024,1002,948,1952,0,0,0,0,0,0,59,82,147,0,0,0,0,0,3,0,0,0,6,0,3,0,0,0,0,3,4,3,5,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,8,0,0,0,0,0,4,0,0,0,0,3,6,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,5,0,0,4,6,4,9,7,8,16,4,5,3,0,0,0,0,6,3,0,0,0,0,0,0,67,92,165,107,133,240,174,150,329,10,4,11,1295,1236,2531
UCL315025,1341,1246,2588,3,0,5,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,4,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,0,0,10,10,0,0,0,0,10,10,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,8,4,14,28,38,67,81,93,174,0,0,0,1447,1377,2829
UCL315026,1479,1707,3189,0,4,8,0,6,5,0,6,6,4,5,6,0,7,13,0,0,0,4,14,18,0,0,0,6,6,9,9,10,17,0,0,0,0,0,0,4,9,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,11,3,3,7,5,3,6,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,3,3,0,3,6,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,5,9,3,10,14,0,0,0,0,6,7,0,0,0,0,4,6,7,12,20,56,98,158,79,87,170,4,3,3,1622,1897,3517
UCL315027,695,783,1482,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,0,0,0,5,5,7,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,6,5,0,0,0,0,0,0,0,4,7,17,21,39,111,170,281,0,0,0,823,977,1800
UCL315028,607,625,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12,9,30,21,26,47,0,0,0,643,665,1303
UCL315029,960,1048,2007,0,4,4,0,0,0,0,0,0,0,0,7,3,0,3,0,0,0,3,3,5,0,0,0,8,7,14,3,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,0,0,0,0,0,0,0,3,6,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,3,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,14,10,28,34,47,79,42,60,101,0,0,0,1038,1155,2192
UCL315030,662,678,1338,0,0,0,0,0,0,14,8,23,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,22,27,24,50,45,23,67,3,0,3,736,725,1460
UCL315031,1365,1007,2375,5,0,3,0,0,0,3,0,6,0,0,0,3,4,6,0,0,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,5,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,5,9,0,0,0,0,0,0,12,12,25,0,0,6,9,4,13,0,0,0,21,23,42,6,0,5,0,0,0,0,8,5,0,0,0,3,4,4,25,13,43,77,61,135,906,293,1202,8,0,8,2360,1372,3724
UCL315032,2184,2307,4493,11,7,19,0,0,5,3,5,4,0,0,0,0,5,10,0,0,0,0,4,7,0,0,0,3,3,9,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,7,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,21,30,50,60,115,210,191,402,0,0,7,2448,2560,5010
UCL315033,575,622,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,0,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,4,0,0,11,18,30,28,29,54,0,0,0,613,671,1285
UCL315034,478,525,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,8,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11,0,0,0,0,0,0,0,0,0,0,0,0,8,10,18,19,28,44,32,36,67,0,0,0,529,583,1118
UCL315035,1426,1534,2959,0,0,0,0,0,0,0,0,0,0,0,0,6,7,10,0,0,0,6,7,10,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,4,3,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,8,0,0,4,0,0,3,0,0,0,3,3,4,0,0,0,0,5,11,6,5,10,0,0,0,3,3,6,0,0,0,6,3,9,8,15,23,44,54,100,57,42,90,0,0,0,1523,1633,3152
UCL315036,694,689,1386,0,3,5,0,0,0,3,4,8,0,0,0,5,3,8,0,0,0,5,3,8,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,6,3,12,0,0,6,0,0,0,0,0,0,10,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,24,3,28,58,38,92,121,120,243,5,3,8,880,847,1729
UCL315037,1809,1900,3707,5,5,10,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,4,9,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,7,4,14,0,0,6,0,0,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,0,0,0,3,8,9,14,4,15,0,0,0,0,8,4,0,0,0,0,5,4,14,27,39,66,76,150,63,55,122,7,7,16,1950,2047,3995
UCL315038,949,938,1888,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,8,5,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,4,15,26,19,44,34,23,59,0,0,0,1003,986,1991
UCL315039,259,300,558,0,0,0,0,0,0,171,155,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,170,166,334,180,180,360,32,37,71,0,0,0,470,519,991
UCL315040,680,603,1282,0,0,0,0,0,0,0,0,0,0,5,3,8,19,27,0,0,0,10,24,35,0,0,0,5,7,14,0,0,4,5,0,12,0,0,0,0,0,0,0,0,0,5,5,11,0,0,0,0,0,0,4,0,3,0,0,0,14,5,18,4,10,8,0,4,3,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,0,3,3,9,14,6,6,12,8,5,4,0,0,0,12,21,34,54,72,125,5,0,0,0,0,3,0,0,3,4,8,11,17,13,29,147,167,313,382,403,784,21,27,49,1221,1206,2426
UCL315041,557,553,1105,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,16,16,37,89,76,163,8,0,7,662,647,1315
UCL315042,1230,1210,2443,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,0,6,4,4,0,0,0,0,0,0,5,8,8,8,7,20,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,23,38,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,5,5,9,0,0,0,3,10,22,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,10,9,25,64,90,156,104,101,206,6,0,5,1403,1407,2812
UCL315043,479,509,986,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,11,8,17,27,19,42,0,0,0,511,538,1047
UCL315044,1887,1916,3797,0,0,0,0,0,0,6,5,12,6,6,5,0,6,9,0,0,0,4,8,16,0,0,0,0,0,0,4,9,9,4,0,6,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,6,12,66,95,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,20,0,0,0,0,8,5,0,0,0,6,23,27,3,3,9,0,0,0,0,3,3,0,0,0,0,0,3,20,27,43,114,175,291,217,192,403,0,0,0,2216,2282,4496
UCL315045,1342,1278,2620,0,0,5,4,0,4,0,0,0,0,8,8,3,0,3,3,0,6,6,6,15,0,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,9,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,9,15,7,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,7,4,3,0,6,0,0,0,0,3,6,0,0,0,0,0,0,24,14,40,62,60,122,48,51,98,4,3,5,1457,1388,2846
UCL315046,733,760,1496,0,6,5,0,0,0,0,0,0,0,3,3,3,11,20,0,0,0,7,16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,11,0,0,0,143,101,246,0,0,0,94,54,148,57,45,102,292,201,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,7,48,351,253,608,178,136,312,3,8,15,1271,1155,2429
UCL315047,909,950,1854,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,9,13,14,21,41,46,41,89,0,0,0,969,1014,1982
