UCL_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
UCL313012,3475,2135,1935,2062,2305,2593,2389,1334,452,18689
UCL314001,1279,799,879,711,907,994,1110,676,323,7676
UCL314002,1302,955,1026,823,1017,1069,1058,688,281,8210
UCL314003,1633,917,869,907,983,957,940,631,281,8116
UCL314004,1234,689,781,717,678,636,591,344,139,5808
UCL314005,1215,716,864,832,774,699,454,250,118,5923
UCL314006,1762,981,1311,1129,1159,1592,1630,874,234,10677
UCL314007,1683,1122,853,853,1026,1116,1138,632,209,8634
UCL314008,1413,747,1267,940,820,758,556,311,118,6933
UCL314009,2070,1089,1120,1104,1103,673,429,140,26,7756
UCL314010,1142,912,1444,794,657,635,569,435,189,6778
UCL314011,1193,633,692,688,626,666,556,343,126,5532
UCL314012,1306,712,736,738,761,754,561,280,114,5960
UCL314013,1378,769,994,774,846,966,841,539,302,7408
UCL314014,1298,717,661,838,765,586,377,188,61,5503
UCL314015,1301,624,608,790,784,649,488,185,28,5449
UCL314016,1624,934,1274,853,982,970,918,763,297,8617
