UCL_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
UCL315084,3,29,103,329,269,33,4,6,788,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,8,7,31,113,332,275,33,9,8,812
UCL315085,5,48,98,481,346,25,8,64,1076,0,26,27,24,0,0,0,18,106,0,0,0,0,0,0,0,0,0,0,26,27,24,0,0,0,18,106,0,0,4,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,8,0,0,0,0,0,0,0,0,5,5,3,0,0,0,0,0,5,11,11,82,128,515,352,27,8,91,1211
UCL315086,17,103,656,805,120,21,6,155,1887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,0,0,0,0,9,25,3,0,4,4,0,0,0,0,8,27,112,664,807,120,21,6,167,1917
UCL315087,0,4,9,85,470,182,69,3,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,0,3,0,0,0,0,0,11,3,3,0,0,0,0,0,0,12,3,0,0,0,3,0,0,0,6,5,14,12,88,479,184,71,3,857
UCL315088,3,16,146,586,276,30,8,117,1176,0,12,72,30,0,0,0,29,140,0,0,3,0,0,0,0,6,5,0,12,77,30,0,0,0,30,152,0,9,11,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,0,21,4,13,0,0,0,0,0,7,25,0,3,4,0,0,0,0,0,11,16,57,235,617,278,30,8,152,1387
UCL315089,8,25,102,406,230,57,10,72,903,0,0,27,17,0,0,0,0,50,0,0,5,0,0,0,0,0,5,0,0,32,17,0,0,0,0,54,0,0,12,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,21,25,40,7,10,11,0,0,11,99,3,0,0,5,0,0,0,0,12,32,72,157,438,241,57,9,79,1084
UCL315090,10,26,224,923,518,58,12,122,1895,0,25,144,24,0,0,0,13,209,0,0,0,5,6,0,0,5,8,0,25,144,28,0,0,0,18,219,0,8,31,9,0,0,0,7,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,31,9,0,0,0,7,53,4,9,0,3,0,0,0,15,34,0,0,0,0,0,0,0,0,7,15,62,397,967,527,58,13,168,2211
UCL315091,0,15,82,181,97,27,19,28,454,0,12,57,41,9,0,0,15,139,0,29,32,31,3,0,0,10,110,0,41,96,73,16,0,0,19,246,0,4,33,25,5,0,0,9,77,0,0,11,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,47,30,5,0,0,9,96,0,0,4,3,0,0,0,0,5,0,0,0,0,0,0,5,3,16,4,70,220,290,120,28,24,65,821
UCL315092,4,24,150,497,180,10,3,46,918,0,3,25,0,0,0,0,3,34,0,5,19,17,4,0,0,5,43,0,10,43,18,3,0,0,6,85,5,7,41,25,0,0,0,14,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,41,25,0,0,0,14,89,36,63,11,0,0,0,0,3,117,9,46,6,0,0,0,4,4,74,57,144,248,544,185,10,4,79,1284
UCL315093,3,0,90,191,92,9,4,13,405,0,0,19,3,0,0,0,3,29,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,3,29,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,7,0,0,0,0,0,4,18,0,0,0,0,0,0,0,0,0,4,9,117,194,92,9,4,21,448
UCL315094,7,9,68,372,457,25,8,23,977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,0,14,5,4,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,9,15,72,382,460,25,8,30,1009
UCL315095,0,10,91,358,150,28,7,82,728,0,0,4,0,0,0,0,3,13,0,0,0,0,0,0,0,0,5,0,0,4,3,0,0,0,7,12,0,20,70,10,3,0,0,49,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,70,10,3,0,0,49,148,5,5,3,3,0,0,0,0,18,4,4,0,0,0,0,0,0,8,10,43,169,373,156,28,9,138,920
UCL315096,0,3,68,478,472,62,8,94,1179,0,0,48,34,0,0,0,12,95,0,4,9,0,0,0,0,0,7,0,3,55,34,0,0,0,15,105,0,0,3,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,10,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,123,511,476,62,8,113,1302
UCL315097,0,17,20,170,360,38,6,40,652,0,4,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,22,19,177,360,38,7,41,669
UCL315098,8,31,60,414,262,23,11,95,903,0,17,105,52,8,0,0,33,218,0,19,140,31,10,0,0,41,244,0,34,253,86,17,0,0,79,461,0,7,9,10,0,0,0,6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,10,0,0,0,6,36,32,45,5,7,3,0,0,8,102,12,28,13,3,0,0,0,5,59,56,139,332,517,280,32,8,194,1563
UCL315099,0,0,4,201,791,140,16,18,1172,0,0,6,38,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,6,38,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,236,793,140,16,20,1214
UCL315100,0,7,44,138,148,33,4,13,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,31,34,13,0,0,0,30,123,0,0,0,0,0,0,0,0,0,9,37,79,155,148,33,4,48,526
UCL315101,3,6,11,188,311,54,12,4,590,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,8,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,8,16,194,321,54,12,5,603
UCL315102,9,11,111,378,134,28,6,50,725,0,21,22,7,0,0,0,7,55,0,0,0,0,0,0,0,0,0,0,21,22,7,0,0,0,7,55,0,5,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,9,6,3,0,0,0,0,0,0,15,0,8,0,0,0,0,0,0,14,18,49,138,390,134,30,10,60,821
UCL315103,0,11,68,186,109,13,6,42,433,0,0,29,7,0,0,0,5,42,0,0,9,0,0,0,0,6,15,0,0,36,7,0,0,0,5,56,0,11,61,0,0,0,0,13,88,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,65,3,0,0,0,13,93,42,28,3,0,0,0,0,4,79,3,5,0,0,0,0,0,4,18,52,66,176,199,110,13,6,65,677
UCL315104,4,16,75,354,278,56,17,25,825,0,4,22,12,0,0,0,3,33,0,0,0,0,0,0,0,0,0,0,4,22,12,0,0,0,3,33,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,6,3,8,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,5,3,20,101,371,281,55,17,35,884
UCL315105,0,16,102,330,151,16,6,30,647,0,0,9,6,0,0,0,3,17,0,0,5,5,0,0,0,0,16,0,0,16,12,0,0,0,3,33,0,4,8,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,11,37,47,8,11,11,0,0,7,125,16,21,0,0,0,0,0,4,39,59,88,134,356,161,16,10,39,857
UCL315106,0,11,18,237,317,26,7,23,636,0,5,20,16,0,0,0,0,38,0,0,0,5,0,0,0,0,5,0,5,20,20,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,35,256,317,26,7,20,681
UCL315107,0,4,55,350,318,34,12,28,809,0,8,27,28,0,0,0,3,67,0,0,7,4,0,0,0,0,10,0,8,33,32,0,0,0,6,73,0,21,33,0,0,0,0,3,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,37,0,0,0,0,8,64,9,29,21,4,0,0,0,17,72,0,0,3,0,0,0,0,0,0,10,61,145,377,318,34,12,60,1019
UCL315108,0,0,7,51,102,20,0,6,188,0,0,4,4,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,11,0,12,17,6,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,6,0,0,0,0,45,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,11,33,64,107,19,0,4,242
UCL315109,0,18,59,204,109,24,3,18,435,0,0,4,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,10,4,3,0,0,0,12,51,0,9,0,4,0,0,0,0,18,24,32,71,213,110,28,3,27,505
UCL321001,0,7,36,156,28,7,3,13,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,36,156,28,7,3,13,263
UCL321002,4,3,67,166,63,8,5,20,331,0,8,9,0,0,0,0,3,18,0,0,0,0,0,0,0,0,5,0,8,8,0,0,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,4,9,16,76,168,61,9,3,24,366
UCL321003,0,10,41,107,48,4,0,32,248,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,8,41,105,53,4,0,35,255
UCL321004,0,0,16,88,67,12,0,19,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,5,0,0,0,0,0,15,27,0,0,0,0,0,0,0,0,0,7,9,16,88,67,12,0,31,227
UCL321005,0,9,33,105,84,6,0,26,265,0,0,0,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,3,0,0,0,23,0,0,0,0,0,0,0,0,0,6,22,32,118,88,6,0,26,295
UCL321006,0,9,12,72,48,16,15,13,189,0,3,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,9,0,13,16,75,50,16,15,14,203
UCL321007,0,6,26,189,215,25,6,48,506,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,29,0,6,0,0,0,102,147,0,0,0,0,0,0,0,0,4,14,40,28,196,215,25,5,148,666
UCL321008,17,30,114,188,88,8,0,46,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,3,0,0,0,9,40,0,0,0,0,0,0,0,0,0,30,43,115,185,89,10,0,54,524
UCL321009,0,31,98,208,118,17,0,46,519,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,3,13,0,0,0,0,7,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,7,27,15,15,0,0,0,0,0,3,40,15,7,3,0,0,0,0,0,33,32,60,119,217,120,17,6,59,619
UCL321010,0,0,10,192,65,10,0,16,291,0,0,25,0,0,0,0,0,25,0,0,13,0,0,0,0,0,12,0,0,37,0,0,0,0,0,38,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,53,198,66,10,0,14,336
UCL321011,0,0,6,57,115,19,4,5,205,0,0,0,3,11,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0,0,0,19,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,6,0,0,0,0,0,14,0,4,0,0,0,0,0,0,4,3,16,14,60,124,20,4,3,246
UCL321012,0,13,65,145,40,9,0,31,313,0,4,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,4,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,5,0,5,0,0,0,28,0,0,0,0,0,0,0,0,4,11,32,71,149,46,9,0,31,351
UCL321013,0,0,16,75,156,17,3,20,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,75,156,17,8,20,291
UCL321014,0,0,22,72,71,15,0,9,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,71,71,15,0,9,187
UCL321015,0,34,87,219,78,16,7,30,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,8,6,0,6,0,0,0,5,32,3,5,0,0,0,0,0,0,12,13,49,95,223,83,15,7,30,514
UCL321016,3,5,57,150,42,3,0,29,286,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,4,0,0,3,19,0,0,0,0,0,0,0,0,0,5,12,55,156,44,3,0,34,315
UCL321017,0,0,4,72,178,65,16,9,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,72,178,63,16,9,342
UCL321018,0,3,30,103,69,20,8,17,247,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,6,21,0,0,0,0,0,0,0,0,0,7,10,32,106,72,21,8,19,270
UCL321019,0,4,14,143,136,26,9,7,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,141,136,26,9,7,341
UCL321020,0,7,29,123,104,16,9,9,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,7,30,125,106,18,9,9,306
UCL321021,0,3,35,131,61,16,0,37,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,7,36,131,61,16,0,43,297
UCL321022,0,3,6,40,94,33,14,18,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,40,94,33,14,18,203
