UCL_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
UCL121034,32,43,19,4,12,13,0,121,12,27,20,11,11,3,0,85,9,7,6,3,0,0,0,22,0,0,0,3,5,0,0,8,287,279,115,44,163,87,17,995
UCL121035,21,45,26,19,38,4,0,151,6,20,7,16,32,5,0,83,0,9,10,10,12,0,0,42,0,3,0,0,4,0,0,11,152,231,106,113,212,47,0,860
UCL121036,19,49,31,20,25,3,0,146,18,46,36,27,36,0,0,162,7,8,13,15,27,4,0,76,0,0,3,0,3,4,0,9,199,305,167,139,195,30,0,1030
UCL121037,20,45,21,10,17,4,0,123,17,45,36,17,32,7,0,152,3,11,6,6,28,0,0,56,0,0,0,5,0,0,0,9,151,188,111,69,132,24,3,675
UCL121038,8,25,16,9,30,9,0,101,8,19,11,9,33,14,0,93,0,6,4,8,23,11,0,58,0,3,0,0,18,3,0,26,59,107,55,48,152,71,0,495
UCL121039,14,41,15,19,14,10,0,108,10,21,21,3,12,15,0,80,0,8,7,4,8,9,0,32,0,3,0,0,6,3,0,12,109,176,81,60,114,75,4,618
UCL121040,16,27,19,12,0,0,0,72,7,13,15,8,5,0,0,49,0,3,0,8,4,0,0,20,0,0,0,0,0,0,0,0,104,125,65,43,42,19,0,400
UCL121041,8,20,15,9,21,7,0,86,16,21,19,9,29,11,0,96,4,14,6,8,23,8,0,65,0,3,4,3,6,0,0,17,70,132,75,57,120,36,0,492
UCL121042,19,49,16,14,12,3,0,111,14,33,18,19,13,9,0,97,0,14,20,6,13,5,0,59,4,6,5,0,6,0,0,21,111,151,83,57,85,26,0,509
UCL121043,7,30,11,18,0,0,0,72,9,19,7,7,17,0,0,64,0,6,3,0,13,0,0,25,0,0,0,0,0,0,0,5,99,165,73,71,82,10,0,492
UCL121044,10,18,10,3,15,8,0,59,7,21,15,8,19,9,0,75,5,4,3,5,9,4,0,26,3,0,0,0,0,3,0,11,73,103,49,48,86,67,0,432
UCL121045,15,34,10,18,19,0,0,97,7,20,21,14,23,9,0,93,4,11,8,13,15,0,0,44,0,5,0,0,0,0,0,9,74,143,64,61,90,17,3,445
UCL121046,13,30,9,5,0,0,0,55,5,18,8,7,4,0,0,34,5,4,0,0,0,0,0,22,0,0,0,0,0,0,0,4,81,168,64,26,20,11,0,365
UCL121047,11,29,16,6,16,6,0,71,8,14,12,9,12,10,0,67,0,4,8,0,9,7,0,33,3,0,0,0,3,0,0,10,87,155,74,41,69,27,0,458
UCL121048,14,27,12,14,11,0,0,83,16,16,28,17,13,3,0,91,0,4,9,9,9,4,0,37,0,0,0,0,0,0,0,3,73,122,90,61,77,11,0,425
UCL121049,13,20,9,3,14,8,0,66,8,12,9,9,18,3,0,50,4,10,4,4,11,7,0,34,0,0,0,0,0,0,0,3,99,117,67,40,116,66,0,501
UCL121050,18,32,20,7,29,4,0,105,29,42,30,16,56,8,0,177,21,45,23,23,68,12,0,193,6,14,0,8,22,7,0,49,111,149,97,62,210,59,4,693
UCL121051,23,45,25,13,33,4,0,148,18,32,28,25,45,7,0,156,8,18,15,22,45,17,0,115,3,5,0,7,29,9,0,54,125,172,109,93,215,50,0,773
