UCL_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
UCL315049,347,5,6,13,0,366,306,6,0,0,0,315,61,10,12,0,0,82,16,3,0,0,0,23,20,6,4,0,0,21,64,0,4,0,0,73,4,0,6,14,0,26,0,0,0,0,0,5,164,16,33,16,0,230,14,0,0,0,0,10,94,0,15,18,0,129,921,31,56,42,0,1049
UCL315050,467,13,0,11,7,497,310,8,0,0,0,321,438,52,0,0,0,492,14,18,0,0,0,34,3,0,0,0,0,5,84,9,0,0,0,90,11,0,0,0,0,15,4,4,0,0,0,3,548,84,0,0,0,638,16,0,0,0,0,18,96,41,5,0,45,191,1443,145,8,13,52,1660
UCL315051,468,7,4,55,4,535,754,9,0,7,0,771,145,32,5,0,0,187,14,19,0,0,0,34,0,9,0,0,0,13,74,16,0,3,0,99,6,5,0,4,0,16,0,0,0,0,0,0,246,79,12,12,0,358,9,0,0,0,0,17,45,19,0,15,0,80,1523,113,17,86,5,1751
UCL315052,318,78,0,0,3,401,588,4,0,0,0,587,70,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,31,0,0,0,0,0,7,0,0,0,0,0,0,104,3,0,0,0,115,12,5,0,0,0,22,43,8,0,0,0,60,1068,100,6,0,4,1183
UCL315053,299,0,0,81,3,386,228,0,0,9,4,236,146,24,16,4,0,190,47,14,7,0,0,64,8,0,0,0,3,10,85,3,4,0,4,95,67,14,8,42,4,133,3,0,0,0,0,4,351,63,36,43,7,503,37,5,0,3,5,55,108,14,11,27,0,154,1021,79,46,159,20,1325
UCL315054,404,7,0,11,3,422,421,5,0,0,0,428,309,47,0,0,0,369,11,0,0,0,0,11,5,3,0,0,0,10,80,0,0,0,0,85,40,0,0,0,0,41,0,4,0,0,0,0,447,65,3,0,0,519,10,0,0,0,0,10,89,9,0,0,0,101,1373,85,7,13,4,1481
UCL315055,811,0,0,4,0,815,360,0,0,0,0,356,225,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,116,4,0,0,0,0,4,6,0,0,0,0,6,345,0,0,0,0,351,17,0,0,0,0,17,148,0,0,0,0,148,1678,0,0,4,3,1683
UCL315056,269,0,0,23,3,293,170,0,0,0,0,169,64,3,12,0,0,80,13,5,9,0,0,24,6,0,25,0,0,27,39,0,12,0,0,55,8,0,0,10,0,18,0,0,0,0,0,3,142,7,48,10,0,204,7,0,0,0,0,7,38,0,5,0,0,45,631,7,61,31,3,721
UCL315057,671,44,14,0,0,723,279,17,0,0,0,302,128,25,6,0,0,158,7,12,0,0,0,20,0,0,0,0,0,0,68,8,0,0,0,75,11,0,0,0,3,9,3,0,0,0,0,3,218,42,5,0,4,272,17,8,0,0,0,25,49,0,0,0,4,62,1230,103,26,3,13,1376
UCL315058,198,0,0,0,0,200,669,0,0,0,0,669,153,0,0,0,0,156,0,8,0,0,0,10,0,6,0,0,0,6,54,0,0,0,0,54,9,0,0,0,0,9,0,0,0,0,0,0,216,8,0,0,0,223,5,0,0,0,0,6,47,3,0,0,0,42,1132,17,0,0,0,1154
UCL315059,80,6,0,0,0,91,202,13,7,0,0,221,120,10,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,3,0,0,0,0,3,0,0,0,0,0,0,137,14,4,0,0,150,35,10,0,0,0,42,22,3,0,0,0,26,476,43,11,0,0,530
UCL315060,163,0,0,0,0,167,507,0,0,0,0,511,46,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,70,4,0,0,0,0,4,8,0,0,0,0,8,752,0,0,0,0,755
UCL315061,6,5,0,0,0,15,12,0,0,0,0,13,59,10,15,0,0,87,7,7,0,0,0,10,5,0,0,0,0,5,4,0,0,0,0,4,283,20,11,0,0,316,0,0,0,0,0,0,367,33,29,0,0,430,51,6,7,0,4,63,52,3,9,0,0,58,490,40,40,3,4,576
UCL315062,132,7,0,16,3,157,83,4,0,0,0,91,88,73,5,0,0,171,16,6,4,0,0,25,0,16,0,0,0,18,35,5,0,0,4,48,14,10,0,6,5,39,0,0,0,0,0,5,157,116,16,6,9,299,16,3,0,0,0,18,44,26,5,0,0,75,435,150,23,22,9,647
UCL315063,198,4,0,12,0,213,129,0,0,0,0,133,69,16,0,0,0,87,0,0,0,0,0,4,0,0,0,0,0,0,53,0,0,0,0,54,15,0,0,18,0,30,0,0,0,0,0,3,136,18,0,16,0,180,16,0,0,0,0,14,38,0,0,32,0,74,513,23,4,71,0,613
UCL315064,100,0,0,3,0,105,196,0,0,3,0,203,56,5,0,0,0,61,10,0,3,0,0,13,4,0,0,0,0,3,31,5,0,0,0,38,15,4,0,0,0,16,6,0,0,0,0,6,109,15,9,0,0,128,3,0,0,0,0,3,82,6,5,0,0,92,496,16,6,9,6,539
UCL315065,194,0,0,19,0,209,91,0,0,0,3,95,59,0,0,0,0,59,0,0,3,0,0,4,0,0,0,0,0,0,71,0,0,0,0,68,20,0,3,0,4,28,0,0,0,0,0,0,146,3,5,7,3,164,8,0,0,0,0,6,37,5,0,0,0,42,470,5,10,18,7,515
UCL315066,290,0,0,0,0,290,593,0,0,0,0,601,74,3,4,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,52,3,0,0,0,0,3,0,0,0,0,0,0,127,4,4,0,4,141,35,0,0,0,0,31,80,0,0,0,0,80,1119,10,5,3,8,1144
UCL315067,370,3,15,70,0,459,204,8,4,0,0,210,210,17,12,0,0,240,3,0,0,0,0,3,0,0,0,0,0,0,39,0,3,0,0,42,4,0,0,4,0,5,0,0,0,0,0,0,257,13,17,4,0,300,3,0,0,0,0,6,45,6,0,3,0,57,880,30,42,77,8,1026
UCL315068,193,3,6,30,6,234,157,0,0,0,0,157,68,9,19,0,0,101,38,7,6,0,0,55,3,6,6,0,0,17,48,0,7,4,0,61,8,4,0,11,0,27,0,0,0,0,0,3,174,37,47,10,0,273,11,0,0,0,4,18,53,9,9,4,0,72,579,53,60,44,11,745
UCL315069,501,0,0,0,0,503,220,0,0,0,0,224,117,4,3,0,0,128,4,0,0,0,0,6,0,0,0,0,0,0,75,3,0,0,0,82,15,0,0,0,0,15,0,0,0,0,0,0,216,9,9,0,0,235,22,0,0,0,0,22,155,4,0,4,0,166,1114,16,9,14,4,1153
UCL315070,161,0,0,8,0,174,155,0,0,3,0,158,144,0,9,0,0,160,25,0,4,0,0,31,0,8,0,0,0,9,40,0,0,3,0,42,55,4,10,15,8,83,6,0,0,0,0,5,275,12,18,14,8,329,14,0,0,4,0,23,109,5,0,23,6,150,717,28,26,51,7,833
UCL315071,94,0,11,98,0,208,128,0,0,9,0,139,90,0,0,5,0,95,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,4,0,18,8,0,6,20,0,24,0,0,0,0,0,0,115,0,6,24,0,138,4,0,0,9,0,14,4,0,0,71,0,76,348,0,23,200,5,576
UCL315072,132,0,0,14,6,156,58,0,0,0,0,61,51,0,12,0,0,67,9,0,0,0,0,11,8,0,4,0,0,13,43,0,3,0,0,42,24,0,4,34,5,65,0,0,4,0,0,4,135,0,23,36,4,206,8,0,0,6,0,7,50,0,4,0,0,63,381,3,37,59,12,490
UCL315073,283,0,3,6,4,291,182,0,0,0,0,182,146,0,15,0,0,160,12,0,4,0,0,23,0,0,0,0,0,7,39,0,9,0,0,50,22,0,6,0,3,28,0,0,0,0,0,0,227,0,36,0,3,265,18,0,0,0,3,20,68,0,13,0,0,83,778,0,55,6,4,843
UCL315074,553,0,0,36,12,605,316,0,0,0,0,322,194,0,68,0,0,260,20,9,10,0,0,41,0,0,14,0,0,16,95,0,11,0,5,112,16,0,5,20,6,42,9,0,0,0,0,6,332,14,107,19,8,483,15,0,0,0,3,18,129,0,10,10,0,153,1348,17,119,64,19,1573
UCL315075,207,7,15,9,0,235,108,5,4,0,0,120,53,18,16,0,4,90,0,0,0,0,0,0,0,0,0,0,0,0,42,0,10,0,0,58,9,0,3,0,0,13,0,0,0,0,0,0,99,18,37,3,3,160,3,0,0,0,0,5,29,3,12,0,3,49,448,43,65,6,13,571
UCL315076,518,9,0,0,0,527,446,0,0,0,0,453,309,90,0,0,0,398,39,3,0,0,0,44,5,5,0,0,0,6,102,10,0,0,0,117,5,0,0,3,0,8,5,0,0,0,0,8,470,113,0,3,4,581,14,0,0,0,3,18,76,10,0,10,0,91,1519,131,0,17,12,1676
UCL315077,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,388,3,35,0,0,425,7,0,0,0,0,13,0,0,0,0,0,0,9,3,0,0,0,15,0,0,0,0,0,6,407,3,37,0,3,458,10,0,3,3,3,20,30,0,4,4,0,40,448,3,48,18,7,522
UCL315078,362,18,0,5,0,383,317,4,0,0,0,318,170,40,0,0,0,206,4,0,0,0,0,6,0,0,0,0,0,0,71,4,0,0,0,70,3,0,0,13,0,15,0,4,0,0,0,7,251,46,0,13,0,307,14,11,0,0,0,20,65,11,0,4,0,74,1001,83,0,24,0,1110
UCL315079,266,4,0,8,4,280,269,5,0,0,0,277,56,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,49,3,0,0,0,51,0,0,0,3,0,8,0,0,0,0,0,0,107,11,0,3,0,115,7,0,0,0,0,7,24,3,0,0,0,34,679,13,0,13,9,713
UCL315080,298,139,101,119,29,674,313,125,66,10,3,519,114,166,176,4,8,470,17,4,15,0,0,33,8,0,0,0,0,8,65,74,81,18,17,244,15,12,40,31,20,121,0,0,0,3,0,7,220,254,298,52,45,876,8,9,11,4,4,41,57,70,60,12,5,210,905,594,534,199,88,2321
UCL315081,390,4,17,38,3,453,362,4,12,0,0,381,138,28,84,3,0,248,24,22,26,0,0,70,9,21,24,0,0,52,71,6,10,5,0,87,17,0,6,7,0,32,0,0,0,0,0,6,261,75,149,15,0,501,10,0,0,6,0,22,40,11,11,0,0,64,1066,91,195,63,8,1428
UCL315082,200,18,8,33,12,270,91,14,3,0,0,116,52,42,15,0,5,125,0,0,0,0,0,0,0,0,0,0,0,0,25,7,14,0,0,45,8,4,4,14,3,26,0,0,0,0,0,0,89,50,35,10,10,193,9,0,3,0,0,15,28,9,11,10,0,58,421,95,61,56,16,649
UCL315083,133,0,0,0,0,137,190,0,0,0,0,188,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,3,0,0,0,0,3,9,0,0,0,0,9,349,0,0,0,0,354
UCL315084,377,0,0,6,3,384,271,0,0,4,5,279,99,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,27,3,0,0,0,0,4,0,0,0,0,0,0,124,5,0,0,0,129,11,0,0,0,0,11,7,0,0,0,0,11,788,6,0,4,8,812
UCL315085,291,11,0,4,9,317,314,0,0,0,0,314,309,46,5,0,4,363,16,0,0,0,0,17,0,8,0,0,0,8,60,0,0,0,0,61,8,4,0,0,0,15,3,3,0,0,0,3,397,65,5,3,4,472,13,12,0,0,0,20,68,18,0,0,0,92,1076,106,8,5,11,1211
UCL315086,862,0,0,8,8,871,391,0,0,0,0,393,305,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,135,13,0,0,0,0,13,0,0,0,0,0,0,446,0,0,3,0,452,31,0,0,0,0,31,153,0,0,9,0,161,1887,0,0,25,8,1917
UCL315087,354,0,5,3,3,364,430,0,0,0,3,436,27,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,5,0,4,0,0,0,0,0,0,33,0,0,5,3,42,4,0,5,0,0,11,7,0,0,0,0,7,827,0,11,12,6,857
UCL315088,359,14,0,18,7,402,362,8,0,0,0,366,145,62,14,0,0,215,31,7,0,0,0,36,12,11,0,0,0,27,112,7,0,0,0,120,28,8,0,0,0,38,3,0,0,0,0,6,325,98,17,0,0,445,16,8,0,0,0,27,114,30,0,3,0,142,1176,152,21,25,11,1387
UCL315089,261,0,0,60,0,319,228,0,0,3,0,232,115,21,11,5,0,153,61,18,4,0,0,77,17,0,0,0,0,17,84,0,0,7,0,98,41,4,5,21,0,75,5,0,0,0,0,8,329,45,18,26,4,419,21,3,0,6,0,21,74,0,0,11,0,87,903,54,21,99,12,1084
UCL315090,824,38,0,11,0,873,444,6,0,0,0,452,281,109,25,0,0,423,40,26,4,0,0,65,5,8,0,0,0,12,129,20,4,3,0,152,12,0,6,4,0,21,3,0,0,0,0,5,467,152,45,9,3,674,29,3,0,0,0,29,132,24,9,15,0,178,1895,219,53,34,7,2211
UCL315091,50,3,5,0,0,61,19,0,0,0,0,31,8,6,3,0,0,15,176,77,12,0,0,268,19,11,0,0,0,32,24,9,7,0,0,34,95,79,36,0,7,212,7,0,0,0,0,5,321,179,66,0,6,570,33,46,19,0,4,97,21,24,9,0,3,63,454,246,96,5,16,821
UCL315092,534,26,7,84,25,680,110,4,4,0,0,126,107,21,34,12,0,177,12,5,7,0,0,25,0,0,5,0,0,5,60,10,14,0,7,94,6,0,5,17,15,39,0,0,0,0,0,0,193,43,67,25,22,342,27,0,0,0,22,52,59,7,14,5,0,83,918,85,89,117,74,1284
UCL315093,205,0,0,9,0,216,95,0,0,0,0,97,57,3,4,0,0,67,0,0,0,0,0,3,0,4,0,0,0,4,24,0,0,0,0,23,0,0,0,4,0,5,5,0,0,0,0,5,91,11,3,4,0,106,6,8,0,0,0,14,12,3,0,0,0,22,405,29,3,18,0,448
UCL315094,469,0,0,9,0,478,228,0,3,0,0,228,198,0,7,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,58,0,4,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,251,0,11,0,0,260,9,0,0,0,0,9,23,0,0,4,0,26,977,0,14,17,0,1009
UCL315095,264,3,3,3,5,280,165,0,0,0,0,165,89,0,61,3,0,161,7,0,19,0,0,26,11,0,3,0,0,11,52,0,12,0,0,64,45,0,9,0,0,49,3,0,0,0,0,6,211,7,97,11,0,320,13,0,0,0,4,10,79,10,51,0,0,138,728,12,148,18,8,920
UCL315096,347,6,0,4,0,357,522,7,0,6,0,532,125,55,7,0,0,195,9,0,0,0,0,14,0,0,0,0,0,0,63,13,0,0,0,72,3,0,0,0,0,9,0,0,0,0,0,0,206,78,4,0,0,297,5,0,0,0,0,5,94,15,0,0,0,112,1179,105,10,6,0,1302
UCL315097,152,0,0,0,0,155,268,0,0,0,0,268,170,8,0,0,4,175,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,21,5,0,0,0,0,5,0,0,0,0,0,0,187,5,0,0,4,201,0,0,0,0,0,0,37,0,0,0,0,38,652,7,3,0,4,669
UCL315098,91,16,0,51,15,173,252,43,0,3,0,298,185,163,13,4,4,373,17,7,0,0,0,26,0,0,0,0,0,5,41,14,0,4,0,55,174,122,4,33,22,353,0,0,0,0,0,3,412,302,20,41,33,807,52,31,0,0,12,96,98,75,6,11,8,190,903,461,36,102,59,1563
UCL315099,271,7,0,0,0,280,710,14,0,0,0,722,122,26,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,154,26,0,0,0,185,8,0,0,0,0,8,22,0,0,0,0,21,1172,42,0,0,0,1214
UCL315100,142,0,0,20,0,161,193,0,0,0,0,196,20,0,0,5,0,26,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,3,0,0,65,0,73,3,0,0,0,0,5,40,0,0,67,0,112,6,0,0,0,0,6,14,0,0,30,0,50,400,0,0,123,0,526
UCL315101,171,0,0,6,0,175,348,3,0,0,0,356,32,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,27,0,5,0,0,31,3,0,0,0,0,3,0,0,0,0,0,0,63,0,4,0,0,66,5,0,0,0,0,9,3,0,0,0,0,8,590,8,6,6,0,603
UCL315102,299,3,5,13,7,327,191,0,0,0,0,196,106,25,0,0,0,124,14,4,0,0,0,18,0,11,5,0,0,15,45,4,0,0,3,52,11,8,0,0,0,16,0,0,0,0,0,0,171,43,8,0,3,226,12,0,0,3,0,19,48,3,0,0,0,56,725,55,9,15,14,821
UCL315103,195,11,16,73,11,298,101,3,5,0,0,114,59,28,42,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,17,3,3,0,0,29,6,0,6,9,0,18,0,0,4,0,0,4,88,30,57,9,4,188,9,0,0,0,0,8,39,5,13,0,4,62,433,56,93,79,18,677
UCL315104,295,14,0,8,0,314,356,0,0,0,0,358,87,15,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,49,10,0,0,3,60,7,0,0,0,0,6,0,0,0,0,0,0,140,18,0,0,3,164,8,3,0,0,0,9,28,3,5,5,0,36,825,33,6,10,5,884
UCL315105,372,8,0,102,27,499,75,3,0,3,0,82,119,20,6,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,29,12,0,0,13,7,39,0,0,0,0,0,0,156,17,8,16,14,216,15,0,0,4,0,15,33,3,0,0,4,39,647,33,11,125,39,857
UCL315106,108,0,0,0,0,108,323,0,0,0,0,323,162,37,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,186,37,0,0,0,223,3,0,0,0,0,3,17,0,0,0,0,21,636,37,0,0,0,681
UCL315107,187,17,8,11,0,223,418,17,11,0,0,446,98,24,10,5,0,137,11,7,21,0,0,43,0,0,7,0,0,4,46,0,3,0,0,51,4,0,0,40,0,40,3,0,0,0,0,3,166,32,37,43,3,275,10,0,0,3,0,12,29,6,8,11,0,62,809,73,64,72,0,1019
UCL315108,3,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,25,5,3,0,0,37,144,4,37,0,0,180,0,0,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,170,11,43,0,0,221,8,3,0,5,0,15,8,0,0,0,0,12,188,11,45,3,0,242
UCL315109,221,5,0,25,3,246,105,0,0,0,3,105,38,0,0,0,0,42,8,0,0,0,0,7,6,0,0,0,0,6,29,0,0,0,4,39,3,0,0,11,4,13,0,0,0,0,0,0,85,5,3,10,10,105,11,0,0,0,0,8,17,0,0,12,0,36,435,13,3,51,18,505
UCL321001,103,0,0,0,0,105,101,0,0,0,0,101,26,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,39,0,0,0,0,0,0,14,0,0,0,0,14,261,0,0,0,0,263
UCL321002,158,0,0,3,3,160,88,0,0,0,0,86,34,9,0,0,0,41,0,3,0,0,0,3,0,5,0,0,0,5,25,3,0,0,0,27,3,0,0,0,0,11,0,0,0,0,0,0,67,14,0,0,0,85,4,0,0,0,0,3,20,4,0,0,6,26,331,25,0,3,4,366
UCL321003,107,0,0,3,0,107,67,0,0,0,0,67,22,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,38,0,0,0,0,0,0,33,0,0,0,0,37,248,3,0,3,0,255
UCL321004,77,0,0,7,0,83,74,0,0,0,0,77,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,9,0,0,0,8,0,7,0,0,0,0,0,0,29,0,0,8,0,35,3,0,0,0,0,3,12,0,0,12,0,29,198,0,5,27,0,227
UCL321005,77,0,0,17,0,91,90,0,0,0,0,93,39,9,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,3,0,0,0,0,7,0,0,0,0,0,3,64,9,0,0,0,80,6,0,0,0,0,6,22,0,0,0,0,26,265,13,0,23,0,295
UCL321006,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,115,5,0,0,0,120,35,3,0,0,0,41,0,0,0,0,0,0,5,0,0,0,3,10,0,0,0,0,0,0,159,4,0,0,9,169,5,0,0,0,0,5,14,0,0,0,0,13,189,4,0,0,9,203
UCL321007,99,0,0,23,0,122,256,0,0,0,0,260,65,3,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,3,3,35,3,0,0,19,0,22,0,0,0,0,0,0,97,3,0,27,6,131,9,0,0,0,0,10,40,0,0,102,0,144,506,8,0,147,4,666
UCL321008,212,0,0,25,0,239,130,0,0,0,0,137,53,0,0,0,0,53,0,0,0,0,0,4,0,0,0,0,0,0,20,0,0,0,0,20,4,0,0,3,0,5,0,0,0,0,0,0,74,0,0,6,0,81,15,0,0,0,0,16,50,0,0,9,0,59,485,0,0,40,0,524
UCL321009,202,0,0,34,16,249,99,0,0,0,3,95,59,0,10,0,0,62,19,3,7,0,0,19,4,0,5,0,0,6,39,0,0,0,0,39,40,0,0,3,12,51,0,0,0,0,0,0,155,3,17,4,9,188,28,0,0,3,5,32,44,0,7,5,0,56,519,6,27,40,33,619
UCL321010,95,0,0,0,0,104,85,0,0,0,0,92,42,23,0,0,0,66,12,0,0,0,0,18,6,0,0,0,0,6,29,5,0,0,0,40,4,0,0,0,0,3,0,0,0,0,0,0,95,32,5,0,0,130,0,0,0,0,0,0,16,0,0,0,0,13,291,38,5,0,3,336
UCL321011,63,6,0,7,6,82,125,13,0,0,0,135,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,10,0,8,0,0,5,11,0,0,0,0,0,0,19,6,0,0,5,30,0,0,0,0,0,0,3,0,0,0,0,3,205,19,4,14,4,246
UCL321012,157,0,0,22,4,180,52,0,0,0,0,54,15,0,0,0,0,15,12,3,0,0,0,10,0,0,0,0,0,0,33,0,0,0,0,34,14,0,0,0,0,17,0,0,0,0,0,0,73,7,0,0,0,74,3,0,0,0,0,8,36,0,0,0,0,35,313,7,0,28,4,351
UCL321013,129,0,0,0,0,129,121,0,0,0,0,127,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22,0,0,0,0,0,0,17,0,0,0,0,17,292,0,0,0,0,291
UCL321014,37,0,0,0,0,40,116,0,0,0,0,116,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22,3,0,0,0,0,3,9,0,0,0,0,9,189,0,0,0,0,187
UCL321015,197,0,0,14,8,224,90,0,0,0,0,89,40,0,3,0,0,44,12,0,0,0,0,12,20,0,0,0,0,20,38,0,0,0,0,39,18,0,5,3,4,25,4,0,0,0,0,4,128,0,8,6,4,148,21,0,0,0,0,22,22,0,0,3,0,31,462,0,4,32,12,514
UCL321016,146,0,0,10,0,157,40,0,0,0,0,42,36,4,0,0,0,38,0,0,0,0,0,3,0,0,0,0,0,4,28,0,0,0,0,28,8,0,0,0,0,8,0,0,0,0,0,0,65,8,0,4,0,80,0,0,0,0,0,0,34,0,0,7,0,37,286,9,0,19,0,315
UCL321017,162,0,0,0,0,162,144,0,0,0,0,148,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,0,0,11,0,0,0,0,11,337,0,0,0,0,342
UCL321018,76,0,0,11,0,91,126,3,0,0,0,132,17,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,32,0,0,0,0,0,0,11,0,0,6,0,21,247,5,0,21,0,270
UCL321019,68,0,0,0,0,68,221,0,0,0,0,220,27,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,42,5,0,0,0,0,5,9,0,0,0,0,9,338,0,0,0,0,341
UCL321020,127,0,0,0,0,127,127,0,0,0,0,130,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,31,4,0,0,0,0,4,7,0,0,4,0,12,298,0,5,4,0,306
UCL321021,112,0,0,0,0,112,112,0,0,0,0,110,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,29,0,0,0,0,25,3,0,0,0,0,3,35,0,0,5,0,42,291,0,0,7,0,297
UCL321022,47,0,0,0,0,47,121,0,0,0,0,121,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,13,0,0,0,0,13,203,0,0,0,0,203
UCL321023,141,0,0,0,0,140,82,0,0,0,0,82,22,0,0,0,0,28,3,0,0,0,0,3,0,0,0,0,0,6,19,0,0,0,0,19,5,0,0,6,0,4,0,0,0,0,0,0,51,0,0,6,0,60,9,0,0,0,0,9,27,0,0,5,0,30,311,5,0,9,0,325
