UCL_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL621008,40,21,20,3,240
UCL621009,37,56,30,15,311
UCL621010,57,45,23,3,251
UCL621011,28,34,10,0,258
UCL621012,75,80,30,0,469
UCL621013,52,39,27,0,274
UCL621014,73,42,12,7,306
UCL621015,90,113,83,15,575
UCL621016,94,53,23,4,412
UCL621017,55,81,48,15,304
UCL621018,53,56,23,7,221
UCL621019,94,79,41,7,345
UCL621020,74,46,22,3,338
UCL621021,70,54,23,0,484
UCL621022,107,97,58,19,518
UCL621023,98,53,20,3,409
UCL621024,80,70,24,6,357
UCL621025,58,67,30,9,362
UCL621026,71,39,17,0,263
UCL621027,83,102,53,9,358
UCL621028,73,49,22,7,414
UCL621029,67,42,14,0,308
UCL621030,80,79,43,29,348
UCL621031,44,46,18,8,263
UCL621032,79,54,10,4,320
UCL622001,51,46,15,0,182
UCL622002,37,31,14,0,142
UCL622003,30,10,12,6,162
UCL622004,22,14,4,0,91
UCL622005,37,31,21,4,191
UCL622006,21,22,11,0,117
UCL622007,53,60,18,6,221
UCL622008,36,34,4,0,136
UCL622009,42,36,16,0,203
UCL622010,30,57,38,54,266
UCL622011,27,9,7,0,117
UCL622012,39,28,13,0,164
UCL622013,65,45,18,0,258
UCL622014,21,23,10,0,141
UCL622015,44,59,20,9,240
UCL622016,16,20,14,3,150
UCL622017,18,15,3,3,85
UCL622018,43,30,20,0,167
UCL622019,56,46,13,0,209
UCL622020,23,8,9,0,180
UCL622021,22,41,13,5,114
UCL622022,50,43,15,0,256
UCL622023,60,51,27,10,244
UCL622024,50,40,20,0,178
UCL622025,33,15,5,0,130
UCL622026,22,24,11,3,115
UCL622027,46,42,20,0,153
UCL631001,11460,8111,2799,501,53447
UCL679997,70,27,4,0,303
UCL703001,10189,6484,2029,384,74718
UCL712001,2368,1468,365,77,14681
UCL714001,618,355,82,15,3865
UCL715001,84,38,4,0,519
UCL715002,38,11,0,0,293
UCL715003,78,23,0,0,542
UCL715004,18,4,0,0,139
UCL715005,48,11,0,0,268
UCL715006,271,93,20,0,2050
UCL715007,244,119,26,0,1301
UCL715008,47,14,0,0,366
UCL715009,59,21,0,0,341
UCL721001,63,19,4,0,429
UCL721002,23,10,0,0,146
UCL721003,66,40,4,0,297
UCL721004,18,9,0,0,120
UCL721005,30,11,0,0,160
UCL721006,26,13,0,0,98
UCL721007,69,56,10,0,338
UCL721008,47,58,16,0,369
UCL721009,259,135,36,0,1049
UCL721010,22,3,0,0,125
UCL721011,14,9,0,0,114
UCL721012,15,4,0,0,130
UCL721013,29,12,0,0,109
UCL721014,20,7,3,0,132
UCL721015,11,3,0,0,73
UCL721016,37,11,3,0,208
UCL721017,37,22,4,0,196
UCL721018,206,95,9,0,1020
UCL722001,93,106,14,6,357
UCL722002,8,8,0,0,72
UCL722003,5,0,0,0,45
UCL722004,4,0,0,0,20
UCL722005,21,8,0,0,113
UCL722006,8,3,0,0,54
UCL722007,8,3,0,0,40
UCL722008,14,0,0,0,65
UCL722009,3,4,0,0,46
UCL722010,86,66,10,0,324
UCL722011,0,0,0,0,19
UCL722012,10,3,0,0,71
UCL722013,6,0,0,0,32
UCL722014,9,11,4,0,114
UCL722015,16,4,6,0,48
UCL722016,67,25,6,0,246
UCL722017,6,0,0,0,55
UCL722018,12,14,0,0,77
UCL722019,6,0,0,0,18
UCL722020,200,255,43,0,786
UCL722021,11,7,0,0,75
UCL722022,8,0,0,0,67
UCL722023,15,3,5,0,104
UCL722024,7,18,0,0,111
UCL722025,6,0,0,0,47
UCL722026,14,0,0,0,64
UCL722027,10,6,0,0,79
UCL722028,54,49,7,0,244
UCL722029,16,3,0,0,61
UCL722030,5,0,0,0,48
UCL722031,42,55,11,0,238
UCL722032,3,0,0,0,45
UCL722033,10,9,0,0,82
UCL722034,75,53,16,0,241
UCL722035,18,9,0,0,107
UCL722036,11,5,0,0,77
UCL722037,7,3,0,0,43
UCL722038,3,0,0,0,13
UCL722039,13,4,0,0,79
UCL722040,0,6,0,0,35
UCL731001,4667,3581,752,55,24164
UCL779997,96,35,6,0,406
UCL802001,33411,23878,11803,3939,262713
UCL822001,30,33,16,4,171
UCL822002,24,11,0,0,171
UCL831001,54,42,4,0,398
UCL879997,0,0,0,0,0
UCL915001,151,102,19,0,947
UCL921001,258,179,82,24,1021
UCL922001,30,16,11,0,162
UCL922002,10,4,7,0,177
UCL922003,55,36,15,0,204
UCL931001,71,70,43,8,649
UCL979997,0,0,0,0,0
