UCL_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
UCL315005,438,1040,21,29,0,0,21,29,0,5,0,0,0,0,0,0,0,0,0,5,17,33,0,0,0,0,11,21,27,56,0,0,490,1126,59,..,550,1126
UCL315006,233,932,30,78,18,48,47,125,8,20,0,0,0,0,0,0,0,9,13,29,0,0,7,12,0,0,3,6,8,21,22,47,327,1145,53,..,384,1145
UCL315007,1205,2907,36,62,10,24,43,85,121,163,0,0,0,0,0,0,0,9,128,169,34,60,0,0,0,3,0,0,33,63,0,0,1403,3219,122,..,1535,3219
UCL315008,1591,4095,21,31,21,33,42,59,105,143,0,0,0,0,0,0,0,0,105,143,0,0,0,0,9,10,0,0,11,14,10,12,1756,4322,695,..,2448,4322
UCL315009,1011,2389,84,106,9,6,87,112,5,4,0,0,0,0,0,0,0,0,5,4,34,53,0,0,0,0,0,0,34,53,0,0,1134,2556,104,..,1240,2556
UCL315010,1173,2674,3,4,7,3,7,12,15,24,0,0,0,0,0,0,0,0,15,24,79,123,39,67,0,0,0,0,118,195,12,21,1316,2921,139,..,1453,2921
UCL315011,679,1328,8,8,4,3,7,13,33,62,0,0,0,0,0,0,0,0,37,61,120,193,3,9,0,0,0,0,127,200,20,34,866,1643,153,..,1018,1643
UCL315012,1389,4097,21,39,37,77,52,119,0,7,0,0,0,0,0,0,0,6,4,4,45,65,0,0,0,0,0,0,46,72,5,6,1502,4292,118,..,1616,4292
UCL315013,624,1648,81,148,0,0,81,148,9,9,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,705,1806,64,..,773,1806
UCL315014,421,874,62,94,25,52,93,155,46,59,15,26,0,0,0,0,0,4,64,96,54,98,37,59,0,0,0,3,94,163,21,39,692,1322,190,..,884,1322
UCL315015,703,2073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,707,2081,29,..,732,2081
UCL315016,923,3104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,8,9,0,0,0,0,0,0,0,0,0,0,0,3,933,3112,24,..,956,3112
UCL315017,1075,2321,30,43,0,0,30,43,45,69,0,0,0,0,0,0,0,0,45,69,29,60,21,40,0,0,5,9,55,114,15,30,1224,2576,269,..,1491,2576
