UCL_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL115103,0,0,4,4,5,0,0,0,0,12,3,0,3,4,3,0,0,0,0,15,20,36,72,89,66,56,25,3,0,368
UCL115104,0,0,6,4,9,4,3,0,0,17,4,0,0,0,0,4,0,0,0,12,38,28,84,132,114,118,44,3,0,560
UCL115105,0,3,7,9,4,4,0,0,0,27,3,3,3,6,5,5,0,0,0,31,38,74,123,123,139,123,40,8,0,669
UCL115106,3,0,6,0,9,3,0,0,0,33,3,5,9,10,11,9,0,0,0,44,54,70,195,185,214,206,51,9,0,997
UCL115107,0,4,7,12,20,13,0,0,0,53,7,0,21,25,21,17,4,0,0,96,110,71,262,325,410,271,94,5,4,1549
UCL115108,3,0,7,14,9,5,0,0,0,41,5,7,3,10,5,3,0,0,0,31,93,79,173,318,338,156,43,0,0,1205
UCL115109,0,3,8,10,12,10,9,3,0,53,5,0,9,12,5,9,7,0,0,42,79,56,199,193,250,249,126,16,0,1168
UCL115110,4,6,16,10,14,8,5,0,0,66,0,9,4,14,8,12,3,0,0,57,77,106,263,285,279,294,99,9,0,1409
UCL115111,4,3,18,9,5,18,5,0,0,64,3,3,12,6,18,15,5,0,0,71,69,122,262,249,219,260,98,13,3,1289
UCL115112,3,6,20,17,6,0,0,0,0,43,0,3,21,10,5,10,4,0,0,47,69,108,409,304,155,116,25,0,0,1195
UCL115113,0,0,3,5,6,3,0,0,0,16,3,9,3,5,6,3,8,0,0,42,43,81,223,133,193,149,58,9,3,891
UCL115114,0,7,6,0,10,9,4,0,0,28,8,12,16,10,19,13,3,5,0,79,63,91,212,185,213,186,78,11,0,1042
UCL115115,3,6,15,23,16,18,9,0,0,83,6,8,28,34,23,15,6,0,0,122,112,144,360,514,517,375,120,4,0,2148
UCL115116,4,3,7,10,11,9,0,0,0,46,7,5,8,12,18,13,6,0,0,65,100,94,335,368,348,304,104,12,0,1671
UCL115117,0,0,7,3,5,0,0,0,0,13,0,0,0,3,4,5,0,0,0,13,30,25,79,107,94,75,19,3,0,442
UCL115118,0,0,4,8,5,5,0,0,0,22,3,0,0,6,9,0,0,0,0,23,62,34,103,119,144,152,50,7,0,672
UCL115119,5,8,17,21,11,10,0,0,0,73,6,9,20,21,19,15,0,0,0,97,124,175,430,376,423,317,77,9,0,1929
UCL115120,13,3,14,24,16,14,4,0,0,102,0,7,4,23,28,15,0,0,0,83,137,162,262,448,411,262,65,12,0,1757
UCL115121,6,0,5,8,5,0,0,0,0,26,0,7,4,5,5,0,0,0,0,23,24,63,115,135,123,131,36,3,0,633
UCL115122,0,3,4,3,17,15,6,0,0,44,4,5,8,8,10,6,3,0,0,45,47,79,156,180,206,182,85,10,0,946
UCL115123,0,0,8,3,5,3,0,0,0,23,5,0,7,0,5,5,0,0,0,25,48,42,100,131,192,120,56,7,0,701
UCL115124,4,10,27,19,18,19,0,0,0,100,3,7,22,19,8,6,3,0,0,66,130,137,470,513,413,350,91,6,0,2101
UCL115125,3,3,9,9,5,4,3,0,0,37,4,10,0,6,11,9,3,0,0,37,80,78,210,268,262,242,69,0,0,1209
UCL115126,0,0,0,3,0,0,4,0,0,11,0,0,0,8,0,5,0,0,0,17,47,34,48,106,115,115,39,5,0,507
UCL115127,0,0,4,0,3,10,0,0,0,21,0,0,0,5,6,0,0,0,0,17,32,31,75,105,125,120,37,0,0,524
UCL115128,0,5,14,0,6,5,0,0,0,29,7,0,18,19,13,7,5,0,0,63,50,57,177,240,266,183,44,7,0,1024
UCL115129,3,3,9,4,7,7,4,0,0,34,0,0,6,11,6,8,3,0,0,34,41,63,130,161,217,187,45,12,0,849
UCL115130,4,0,9,5,4,11,0,0,0,37,3,8,6,10,0,10,5,0,0,37,47,66,182,179,202,263,79,8,0,1029
UCL115131,5,10,13,12,12,6,3,0,0,61,3,3,20,12,23,8,5,0,0,75,96,135,280,285,347,320,67,0,0,1541
UCL115132,0,0,0,6,9,6,0,0,0,18,0,0,0,0,4,9,0,0,0,15,26,40,102,116,147,185,42,4,0,663
UCL115133,0,0,0,0,0,4,0,0,0,16,0,0,6,3,8,8,9,3,0,34,37,18,60,86,123,202,90,16,0,639
UCL115134,10,11,14,16,14,7,3,0,0,71,8,4,9,5,8,6,0,3,0,56,117,158,325,285,320,355,134,21,0,1720
UCL115135,0,6,5,12,4,4,3,5,0,35,15,3,10,11,12,15,3,0,0,68,63,73,154,158,167,232,102,21,4,963
UCL115136,4,9,7,15,8,4,0,0,0,47,5,0,9,10,17,12,0,0,0,44,74,95,247,277,244,141,26,0,0,1117
UCL115137,6,13,12,11,16,14,3,0,0,77,3,4,18,10,19,11,5,0,0,74,110,233,514,356,343,285,72,6,0,1920
UCL115138,0,9,12,8,7,3,0,0,0,40,0,9,7,8,0,7,0,0,0,28,62,124,331,248,198,78,17,0,0,1056
UCL115139,0,6,8,12,5,11,3,0,0,37,3,3,6,6,3,4,5,4,0,39,46,52,143,165,169,176,78,19,0,851
UCL115140,3,0,4,0,3,6,3,0,0,24,3,0,0,3,5,4,0,0,0,18,23,21,82,91,108,100,30,3,0,462
UCL115141,3,4,4,0,3,3,0,0,0,19,0,7,7,4,13,6,0,0,3,38,36,52,125,121,156,135,29,6,3,671
UCL115142,0,3,4,6,5,7,0,0,0,25,0,4,3,9,3,6,0,3,0,36,37,30,108,107,172,244,79,11,0,789
UCL115143,4,0,5,8,11,4,3,0,0,28,4,0,8,7,3,9,0,0,0,27,50,66,183,201,189,196,67,11,0,969
UCL115144,0,3,5,13,5,13,3,0,0,35,0,3,8,6,8,9,0,4,0,36,41,43,161,157,210,267,89,9,0,966
UCL115145,0,0,7,0,0,0,0,0,0,13,0,0,5,5,9,0,4,0,0,22,30,22,106,101,123,121,40,9,0,560
UCL115146,0,5,5,3,8,9,0,0,0,31,3,4,9,4,10,9,0,0,0,44,56,76,161,225,288,266,80,8,0,1166
UCL115147,0,5,9,0,9,0,0,0,0,20,0,0,0,3,0,0,0,0,0,3,23,25,131,146,97,60,16,3,0,499
UCL115148,0,0,3,3,3,0,4,0,0,21,7,0,0,3,3,10,0,0,0,19,30,40,87,81,98,113,58,10,0,514
UCL115149,0,0,5,0,0,4,0,0,0,12,0,0,0,0,0,6,3,0,0,12,10,26,108,65,62,86,29,4,0,388
UCL115150,0,3,12,6,0,0,6,0,0,24,0,0,7,5,8,8,0,0,0,31,33,43,88,114,104,100,22,5,0,511
UCL115151,0,6,5,5,3,4,3,4,0,25,0,3,9,0,0,9,3,0,0,35,66,90,200,175,193,146,38,9,0,919
UCL115152,0,0,10,3,3,0,0,0,0,19,5,5,0,4,7,6,0,0,0,25,22,26,72,60,80,83,26,3,0,373
UCL115153,0,3,5,5,8,0,0,0,0,19,3,4,5,3,3,10,6,0,4,28,21,52,95,78,96,113,28,5,4,486
UCL115154,4,3,9,10,5,3,0,0,0,41,4,8,8,6,4,14,6,4,0,42,37,59,135,127,99,136,39,8,0,635
UCL115155,5,7,11,5,19,17,3,0,0,62,3,0,18,9,19,13,11,0,0,69,102,155,363,241,274,336,96,7,0,1566
UCL115156,0,0,0,0,0,3,0,0,0,9,0,0,0,4,3,0,0,0,0,11,22,22,61,53,87,129,43,7,0,432
UCL115157,0,0,3,8,0,3,4,0,0,18,0,4,4,5,9,3,0,0,0,24,19,27,68,85,91,80,24,0,0,404
UCL115158,8,10,7,13,6,11,3,0,0,57,5,7,5,13,9,15,5,0,0,57,93,136,306,262,221,244,88,26,0,1384
UCL115159,11,3,8,12,9,5,6,0,0,44,0,3,13,8,12,7,5,0,0,44,67,78,186,199,225,174,32,7,0,976
UCL115160,0,3,18,21,11,11,3,0,0,70,6,5,11,21,13,5,3,0,0,59,84,71,331,514,308,175,36,3,0,1524
UCL115161,4,6,19,17,16,6,3,0,0,70,3,9,17,3,10,19,3,0,0,69,80,134,351,309,318,340,94,13,0,1637
UCL115162,5,13,9,12,13,9,8,0,0,61,3,0,4,11,11,3,4,0,0,40,122,115,266,325,322,245,68,6,0,1466
UCL115163,4,4,11,9,8,11,0,0,0,42,4,5,9,10,7,10,0,0,0,40,63,95,164,164,201,167,21,6,0,875
UCL115164,3,8,8,3,6,3,0,0,0,31,0,4,3,8,8,5,0,0,0,25,41,56,83,95,123,88,30,3,0,513
