UCL_CODE_2021,Intact_fam_no_oth_ch_pres_Fam,Step_fam_no_oth_ch_pres_Fam,Blend_fam_no_oth_ch_pres_Fam,Intact_fam_oth_ch_pres_Fam,Step_fam_oth_ch_pres_Fam,Blended_fam_oth_ch_pres_Fam,Oth_coup_fam_oth_ch_only_Fam,Tot_Families
UCL122068,7,0,0,0,0,0,0,8
UCL122069,25,6,0,0,0,0,0,30
UCL122070,57,0,3,0,0,0,0,64
UCL122071,36,9,0,0,0,0,0,44
UCL122072,15,6,0,0,0,0,0,21
UCL122073,15,3,6,0,0,0,0,25
UCL122074,5,4,4,0,0,0,0,7
UCL122075,29,5,3,0,0,0,0,40
UCL122076,21,0,0,0,0,0,0,26
UCL122077,15,5,0,0,0,0,0,32
UCL122078,18,4,4,0,0,0,0,22
UCL122079,33,5,0,0,0,0,0,34
UCL122080,57,7,0,0,0,0,0,67
UCL122081,12,0,0,0,0,0,0,23
UCL122082,3,5,0,0,0,0,0,4
UCL122083,38,3,4,0,0,0,0,45
UCL122084,16,5,0,0,0,0,0,15
UCL122085,18,0,5,0,0,0,0,25
UCL122086,8,0,0,3,0,0,0,18
UCL122087,13,3,0,0,0,0,0,22
UCL122088,13,0,0,0,0,0,0,18
UCL122089,37,9,0,0,0,0,0,47
UCL122090,45,8,0,0,0,0,0,51
UCL122091,21,7,0,0,0,0,0,31
UCL122092,31,4,5,0,0,0,0,40
UCL122093,18,0,0,0,0,0,0,15
UCL122094,22,3,0,0,0,0,0,23
UCL122095,18,5,0,0,0,0,0,22
UCL122096,13,5,0,0,0,0,0,16
UCL122097,11,0,0,0,0,0,0,17
UCL122098,8,0,0,0,0,0,0,14
UCL122099,14,6,0,0,0,0,0,22
UCL122100,29,4,0,0,0,0,0,33
UCL122101,37,4,0,0,0,0,0,39
UCL122102,12,0,0,0,0,0,0,16
UCL122103,8,3,0,0,0,0,0,18
UCL122104,59,6,3,0,0,0,0,70
UCL122105,49,0,0,0,0,0,0,51
UCL122106,13,0,4,0,0,0,0,13
UCL122107,37,11,4,0,0,0,0,43
UCL122108,4,0,0,0,0,0,0,3
UCL122109,4,0,0,0,0,0,0,4
UCL122110,39,5,0,0,0,0,5,47
UCL122111,57,6,0,0,0,0,0,62
UCL122112,15,6,0,0,0,0,0,22
UCL122113,14,4,0,0,0,0,0,17
UCL122114,11,5,0,0,0,0,0,17
UCL122115,27,3,4,0,0,0,0,31
UCL122116,19,3,0,0,0,0,0,25
UCL122117,46,4,4,6,0,0,4,60
UCL122118,23,9,0,0,0,0,0,36
UCL122119,16,0,5,0,0,0,0,21
UCL122120,51,10,3,0,0,0,0,59
UCL122121,33,3,3,0,0,0,0,34
UCL122122,67,3,5,5,0,0,0,73
UCL122123,6,0,0,0,0,0,0,12
UCL122124,37,4,0,0,0,0,0,44
UCL122125,12,0,0,0,0,0,0,14
UCL122126,50,3,4,0,0,0,0,59
UCL122127,16,0,0,0,0,0,0,22
UCL122128,12,4,3,0,0,0,0,14
UCL122129,23,0,0,0,0,0,0,28
UCL122130,24,0,0,0,0,0,0,25
UCL122131,16,0,0,0,0,0,0,16
UCL122132,14,4,5,0,0,0,0,29
UCL122133,7,0,0,0,0,0,0,8
UCL122134,38,7,0,0,0,0,0,44
UCL122135,16,0,0,0,0,0,0,19
UCL122136,8,0,0,0,0,0,0,10
UCL122137,15,5,0,0,0,0,0,15
UCL122138,11,4,0,0,0,0,0,18
UCL122139,18,0,0,0,0,0,0,22
UCL122140,15,4,0,0,0,0,0,16
UCL122141,38,11,3,0,0,0,0,45
UCL122142,14,0,0,0,0,0,0,13
UCL122143,14,0,0,0,0,0,0,15
UCL122144,15,8,6,0,0,0,0,29
UCL122145,9,4,0,0,0,0,0,19
UCL122146,12,0,0,0,0,0,0,18
UCL122147,9,0,0,0,0,0,0,13
UCL122148,7,3,0,0,0,0,0,11
UCL122149,14,8,3,0,0,0,0,30
UCL122150,35,8,6,0,0,0,0,54
UCL122151,8,0,0,0,0,0,0,9
UCL122152,15,4,4,0,0,0,3,22
UCL122153,40,3,4,0,0,0,0,44
UCL122154,44,5,0,0,0,0,0,45
UCL122155,29,11,0,0,0,0,0,42
UCL122156,33,9,0,0,0,0,0,42
