UCL_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
UCL321047,3,87,93,104,15,120,28,0,30,31,3,31,24,0,23,14,0,14,206,107,310
UCL321048,0,106,106,69,18,95,13,0,11,9,5,13,10,0,10,12,3,12,120,133,249
UCL321049,4,47,45,56,10,72,33,0,35,25,0,28,14,3,17,12,0,8,143,58,208
UCL321050,12,76,83,85,25,114,47,8,52,43,6,47,16,3,19,16,0,16,214,110,322
UCL321051,7,137,145,110,41,146,43,9,57,22,4,28,10,0,10,4,0,11,205,196,398
UCL321052,0,67,73,62,4,62,35,3,38,33,0,32,26,0,27,34,0,32,190,77,269
UCL321053,3,67,65,15,10,29,25,13,32,23,3,23,11,0,11,22,0,22,102,92,191
UCL321054,3,78,81,97,60,166,30,6,35,20,0,22,7,0,10,7,0,9,169,152,322
UCL321055,10,187,196,112,104,214,29,4,36,46,8,51,21,0,21,14,4,10,225,308,536
UCL321056,7,141,144,100,20,121,45,3,47,22,0,26,13,4,12,5,0,5,194,170,361
UCL321057,5,126,129,105,17,116,39,6,37,21,7,21,9,3,18,4,0,4,183,155,337
UCL321058,4,98,103,129,20,144,48,6,55,43,0,46,26,4,31,9,3,10,262,124,384
UCL321059,11,38,44,83,13,97,67,8,77,89,3,93,40,0,39,18,0,18,312,60,373
UCL321060,5,91,94,103,16,123,28,0,33,23,6,28,6,0,6,3,0,3,175,118,289
UCL321061,5,126,136,111,155,265,21,3,27,19,7,28,9,0,4,10,4,11,166,294,467
UCL321062,0,54,54,50,25,74,37,3,42,31,0,31,31,0,31,60,0,61,205,78,286
UCL321063,3,45,46,135,16,152,54,0,60,42,4,41,28,0,29,19,0,19,280,64,345
UCL321064,7,97,110,104,121,224,33,6,39,17,9,21,3,0,7,0,3,5,165,248,414
UCL321065,10,83,98,174,32,213,61,0,59,55,0,58,31,0,35,25,0,30,355,121,480
UCL321066,8,124,129,83,28,116,22,6,29,9,0,11,0,0,0,0,0,0,124,157,284
UCL321067,0,45,46,21,20,42,20,0,26,21,0,21,19,0,17,27,0,29,115,67,178
UCL321068,6,75,88,103,15,111,47,0,50,50,4,53,16,0,14,4,0,4,229,97,326
UCL321069,7,158,166,200,21,226,42,3,38,27,6,33,9,0,9,6,0,6,289,200,484
UCL321070,7,74,78,89,13,99,47,0,45,27,0,32,23,0,28,3,0,0,192,88,284
UCL321071,8,33,37,91,8,96,35,0,35,31,3,36,9,0,13,11,0,11,182,40,220
UCL321072,0,32,42,89,8,95,45,5,48,63,3,65,25,0,22,17,0,17,237,55,286
UCL321073,4,146,148,136,194,332,43,9,55,36,10,44,11,3,16,10,0,10,230,359,594
UCL321074,9,138,152,101,29,128,33,9,39,26,6,37,14,0,15,13,0,12,191,183,375
UCL321075,10,25,33,118,0,124,58,0,65,78,3,82,44,0,47,26,0,24,331,34,364
UCL321076,0,45,45,29,10,41,39,3,38,31,0,31,24,8,36,45,5,51,163,71,226
