UCL_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL315032,6,10,26,19,4,0,73,0,3,11,16,16,19,3,0,68,6,58,56,54,94,80,26,8,385,11,24,55,60,90,70,32,6,345,52,156,149,129,167,156,54,12,878,24,8,7,8,10,4,0,0,67,3,0,15,15,19,16,9,3,91,78,169,173,156,196,178,69,18,1036,0,3,3,3,6,6,0,5,20,27,38,50,41,39,92,72,47,412,122,298,362,340,459,469,213,83,2343
UCL315033,0,5,7,4,5,0,15,0,0,4,3,7,7,4,0,19,0,4,8,12,18,19,14,0,77,8,5,17,18,28,28,13,0,109,17,19,25,45,51,62,27,0,247,3,0,0,0,9,0,0,0,18,0,4,0,3,6,6,4,0,26,19,19,34,54,63,76,27,6,291,0,0,0,0,0,0,0,0,8,8,7,11,15,14,36,23,3,111,37,41,68,101,127,166,84,13,623
UCL315034,3,13,8,3,0,0,37,0,0,3,6,4,3,0,0,18,6,33,38,41,24,14,5,0,160,0,13,20,25,20,6,4,0,98,14,32,47,25,35,19,5,0,177,3,0,0,5,3,0,0,0,11,0,0,3,3,0,5,0,0,16,15,37,44,33,39,22,7,0,204,0,0,0,0,0,0,0,0,5,18,7,6,21,12,10,8,0,77,40,98,117,138,115,62,19,0,588
UCL315035,8,3,4,3,0,0,37,0,19,20,7,3,5,0,0,54,5,54,50,33,16,8,5,0,177,13,37,51,45,50,22,6,0,223,61,142,161,114,88,43,14,0,635,17,20,11,6,7,0,0,0,56,0,9,8,13,3,12,0,0,51,82,167,177,140,99,55,10,5,736,0,4,6,0,4,6,0,0,13,16,19,23,24,4,10,8,0,113,122,310,331,260,187,115,30,8,1353
UCL315036,0,4,3,9,0,0,21,0,0,0,4,0,0,0,0,8,10,23,14,14,13,13,3,5,91,6,14,17,24,26,12,6,0,90,30,46,33,47,49,44,6,0,258,11,7,10,7,4,0,0,0,38,5,0,0,4,9,6,0,0,23,46,54,53,55,55,50,9,0,317,0,0,0,0,0,3,0,0,5,33,35,30,35,32,38,22,16,243,93,140,109,132,128,119,40,18,775
UCL315037,14,8,9,12,5,5,60,3,6,11,17,11,11,6,0,65,10,77,101,56,45,37,17,0,339,20,44,67,79,68,39,15,5,331,85,142,178,151,153,94,33,3,837,19,8,11,5,4,0,0,0,52,8,9,15,15,14,15,0,0,68,103,154,199,172,165,114,30,4,955,0,0,0,0,7,5,3,0,20,19,27,21,26,19,25,22,3,169,156,315,411,364,329,247,102,19,1941
UCL315038,11,6,3,5,0,0,34,0,7,8,7,7,0,0,0,28,10,33,67,38,22,12,4,0,179,11,18,43,34,25,6,0,0,144,50,93,78,86,84,25,8,0,428,4,3,8,0,6,0,0,0,19,4,0,4,5,4,4,0,0,29,61,99,94,99,92,33,8,0,478,0,0,5,0,0,0,0,0,5,5,11,17,11,7,3,4,0,61,83,169,242,187,161,59,20,0,927
UCL315039,4,0,10,3,0,0,17,0,0,5,0,5,0,0,0,6,0,17,14,8,3,0,0,0,42,0,0,7,3,8,0,0,0,22,4,9,15,16,12,4,0,0,58,0,0,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,4,10,11,16,15,16,4,0,0,70,0,0,0,0,0,0,0,0,0,11,20,18,17,3,8,3,0,82,18,61,52,47,46,15,7,0,236
UCL315040,16,8,15,9,0,0,79,0,5,10,0,4,5,0,0,25,47,202,44,15,26,9,5,0,349,38,92,38,26,16,10,3,0,227,70,127,41,42,33,15,0,0,320,18,8,3,0,5,0,0,0,30,3,12,9,5,6,6,0,0,35,90,143,50,43,43,18,0,0,386,0,3,0,3,0,0,0,0,14,69,174,99,109,173,116,28,0,760,246,648,252,213,275,160,40,0,1838
UCL315041,4,3,0,3,0,0,15,0,0,3,0,0,0,0,0,9,3,5,13,14,8,3,0,0,43,0,6,12,12,14,7,0,0,62,15,63,54,65,46,40,3,0,287,9,7,4,4,4,4,0,0,17,0,4,4,3,4,4,0,0,17,23,67,59,74,57,47,0,0,326,0,0,0,0,0,0,0,0,3,24,17,28,27,30,13,16,0,160,52,107,127,131,108,79,23,0,616
UCL315042,6,0,4,0,0,0,13,0,0,4,5,3,4,0,0,27,3,31,35,18,22,17,13,4,142,0,18,20,28,27,19,13,5,121,39,82,73,97,94,90,36,7,505,18,9,0,5,7,3,0,0,48,0,3,5,9,11,7,0,0,32,58,96,78,107,105,105,36,7,582,0,4,0,0,5,0,3,0,9,39,31,32,36,37,41,33,16,272,107,177,166,204,199,187,89,30,1165
UCL315043,0,0,0,4,0,0,3,0,0,0,3,0,3,0,0,10,0,5,4,14,6,11,7,0,45,0,9,7,7,13,12,0,0,55,10,19,20,33,41,32,11,8,173,7,0,0,0,0,0,0,0,15,0,0,0,9,3,5,3,0,21,21,22,27,38,49,34,18,8,210,0,0,0,0,0,0,0,0,4,9,10,5,7,14,26,23,7,96,33,44,46,68,79,91,43,12,419
UCL315044,3,6,9,4,7,0,45,0,3,5,3,5,7,0,0,25,13,52,37,39,34,26,9,7,223,7,26,23,42,42,37,12,3,193,65,142,104,133,179,101,66,14,812,19,15,13,6,5,0,0,0,53,8,3,8,15,10,8,0,0,56,90,159,119,152,202,109,69,17,912,0,0,0,4,5,3,3,5,23,63,56,42,72,76,80,70,42,495,183,301,237,317,385,267,169,69,1923
UCL315045,6,13,12,3,0,0,49,0,3,0,13,7,7,0,0,26,10,52,47,34,36,24,8,0,206,18,32,51,64,58,24,9,0,248,40,110,141,136,121,56,24,0,625,14,0,3,0,7,5,0,0,38,4,0,5,12,15,6,4,0,47,58,115,151,152,140,66,25,0,707,8,0,0,0,0,0,0,0,11,9,20,23,28,20,18,6,8,133,98,232,282,302,276,137,42,3,1383
UCL315046,7,3,0,8,0,0,26,0,7,0,0,3,0,0,0,23,11,69,88,21,10,15,4,0,217,8,19,20,16,22,20,10,0,113,25,63,66,42,52,36,12,0,299,3,11,3,4,3,4,0,0,28,0,15,12,0,5,5,0,0,39,26,84,84,51,60,43,16,6,363,3,12,11,0,0,4,0,0,32,40,53,77,41,53,34,21,11,328,84,250,285,135,147,127,48,19,1096
UCL315047,4,5,3,0,0,0,13,0,3,6,0,0,0,0,0,23,9,30,26,21,11,6,0,0,99,4,36,34,25,27,8,4,0,133,43,122,101,82,63,28,8,0,448,12,9,5,4,4,0,0,0,32,3,0,5,4,4,8,0,0,30,62,132,106,95,70,42,11,0,515,0,0,0,0,0,0,3,0,3,18,9,6,21,18,15,5,0,87,91,210,186,168,130,66,23,6,876
UCL315048,4,4,7,11,0,0,24,0,0,4,3,4,4,3,0,19,4,5,15,14,17,31,10,0,96,3,12,16,25,33,34,10,6,129,14,30,44,65,84,56,14,0,309,3,0,4,4,9,0,0,0,26,4,6,3,7,6,5,4,0,39,17,37,56,83,101,61,24,0,377,0,0,0,0,6,7,4,0,15,17,7,12,24,15,19,18,5,129,46,65,110,160,183,158,64,15,795
UCL315049,19,16,25,13,18,0,98,0,6,9,17,22,17,7,0,68,5,28,56,58,53,47,12,3,279,3,16,42,47,49,40,21,0,210,13,37,76,72,92,47,29,8,374,8,5,3,8,3,0,0,0,28,0,5,9,9,11,10,5,4,53,19,45,86,91,107,63,35,10,454,0,4,4,0,4,4,7,0,22,34,37,45,38,68,46,26,7,315,58,141,272,262,327,239,122,25,1450
UCL315050,9,6,6,3,0,0,37,0,4,4,8,8,3,0,0,27,20,36,28,23,19,18,12,0,153,11,36,38,52,46,34,8,0,233,78,117,107,98,88,67,30,9,593,17,14,7,4,6,6,0,0,62,6,9,14,9,9,11,9,0,64,102,136,128,112,105,79,40,7,719,0,0,4,3,3,0,0,0,17,35,40,31,41,45,56,58,48,364,170,266,247,242,225,202,124,57,1547
UCL315051,7,19,6,15,4,0,61,5,9,15,13,19,6,0,0,65,26,97,54,68,46,38,9,0,339,18,66,73,112,90,34,10,7,406,90,194,189,191,149,113,48,8,978,18,10,9,16,6,5,4,0,72,3,11,15,15,14,15,5,0,77,110,216,216,221,166,134,56,8,1133,0,3,0,3,9,6,0,0,18,22,29,35,32,23,21,34,12,195,180,423,398,467,359,254,113,27,2223
UCL315052,14,16,10,8,4,0,51,0,8,17,10,8,7,3,0,51,18,41,61,29,16,25,12,0,212,25,32,50,63,30,43,15,0,262,60,134,158,140,117,67,37,8,714,25,4,7,8,4,8,0,0,58,3,8,5,12,11,19,9,0,68,85,147,167,156,133,94,43,9,837,0,0,0,0,3,3,6,0,12,30,38,23,31,11,28,25,9,195,158,276,329,309,216,207,104,17,1615
UCL315053,15,13,8,15,0,0,55,0,13,17,13,6,13,5,0,63,26,78,59,35,33,28,9,0,270,6,40,30,54,50,25,14,0,215,58,116,94,78,86,62,16,3,516,16,10,12,0,3,0,0,0,45,3,0,4,0,11,9,0,0,38,75,137,105,85,100,78,14,3,598,0,0,0,0,4,3,0,0,6,52,52,48,38,68,62,40,35,394,166,320,279,234,278,219,76,38,1605
UCL315054,0,4,5,8,0,0,23,0,7,3,8,8,5,0,0,33,8,28,18,25,21,16,6,0,130,22,34,46,35,50,37,8,0,230,82,135,125,113,128,92,40,0,714,35,11,9,3,11,3,0,0,77,10,10,3,9,14,16,0,0,70,125,146,144,135,156,110,37,0,867,0,0,0,5,0,7,0,0,14,48,38,36,38,30,25,42,22,287,209,265,250,248,270,209,93,26,1579
UCL315055,4,9,21,27,5,0,70,0,0,7,8,15,17,3,0,50,3,9,25,41,52,64,30,0,228,7,17,26,40,86,103,27,4,298,26,38,38,99,172,174,62,14,612,8,4,0,7,6,11,0,0,40,0,0,0,9,16,18,9,0,58,34,38,41,112,198,198,70,14,709,0,6,0,3,8,8,3,0,28,25,27,28,39,51,95,60,16,339,64,98,134,254,429,507,208,40,1726
UCL315056,0,15,12,11,4,0,53,0,5,4,8,6,3,0,0,23,7,13,26,24,27,27,15,0,135,0,9,18,25,28,37,18,3,133,21,42,48,49,68,49,30,4,311,10,3,3,5,5,3,0,0,29,0,0,4,4,3,9,0,0,25,22,47,54,64,78,63,30,4,364,0,0,0,5,6,0,5,0,11,12,14,11,9,12,26,29,36,161,43,91,119,144,171,176,101,45,885
UCL315057,23,42,40,44,17,3,181,0,5,19,20,29,35,11,0,118,9,38,61,74,83,111,40,16,434,15,12,32,47,57,95,56,18,329,19,39,46,69,88,75,48,17,404,8,6,6,4,0,6,0,0,29,0,0,3,5,19,14,9,4,55,29,47,55,81,105,92,58,23,489,0,0,0,0,0,4,10,4,17,19,14,20,20,25,35,45,20,208,69,131,210,281,343,428,236,84,1776
UCL315058,7,0,0,0,0,0,16,0,3,8,10,6,6,0,0,31,15,51,60,21,10,3,0,0,164,10,35,56,41,17,8,6,0,176,75,250,233,131,67,32,11,3,809,15,15,4,3,4,0,0,0,41,0,12,16,6,4,0,0,0,41,97,276,254,143,75,32,15,3,889,0,0,0,0,3,0,0,0,6,18,24,22,21,10,12,11,0,115,134,388,411,244,125,58,24,8,1389
UCL315059,17,12,7,7,0,0,51,0,3,7,9,5,5,0,0,32,3,29,56,54,12,15,9,0,181,4,18,27,41,24,12,13,0,128,29,41,51,54,28,24,16,0,238,7,4,0,3,0,0,0,0,20,3,5,5,9,0,3,4,0,29,40,46,60,62,38,29,19,0,293,0,0,0,0,0,0,6,0,8,4,8,10,6,3,15,31,27,110,57,109,171,181,90,71,79,32,795
UCL315060,14,11,0,4,0,0,29,0,9,11,10,0,0,0,0,33,5,61,73,34,21,10,6,0,202,0,44,40,36,40,14,0,0,182,49,149,137,87,64,25,9,0,519,9,10,3,3,3,0,0,0,31,0,9,4,4,4,0,0,0,23,65,159,145,99,69,30,11,0,575,0,0,0,4,3,0,0,0,6,4,3,15,3,4,4,4,0,34,83,274,298,191,143,58,13,3,1065
UCL315061,11,4,0,0,0,0,28,0,6,5,4,0,0,0,0,17,18,66,30,28,15,0,0,0,154,8,24,36,27,32,3,0,0,129,21,138,140,112,88,18,0,0,514,11,4,6,3,7,0,0,0,27,3,5,3,9,4,0,0,0,23,30,147,153,124,88,22,0,0,565,3,0,0,0,0,0,0,0,7,151,353,296,313,243,54,0,0,1411,203,603,533,500,383,84,3,0,2309
UCL315062,4,3,0,0,0,0,13,0,0,4,0,0,0,0,0,6,8,33,31,17,12,8,4,5,110,3,12,23,16,16,13,6,6,92,39,62,34,44,39,30,3,0,263,5,8,4,0,4,0,0,0,19,0,0,7,10,3,0,0,0,18,44,75,36,57,49,34,7,0,297,3,0,0,0,0,0,0,0,9,39,31,32,28,34,32,22,25,235,97,149,123,122,108,91,37,26,763
UCL315063,3,0,0,0,0,0,17,0,0,0,0,3,0,0,0,4,3,38,34,13,8,6,0,0,111,0,7,9,14,14,11,3,0,57,10,35,51,42,37,24,5,3,219,7,0,3,0,0,0,0,0,16,3,5,0,4,0,5,0,0,16,28,41,56,50,45,34,7,3,253,0,0,0,0,0,0,0,0,6,11,27,17,20,23,24,18,8,147,48,133,117,99,85,79,31,14,603
UCL315064,4,4,0,0,0,0,5,0,3,4,0,4,4,0,0,17,6,19,32,16,9,3,0,0,84,0,4,12,7,12,8,4,0,51,18,67,54,32,26,31,0,0,230,11,11,0,3,0,4,0,0,24,0,4,5,4,0,0,0,0,17,29,82,64,37,26,32,0,0,274,0,4,0,0,0,0,0,0,8,48,31,41,26,19,13,15,3,204,86,148,156,96,62,65,24,4,642
UCL315065,0,4,0,0,0,0,10,0,0,0,4,7,3,0,0,13,8,8,11,11,10,4,5,3,65,6,0,6,9,11,10,3,0,49,24,30,20,25,34,32,6,4,176,6,0,0,3,0,0,0,0,20,0,0,0,0,3,5,0,0,7,26,34,20,29,37,35,6,4,198,0,0,0,0,0,0,0,0,9,22,3,8,11,14,25,14,17,114,61,58,59,66,78,82,31,26,461
UCL315066,24,16,7,17,3,0,88,0,7,12,17,4,12,0,0,59,12,74,71,59,62,40,8,3,325,20,39,64,83,48,36,11,0,299,69,109,119,108,107,61,28,0,596,17,4,9,0,0,0,0,0,34,0,10,14,3,12,5,3,0,42,81,117,137,115,122,66,34,6,675,0,0,0,0,8,0,0,0,12,20,33,48,39,37,23,11,3,214,129,287,365,325,285,192,75,13,1666
UCL315067,5,9,4,6,0,0,26,0,0,5,3,7,6,0,0,26,4,14,21,26,34,36,8,0,145,3,19,16,36,46,38,20,0,176,24,48,55,90,112,114,33,4,478,10,3,3,5,0,3,0,0,30,0,5,4,4,13,7,0,0,32,32,57,57,94,122,127,41,4,539,0,0,4,0,0,0,3,0,5,17,18,16,27,26,48,24,4,175,62,107,121,201,245,257,92,10,1095
UCL315068,6,8,9,3,0,0,23,0,3,4,5,3,3,0,0,21,4,17,13,28,27,20,3,0,112,0,13,13,21,19,12,11,0,96,26,71,60,76,65,41,21,0,361,5,4,10,0,3,3,0,0,34,3,0,0,10,5,8,3,0,30,35,70,74,85,77,53,19,0,418,0,0,0,3,0,0,0,0,5,40,18,16,31,22,38,14,10,193,76,122,132,179,160,133,56,14,865
UCL315069,0,0,0,3,0,0,7,0,0,3,0,0,4,0,0,7,4,12,13,13,16,14,4,0,66,3,6,13,21,26,24,4,0,97,22,35,55,65,86,71,28,3,360,14,8,0,6,4,5,0,0,39,3,0,3,7,5,3,3,0,28,35,47,58,76,95,77,33,3,431,0,0,0,0,0,3,0,0,8,39,40,42,52,68,75,43,19,364,79,107,130,170,203,194,86,26,987
UCL315070,4,4,4,0,0,0,23,0,3,3,0,0,0,0,0,13,20,35,19,10,7,13,0,0,110,3,11,11,15,16,12,3,0,84,35,85,94,58,47,28,5,0,367,23,7,5,6,0,0,0,0,39,0,4,6,3,6,0,0,0,17,62,93,104,67,54,30,9,0,423,0,0,0,0,0,0,0,0,0,55,92,116,114,96,47,18,4,545,142,252,264,220,181,107,29,3,1201
UCL315071,0,8,3,3,0,0,14,0,0,3,4,10,7,0,0,23,3,10,26,28,21,24,6,0,120,0,8,15,21,29,26,6,0,104,9,30,59,36,41,45,13,0,233,3,4,3,0,0,3,0,0,17,3,0,8,0,8,6,6,0,32,15,37,66,41,49,57,18,0,282,0,0,0,0,0,0,0,0,0,8,10,10,4,43,54,32,0,148,35,65,121,100,156,168,54,0,701
UCL315072,0,0,0,4,0,0,13,0,0,4,0,0,0,0,0,4,5,31,16,15,9,0,0,0,82,10,24,11,10,8,9,6,0,71,13,19,19,21,20,9,14,0,119,6,0,5,0,3,0,0,0,15,3,6,0,0,0,0,0,0,9,27,21,24,22,26,11,14,0,144,0,5,0,0,0,0,0,0,10,25,61,27,24,38,20,13,7,220,68,156,79,74,83,46,33,11,547
UCL315073,3,9,7,3,0,0,30,0,6,3,9,9,4,0,0,24,7,23,16,12,19,19,5,3,97,3,14,11,21,23,19,6,4,106,32,55,37,46,52,46,15,7,284,8,9,6,0,0,3,0,0,26,3,3,0,3,7,8,0,0,25,44,63,46,53,58,54,17,7,333,3,0,0,3,3,0,0,0,12,35,21,29,27,37,35,27,8,214,102,127,109,132,152,133,50,20,818
UCL315074,8,3,3,4,0,0,27,0,3,5,0,6,6,0,0,24,4,33,35,26,32,30,6,0,178,8,13,18,44,44,46,16,5,185,30,74,66,85,86,114,51,12,515,23,6,8,8,10,4,0,0,60,0,4,3,11,11,11,4,0,48,53,84,76,103,102,131,59,8,621,0,0,3,0,3,7,0,0,14,39,39,41,46,63,67,68,17,385,104,179,191,223,258,294,146,35,1430
UCL315075,11,17,31,22,6,0,94,0,0,3,11,10,5,4,0,38,0,26,34,34,54,35,20,3,208,0,6,16,17,37,38,16,4,128,9,15,25,28,55,62,26,6,221,0,0,0,0,5,3,0,0,14,0,3,3,5,7,11,3,0,32,10,15,31,32,65,76,32,6,265,0,0,0,3,4,0,3,0,13,13,19,21,24,65,39,22,8,202,28,72,119,136,260,215,92,23,944
UCL315076,4,0,4,7,0,0,15,4,7,8,4,4,0,0,0,28,7,20,33,29,26,18,9,0,148,8,24,42,55,42,33,8,0,218,103,137,137,131,111,66,24,6,720,27,17,5,4,5,0,0,0,65,3,4,9,17,8,11,5,0,56,129,164,158,149,125,75,28,8,835,0,0,0,0,0,4,4,4,15,42,29,37,54,37,30,38,22,278,185,233,284,295,237,173,83,34,1530
UCL315077,0,3,7,0,0,0,19,0,4,0,4,0,0,0,0,13,5,6,9,11,9,0,0,0,39,5,9,10,9,6,0,0,0,37,16,33,32,23,31,7,0,0,133,10,0,3,6,4,0,0,0,27,0,3,0,0,0,0,0,0,3,25,37,37,25,33,9,0,0,165,0,0,0,0,0,0,0,0,0,38,31,14,35,23,10,5,0,148,67,87,71,73,85,24,3,0,417
UCL315078,5,4,3,6,0,0,27,0,4,7,8,15,5,0,0,37,11,30,37,40,14,15,13,0,154,5,17,16,28,16,15,8,5,117,55,107,95,86,64,50,20,10,479,16,7,3,4,0,3,0,0,37,8,5,8,4,0,8,0,0,31,69,114,108,95,70,59,25,10,549,0,0,0,0,0,0,0,0,11,29,20,25,19,23,33,64,93,315,124,193,203,187,145,136,110,109,1213
UCL315079,0,16,15,8,5,0,49,0,0,14,16,3,0,0,0,36,3,27,46,55,42,29,12,0,202,4,8,28,33,55,37,7,0,173,33,49,53,77,79,54,15,4,363,6,6,0,4,5,0,0,0,23,0,0,0,7,8,8,0,0,32,41,56,58,88,91,59,13,4,413,0,0,0,0,0,3,0,0,6,17,8,18,15,13,20,14,0,107,65,103,160,210,227,154,59,5,995
UCL315080,38,25,47,61,20,6,258,5,16,17,17,36,31,8,0,125,46,333,146,133,160,170,48,8,1044,11,125,93,78,146,122,48,8,630,39,158,162,177,199,144,57,11,954,10,13,9,7,5,12,0,0,59,3,10,18,11,34,36,11,0,124,50,181,193,197,233,192,67,11,1135,3,5,0,0,10,6,8,0,45,84,272,139,128,290,320,143,24,1405,198,998,625,585,932,899,345,53,4637
UCL315081,8,8,0,6,0,0,16,0,0,6,8,10,0,0,0,27,11,40,46,41,21,20,12,0,194,5,12,32,35,38,23,11,3,174,55,115,126,134,128,82,52,11,703,22,9,9,4,5,4,0,0,48,7,3,10,10,8,10,6,0,52,89,118,137,151,142,90,63,11,807,0,3,0,3,0,0,0,0,16,20,21,21,34,25,38,29,16,206,132,208,255,277,243,187,118,29,1446
UCL315082,11,7,10,3,5,0,29,0,0,4,5,13,4,0,0,24,4,22,28,30,30,25,15,5,151,3,15,19,13,36,37,9,0,129,21,17,37,61,70,59,15,0,293,4,3,3,0,3,4,0,0,12,5,0,4,5,11,11,3,0,28,27,22,41,68,84,69,26,5,337,0,0,0,0,0,5,0,0,3,15,21,14,14,34,39,7,4,137,44,81,107,138,197,182,60,8,816
UCL315083,4,3,10,3,0,0,21,0,0,5,4,8,0,0,0,17,5,14,15,19,12,7,0,0,72,7,10,13,26,31,6,0,0,91,18,40,50,50,62,21,7,4,245,3,0,3,0,0,0,0,0,10,0,0,4,3,3,0,0,0,18,24,41,53,60,67,21,7,4,270,0,0,0,0,0,4,0,0,3,9,0,0,4,3,11,0,0,30,40,66,91,114,137,52,12,3,509
UCL315084,3,3,19,12,0,0,40,0,10,3,11,11,11,0,0,41,5,18,15,23,33,30,4,0,120,0,9,20,34,46,27,7,0,146,29,54,66,84,136,90,37,0,495,7,0,3,6,3,0,0,0,24,0,5,5,0,15,13,7,0,45,41,63,68,97,151,104,42,0,565,0,0,0,0,4,0,0,0,14,10,0,0,9,17,19,12,3,77,55,95,117,173,279,204,67,4,996
UCL315085,0,4,5,7,4,0,36,0,3,0,3,3,7,4,0,27,10,35,27,24,25,15,5,0,130,14,22,38,35,47,31,7,5,191,90,113,110,94,96,52,22,3,570,26,10,11,5,5,9,3,0,55,0,3,14,11,5,3,0,0,32,114,129,130,101,102,60,31,3,667,0,3,0,6,3,0,0,0,15,40,35,19,31,31,34,42,52,283,176,235,215,207,213,152,91,52,1346
UCL315086,3,6,25,15,0,0,51,0,0,3,8,8,21,0,0,36,4,17,18,38,57,59,29,0,226,9,11,27,57,81,72,25,5,280,32,35,70,126,208,180,78,9,729,5,4,3,13,10,4,0,0,42,0,0,11,10,10,9,12,0,57,30,44,87,148,228,197,86,9,828,0,0,0,0,5,18,7,0,38,33,19,36,71,73,99,59,7,406,76,91,174,335,479,487,212,18,1867
UCL315087,35,54,47,30,9,0,177,3,4,12,29,21,8,3,0,85,35,61,117,154,96,58,20,0,541,14,17,30,82,68,50,10,0,269,35,33,48,63,79,46,17,4,321,10,4,3,3,4,0,0,0,24,4,0,0,10,10,5,0,0,35,52,41,49,80,92,52,16,4,384,0,0,0,8,6,3,0,0,14,4,0,0,5,4,8,4,0,29,107,127,246,395,336,212,62,8,1495
UCL315088,8,4,4,6,0,0,21,0,3,10,5,0,0,0,0,22,5,17,22,18,22,16,5,3,107,4,20,21,32,40,22,9,0,147,48,108,121,120,90,67,19,0,581,23,14,17,11,3,3,0,0,72,8,5,9,7,9,0,4,0,39,75,131,143,140,105,75,25,0,694,0,0,0,3,0,4,4,0,8,50,59,64,43,55,54,36,30,391,134,236,265,240,230,169,79,38,1393
UCL315089,4,6,9,3,3,0,45,0,6,5,5,10,7,0,0,33,26,67,26,31,22,16,5,0,198,3,19,31,24,22,20,9,0,131,48,99,70,60,57,48,3,0,388,9,0,10,6,3,0,0,0,27,6,0,6,8,6,4,4,0,33,62,102,83,67,62,55,14,0,447,0,3,0,0,0,0,0,0,10,30,44,37,43,49,29,35,16,283,122,267,184,182,174,126,68,23,1153
UCL315090,10,8,18,25,8,0,91,0,8,6,16,10,8,7,0,57,20,76,68,71,60,68,22,6,396,4,23,43,64,72,59,23,4,290,73,123,139,124,113,110,54,11,750,18,14,9,12,10,11,3,0,74,0,6,11,3,7,25,6,0,67,97,144,157,142,127,142,56,16,883,0,0,4,3,0,5,6,3,24,50,62,48,55,68,93,77,30,486,176,332,335,363,354,392,209,60,2223
UCL315091,21,4,7,3,0,0,61,0,16,9,19,5,8,0,0,54,10,68,61,47,38,4,0,0,234,4,24,50,35,34,9,0,0,170,46,107,101,76,47,15,4,0,395,38,15,10,3,8,4,0,0,78,0,6,3,0,0,5,0,0,25,81,131,122,83,57,22,4,0,496,0,0,0,0,0,0,0,0,0,64,53,43,46,47,16,11,0,281,161,311,308,234,186,69,19,0,1295
UCL315092,0,5,8,8,0,0,28,0,0,5,0,11,7,6,0,28,0,6,5,15,40,51,12,6,134,0,10,12,18,50,67,29,4,188,13,16,31,54,106,118,69,10,410,3,0,4,7,9,8,0,0,40,0,0,3,4,15,12,7,4,44,17,18,38,64,133,140,74,17,495,0,0,0,0,4,7,3,3,19,16,5,29,29,35,86,56,22,276,32,40,90,131,280,361,190,41,1168
