LGA_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
LGA45340,3635,24078,26374,8876,4923,67887,2631,70520
LGA45400,24,97,113,50,65,356,32,390
LGA45540,77,338,198,91,49,745,122,865
LGA45680,3276,12842,12208,4166,2331,34823,2248,37070
LGA45890,4835,19800,18112,5333,2609,50692,2210,52900
LGA46090,552,2073,1766,616,317,5320,592,5912
LGA46300,443,2182,2154,663,310,5749,448,6199
LGA46450,701,2743,2273,906,513,7134,459,7590
LGA46510,675,3225,3208,1008,482,8601,241,8842
LGA46670,239,1311,1415,618,340,3922,279,4197
LGA46860,24,238,283,102,57,706,36,741
LGA46970,38,389,547,223,96,1287,149,1433
LGA47140,3723,19094,18998,6642,3529,51996,2355,54350
LGA47290,38,235,299,141,99,810,75,884
LGA47490,29,306,322,137,99,885,84,974
LGA47630,81,741,990,449,292,2553,243,2798
LGA47700,1835,13022,15375,5244,2929,38409,933,39342
LGA47800,109,729,763,321,267,2190,229,2421
LGA47910,64,425,471,174,100,1235,77,1307
LGA47980,1262,6532,5542,1450,737,15525,392,15917
LGA48050,397,3298,2486,713,352,7243,265,7499
LGA48130,120,880,948,436,300,2685,165,2849
LGA48260,254,1190,1233,327,195,3196,127,3323
LGA48340,211,1489,1749,794,469,4717,321,5035
LGA48410,2495,10222,8566,2505,1220,25011,830,25839
LGA48540,1115,3570,2824,1011,535,9047,696,9746
LGA48640,23,124,142,76,72,426,51,483
LGA48750,63,946,997,342,187,2540,127,2670
LGA48830,202,1913,1968,674,432,5190,397,5586
LGA49399,171,695,364,126,143,1498,216,1716
LGA49799,0,0,0,0,0,0,0,0
LGA50080,687,5083,5619,2127,1333,14843,822,15664
LGA50210,1348,9956,13704,4648,2652,32307,1649,33956
LGA50250,182,1225,688,231,120,2448,416,2862
