LGA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA14850,899,608,550,566,605,622,487,279,194,4813,7607,5001,4834,5217,6006,6661,5543,2676,1143,44697
LGA14870,391,259,352,305,279,282,251,133,40,2306,3432,2140,2296,2182,2666,3177,2838,1647,539,20916
LGA14900,4764,2849,2986,3005,2417,1997,1285,911,633,20844,51593,32697,33480,34055,29650,25181,15961,8091,2965,233665
LGA14920,183,123,102,109,150,138,154,74,35,1067,1338,789,721,787,950,1139,1075,593,185,7587
LGA14950,66,48,20,30,42,56,38,19,12,321,672,328,257,311,381,530,426,246,112,3274
LGA15050,1619,841,878,851,704,629,378,271,156,6327,19275,11073,12882,11934,10912,9775,8012,4329,1498,89694
LGA15240,1642,889,781,852,1024,1189,1278,874,442,8976,14355,8332,7743,8529,11051,15526,17513,10475,3884,97410
LGA15270,580,277,306,317,364,370,278,179,62,2731,5131,2614,3029,3003,3409,3522,2955,1798,586,26047
LGA15300,653,397,422,410,409,438,282,150,44,3213,2644,1517,1767,1534,1703,1812,1362,741,199,13276
LGA15350,219,176,143,187,219,177,138,127,42,1425,4496,2896,2922,3602,4109,3568,2961,2147,912,27598
LGA15520,212,98,122,137,142,173,148,122,59,1207,2170,1055,1200,1276,1521,1873,1944,1160,393,12600
LGA15560,75,42,52,46,52,66,54,27,16,422,543,336,410,345,407,552,424,200,73,3299
LGA15650,385,232,299,270,248,187,114,57,31,1824,3446,1975,2371,2193,2142,2000,1440,741,261,16568
LGA15700,450,230,221,192,233,371,328,151,67,2243,3254,1782,1692,1849,2314,3539,3614,1989,715,20753
LGA15750,366,199,208,188,252,267,163,72,31,1746,2556,1417,1659,1457,1641,1910,1392,802,309,13135
LGA15800,171,79,66,93,80,81,75,47,27,725,1140,563,557,620,669,812,678,429,200,5666
LGA15850,263,110,109,125,96,137,99,76,52,1048,1342,697,693,669,700,843,737,469,166,6312
LGA15900,2008,2258,1962,1572,1535,1400,1017,786,638,13182,27311,23633,26714,21759,20593,19053,15055,9049,4467,167644
LGA15950,405,311,778,696,508,452,376,262,147,3937,8575,5372,14346,12203,8644,7250,6247,3726,1178,67550
LGA15990,2602,1709,1668,1972,2319,1907,1271,950,662,15055,48265,29799,28623,35179,39562,31995,23681,16289,7227,260619
LGA16100,164,104,102,132,110,89,128,54,6,874,976,518,549,630,747,845,858,410,104,5629
LGA16150,876,475,503,468,446,371,292,199,136,3777,9425,5316,5996,5552,5174,4813,4170,2495,1035,43971
LGA16200,339,197,182,204,160,204,115,63,45,1508,2923,1663,1657,1591,1686,1924,1551,966,428,14382
LGA16260,3080,2046,3826,3207,1992,1634,1138,772,502,18203,46918,28489,49764,45479,29103,24811,18192,9990,4161,256908
LGA16350,4151,2638,3226,2851,2398,1706,1254,852,547,19624,46086,28282,32966,31728,26842,23264,17366,8208,2732,217477
LGA16380,1187,772,622,666,749,833,810,539,320,6498,13950,8903,7734,8688,10493,12125,13266,8720,3439,87317
LGA16400,1167,636,570,578,691,670,701,516,242,5768,12973,7900,7045,7851,9201,10562,10662,6415,1838,74450
LGA16490,896,568,692,627,596,634,393,163,73,4639,12337,6874,9304,8994,9144,7939,5172,2451,764,62993
LGA16550,1383,1258,1944,1603,1355,1029,827,570,495,10460,20590,15767,24236,20186,17315,13964,10619,6909,3347,132935
LGA16610,650,368,301,336,319,352,297,198,92,2911,4344,2615,2312,2338,2807,3337,3408,1906,755,23805
LGA16700,1052,812,1363,1111,847,827,583,409,441,7442,20848,14403,23720,21232,15220,13961,10494,5836,3075,128780
LGA16900,1299,784,689,652,673,607,487,398,368,5954,14574,9407,9532,9297,9619,9594,7727,4418,1700,75865
LGA16950,1916,1201,1271,1293,1243,1209,1014,668,305,10118,17662,10420,11103,11292,12427,16120,16822,9731,3489,109059
LGA17000,451,435,322,264,295,252,135,77,21,2252,5120,3411,3314,3064,3357,3053,2158,1040,360,24880
LGA17040,460,434,551,449,472,474,308,143,45,3338,4318,3583,3777,3150,3787,3972,2831,1429,482,27335
LGA17080,333,161,193,240,232,227,145,129,33,1694,2729,1479,1506,1736,1895,2216,1857,1109,403,14929
LGA17100,453,490,772,436,276,254,147,98,48,2981,6784,6562,11015,6642,4527,4384,2930,1717,811,45368
LGA17150,2448,1543,1462,1723,1834,1503,1100,805,615,13035,42302,26751,26219,30389,31690,28208,22528,13734,6415,228231
LGA17200,1403,3110,6567,3880,2584,1969,1251,762,415,21937,16267,27328,69116,40220,23488,18293,12462,6082,2150,215399
LGA17310,1444,889,824,766,778,675,539,469,247,6624,12744,7531,8080,7394,7540,7596,6685,4213,1614,63390
LGA17350,79,60,38,39,55,69,56,43,18,459,1101,638,521,570,714,871,863,511,231,6024
LGA17400,121,74,69,82,107,147,140,64,23,821,980,579,507,589,848,1239,1409,618,210,6991
LGA17420,1718,1162,950,1268,1280,957,695,435,311,8775,40570,24431,19335,30779,27030,20909,16795,8770,2874,191486
LGA17550,1669,971,955,1144,1210,1174,1002,714,452,9289,16160,9211,9012,11215,12144,14102,13822,8659,3804,98125
LGA17620,235,131,148,144,169,188,133,79,45,1278,2660,1539,1706,1733,1802,1952,1651,940,396,14387
LGA17640,152,78,64,93,107,159,142,67,22,892,1430,790,715,856,1139,1513,1241,666,229,8575
LGA17650,99,61,54,56,75,101,71,32,6,554,1055,614,542,600,820,953,823,415,120,5946
LGA17750,1206,1014,808,661,675,573,421,296,165,5826,13809,10615,9877,8307,7645,7416,5950,3491,1559,68655
LGA17850,72,32,34,28,42,58,46,29,8,339,508,264,273,264,371,454,473,312,74,2999
LGA17900,300,161,182,167,200,238,187,99,15,1560,966,526,655,550,696,954,822,399,82,5654
LGA17950,65,25,36,38,44,50,46,40,32,375,492,269,297,249,322,399,297,203,86,2620
LGA18020,239,156,139,125,194,234,225,163,79,1549,1567,895,869,832,1119,1447,1474,870,342,9412
LGA18050,654,471,1328,854,598,419,313,245,139,5009,10606,6028,15745,11413,8679,6018,4515,2791,1337,67134
LGA18100,48,26,23,30,42,53,42,31,11,306,547,310,292,328,425,580,573,345,140,3534
LGA18200,201,134,148,156,156,143,114,48,18,1115,1417,782,860,888,996,1154,946,490,138,7673
LGA18250,705,419,570,685,605,491,437,321,273,4509,14200,8139,9455,12742,10785,8213,6583,3728,2045,75892
LGA18350,690,403,317,389,491,492,470,410,288,3949,8928,5245,4808,5371,6808,7256,7744,5183,1749,53085
LGA18400,836,570,439,514,520,422,278,222,186,3995,11663,6838,6519,6883,7292,6263,4936,2441,772,53608
