LGA_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA20830,270,5629,5901,7405,893,8301,2958,217,3179,2882,145,3026,1382,86,1470,643,48,689,15542,7012,22560
LGA20910,546,9699,10256,11599,1205,12808,5670,280,5947,6899,200,7093,2427,105,2534,535,20,556,27673,11514,39190
LGA21010,92,2090,2184,2206,340,2548,679,75,755,536,36,581,243,29,275,116,12,123,3873,2590,6461
LGA21110,782,16504,17287,17940,2750,20694,9180,815,9992,10756,452,11210,4059,203,4263,1159,66,1230,43878,20797,64668
LGA21180,523,13711,14234,16714,2588,19301,11261,1139,12403,11169,871,12040,5178,460,5639,3683,221,3907,48529,18993,67522
LGA21270,32,977,1003,910,164,1070,273,38,313,212,18,232,123,17,137,54,4,56,1606,1207,2813
LGA21370,203,4645,4850,5266,775,6043,1863,169,2028,1661,110,1775,854,62,915,428,25,452,10273,5787,16057
LGA21450,492,7815,8306,11150,1469,12622,6771,462,7229,7477,325,7803,3354,169,3525,1830,78,1909,31061,10328,41387
LGA21610,991,17979,18969,27842,3558,31398,21394,1504,22896,24427,1078,25506,10878,561,11447,7414,322,7733,92945,25000,117951
LGA21670,52,2265,2313,1956,346,2300,637,55,694,495,30,527,223,15,234,116,10,131,3483,2719,6198
LGA21750,127,3020,3145,2861,605,3467,1043,131,1173,955,84,1037,488,47,535,215,21,240,5690,3902,9593
LGA21830,86,2047,2128,2251,328,2572,750,68,817,619,41,664,370,26,398,175,11,187,4251,2516,6769
LGA21890,704,18729,19435,16485,3533,20019,8337,1429,9764,8064,684,8743,2423,248,2671,1054,123,1177,37065,24748,61810
LGA22110,317,6588,6906,7426,1207,8639,2216,249,2467,1850,166,2012,861,78,935,398,41,436,13063,8323,21385
LGA22170,672,15210,15882,15372,2369,17736,8503,621,9127,7947,313,8259,3039,163,3197,1205,73,1278,36737,18755,55490
LGA22250,46,1549,1593,1585,237,1823,484,49,531,380,29,409,202,22,224,105,12,126,2806,1890,4700
LGA22310,709,16619,17330,16399,2664,19062,8498,768,9265,9347,443,9793,3126,164,3291,996,59,1053,39078,20715,59790
LGA22410,124,2743,2865,2918,456,3365,1021,80,1103,838,66,901,353,20,379,145,4,150,5396,3368,8766
