LGA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
LGA17850,32,30,66,74,60,138,30,35,68,4,3,8,110,100,211,44,54,94,8,8,13,26,34,61,79,91,168,5,0,5,0,0,0,0,0,4,5,16,23,0,0,0,19,16,34,10,13,23,0,0,3,0,7,4,0,22,22,0,0,0,15,41,52,33,56,85,0,3,3,0,0,3,0,0,0,3,5,8,145,142,282,0,0,0,397,423,821
LGA17900,38,43,80,117,127,246,41,50,93,4,0,4,167,172,341,82,75,154,0,6,5,16,26,45,100,108,204,6,3,7,0,5,3,3,3,9,5,20,32,0,0,0,19,34,52,6,22,28,0,3,9,0,4,4,6,26,30,0,0,0,10,60,73,29,99,124,0,0,0,0,13,13,0,0,0,3,13,19,705,712,1413,10,5,16,1047,1154,2201
LGA17950,41,21,65,60,45,103,47,55,104,0,0,0,104,100,211,38,54,90,5,5,11,10,16,23,50,78,126,0,6,3,3,5,5,12,8,19,11,27,34,0,0,0,25,49,73,7,11,19,0,4,4,0,3,6,0,17,15,0,0,0,12,28,36,36,79,111,0,5,5,0,0,3,0,0,0,0,5,3,165,153,326,10,4,11,403,442,842
LGA18020,77,91,168,230,204,435,85,98,187,3,5,3,323,306,625,261,267,525,8,9,24,23,27,46,296,303,594,5,12,16,0,15,20,20,8,34,21,57,79,0,0,4,57,96,146,12,32,45,4,21,20,0,11,11,10,38,50,0,0,0,25,96,122,79,192,268,4,0,8,7,10,21,0,0,0,15,13,30,667,673,1345,9,4,13,1462,1583,3043
LGA18050,725,695,1423,1241,1152,2389,281,282,555,818,756,1570,2335,2192,4527,422,401,825,335,368,707,1103,1057,2160,1870,1824,3698,43,75,121,136,218,361,98,80,178,475,615,1085,4,0,3,762,989,1750,746,900,1647,247,436,686,77,121,199,383,640,1024,6,11,17,1456,2099,3561,2227,3099,5316,81,109,184,313,442,763,4,3,9,398,553,950,1818,1991,3814,169,153,323,9534,10512,20045
LGA18100,30,32,62,101,101,198,13,19,33,0,0,0,111,118,236,99,69,172,21,21,44,4,0,7,120,95,222,0,7,7,4,5,7,10,7,18,9,24,37,0,0,0,20,44,69,6,18,24,8,3,8,3,9,11,7,18,22,0,0,0,18,44,60,40,90,129,0,0,0,0,5,11,0,0,0,0,9,11,118,127,243,0,0,0,421,473,897
LGA18200,90,70,157,259,203,465,33,40,77,21,20,44,322,267,586,123,139,258,73,48,125,19,23,36,214,208,426,7,14,23,4,10,12,25,10,33,34,39,76,0,0,0,76,75,151,6,27,30,4,4,13,5,6,12,18,30,49,0,0,0,30,71,98,104,141,248,0,3,5,9,23,29,0,0,0,15,23,40,546,418,969,46,16,55,1332,1149,2481
LGA18250,912,820,1731,2501,2388,4894,516,489,1004,499,501,1001,3525,3386,6913,1076,1303,2376,685,499,1187,997,924,1917,2761,2726,5483,85,84,175,142,230,376,109,61,166,288,597,883,5,0,5,623,976,1594,1326,1336,2659,369,454,821,144,167,305,389,544,934,3,11,15,2226,2505,4733,2850,3481,6331,117,159,275,236,338,570,3,7,8,352,500,854,1425,1634,3061,182,187,372,12011,12732,24744
LGA18350,512,518,1032,1322,1135,2455,350,328,675,466,494,964,2141,1956,4093,729,650,1376,422,460,883,503,673,1173,1655,1780,3435,43,79,125,47,81,127,274,145,425,194,393,592,4,5,8,575,700,1271,236,373,614,75,158,234,54,67,118,153,326,480,0,3,7,523,926,1455,1100,1629,2729,47,54,104,58,138,195,4,6,7,107,199,305,1255,1388,2641,38,40,78,6800,7514,14314
LGA18400,797,704,1490,1927,1647,3571,423,439,864,362,397,759,2710,2488,5195,1010,936,1952,525,557,1084,428,483,907,1961,1977,3941,62,75,136,29,67,98,465,190,662,175,299,472,0,0,7,738,633,1365,252,503,757,66,143,206,39,97,130,129,257,389,0,0,0,482,997,1483,1227,1631,2855,38,34,78,62,103,164,0,0,0,103,136,242,1171,1193,2359,34,19,55,8004,8144,16146
LGA18450,2555,2383,4931,6349,5837,12184,1597,1620,3215,619,667,1284,8568,8143,16708,4286,4248,8534,1819,1770,3592,701,666,1363,6813,6694,13501,318,393,706,314,499,818,1143,677,1825,943,1507,2453,13,16,30,2729,3099,5832,2791,3567,6358,1158,1190,2343,442,530,971,871,1618,2496,10,10,19,5269,6923,12192,8012,10031,18045,210,216,429,299,500,794,11,8,12,515,720,1234,4654,5011,9663,102,113,210,31218,33086,64300
LGA18500,488,457,947,755,775,1532,137,205,343,816,743,1565,1721,1723,3444,183,201,383,144,305,452,1242,1078,2314,1573,1589,3162,36,25,61,49,108,158,50,46,96,160,299,457,0,3,3,299,485,782,731,839,1573,209,280,486,97,99,200,291,444,734,5,0,12,1335,1666,3000,1629,2154,3784,34,45,83,119,188,300,3,0,4,155,236,389,1129,1351,2482,93,111,206,6801,7613,14417
LGA18710,182,175,354,543,490,1034,253,231,483,61,62,122,853,783,1634,394,372,762,162,193,355,98,106,204,653,671,1321,15,24,39,13,20,34,101,52,150,85,133,221,0,0,0,212,231,442,79,141,219,15,49,65,28,30,58,80,169,246,0,0,0,202,384,585,414,617,1034,17,14,32,33,55,85,0,0,0,49,75,119,562,400,963,7,12,19,2712,2734,5450
LGA19399,11,3,15,42,41,90,0,5,5,0,0,0,46,44,88,12,4,18,5,5,12,0,7,5,21,17,34,0,0,0,0,0,0,0,0,5,3,11,13,0,0,0,8,10,18,0,0,0,3,4,3,0,0,0,0,6,8,0,0,0,6,9,14,11,25,32,5,0,5,0,4,5,0,0,0,3,4,6,57,46,105,4,4,8,150,148,298
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3
LGA20110,117,112,230,423,383,804,75,72,143,11,17,28,514,467,978,307,298,607,88,84,173,48,48,87,440,423,866,19,17,37,19,29,47,44,23,65,44,91,131,0,0,0,122,158,280,35,53,84,21,47,65,6,19,19,39,104,142,0,0,0,100,217,314,218,378,592,5,16,18,15,25,40,0,0,0,20,38,56,481,467,946,8,19,25,1793,1900,3695
LGA20260,125,97,224,336,322,653,64,57,124,7,0,9,407,382,785,156,125,281,110,164,274,22,15,42,292,300,595,6,9,20,8,15,23,26,12,42,30,42,70,0,0,0,73,82,153,15,37,47,13,31,49,0,13,19,16,55,64,0,0,0,45,140,184,119,218,339,16,4,13,17,26,38,0,3,6,30,34,63,1144,367,1509,8,3,13,2120,1407,3531
LGA20570,1321,1218,2545,2925,2679,5599,1380,1356,2738,590,600,1192,4898,4644,9543,1755,1821,3571,1277,1192,2468,817,906,1720,3849,3921,7771,184,178,369,157,236,390,402,232,632,443,631,1078,0,6,8,1187,1285,2477,849,1357,2206,367,643,1013,120,184,307,483,937,1415,3,7,13,1822,3132,4951,3014,4422,7437,144,137,279,225,381,607,9,5,17,379,523,904,2848,2914,5765,58,47,102,16370,17695,34064
LGA20660,1552,1395,2950,3819,3659,7478,1148,1144,2290,285,333,619,5257,5139,10397,2485,2179,4664,1026,996,2025,705,787,1497,4224,3970,8200,227,219,445,196,284,478,368,138,510,456,580,1038,6,4,5,1249,1228,2473,1543,1891,3435,558,716,1274,202,251,452,629,1062,1692,4,0,7,2931,3922,6859,4187,5152,9337,190,132,322,345,433,772,9,4,7,534,573,1103,2085,2037,4120,80,98,182,17922,18373,36293
LGA20740,365,339,702,1034,978,2011,227,174,402,197,179,378,1457,1336,2793,709,676,1389,72,79,150,295,308,597,1074,1063,2135,34,40,80,38,63,97,116,66,182,116,188,304,8,8,8,308,363,670,101,186,285,39,106,149,13,38,50,75,242,311,4,3,8,230,568,799,536,933,1466,26,21,51,64,99,161,0,0,5,90,125,220,1388,1470,2859,16,20,36,4930,5279,10213
LGA20830,644,587,1235,1713,1529,3243,412,422,840,305,297,597,2434,2253,4687,1109,1080,2190,382,431,810,356,392,747,1844,1906,3747,79,100,178,34,129,163,237,143,382,184,362,552,3,4,3,544,730,1277,198,389,587,72,195,264,32,83,112,127,367,498,3,5,3,427,1043,1470,975,1780,2755,86,68,151,90,159,249,0,3,7,180,234,412,1575,1595,3171,22,34,54,7679,8389,16066
LGA20910,1074,1057,2126,2528,2410,4940,825,826,1650,968,840,1814,4322,4088,8410,1279,1121,2405,640,813,1453,2322,2137,4464,4248,4080,8324,133,94,228,59,149,211,214,79,288,204,378,581,0,7,4,609,705,1314,1805,1910,3714,269,336,607,226,207,433,391,713,1100,4,9,9,2694,3170,5861,3307,3877,7175,67,68,137,181,340,516,0,0,3,249,408,661,1502,1759,3257,105,101,204,14801,15367,30162
LGA21010,88,97,193,245,205,448,148,173,324,27,46,71,424,424,847,195,183,384,131,108,245,58,58,119,389,360,750,11,22,34,23,20,41,42,27,68,42,91,135,4,0,4,127,163,284,16,41,57,7,22,32,0,14,13,23,68,84,0,0,0,48,138,186,173,297,469,19,7,32,10,31,44,0,5,0,31,41,79,630,631,1255,5,4,5,1741,1869,3607
LGA21110,1604,1523,3123,4209,3844,8053,1110,974,2087,1204,1411,2614,6535,6239,12769,2361,2321,4686,1519,1166,2686,3251,3449,6700,7141,6945,14090,274,221,492,247,337,588,258,108,366,489,676,1165,7,9,10,1274,1339,2619,4283,4368,8653,1078,1144,2217,501,492,990,1035,1459,2495,14,9,19,6915,7461,14377,8197,8811,17008,220,201,423,355,545,908,11,5,9,582,752,1340,2178,2358,4541,309,251,560,26547,26874,53429
LGA21180,1796,1587,3389,4652,4211,8862,2290,2306,4601,524,510,1036,7479,7037,14519,4222,3784,8010,1406,1686,3089,616,631,1248,6252,6107,12360,666,522,1187,666,760,1427,541,230,778,673,833,1505,16,14,31,2571,2355,4926,2334,3051,5378,905,995,1897,286,318,606,462,698,1163,11,16,26,4002,5076,9078,6595,7453,14048,761,657,1416,676,966,1636,28,27,53,1463,1651,3111,6414,5860,12273,176,205,385,30181,29901,60084
LGA21270,48,49,97,148,156,307,53,38,91,8,0,7,215,189,406,191,181,367,4,5,7,0,3,9,198,186,379,0,6,8,3,10,14,25,7,27,5,22,25,0,0,0,32,45,79,14,31,44,5,4,9,0,0,0,3,27,32,0,0,0,26,59,89,59,105,162,5,4,7,14,18,24,0,0,0,15,20,30,318,264,577,0,8,10,848,814,1663
LGA21370,363,324,685,946,883,1825,471,526,999,94,84,170,1513,1486,3000,660,619,1283,434,454,886,116,149,264,1210,1225,2434,53,49,98,31,75,102,183,112,296,113,228,340,3,8,6,377,468,843,68,143,215,16,79,99,16,34,45,58,170,227,0,0,0,157,431,589,536,895,1429,30,23,50,53,118,167,0,6,6,83,144,223,1436,1386,2826,24,20,38,5156,5478,10637
LGA21450,1723,1600,3325,4264,3839,8105,958,998,1954,829,871,1696,6055,5712,11767,2375,2375,4748,771,793,1561,967,936,1906,4115,4114,8228,241,281,517,201,369,576,572,281,860,481,792,1270,8,0,10,1501,1727,3228,750,1054,1801,259,522,783,108,188,295,324,799,1122,4,4,9,1450,2564,4014,2949,4302,7253,197,186,379,291,479,771,7,5,10,493,668,1164,2792,2902,5698,63,92,159,18196,19394,37591
LGA21610,4860,4367,9223,13618,12712,26328,2803,2733,5532,2233,2277,4508,18680,17761,36438,8877,8441,17321,2603,2639,5237,2307,2355,4660,13815,13453,27271,934,1114,2049,863,1297,2160,1340,650,1990,1532,2469,4001,22,14,41,4692,5540,10241,3629,4579,8205,1103,1720,2818,445,607,1056,1086,1924,3009,25,20,47,6278,8850,15133,11010,14425,25432,916,923,1835,1206,1748,2956,17,24,48,2141,2693,4833,8348,8274,16618,302,408,709,59153,61381,120532
LGA21670,102,93,194,347,319,666,105,102,212,13,7,16,467,429,898,241,236,485,47,35,87,77,88,163,366,365,731,11,8,14,11,16,23,31,15,49,20,50,73,0,0,0,73,91,165,20,48,71,12,17,31,4,12,21,12,50,62,6,0,6,50,128,176,121,218,339,4,9,19,15,34,47,3,0,3,24,43,66,527,517,1047,3,4,6,1613,1673,3282
LGA21750,234,226,460,491,463,955,362,325,685,11,3,11,861,794,1649,300,300,597,371,329,704,29,15,42,701,648,1343,23,26,46,22,34,56,83,48,132,66,109,172,3,4,3,198,216,411,41,109,152,26,65,87,8,24,34,40,113,149,0,0,0,112,311,424,314,525,837,28,24,55,29,49,86,0,4,4,61,81,141,780,732,1509,11,14,24,2965,3016,5973
LGA21830,140,140,283,419,401,817,182,186,372,0,11,18,605,600,1205,356,281,639,162,202,360,8,6,17,530,491,1023,12,25,39,9,25,37,74,39,108,39,64,103,7,4,5,136,156,294,23,53,75,11,40,54,6,10,12,35,50,83,0,3,4,72,159,230,207,314,526,10,16,19,6,27,35,0,0,0,19,38,60,598,546,1148,6,8,14,2118,2136,4249
LGA21890,1521,1409,2929,3505,3402,6904,995,963,1957,313,332,645,4832,4695,9529,2489,2191,4681,969,1053,2019,534,535,1065,3995,3781,7774,372,300,670,508,551,1064,351,175,533,651,826,1484,6,5,9,1895,1867,3760,2021,2519,4544,1288,1543,2837,241,320,557,968,1788,2759,11,12,24,4538,6181,10716,6438,8052,14491,294,277,571,407,535,939,6,5,8,699,815,1514,3252,3127,6382,105,123,223,20839,22004,42842
LGA22110,439,392,827,1157,1133,2294,335,345,678,114,126,238,1605,1605,3207,725,756,1480,374,369,739,114,103,222,1212,1228,2440,55,65,119,20,70,92,139,110,243,125,305,424,5,0,8,345,550,894,40,104,138,42,95,139,4,46,59,70,258,326,0,0,7,158,510,664,503,1060,1562,53,38,86,58,121,180,6,7,16,119,167,285,1881,1907,3789,28,15,42,5795,6363,12156
LGA22170,1756,1607,3363,4656,4424,9082,737,690,1435,366,337,700,5771,5457,11226,3403,3134,6534,554,536,1083,525,552,1074,4483,4222,8707,232,350,582,195,406,609,624,271,894,599,845,1443,3,0,7,1659,1883,3539,820,1282,2105,241,514,750,110,212,323,433,933,1361,6,11,12,1603,2953,4560,3272,4843,8115,196,199,398,278,488,772,0,7,7,479,700,1176,3601,3596,7198,59,69,125,19413,20494,39909
LGA22250,81,75,158,235,226,460,108,117,222,33,30,60,369,378,739,208,224,434,18,32,48,39,36,77,267,292,558,11,10,19,4,12,12,29,17,43,19,42,58,0,0,0,62,80,139,13,26,40,9,8,16,6,3,9,11,32,48,0,0,0,35,76,117,101,154,256,5,6,9,8,20,34,0,0,0,16,28,42,447,422,871,9,3,15,1288,1355,2644
LGA22310,1804,1631,3431,3824,3523,7342,891,925,1815,1409,1425,2832,6132,5881,12011,2404,2033,4443,907,1024,1929,2031,1970,4003,5353,5042,10395,303,208,503,275,391,662,279,128,413,518,725,1243,5,3,8,1381,1452,2828,2656,2982,5643,949,1036,1992,315,338,657,770,1197,1966,5,9,12,4708,5567,10274,6093,7024,13118,260,212,477,407,577,980,12,10,13,675,795,1474,2265,2575,4840,137,190,327,22459,23141,45602
LGA22410,161,160,322,499,460,961,132,158,293,40,51,89,673,669,1343,393,361,757,100,106,205,93,94,188,586,564,1150,30,27,61,11,35,47,82,50,124,55,116,172,0,0,0,172,227,403,24,41,67,13,32,48,3,17,21,36,98,135,0,0,0,77,193,269,248,427,670,17,18,38,21,52,79,0,3,6,46,75,121,733,643,1376,4,0,7,2457,2524,4990
LGA22490,328,324,651,938,815,1747,253,258,512,146,123,266,1335,1195,2530,534,486,1022,261,297,560,214,186,398,1016,971,1988,31,33,64,14,19,36,113,59,167,82,142,224,0,0,0,235,255,487,98,158,249,22,52,71,28,34,59,41,158,194,0,0,0,180,399,581,411,658,1075,30,19,48,52,65,114,0,0,4,79,88,165,598,558,1161,0,0,6,3774,3807,7582
LGA22620,1316,1259,2576,3345,3050,6399,1483,1406,2889,409,401,810,5239,4865,10109,2385,2286,4675,1002,1016,2020,507,552,1061,3899,3863,7759,227,308,535,192,338,537,454,269,722,455,652,1103,11,9,14,1335,1578,2915,685,1208,1892,240,441,684,98,151,249,331,818,1149,8,3,15,1360,2626,3984,2701,4209,6909,173,163,336,221,361,580,0,3,7,395,528,929,3470,3506,6978,53,43,95,17080,18269,35352
LGA22670,1466,1381,2846,3957,3763,7719,1162,1086,2252,681,676,1358,5814,5548,11355,3472,3107,6581,792,1013,1806,646,626,1276,4924,4755,9683,653,550,1204,596,754,1350,365,226,594,691,901,1587,4,5,12,2310,2443,4747,2151,2462,4605,846,946,1792,201,242,447,430,568,1002,18,11,26,3644,4232,7868,5960,6689,12647,662,652,1309,623,929,1553,18,26,39,1304,1602,2904,5007,4389,9401,188,208,396,24656,24573,49228
LGA22750,3166,2802,5968,7210,6807,14020,2498,2542,5039,1148,1089,2238,10870,10436,21311,4166,3791,7962,2194,2631,4823,2044,1780,3820,8416,8204,16615,470,548,1016,430,681,1118,1037,557,1593,1104,1427,2534,15,11,28,3060,3229,6291,2539,3465,6004,1107,1394,2504,353,537,894,1001,2021,3026,18,15,30,5013,7437,12451,8083,10673,18762,405,404,808,549,888,1437,12,5,17,965,1293,2264,7303,6375,13679,123,144,266,38922,39941,78862
LGA22830,770,658,1432,2069,1860,3925,711,782,1493,154,148,305,2938,2792,5731,1116,1073,2184,963,861,1819,348,297,646,2428,2229,4656,85,155,240,69,188,260,301,203,501,236,416,653,10,6,17,701,970,1672,195,410,613,92,189,288,29,87,119,177,345,526,0,9,11,499,1050,1551,1204,2025,3234,93,99,197,142,228,370,13,5,14,245,330,578,2853,2450,5301,44,47,85,10478,10534,21011
LGA22910,126,116,242,420,351,768,99,109,204,42,33,81,562,493,1060,271,254,528,88,86,171,72,106,177,436,441,873,12,12,19,12,23,41,32,14,43,71,91,161,5,0,3,124,141,270,30,63,89,28,64,90,8,12,24,48,127,177,0,0,0,116,267,374,238,408,644,12,13,19,22,55,78,0,0,0,34,66,104,624,689,1306,10,4,21,2029,2224,4250
LGA22980,45,55,104,108,113,220,20,25,49,30,39,74,158,174,337,161,131,293,0,0,0,14,17,24,174,148,327,0,5,4,0,6,5,8,13,22,15,30,44,0,0,0,32,50,80,10,20,27,6,16,21,0,0,0,8,22,28,0,0,0,24,62,82,53,110,159,10,11,18,11,21,28,0,0,0,19,29,46,175,164,345,0,0,0,632,686,1318
LGA23110,1127,1013,2138,2612,2593,5206,874,872,1743,256,256,507,3749,3723,7473,1508,1318,2830,782,928,1709,389,399,787,2678,2657,5334,159,157,314,174,218,395,249,94,348,331,484,807,5,0,5,914,960,1869,885,1074,1961,309,444,751,124,139,267,396,755,1149,3,5,10,1723,2410,4128,2640,3370,6006,172,163,336,263,345,606,3,6,6,436,510,944,2071,1948,4022,67,54,121,12764,13275,26042
LGA23190,197,216,415,579,481,1059,148,134,279,142,171,319,873,782,1654,488,453,944,106,108,217,88,92,180,691,653,1341,37,42,78,14,24,40,64,38,103,49,101,159,0,0,0,164,213,376,48,85,131,16,61,79,11,34,41,61,135,196,0,0,4,142,308,447,300,521,822,27,19,43,42,85,128,0,5,6,70,106,179,562,552,1118,9,8,11,2699,2833,5536
LGA23270,3119,2853,5969,7624,7067,14690,2631,2588,5221,1733,1751,3482,12024,11423,23443,5234,4874,10106,1827,1828,3652,1667,1869,3536,8738,8585,17329,855,680,1534,722,998,1716,816,352,1170,1010,1499,2509,14,9,35,3425,3543,6966,2469,3385,5853,843,1153,1995,291,378,668,587,1104,1690,8,18,27,4191,6040,10231,7630,9597,17232,908,962,1876,831,1343,2168,23,18,35,1758,2321,4076,7082,6474,13555,239,260,493,40591,41517,82109
LGA23350,171,148,320,477,474,950,129,141,267,73,48,124,677,666,1347,308,323,629,161,193,355,93,102,196,566,615,1178,17,21,37,11,30,41,72,52,126,75,116,183,0,0,0,173,220,392,23,66,92,18,31,48,6,15,22,48,141,188,3,0,7,100,256,351,268,475,743,21,20,39,14,49,64,0,4,3,36,67,103,618,482,1101,5,5,11,2340,2460,4801
LGA23430,1839,1765,3602,4351,4271,8625,1468,1312,2782,439,455,887,6266,6040,12304,2886,2906,5794,1488,1243,2732,861,910,1766,5236,5057,10300,363,289,646,264,369,632,525,210,742,585,824,1408,5,3,10,1746,1694,3444,1727,2121,3842,545,734,1280,250,314,556,628,1094,1724,9,8,13,3158,4270,7423,4912,5968,10881,262,218,482,370,543,915,6,3,9,641,771,1405,2629,2694,5323,117,135,254,21640,22425,44063
LGA23670,1761,1568,3328,4935,4512,9443,932,895,1824,578,545,1126,6447,5954,12402,3302,3192,6490,1269,1070,2329,869,811,1682,5441,5079,10522,307,334,632,210,372,580,635,259,892,607,945,1551,7,4,10,1764,1911,3684,1870,2199,4077,479,665,1148,255,320,577,598,928,1525,5,10,9,3211,4122,7327,4985,6042,11031,234,251,481,422,582,1011,13,0,15,671,833,1506,2439,2594,5027,121,153,279,21869,22224,44091
LGA23810,758,683,1441,2100,1913,4017,780,810,1590,189,144,336,3076,2867,5946,1537,1401,2943,530,592,1124,226,220,445,2296,2215,4511,82,141,216,74,196,269,282,218,498,255,445,698,6,3,10,693,996,1694,266,438,705,144,259,397,58,99,156,191,421,606,5,6,4,660,1211,1875,1351,2217,3570,94,79,177,143,226,372,6,6,13,245,317,559,3075,3180,6251,66,39,100,10866,11513,22379
LGA23940,54,52,106,208,231,437,33,26,59,8,10,18,250,266,519,162,194,354,23,26,56,19,15,27,199,236,438,3,0,9,8,17,22,14,6,24,16,33,48,0,0,0,40,61,105,10,34,40,5,16,22,5,4,5,6,30,33,0,0,0,21,79,101,64,138,204,3,6,8,10,18,25,4,0,4,14,24,34,442,429,869,0,4,4,1023,1149,2176
LGA24130,654,570,1221,1683,1623,3312,590,558,1149,194,191,386,2470,2370,4843,768,782,1555,651,635,1287,545,490,1034,1968,1910,3876,73,61,129,22,61,87,218,82,305,145,244,388,3,0,3,463,445,917,302,443,748,62,144,203,48,65,111,169,418,585,4,0,5,587,1062,1648,1047,1520,2564,29,42,73,97,122,216,5,0,5,124,167,292,1216,1243,2459,24,17,34,7506,7795,15302
LGA24210,1261,1145,2407,3656,3406,7063,829,785,1620,510,565,1076,5007,4760,9769,2527,2234,4766,935,848,1790,1075,1073,2153,4544,4169,8712,211,132,341,223,273,499,322,119,441,398,605,1004,6,0,5,1156,1134,2290,2117,2240,4359,535,610,1150,262,267,530,484,686,1172,3,12,16,3412,3812,7227,4573,4960,9534,169,169,343,342,554,898,5,6,10,521,734,1252,1652,1832,3488,177,183,364,17740,17781,35515
LGA24250,89,95,181,272,243,511,85,87,169,66,63,130,424,389,813,195,208,399,25,40,64,115,210,332,331,464,796,9,13,23,3,11,16,33,17,47,31,64,89,0,0,0,80,107,181,24,33,53,8,14,24,3,10,14,20,55,76,0,0,0,54,120,168,133,225,347,7,7,16,22,34,56,3,3,3,32,45,77,420,403,824,6,8,19,1437,1626,3058
LGA24330,901,820,1718,2179,1941,4124,621,555,1173,126,153,279,2935,2650,5582,1315,1218,2539,442,488,934,243,261,504,2014,1971,3982,203,185,384,382,379,766,156,88,244,449,536,990,4,10,13,1193,1194,2388,1179,1292,2475,815,856,1668,158,158,317,614,906,1520,7,3,11,2771,3211,5986,3969,4412,8380,278,230,503,312,421,726,10,3,15,600,646,1247,2365,2044,4412,75,83,163,12856,12635,25494
LGA24410,1527,1337,2865,3619,3411,7034,729,703,1436,526,515,1045,4881,4633,9514,2287,2105,4395,751,738,1488,909,863,1774,3961,3701,7658,201,240,440,175,249,425,519,199,717,464,665,1132,6,10,11,1360,1364,2720,1029,1259,2291,341,497,842,172,210,385,484,851,1334,4,4,7,2032,2827,4856,3403,4189,7597,162,141,299,292,507,801,0,5,7,456,653,1112,1696,1869,3562,76,95,167,15991,16482,32472
LGA24600,664,601,1258,1423,1259,2686,238,239,478,247,280,530,1910,1789,3692,981,885,1861,125,179,307,396,435,835,1506,1505,3010,645,728,1372,1127,1567,2690,305,282,583,1161,1518,2677,9,8,14,3245,4094,7342,7463,8955,16416,3411,3468,6879,474,591,1064,1465,1705,3172,21,28,44,12835,14742,27581,16102,18853,34952,747,968,1711,884,1170,2050,7,7,18,1639,2142,3779,6869,6181,13050,795,658,1450,29474,31724,61196
LGA24650,2457,2453,4909,6548,6023,12570,1968,2055,4025,1256,1355,2607,9786,9448,19235,4194,4100,8297,1448,1623,3062,1114,1114,2231,6767,6844,13609,407,329,737,320,480,802,576,232,802,601,1055,1661,7,5,14,1909,2107,4015,1617,2190,3807,453,793,1239,235,262,496,437,858,1297,4,6,14,2749,4110,6853,4671,6219,10886,451,497,950,508,859,1366,5,14,13,962,1363,2329,6465,4860,11323,131,186,318,31237,31370,62611
