LGA_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
LGA36510,46,1733,662,315,1706,0.8,1407,2.6
LGA36580,45,1500,619,300,1517,0.8,1308,2.6
LGA36630,48,1083,546,245,1337,0.8,1047,2.3
LGA36660,47,1300,593,255,1396,0.7,1109,2.3
LGA36720,43,1911,750,440,1920,0.8,1585,2.5
LGA36820,50,1351,624,260,1478,0.8,1165,2.3
LGA36910,38,1517,738,300,1847,0.8,1457,2.5
LGA36950,31,1733,931,200,1951,1.2,2058,3.1
LGA36960,28,0,417,130,923,1,1009,3.5
LGA37010,36,1517,846,310,2082,0.8,1689,2.5
LGA37300,32,2000,1514,500,3283,1,2779,2.9
LGA37310,38,1300,748,240,1713,0.8,1392,2.5
LGA37340,43,1603,792,300,1856,0.8,1457,2.4
LGA37400,56,900,817,163,2048,0.8,1306,2.1
LGA37550,24,0,369,120,707,1.2,696,3.3
LGA37570,30,0,331,70,833,1.2,830,3.2
LGA37600,25,1392,339,150,911,1.5,1243,4.5
LGA39799,40,400,1359,0,2750,1,2250,1.5
LGA40070,34,1733,778,400,2220,0.9,1476,1.8
LGA40120,44,1858,887,350,2416,0.8,2060,2.7
LGA40150,40,1517,749,295,1937,0.8,1676,2.7
LGA40220,53,1400,603,280,1428,0.7,1147,2.3
LGA40250,29,0,335,85,739,1.4,1363,4
LGA40310,45,1455,744,295,1910,0.7,1480,2.4
LGA40430,57,1044,528,212,1320,0.7,990,2.1
LGA40520,46,1083,642,210,1485,0.7,1175,2.3
LGA40700,44,2300,959,360,2686,0.8,2067,2.5
LGA40910,40,1733,757,345,2058,0.8,1588,2.5
LGA41010,41,1248,764,200,1794,0.8,1371,2.4
LGA41060,40,1733,780,325,2072,0.8,1558,2.4
LGA41140,49,1200,710,240,1658,0.7,1323,2.3
LGA41190,46,886,659,166,1391,0.7,1119,2.3
LGA41330,54,640,584,165,1380,0.8,885,1.8
LGA41560,53,1192,552,250,1300,0.7,1003,2.2
LGA41750,49,953,687,150,1480,0.8,1158,2.3
LGA41830,56,873,633,177,1489,0.7,1082,2.1
LGA41960,51,1004,686,220,1463,0.7,1231,2.2
LGA42030,41,1350,697,285,1728,0.7,1322,2.3
LGA42110,52,867,503,190,1283,0.7,929,2.2
LGA42250,44,1400,807,200,2039,0.8,1740,2.6
LGA42600,48,1950,881,340,2331,0.8,1605,2.2
LGA42750,50,1023,697,215,1501,0.8,1169,2.2
LGA43080,50,542,476,158,1287,0.7,896,2.2
LGA43220,43,860,744,150,1625,0.7,1292,2.4
LGA43360,52,1170,681,200,1497,0.7,1176,2.1
LGA43650,40,1500,763,280,2046,0.8,1777,2.8
LGA43710,44,1300,798,240,1905,0.8,1538,2.5
LGA43790,47,1083,658,210,1488,0.7,1171,2.3
LGA44000,45,1300,373,50,725,1.3,1449,2.3
