POA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA3202,29,20,20,15,28,27,74,81,53,351,579,345,275,391,545,336,286,186,84,3028
POA3204,295,237,236,236,262,199,115,66,36,1679,6009,4311,4182,4728,5185,3816,2546,1397,657,32829
POA3205,100,93,171,152,145,116,61,57,49,946,1308,1027,2488,1992,1619,1309,897,511,270,11406
POA3206,88,47,52,66,91,87,51,38,15,533,1652,882,897,1341,1609,1366,1014,744,230,9733
POA3207,163,128,254,254,241,191,120,65,15,1434,2424,1354,2687,3070,2871,2162,1596,874,236,17278
POA3211,32,35,13,18,35,35,8,0,0,172,265,203,93,169,215,216,127,44,15,1345
POA3212,278,237,579,500,307,163,106,37,13,2220,3724,2130,3013,2877,2553,1982,1629,786,282,18980
POA3213,66,45,36,31,62,63,24,8,4,344,918,680,535,558,737,677,362,181,49,4693
POA3214,599,424,438,351,328,255,178,96,41,2701,4306,3644,3842,2827,2975,2912,2299,1227,436,24470
POA3215,264,199,195,181,191,157,122,92,52,1451,3499,2412,3274,2625,2674,2483,2413,1603,857,21828
POA3216,634,639,512,392,426,372,319,218,130,3646,10274,8503,8374,7434,7145,6332,5577,3821,1941,59400
POA3217,319,173,224,173,130,89,55,20,5,1194,4989,2515,4707,3390,1791,1350,989,408,181,20321
POA3218,161,130,149,137,109,90,60,37,19,896,2749,1584,2510,2312,1885,1668,1195,610,236,14762
POA3219,308,244,233,225,232,187,138,91,50,1713,2944,2440,3071,2332,2550,2654,2221,1349,538,20107
POA3220,231,181,181,170,195,204,177,135,75,1538,2801,2265,2494,2182,2349,2327,1885,1035,401,17739
POA3221,19,10,3,8,11,10,4,0,0,62,167,105,56,101,131,115,104,26,12,813
POA3222,255,140,107,134,106,128,112,99,37,1116,3215,1858,1843,2087,2185,2531,2567,1419,517,18223
POA3223,91,58,37,69,95,152,141,128,84,862,1023,609,614,765,1120,1718,2160,1072,300,9380
POA3224,211,91,113,100,118,95,91,79,19,915,2612,1596,1772,1762,1807,1791,1764,1218,433,14758
POA3225,55,22,23,38,39,62,87,57,22,416,644,373,316,432,555,885,1206,752,299,5454
POA3226,206,102,90,141,112,113,137,78,40,1006,3561,1596,1605,2398,2314,2267,2206,1037,415,17399
POA3227,81,49,22,51,62,72,63,31,10,436,1066,503,317,649,817,787,796,339,102,5376
POA3228,339,188,156,238,241,160,154,88,75,1634,5236,2370,2354,3784,3381,2571,2314,1095,413,23518
POA3230,49,16,21,20,39,33,39,13,7,234,492,248,280,342,401,566,590,294,103,3312
POA3231,21,14,16,12,27,27,27,7,5,153,206,150,106,133,242,412,335,140,29,1742
POA3232,12,14,18,9,15,23,37,9,11,150,155,130,213,129,141,268,323,118,55,1538
POA3233,44,19,26,25,50,52,53,18,9,296,330,169,266,252,356,457,450,204,68,2555
POA3234,9,0,4,5,6,0,6,0,0,23,35,16,38,27,38,52,58,15,0,287
POA3235,10,6,10,9,12,14,3,5,0,67,78,39,38,59,71,98,68,19,6,481
POA3236,11,0,3,10,6,6,7,0,0,43,31,14,31,24,33,55,38,19,4,242
POA3237,11,9,8,0,7,20,0,4,0,57,30,24,23,32,49,60,36,19,0,271
POA3238,0,0,6,4,6,3,0,0,0,25,36,20,15,38,48,68,27,4,4,260
POA3239,5,10,9,8,15,11,9,3,0,64,74,46,47,45,75,90,85,16,0,477
POA3240,25,8,14,22,13,14,14,10,0,107,465,256,168,316,313,319,218,79,20,2150
POA3241,66,33,35,45,25,28,33,8,7,276,521,316,401,376,372,439,370,188,80,3067
POA3242,12,10,3,4,4,10,5,0,0,48,184,75,107,114,118,130,134,54,5,922
POA3243,5,8,0,6,11,5,4,3,0,52,60,43,39,45,60,51,81,23,6,399
POA3249,52,26,31,26,42,50,29,16,4,271,624,370,289,363,470,543,448,178,41,3329
POA3250,190,120,136,107,125,115,124,71,29,1024,2161,1395,1657,1403,1476,1525,1464,995,492,12571
POA3251,14,0,9,4,0,4,11,0,0,49,77,39,51,68,71,89,94,27,16,531
POA3254,10,9,4,7,6,14,4,5,0,51,85,43,52,43,35,58,20,11,0,351
POA3260,81,52,45,40,64,59,57,30,12,449,768,461,449,472,602,703,720,448,144,4766
POA3264,26,30,12,17,24,17,29,10,10,177,347,226,234,213,263,360,282,193,104,2217
POA3265,63,68,31,31,41,47,19,17,7,325,581,370,319,295,406,458,264,112,34,2828
POA3266,41,46,32,27,39,35,24,18,14,269,530,345,305,279,420,436,335,243,104,2986
POA3267,0,0,0,0,0,8,4,3,0,13,34,20,26,15,25,45,22,13,4,206
POA3268,33,24,18,21,16,29,15,17,13,190,424,299,253,287,326,382,272,150,64,2460
POA3269,10,7,14,3,8,13,0,0,0,56,125,67,96,77,100,105,82,24,14,690
POA3270,0,0,0,0,4,4,6,4,0,16,53,17,36,23,40,63,49,33,6,317
POA3271,5,5,4,0,8,5,4,0,0,35,29,26,18,16,32,33,32,8,3,188
