POA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA2311,179,74,88,104,95,168,124,65,22,919
POA2312,264,150,114,157,198,263,214,109,21,1493
POA2315,2062,1380,1125,1385,1814,2382,2666,1758,652,15210
POA2316,988,654,478,565,841,1043,1138,685,125,6509
POA2317,840,538,470,518,728,992,1123,924,318,6458
POA2318,2848,1561,1381,1652,1775,1680,1521,823,155,13403
POA2319,1099,661,627,638,802,1101,1113,604,163,6812
POA2320,8432,4733,5187,5177,4850,4365,3647,1957,725,39081
POA2321,4581,2229,3115,2691,2250,2021,1749,863,219,19703
POA2322,5284,2998,3890,3198,2871,2644,1968,1022,244,24122
POA2323,4808,3262,3343,3193,3351,3214,2697,1460,543,25871
POA2324,4337,2729,2615,2573,2969,3634,3674,2162,660,25344
POA2325,5826,3636,4134,3826,3918,3876,3382,1728,730,31053
POA2326,1666,939,988,949,944,1005,818,376,97,7780
POA2327,1444,971,1158,796,995,914,878,450,209,7829
POA2328,450,308,288,319,339,338,292,160,64,2555
POA2329,415,206,218,230,256,293,299,152,70,2150
POA2330,4594,2566,3023,2728,2928,2640,1862,931,346,21610
POA2331,3,516,108,16,16,14,8,0,0,686
POA2333,2985,1661,2041,1865,1792,1659,1167,584,201,13954
POA2334,767,417,527,477,407,308,254,126,20,3298
POA2335,1948,970,1183,1165,1011,873,653,242,59,8105
POA2336,482,301,311,285,339,392,276,144,49,2577
POA2337,1556,914,1059,1061,1017,1030,832,503,220,8189
POA2338,185,116,121,142,185,247,251,135,54,1425
POA2339,117,89,71,96,91,121,108,38,3,741
POA2340,10938,6500,7080,6309,6158,6010,5180,3333,1330,52833
POA2341,240,142,131,142,160,217,235,145,48,1472
POA2342,92,58,40,56,69,74,52,29,6,466
POA2343,886,490,485,502,623,708,671,376,132,4875
POA2344,101,84,54,75,95,119,88,40,10,670
POA2345,140,64,74,94,106,94,85,31,10,701
POA2346,493,318,280,290,386,446,454,280,74,3020
POA2347,285,118,147,159,215,331,307,235,66,1857
POA2350,4773,4435,3538,2970,2984,3210,2486,1714,625,26740
POA2352,631,353,318,334,379,354,341,175,38,2918
POA2353,184,100,114,121,152,180,149,106,70,1175
POA2354,580,315,318,308,452,546,548,346,81,3492
POA2355,98,46,49,50,94,116,116,39,24,632
POA2356,19,8,11,9,17,29,15,13,0,127
POA2357,691,380,387,370,510,638,676,377,194,4225
POA2358,664,372,351,380,458,600,550,252,89,3708
POA2359,127,67,57,68,99,125,95,55,13,707
POA2360,2930,1734,1735,1596,1794,1908,1758,1154,416,15021
POA2361,141,91,65,68,130,165,151,104,29,942
POA2365,697,388,358,399,482,546,469,292,104,3733
POA2369,158,113,82,77,110,136,117,68,16,880
POA2370,1245,775,787,756,927,1173,1149,703,261,7764
POA2371,123,83,86,84,165,238,219,118,38,1160
POA2372,696,425,359,418,545,817,1004,482,170,4917
POA2379,49,52,28,22,47,40,32,17,4,289
POA2380,2517,1200,1546,1347,1189,1337,1059,741,298,11227
POA2381,260,138,167,134,139,209,157,73,21,1290
POA2382,249,165,202,180,226,187,156,111,46,1522
POA2386,52,20,26,35,45,48,38,22,7,301
POA2387,38,24,36,16,24,33,17,5,6,200
POA2388,557,272,317,263,291,415,270,152,52,2589
POA2390,1706,967,1128,991,1089,1267,922,517,197,8779
POA2395,103,62,52,58,94,132,160,61,10,728
POA2396,149,77,76,75,93,135,129,74,34,843
POA2397,55,26,26,34,35,44,45,12,3,282
POA2398,61,30,28,27,39,40,23,14,5,260
POA2399,127,54,89,59,69,104,73,45,4,620
POA2400,2037,1140,1385,1205,1282,1352,1039,582,168,10182
POA2401,63,34,27,35,42,46,29,22,7,297
POA2402,312,158,157,158,210,265,249,167,58,1740
POA2403,151,73,57,86,95,100,92,45,10,719
POA2404,222,126,88,142,203,283,323,230,95,1708
POA2405,83,63,60,49,73,62,79,34,9,509
POA2406,132,80,87,88,97,114,67,45,11,727
POA2408,72,20,33,40,51,40,36,9,0,309
POA2409,234,167,123,123,154,153,99,30,10,1097
POA2410,43,11,28,26,30,41,44,19,0,241
POA2411,24,11,14,14,18,18,9,0,0,110
POA2415,73,41,50,32,76,75,72,31,7,444
POA2420,639,410,289,404,524,666,581,384,123,4023
POA2421,423,266,176,284,284,309,252,108,24,2131
POA2422,792,430,397,504,694,998,1057,586,212,5683
POA2423,489,283,225,285,464,638,630,295,94,3408
POA2424,69,58,45,43,72,114,67,28,8,509
POA2425,362,195,187,194,300,323,253,154,49,2010
POA2426,153,90,74,83,106,143,123,58,18,850
POA2427,291,181,179,203,284,658,1007,497,132,3437
POA2428,3204,2004,1794,2182,2702,3994,5029,3297,1411,25621
POA2429,1591,864,855,877,1173,1670,1540,820,239,9629
POA2430,6281,3560,3427,3491,4235,5385,5809,3440,1327,36956
POA2431,762,403,448,467,592,1025,1310,736,236,5989
POA2439,621,360,287,328,488,613,804,446,103,4044
