POA_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA2137,14,29,101,93,98,89,32,0,0,449,8,36,134,144,115,83,36,8,0,573,448,1117,2963,3083,3018,2314,748,97,12,13801
POA2138,4,16,80,50,45,37,15,0,0,247,11,37,237,158,64,40,17,0,0,563,226,849,3985,2770,1456,951,253,27,0,10518
POA2140,0,21,91,61,36,28,6,0,0,243,3,89,333,183,69,46,10,0,0,735,139,1298,4843,2735,1042,711,163,14,0,10949
POA2141,4,27,117,86,64,62,13,0,0,370,16,134,447,240,164,140,28,0,3,1168,261,1609,4834,2886,2137,1795,446,22,6,13997
POA2142,4,30,105,61,43,30,6,0,0,273,13,125,284,148,91,70,12,5,0,744,272,1513,3866,2433,1374,938,228,24,0,10650
POA2143,4,13,25,34,30,18,13,0,0,130,5,24,88,51,59,32,5,0,0,267,100,376,940,735,608,559,118,6,0,3443
POA2144,5,51,97,57,50,44,5,3,0,308,33,237,481,232,181,140,33,4,0,1331,346,2413,4686,2558,1633,1307,284,17,0,13258
POA2145,35,71,237,231,192,153,40,5,0,956,45,220,681,598,305,176,48,7,3,2089,1164,3237,9996,11710,6592,4267,1061,77,13,38122
POA2146,10,21,57,55,46,43,10,0,0,244,9,43,158,149,73,52,16,0,0,505,331,715,2129,2540,1702,1143,272,23,0,8855
POA2147,28,36,121,126,126,103,19,6,0,568,22,66,229,201,146,113,28,3,0,818,699,1510,3646,4145,3401,2434,627,40,6,16505
