POA_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
POA5454,20,24,11,0,156
POA5455,5,0,0,0,21
POA5460,46,47,15,0,265
POA5461,147,145,73,39,992
POA5462,47,24,10,0,196
POA5464,48,41,17,0,262
POA5470,25,9,6,0,65
POA5471,6,6,6,0,38
POA5472,19,20,7,0,99
POA5473,59,49,29,3,301
POA5480,62,71,30,10,380
POA5481,64,53,14,0,231
POA5482,39,24,10,9,206
POA5483,49,33,19,6,222
POA5485,81,85,33,4,383
POA5490,21,4,12,0,78
POA5491,132,84,39,17,731
POA5493,9,4,3,0,22
POA5495,90,86,31,7,332
POA5501,569,308,116,15,3301
POA5502,122,68,45,5,689
POA5510,15,8,0,0,52
POA5520,42,38,18,5,208
POA5521,9,6,0,0,51
POA5522,127,151,72,26,622
POA5523,155,145,63,25,859
POA5540,1075,744,377,103,5958
POA5550,63,52,22,6,386
POA5552,22,22,7,0,144
POA5554,379,272,150,81,2213
POA5555,56,39,23,3,229
POA5556,408,366,198,47,1903
POA5558,452,535,295,95,2320
POA5560,27,29,16,0,172
POA5570,41,65,26,3,235
POA5571,167,214,110,25,871
POA5572,13,7,0,0,71
POA5573,219,166,85,32,993
POA5575,244,229,121,36,1117
POA5576,95,86,32,9,426
POA5577,64,43,12,6,257
POA5580,40,24,16,0,157
POA5581,77,93,37,13,295
POA5582,58,61,49,6,262
POA5583,81,115,47,7,413
POA5600,596,391,197,97,3172
POA5601,17,20,4,0,46
POA5602,115,113,41,14,635
POA5603,44,33,5,5,186
POA5604,22,16,3,0,89
POA5605,166,165,76,35,845
POA5606,1015,745,357,139,6315
POA5607,465,391,119,14,2425
POA5608,976,528,328,88,5304
POA5609,109,49,38,5,890
POA5611,4,11,5,0,47
POA5630,8,4,3,0,63
POA5631,49,40,29,8,425
POA5632,13,0,0,0,80
POA5633,21,15,0,3,94
POA5640,93,51,32,22,460
POA5641,62,52,28,12,396
POA5642,13,6,5,0,80
POA5650,9,7,0,6,78
POA5651,5,4,0,0,25
POA5652,47,45,9,11,272
POA5653,7,0,0,0,23
POA5654,20,4,3,0,75
POA5655,0,11,0,0,27
POA5660,0,0,0,0,10
POA5661,6,4,0,0,51
POA5670,65,47,9,0,250
POA5671,19,18,4,0,94
POA5680,210,226,52,22,1032
POA5690,367,264,80,16,2045
POA5700,885,621,267,56,4917
POA5701,15,16,7,0,49
POA5710,167,103,43,6,1021
POA5713,0,0,0,0,13
POA5715,3,0,0,0,20
POA5717,28,11,0,0,69
POA5719,8,10,5,0,66
POA5720,93,27,5,0,614
POA5722,28,33,21,0,135
POA5723,317,278,136,24,1738
POA5724,39,32,0,0,128
POA5725,527,76,9,3,4198
POA5730,45,25,9,0,127
POA5731,170,65,11,3,756
POA5732,80,44,3,0,293
POA5733,39,31,12,0,159
POA5734,20,17,0,0,76
POA5950,19,4,0,0,44
POA6000,1089,612,247,90,11497
POA6003,238,134,40,5,2612
POA6004,1101,685,219,58,9233
