POA_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
POA4355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,261,554,15,24,39,12,0,15,3,0,3,3,0,3,3,5,7,27,26,58,356,310,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,64,64,130,37,55,99,7,8,16,473,449,919
POA4356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812,725,1537,50,44,94,47,0,47,3,0,3,9,0,9,8,0,13,58,41,98,991,815,1807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,141,150,285,73,143,218,15,8,21,1226,1124,2345
POA4357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,293,658,28,41,67,20,0,22,3,0,7,0,0,0,5,0,7,21,22,39,440,360,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,62,57,119,34,53,84,5,3,6,550,469,1020
POA4358,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,504,521,1023,30,27,59,17,0,19,4,0,4,4,0,5,4,0,4,21,13,36,589,564,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,80,78,155,56,80,138,6,4,10,735,726,1458
POA4359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,216,435,3,14,17,7,0,12,0,0,0,0,0,0,3,3,4,12,10,24,248,242,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,55,45,100,27,33,55,3,0,4,332,320,649
POA4360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,76,151,0,0,7,3,0,0,0,0,0,0,0,0,0,0,4,7,7,9,89,82,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,15,32,5,17,19,0,0,3,114,114,228
POA4361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,342,663,18,18,32,6,0,6,0,0,0,0,0,0,4,3,5,22,21,43,382,376,764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,126,87,212,37,67,101,17,6,18,561,550,1108
POA4362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,326,658,24,18,45,13,3,13,0,0,0,0,0,0,15,3,18,30,21,51,414,371,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,82,168,39,67,106,7,6,14,553,522,1077
POA4363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,84,177,5,3,13,6,0,6,0,0,0,0,0,0,4,0,4,6,3,11,116,95,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,31,10,12,18,4,0,3,141,128,263
POA4364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,20,46,0,0,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,32,25,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,18,0,0,0,5,6,4,48,38,83
POA4365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,61,125,4,4,11,6,0,6,0,0,0,0,0,0,0,0,0,0,9,6,76,70,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,27,5,10,14,0,0,3,99,89,193
POA4370,0,0,0,11,7,13,0,0,0,0,0,0,19,17,35,2844,2626,5475,237,261,500,115,0,119,44,0,45,34,7,44,28,13,41,148,124,278,3473,3062,6536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,15,45,32,15,46,0,0,0,0,0,0,3,0,0,3,0,0,283,357,639,321,463,785,44,30,77,4151,3925,8080
POA4371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,201,8,4,9,11,0,13,0,0,0,0,0,0,0,0,0,3,0,6,120,111,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,18,38,14,23,38,0,0,0,154,156,309
POA4372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,28,54,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,36,31,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,8,0,0,0,32,33,72
POA4373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,109,219,12,9,25,3,0,3,4,0,4,0,0,0,5,0,11,26,11,42,163,137,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,43,20,23,45,10,6,13,207,178,391
POA4374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,52,102,0,3,3,6,0,6,0,0,0,0,0,0,0,0,0,7,6,12,61,59,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,36,12,12,23,0,0,0,93,96,183
POA4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,21,45,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,23,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,28,4,4,7,4,0,6,48,43,85
POA4376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,41,74,6,4,15,0,0,0,0,0,0,0,0,0,0,0,0,7,5,9,53,52,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,15,4,12,18,0,0,0,67,65,132
POA4377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,83,153,0,4,4,3,0,3,0,0,0,0,0,0,0,0,0,7,3,14,86,89,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,23,19,41,0,16,17,0,5,3,108,132,243
POA4378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,66,155,19,9,26,0,0,0,0,0,0,0,0,0,0,0,0,10,9,11,124,78,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,33,15,8,20,0,0,0,147,101,249
POA4380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052,1002,2058,83,103,187,37,0,37,3,0,3,8,5,13,9,7,16,64,87,145,1269,1202,2471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,13,10,5,16,0,0,0,0,0,0,0,0,0,0,0,0,155,186,342,137,250,387,14,22,29,1582,1662,3240
POA4381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,74,154,6,10,8,4,0,4,0,0,0,0,0,0,0,0,0,3,6,15,96,94,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,19,23,39,14,18,29,0,5,5,133,132,263
POA4382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,59,116,4,9,8,0,0,0,0,0,0,0,0,0,3,0,3,14,7,28,81,75,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,35,25,60,22,29,47,3,0,0,145,136,279
POA4383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,51,116,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,76,56,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,10,17,3,15,22,0,0,0,91,84,169
POA4384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,14,14,25
POA4385,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,150,127,278,11,14,27,7,0,7,3,0,3,0,0,4,0,0,0,14,16,31,191,169,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,36,21,61,16,12,29,6,4,11,255,212,467
POA4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,174,349,27,8,34,15,0,11,4,0,4,0,0,0,5,0,3,25,18,46,252,203,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,36,26,60,20,20,41,6,0,4,311,252,565
POA4388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,37,73,0,0,10,3,0,3,0,0,0,0,0,0,0,0,4,8,3,11,54,45,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,14,8,7,9,0,0,0,66,60,123
POA4390,0,0,0,0,0,5,0,0,0,0,0,0,4,3,11,1261,1120,2383,81,78,155,53,0,52,4,0,8,9,10,19,19,8,30,73,76,157,1511,1303,2812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,31,28,11,36,0,0,0,0,0,4,0,0,6,3,5,4,108,161,269,89,150,239,14,12,20,1746,1631,3374
POA4400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,336,733,23,9,31,14,0,14,6,0,6,0,0,0,4,0,4,9,5,12,453,355,806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,26,29,56,51,62,105,0,0,0,528,448,973
POA4401,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,923,782,1707,81,80,158,38,0,41,7,4,10,46,0,44,12,5,20,71,30,100,1176,902,2078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,4,10,10,3,15,0,0,0,0,0,0,0,0,0,0,0,0,96,105,200,72,129,201,18,5,27,1374,1143,2517
POA4402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,32,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,3,4,8,24,23,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,23,4,5,4,0,0,0,44,35,72
POA4403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,76,177,4,8,11,3,0,3,4,0,7,0,0,0,4,4,3,18,7,30,134,97,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,9,8,5,9,0,0,0,0,0,0,0,0,0,0,0,0,68,54,122,5,19,25,0,3,3,221,165,389
POA4404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,63,147,8,0,13,3,0,3,0,0,0,0,0,0,0,0,5,8,5,21,110,71,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,37,77,7,12,17,4,0,0,158,122,282
POA4405,0,0,0,35,9,51,6,0,6,0,0,0,0,3,3,2443,2128,4574,230,177,411,76,0,80,32,10,36,44,6,50,36,17,49,153,138,292,3059,2482,5544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,0,4,4,0,4,5,0,9,28,17,43,40,18,57,0,0,0,0,0,0,0,0,0,5,0,5,204,284,487,245,383,622,13,16,29,3562,3180,6745
POA4406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,186,412,15,10,28,11,0,11,3,0,7,0,0,0,9,6,21,47,10,58,315,217,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,4,0,0,0,0,0,0,4,0,4,4,0,4,163,117,283,16,24,39,7,5,14,499,365,867
POA4407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,75,156,5,9,12,0,0,0,0,0,0,0,0,0,0,0,0,14,12,29,111,92,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,18,38,3,12,17,0,0,0,140,123,259
POA4408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,61,136,9,6,8,4,0,4,0,0,3,0,0,0,0,0,0,9,3,9,88,76,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,21,48,11,14,17,0,0,0,128,110,240
POA4410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,114,232,8,5,9,3,0,3,0,0,0,0,0,0,6,0,6,20,17,38,160,135,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,38,40,85,10,21,33,5,0,8,226,197,422
POA4411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,26,70,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,50,31,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,36,0,8,6,4,3,9,72,56,128
POA4412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,23,55,4,0,3,3,0,3,0,0,0,0,0,0,0,0,0,4,0,6,35,30,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19,35,4,0,6,0,0,0,56,47,105
POA4413,0,3,3,75,37,111,0,0,0,0,0,0,7,4,11,1572,1123,2697,196,116,313,68,0,71,13,0,13,17,7,28,25,11,39,76,72,152,2057,1376,3429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,14,0,0,0,0,0,0,13,0,16,22,10,33,31,10,47,0,0,0,0,0,0,4,0,7,0,0,3,164,244,406,162,172,336,28,20,46,2435,1824,4261
POA4415,0,0,0,9,3,9,0,0,0,0,0,0,0,0,0,370,295,661,45,26,73,24,0,24,3,0,3,0,0,0,7,0,6,38,37,71,485,369,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,40,53,93,38,42,82,4,0,4,575,464,1040
POA4416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,48,134,4,4,9,5,0,5,4,0,5,0,0,0,5,0,3,12,10,23,111,67,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,30,28,56,10,9,17,0,0,3,153,107,258
POA4417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,78,183,7,7,16,5,0,5,0,0,0,0,0,0,4,0,5,16,26,38,136,115,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,28,52,7,18,26,3,3,7,172,163,333
POA4418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,14,11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,23,0,0,0,0,0,0,31,19,57
POA4419,0,0,0,80,37,119,0,0,0,0,0,0,0,0,3,227,104,331,36,9,45,21,0,21,0,0,0,3,0,3,36,0,42,54,21,76,466,176,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,6,11,6,16,10,0,10,21,6,20,0,0,0,0,0,0,0,0,0,0,0,3,65,67,129,9,23,33,8,5,8,562,272,835
POA4420,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,188,133,314,15,13,27,11,0,14,0,0,0,0,0,0,9,0,13,28,23,52,252,171,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,6,5,3,11,0,0,0,0,0,0,0,3,3,0,3,3,92,78,172,8,26,31,7,0,13,375,277,651
POA4421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,175,350,13,16,29,6,3,8,5,0,5,4,0,3,3,0,3,34,35,69,234,229,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,33,28,67,19,18,39,7,0,4,302,284,585
POA4422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,39,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,29,79,53,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,24,71,4,4,6,4,0,4,131,85,218
POA4423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,8,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,16,41,18,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,27,46,4,10,8,0,6,6,62,49,109
POA4424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,26,60,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,5,0,7,41,33,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,38,5,0,8,0,0,0,61,56,117
POA4425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,28,26,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,31,0,3,7,0,0,0,43,46,90
POA4426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,17,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,36,26,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,25,0,0,0,3,0,3,53,36,91
