POA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
POA4011,6181,6752,12930,3278,2326,5602,912,1720,2631,261,487,746,221,156,374,4671,4678,9351,1324,1901,3225,4.6,3.3,4,75.6,69.3,72.3,72,67,69.4,685,637,1325,194,366,565,1745,1998,3745,589,756,1349,803,528,1326,45,69,115,94,105,200,944,700,1645,5722,6239,11961,1440,1599,3040,3269,3626,6893,3526,3856,7382
POA4012,9365,9966,19328,5022,3705,8730,1408,2466,3868,441,666,1109,292,250,544,7160,7090,14251,1869,2603,4476,4.1,3.5,3.8,76.5,71.1,73.7,73.4,68.6,70.9,721,799,1520,286,460,748,2205,2806,5016,979,1192,2173,1723,936,2663,90,111,203,122,168,285,1941,1214,3153,8558,8912,17465,2293,2402,4697,4730,4967,9695,5512,5856,11364
POA4013,2005,2012,4012,1027,687,1717,299,523,824,104,149,254,85,53,138,1516,1416,2934,408,512,922,5.7,3.7,4.7,75.7,70.5,73.1,71.4,67.8,69.6,132,132,266,68,97,161,432,539,969,197,243,442,401,199,600,15,28,43,30,31,63,449,255,706,1875,1848,3724,421,446,868,1046,1051,2098,1121,1121,2238
POA4014,5067,5301,10371,2705,1852,4560,688,1256,1944,224,372,602,181,139,313,3800,3617,7415,1127,1519,2644,4.7,3.8,4.2,75,68.2,71.5,71.5,65.6,68.5,290,333,626,109,219,325,960,1244,2207,492,647,1137,1212,592,1808,67,67,131,74,108,182,1352,769,2119,5207,5319,10522,930,973,1906,3247,3300,6544,2499,2586,5085
POA4017,14493,15599,30096,6680,4389,11072,1949,3940,5894,634,1034,1666,526,396,916,9790,9759,19547,4234,5323,9555,5.4,4,4.7,67.6,62.5,65,63.9,60,61.9,653,789,1440,319,593,911,2028,3060,5087,1408,1871,3278,3705,2027,5735,147,208,355,247,350,598,4097,2587,6683,15250,15908,31155,2256,2435,4689,10085,10544,20627,6465,6875,13340
POA4018,5089,6237,11321,2308,1677,3986,800,1369,2170,212,338,550,192,174,365,3510,3556,7065,1429,2496,3926,5.4,4.9,5.2,69,57,62.4,65.2,54.2,59.2,377,425,797,80,182,264,890,1248,2139,581,751,1329,977,708,1682,52,87,134,93,108,197,1119,898,2013,5175,5987,11161,1050,1174,2229,2723,3180,5898,3069,3565,6639
POA4019,8149,9021,17163,3017,1967,4985,972,1969,2942,345,537,878,376,271,649,4708,4748,9460,2974,3824,6795,8,5.7,6.9,57.8,52.6,55.1,53.2,49.6,51.3,218,277,498,115,300,416,686,1238,1920,659,1064,1726,2340,1413,3757,89,143,235,161,209,366,2593,1765,4358,7640,8189,15832,1449,1672,3116,4793,5019,9812,3852,4443,8295
POA4020,10244,11626,21875,3774,2608,6382,1240,2340,3586,421,598,1025,367,292,654,5807,5836,11641,3957,5267,9227,6.3,5,5.6,56.7,50.2,53.2,53.1,47.7,50.2,377,455,834,174,332,513,1093,1770,2861,1027,1449,2472,2691,1484,4171,116,167,282,177,290,471,2981,1937,4925,9217,10166,19390,2199,2514,4711,5243,5766,11006,5731,6470,12202
POA4021,3762,4248,8013,1402,840,2249,429,864,1289,161,251,418,169,129,298,2164,2085,4254,1375,1917,3296,7.8,6.3,7.1,57.6,49.1,53.1,53.1,46,49.3,52,63,123,31,75,105,240,412,651,250,449,698,1065,651,1717,52,80,131,66,111,177,1189,833,2028,3731,4131,7866,580,618,1194,2378,2660,5037,1732,1877,3607
POA4022,2694,3416,6117,1000,693,1688,345,675,1023,121,184,305,89,94,186,1556,1646,3203,1031,1607,2630,5.7,5.8,5.8,57.7,48.1,52.3,54.4,45.3,49.3,46,45,92,29,63,94,196,369,565,225,377,609,728,524,1253,34,55,93,47,76,129,814,657,1469,2748,3265,6017,476,598,1074,1606,1902,3508,1450,1806,3261
POA4025,323,212,541,89,28,117,55,70,125,27,29,55,3,0,4,173,128,301,36,34,74,2.8,1.6,2.3,54.3,58.9,56.1,52.8,57.9,54.8,7,5,10,4,7,8,34,38,76,19,26,47,64,23,94,0,8,9,6,0,6,75,37,107,177,123,300,50,50,100,130,74,201,96,96,189
POA4030,7651,8034,15688,3936,3140,7078,1272,2021,3288,408,608,1018,273,203,476,5890,5971,11867,1401,1712,3114,4.6,3.4,4,77,74.3,75.6,73.4,71.8,72.6,765,840,1599,255,421,677,2133,2610,4746,725,796,1514,1107,642,1749,60,71,129,81,113,191,1244,824,2076,6567,6666,13239,2004,2230,4236,3415,3408,6828,4762,5119,9878
POA4031,5506,6028,11536,2997,2216,5216,869,1650,2518,294,446,738,180,151,327,4335,4466,8800,999,1396,2393,4.1,3.4,3.7,78.7,74.1,76.3,75.5,71.6,73.4,476,527,1004,167,319,488,1380,1775,3148,533,654,1186,1002,549,1554,34,57,90,57,95,153,1096,699,1795,5405,5618,11018,1165,1358,2520,3222,3326,6550,2993,3319,6310
POA4032,7552,8863,16415,3142,2364,5504,1070,1813,2883,392,550,943,285,282,567,4893,4997,9893,1985,3024,5006,5.8,5.6,5.7,64.8,56.4,60.3,61,53.3,56.8,455,519,974,131,280,409,1405,1848,3250,677,892,1570,1445,864,2309,97,122,220,118,168,285,1657,1149,2809,6246,7166,13413,1816,2055,3877,3288,3841,7128,4350,4950,9300
POA4034,18266,19856,38121,8240,5581,13818,2496,4341,6836,875,1257,2129,698,511,1205,12305,11689,23993,5253,7368,12621,5.6,4.4,5,67.4,58.9,62.9,63.6,56.3,59.8,1070,1108,2176,368,669,1034,3079,4096,7177,1843,2182,4028,3901,2192,6092,203,246,452,278,430,702,4380,2866,7250,17910,19179,37088,3430,3508,6944,11290,12367,23658,8883,9193,18075
POA4035,10357,11216,21568,5337,3330,8664,1471,3107,4580,479,768,1250,289,259,551,7577,7467,15045,2611,3573,6187,3.8,3.5,3.7,73.2,66.6,69.8,70.4,64.3,67.2,797,721,1521,255,412,668,2000,2687,4690,1147,1323,2471,2304,1219,3524,98,113,218,137,235,373,2542,1565,4114,11121,11775,22896,1647,1695,3333,7284,7669,14952,4859,5233,10092
POA4036,2678,2796,5471,1271,842,2115,373,696,1065,142,176,322,94,83,178,1878,1796,3679,729,915,1642,5.1,4.8,4.9,70.2,64.4,67.2,66.6,61.3,63.9,91,94,186,37,65,100,318,492,808,226,345,574,718,464,1186,36,36,73,38,53,90,794,559,1356,2852,2890,5740,446,444,889,1878,1894,3778,1222,1249,2470
POA4037,2949,3050,6001,1654,966,2618,413,960,1375,131,250,384,90,70,161,2292,2246,4542,628,769,1394,3.9,3.1,3.5,77.7,73.8,75.7,74.6,71.5,73.1,174,143,314,74,133,212,478,710,1191,399,428,830,765,406,1169,30,48,74,48,67,114,842,520,1364,3352,3366,6720,412,418,828,2410,2437,4851,1180,1195,2369
POA4051,11762,11965,23730,6230,4378,10611,1825,3231,5056,610,824,1433,384,310,693,9051,8744,17790,2251,2905,5155,4.2,3.5,3.9,77,73.1,75,73.7,70.5,72.1,1212,1297,2510,421,708,1129,3205,3904,7106,1024,1167,2191,1690,946,2631,118,123,241,119,180,297,1919,1244,3170,10891,11238,22123,2899,2842,5741,6304,6639,12942,6756,6797,13555
POA4053,18069,19794,37864,9257,6388,15644,2542,5075,7619,888,1493,2378,610,510,1119,13296,13468,26764,4245,5822,10065,4.6,3.8,4.2,73.6,68,70.7,70.2,65.5,67.7,1299,1475,2773,482,897,1380,3707,5022,8730,1784,2172,3954,3922,2140,6067,223,247,471,276,368,641,4421,2758,7181,18084,19297,37378,3628,3949,7576,11175,12058,23236,9242,9979,19218
POA4054,5212,5863,11077,2500,1683,4181,745,1426,2170,245,407,655,190,124,317,3678,3645,7325,1420,2061,3478,5.2,3.5,4.4,70.6,62.2,66.1,66.9,60,63.2,297,321,620,130,279,408,887,1282,2170,529,663,1194,1260,695,1959,74,80,148,75,145,217,1410,915,2324,5577,5958,11541,880,921,1800,3728,4012,7740,2349,2524,4867
POA4055,8291,8833,17120,4320,2686,7004,1064,2428,3496,405,677,1083,272,206,481,6064,5999,12057,2116,2721,4835,4.5,3.4,4,73.1,67.9,70.4,69.9,65.6,67.6,611,605,1214,240,435,675,1618,2074,3686,937,1063,2005,1963,1037,2995,77,102,180,161,205,362,2197,1339,3538,9283,9424,18709,1333,1465,2803,6177,6292,12469,3838,4090,7920
POA4059,5682,5906,11586,2458,1968,4420,1129,1620,2747,335,455,795,289,260,548,4220,4294,8516,1245,1452,2700,6.9,6,6.4,74.3,72.7,73.5,69.1,68.4,68.7,770,845,1616,188,314,500,1684,1884,3574,447,545,991,624,365,987,71,51,116,49,55,103,746,461,1207,4351,4474,8827,1990,2145,4132,2100,2052,4150,3982,4340,8318
POA4060,5149,5359,10508,2603,1740,4342,843,1556,2402,266,414,678,162,122,286,3874,3837,7709,1165,1420,2584,4.1,3.3,3.7,75.2,71.6,73.4,72.1,69.3,70.7,718,682,1401,189,354,547,1494,1745,3243,396,507,898,611,288,895,39,60,102,63,87,146,709,437,1146,5450,5494,10946,967,1039,2006,3530,3642,7172,2579,2602,5175
POA4061,6417,6985,13399,3065,2018,5083,956,1937,2890,303,441,747,243,169,407,4568,4562,9126,1783,2343,4124,5.3,3.7,4.5,71.2,65.3,68.1,67.4,62.9,65.1,821,761,1580,247,406,653,1737,2047,3787,667,777,1448,947,506,1454,58,67,126,97,128,231,1106,708,1813,7140,7486,14624,992,1035,2029,4918,5196,10110,2861,2973,5832
POA4064,4992,5206,10205,2726,2041,4765,832,1322,2159,277,424,702,180,134,316,4018,3922,7938,808,1109,1922,4.5,3.4,4,80.5,75.3,77.8,76.9,72.7,74.7,678,696,1373,153,324,476,1779,1917,3691,402,460,861,507,273,780,37,29,68,40,70,110,588,370,959,4020,4188,8207,1608,1657,3269,2095,2184,4277,3304,3398,6702
POA4065,3667,4048,7712,1982,1293,3276,585,1172,1756,162,287,451,111,87,196,2839,2842,5685,747,1112,1863,3.9,3.1,3.5,77.5,70.2,73.7,74.5,68,71.1,601,613,1207,156,289,445,1241,1413,2650,281,333,614,355,202,561,20,17,28,41,63,107,416,286,698,3925,4171,8100,754,818,1570,2559,2700,5260,1867,2058,3927
POA4066,8178,8375,16553,3724,2732,6453,1433,2154,3584,450,690,1140,334,272,605,5932,5853,11785,1868,2171,4037,5.6,4.6,5.1,72.5,69.9,71.2,68.5,66.6,67.5,1239,1229,2468,278,431,706,2601,2871,5474,618,708,1329,778,499,1276,66,74,139,64,102,167,903,674,1576,6287,6412,12696,2522,2670,5196,3050,3130,6179,5451,5635,11084
POA4067,5400,5453,10851,1435,938,2373,1135,1340,2471,422,595,1020,409,338,748,3397,3214,6611,1788,1998,3792,11.9,10.6,11.3,62.9,59,60.9,55.4,52.7,54.1,1154,987,2138,114,160,273,1288,1327,2613,262,348,602,278,247,525,55,79,128,25,49,73,357,374,732,3636,3677,7309,2120,2142,4261,1524,1580,3096,4074,4088,8165
POA4068,10119,10836,20957,4648,3128,7772,1713,2640,4359,581,838,1426,437,399,831,7383,7000,14379,2491,3534,6021,5.9,5.7,5.8,72.9,64.6,68.6,68.6,61,64.7,1911,1768,3676,331,540,867,3171,3633,6806,725,910,1635,880,591,1466,78,90,173,89,138,230,1052,817,1863,8921,9328,18249,3045,3197,6237,4396,4658,9058,7091,7353,14442
POA4069,13402,14373,27779,6351,3878,10229,1968,3750,5725,591,937,1535,438,319,752,9353,8880,18237,3818,5206,9029,4.7,3.6,4.1,69.8,61.8,65.6,66.5,59.6,62.9,2477,2119,4596,474,782,1261,3917,4519,8437,1193,1438,2630,1378,735,2112,88,103,195,140,267,408,1607,1106,2712,14653,15160,29821,2145,2268,4414,9821,10379,20198,6244,6355,12598
POA4070,4454,4788,9239,2207,1435,3641,610,1251,1863,231,334,571,166,127,298,3207,3158,6367,1176,1549,2728,5.2,4.1,4.6,72.1,65.9,68.9,68.3,63.2,65.7,522,496,1027,121,255,374,948,1246,2192,488,585,1073,834,416,1253,44,74,121,64,115,177,942,608,1553,5043,5263,10310,624,668,1292,3235,3373,6611,2137,2275,4410
POA4073,3525,3953,7477,1745,1133,2876,467,956,1420,136,241,376,112,79,195,2463,2408,4872,1005,1482,2487,4.6,3.3,4,69.9,61,65.2,66.6,59,62.6,456,403,863,117,180,294,877,1079,1959,357,464,819,487,249,738,26,39,61,45,77,124,553,367,919,3812,4119,7929,512,565,1079,2660,2846,5508,1442,1646,3086
POA4074,9230,9875,19101,4547,2898,7448,1295,2425,3726,422,640,1063,288,252,546,6556,6216,12776,2494,3480,5982,4.4,4.1,4.3,71.1,63,66.9,67.9,60.4,64,969,831,1795,242,469,718,2114,2543,4659,916,1179,2090,1749,863,2614,94,111,208,171,220,389,2014,1196,3213,10000,10315,20323,1369,1426,2797,6791,7164,13951,3959,4070,8031
POA4075,9579,10677,20254,4805,3197,7999,1330,2633,3961,512,818,1324,324,285,603,6960,6931,13894,2349,3442,5796,4.6,4.1,4.3,72.7,64.9,68.6,69.3,62.3,65.6,1173,1147,2325,338,585,926,2577,3207,5775,782,1009,1788,1446,759,2206,100,83,185,118,197,309,1662,1042,2706,9692,10541,20232,1920,2164,4080,5898,6265,12166,5102,5824,10925
POA4076,5329,2247,7577,820,499,1313,298,392,692,96,118,215,123,99,218,1336,1106,2447,3843,1023,4864,9.3,8.9,9.1,25.1,49.2,32.3,22.8,44.9,29.3,88,91,184,30,41,70,501,373,872,135,195,331,636,229,862,30,27,60,32,35,66,704,287,990,2166,1896,4062,409,348,761,1385,1233,2622,1025,893,1922
POA4077,13127,14327,27447,4770,2918,7694,1925,2723,4642,593,789,1381,735,704,1443,8016,7136,15158,4195,6206,10395,9.2,9.9,9.5,61.1,49.8,55.2,55.5,44.9,50,529,512,1035,107,208,314,1329,1849,3179,955,1237,2200,2179,1522,3700,188,218,399,179,266,443,2541,2008,4543,13353,14074,27430,2622,2738,5361,7795,8322,16116,6899,7345,14237
POA4078,9791,10842,20629,4575,3121,7697,1397,2511,3905,465,636,1100,414,390,809,6854,6664,13513,2602,3838,6438,6.1,5.9,6,70,61.5,65.5,65.7,57.8,61.6,619,565,1185,167,304,474,1351,1900,3247,919,1181,2104,2001,1347,3349,110,190,296,159,231,392,2269,1767,4035,10354,11100,21454,1672,1792,3467,6510,7064,13566,4775,5196,9967
POA4101,16041,16822,32861,6875,5472,12351,2526,3662,6190,793,1169,1964,728,659,1383,10920,10968,21885,3477,4238,7718,6.6,6,6.3,68.1,65.2,66.6,63.5,61.3,62.4,2208,2485,4698,427,695,1119,4566,5093,9655,1292,1489,2783,1503,940,2439,113,124,236,134,175,309,1746,1240,2988,10564,10938,21501,5556,5978,11540,4142,4145,8287,11507,12332,23840
POA4102,5375,5189,10563,2041,1579,3621,857,1227,2092,304,382,683,240,226,464,3439,3416,6859,1368,1302,2666,7,6.5,6.8,64,65.8,64.9,59.6,61.5,60.5,598,596,1188,122,204,331,1409,1573,2982,391,452,840,658,366,1022,53,54,103,47,65,111,757,484,1239,3521,3279,6803,1749,1829,3582,1545,1353,2899,3545,3591,7137
POA4103,6358,6444,12802,2946,2223,5171,1230,1768,2995,354,486,835,320,210,532,4846,4691,9538,1260,1567,2833,6.6,4.5,5.5,76.2,72.8,74.5,71.2,69.5,70.4,804,909,1713,183,344,530,1760,2012,3764,536,589,1123,846,526,1367,67,74,141,86,84,165,993,682,1676,5280,5299,10583,1731,1797,3533,2759,2836,5594,3929,3964,7888
POA4104,2887,3095,5988,1264,936,2195,500,787,1289,124,214,335,110,88,195,1994,2017,4012,769,976,1745,5.4,4.4,4.9,69,65.3,67.1,65.3,62.4,63.8,348,368,716,111,181,294,827,956,1782,215,320,537,354,200,559,21,31,48,48,51,91,415,281,699,2543,2714,5258,658,706,1362,1438,1549,2986,1587,1727,3308
POA4105,5472,5838,11310,2640,1993,4634,842,1476,2322,269,381,654,214,167,376,3967,4019,7982,1315,1633,2948,5.4,4.1,4.7,72.5,68.8,70.6,68.6,66,67.3,554,653,1203,158,335,494,1332,1714,3053,489,594,1081,970,469,1438,62,60,119,67,81,153,1099,615,1716,5309,5489,10802,1085,1181,2266,3242,3383,6623,2820,2962,5781
POA4106,713,667,1381,310,190,505,84,174,258,48,36,80,52,25,75,493,423,923,174,207,379,10.7,5.9,8.5,69.1,64,66.6,61.7,60.3,61,28,54,81,13,25,42,100,148,255,50,52,101,152,71,218,5,5,13,10,10,13,166,85,249,633,575,1209,136,169,299,345,299,644,392,401,792
POA4107,2659,2687,5351,1335,866,2201,419,669,1085,125,209,332,114,77,183,1981,1818,3798,594,798,1398,5.6,4.1,4.9,74.6,67.6,71.1,70.4,64.8,67.6,211,246,455,76,127,205,583,708,1288,261,265,518,564,223,795,15,28,46,39,47,88,620,303,920,2740,2760,5495,481,425,908,1637,1701,3341,1378,1320,2694
POA4108,2771,2583,5356,1043,651,1696,493,579,1071,129,165,297,144,111,253,1811,1510,3319,776,893,1674,7.9,7.3,7.6,65.4,58.3,62,60.2,54.1,57.2,316,261,578,37,79,113,543,572,1115,235,259,495,440,255,699,36,21,59,25,33,60,505,312,818,2335,2254,4594,661,589,1251,1328,1331,2659,1538,1379,2913
POA4109,15698,15666,31361,5480,3460,8946,2828,3420,6246,796,804,1599,786,579,1363,9891,8265,18157,4989,6679,11670,7.9,7,7.5,63,52.8,57.9,58,49.1,53.5,1698,1498,3190,245,442,691,3385,3569,6954,1389,1550,2935,2078,1133,3210,140,141,283,191,257,448,2412,1538,3942,14431,14511,28945,3461,3162,6624,8745,9142,17889,8231,7779,16009
POA4110,6098,6411,12510,2927,1849,4772,887,1438,2323,291,372,667,284,264,555,4388,3925,8316,1388,2145,3528,6.5,6.8,6.7,72,61.2,66.5,67.3,57,62,458,470,930,94,164,258,1021,1386,2414,573,642,1216,1110,656,1770,73,99,176,80,135,215,1262,901,2159,6023,6237,12256,1520,1551,3072,2771,2811,5589,4133,4325,8458
POA4111,500,480,980,146,105,256,93,115,208,28,45,72,32,31,67,305,297,602,155,158,315,11.8,10.5,11.1,61.1,61.7,61.4,53.9,55.2,54.5,23,27,47,14,19,34,58,92,155,44,51,99,87,49,137,15,13,23,6,10,15,107,67,174,392,385,775,126,117,239,236,225,460,264,265,527
POA4112,3274,3381,6659,1483,810,2295,541,845,1385,143,187,330,154,116,271,2321,1962,4277,851,1317,2167,6.6,5.9,6.3,70.8,57.9,64.2,66.1,54.5,60.2,403,294,702,60,86,146,755,895,1651,338,335,668,446,261,705,19,43,58,36,57,96,497,356,860,3604,3713,7325,555,489,1047,2256,2380,4627,1649,1601,3249
POA4113,11950,12145,24096,5053,3129,8184,2142,2896,5038,580,668,1247,527,458,984,8305,7145,15448,3142,4546,7685,6.4,6.4,6.4,69.5,58.8,64.1,65,55.1,60,1315,1293,2609,195,335,532,2685,2918,5603,1213,1314,2525,1678,942,2622,90,113,203,129,241,368,1894,1297,3193,11409,11803,23210,2525,2335,4865,6884,7302,14184,6229,6071,12302
POA4114,11439,11237,22678,3307,1544,4848,1402,1726,3126,434,450,886,841,701,1545,5993,4421,10409,4066,5524,9590,14.1,15.8,14.8,52.4,39.4,45.9,45,33.1,39.1,181,157,342,35,114,147,501,669,1171,516,897,1412,2144,1561,3709,221,245,466,167,215,384,2531,2023,4556,10871,10698,21566,2145,2103,4246,6448,6375,12824,5583,5531,11115
POA4115,7594,8117,15713,3678,2255,5932,1125,2022,3150,334,494,824,324,241,565,5458,5016,10474,1908,2882,4787,5.9,4.8,5.4,71.9,61.8,66.7,67.7,58.8,63.1,592,590,1184,99,235,337,1325,1668,2992,768,931,1698,1552,853,2406,85,115,196,99,167,263,1731,1133,2866,8155,8480,16632,1266,1407,2671,5277,5398,10675,3570,3883,7454
POA4116,10170,11011,21186,4692,3046,7741,1698,2787,4485,427,576,1001,405,403,808,7218,6820,14035,2569,3796,6367,5.6,5.9,5.8,70.9,61.9,66.2,67,58.2,62.4,1110,1100,2215,172,283,458,2360,2694,5052,935,1223,2163,1386,885,2276,97,118,214,165,194,364,1649,1199,2846,10915,11555,22476,1798,1858,3660,6674,7168,13843,5250,5478,10727
POA4117,990,1032,2023,471,249,714,133,254,392,41,75,114,42,45,90,696,619,1309,215,343,557,6.5,7.3,6.9,69.9,59.8,64.8,65.4,55.5,60.3,35,33,71,12,23,40,139,166,301,78,118,191,187,136,321,14,14,30,10,17,33,209,175,382,1129,1133,2263,215,220,438,459,428,891,774,797,1571
POA4118,11959,12386,24344,5685,3313,8992,1581,2977,4562,520,752,1268,590,464,1052,8371,7500,15869,3002,4305,7306,7,6.2,6.6,70,60.6,65.2,65.1,56.8,60.9,298,339,641,91,226,314,979,1523,2496,881,1468,2348,3314,1996,5308,156,235,391,202,303,512,3678,2532,6211,12354,12699,25055,2153,2183,4334,7946,8067,16007,5619,5868,11487
POA4119,2625,2587,5213,1283,688,1972,399,665,1067,100,157,263,113,126,236,1896,1628,3530,614,851,1460,5.9,7.5,6.6,72.3,63.1,67.7,68,58.4,63.2,213,200,411,50,88,138,500,587,1088,264,285,550,475,252,723,32,39,68,27,60,92,536,351,887,2746,2708,5451,490,483,975,1719,1742,3458,1309,1273,2583
POA4120,4545,4761,9302,2255,1743,4000,709,1165,1874,252,327,579,166,124,288,3373,3367,6742,888,1106,1992,4.9,3.7,4.3,74.3,70.7,72.5,70.7,68.1,69.3,476,515,992,142,229,378,1239,1515,2752,396,453,842,681,336,1019,51,49,101,57,71,123,790,457,1246,3618,3627,7244,1281,1401,2682,1795,1838,3637,2868,3008,5876
POA4121,9697,10551,20254,5002,3424,8431,1470,2831,4304,484,719,1199,321,230,546,7273,7206,14480,2165,3041,5209,4.4,3.2,3.8,75,68.3,71.5,71.7,66.1,68.8,994,1071,2066,363,624,988,2563,3151,5713,835,1027,1864,1690,796,2487,89,92,180,108,163,270,1888,1045,2933,10288,10877,21166,1745,1786,3527,6764,7201,13972,4557,4775,9334
POA4122,18180,19851,38032,8159,5555,13715,2859,4954,7815,794,1206,1996,749,655,1406,12559,12370,24927,4886,6750,11637,6,5.3,5.6,69.1,62.3,65.5,64.9,59,61.9,1613,1795,3405,432,754,1184,4052,4938,8991,1691,2048,3741,3080,1732,4807,177,252,431,238,381,616,3497,2365,5860,17844,19198,37038,3729,3906,7637,10928,12008,22935,9544,10089,19628
POA4123,8504,9051,17557,4191,2652,6838,1315,2364,3676,354,553,906,314,326,641,6172,5889,12065,2090,2913,4999,5.1,5.5,5.3,72.6,65.1,68.7,68.9,61.5,65.1,792,846,1642,165,293,453,1683,2211,3893,802,993,1795,1821,917,2735,71,118,189,110,157,275,1999,1190,3194,9127,9397,18520,1658,1719,3373,5494,5607,11106,4565,4824,9390
POA4124,8781,9065,17838,4431,2671,7102,1094,2162,3250,388,550,941,339,305,636,6249,5688,11937,2152,2989,5140,5.4,5.3,5.4,71.2,62.8,66.9,67.4,59.4,63.3,196,260,455,71,195,259,621,1179,1803,683,1059,1746,2834,1524,4358,104,181,279,128,206,333,3066,1914,4970,9293,9526,18821,1605,1567,3171,5868,5925,11794,4371,4509,8881
POA4125,4899,5272,10174,2328,1380,3712,614,1165,1785,212,274,487,191,209,397,3348,3027,6379,1235,1885,3123,5.7,6.8,6.2,68.3,57.5,62.7,64.4,53.6,58.8,120,168,293,26,82,114,352,579,932,341,528,867,1407,818,2225,59,100,165,79,119,201,1552,1039,2594,4440,4617,9059,1307,1464,2771,2298,2389,4680,3028,3305,6334
POA4127,10493,11074,21567,4489,2769,7256,1448,2492,3944,469,617,1085,491,432,925,6896,6316,13212,3072,4222,7288,7.1,6.9,7,65.7,57,61.3,61,53.1,57,394,439,831,140,264,404,1208,1717,2922,893,1237,2134,2574,1520,4089,162,175,336,178,282,458,2911,1974,4886,10613,10947,21563,1824,1890,3713,6807,6861,13670,4942,5295,10242
POA4128,6561,6753,13312,3419,2097,5515,856,1811,2667,270,421,693,255,203,459,4805,4536,9340,1588,2044,3633,5.3,4.5,4.9,73.2,67.2,70.1,69.3,64.2,66.7,249,274,526,96,176,271,807,1275,2082,620,845,1472,1958,994,2952,58,100,156,117,185,307,2136,1286,3415,6975,7061,14039,967,1057,2027,4692,4690,9387,2834,3003,5829
POA4129,2504,2627,5130,1212,751,1964,346,679,1016,134,206,340,110,74,185,1804,1703,3510,595,823,1422,6.1,4.4,5.2,72,65,68.4,67.6,62.1,64.8,39,54,102,15,61,76,166,328,497,164,357,521,875,468,1340,40,53,85,43,64,106,946,586,1533,2684,2673,5361,460,515,975,1665,1670,3327,1283,1329,2613
POA4130,3602,3713,7320,1821,1112,2934,473,1022,1492,135,233,365,124,89,215,2550,2457,5006,960,1171,2137,4.9,3.7,4.3,70.8,66.2,68.5,67.4,63.7,65.5,122,154,281,60,126,183,481,688,1166,327,491,824,1089,484,1574,36,60,96,51,103,156,1182,644,1825,3785,3874,7658,578,557,1133,2488,2544,5035,1645,1690,3331
POA4131,4557,4898,9455,1583,991,2582,610,897,1501,204,250,456,266,255,521,2664,2396,5061,1336,1899,3235,10.1,10.6,10.4,58.5,48.9,53.5,52.5,43.7,48,111,106,219,31,67,100,316,491,810,291,480,767,987,757,1738,63,117,180,70,85,156,1125,957,2079,4196,4397,8592,933,1003,1933,2331,2378,4705,2453,2674,5125
