POA_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
POA3151,275,1571,1561,388,196,3989,126,4119
POA3152,515,3601,5441,1674,855,12090,344,12434
POA3153,433,3141,3217,949,431,8168,364,8537
POA3154,41,362,719,249,164,1536,58,1594
POA3155,464,3620,3683,1043,464,9284,406,9691
POA3156,527,4056,5748,2067,1368,13771,489,14261
POA3158,55,586,1117,402,237,2395,65,2462
POA3159,15,180,371,155,132,849,47,893
POA3160,77,876,1371,538,347,3208,90,3301
POA3161,669,3035,2288,490,249,6725,302,7029
POA3162,418,2583,2831,592,297,6722,243,6966
POA3163,1761,7003,4079,793,382,14021,526,14547
POA3165,511,3783,4772,1164,535,10769,307,11074
POA3166,859,3836,3351,869,406,9320,371,9692
POA3167,224,1314,1429,395,199,3556,130,3684
POA3168,1142,3267,1975,452,249,7088,482,7572
POA3169,613,2919,2517,860,368,7279,349,7627
POA3170,257,2044,3096,919,467,6783,243,7029
POA3171,738,2747,2265,834,470,7045,443,7486
POA3172,345,2245,3150,1201,619,7557,288,7851
POA3173,347,2255,4045,1538,860,9048,275,9321
POA3174,1198,5507,4549,1491,745,13492,846,14334
