SA2_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
124031708,775,125,91,76,83,40,10,48,3065,0,0,0,0,0,0,0,0,0,0,5,1392,1152,927,154,105,88,97,47,17,68,4041
124041466,193,70,88,70,52,22,0,42,1020,0,0,0,0,0,0,0,0,0,5,10,1393,226,307,86,114,88,62,29,8,112,2421
124041467,141,60,36,42,43,9,6,15,789,0,0,0,0,0,0,0,0,0,26,26,1340,169,229,74,58,65,45,9,6,71,2076
124041468,23,20,10,7,11,0,0,17,449,0,0,0,0,0,0,0,0,0,234,239,729,50,39,21,10,12,11,0,0,271,1150
124051469,88,44,20,10,15,6,0,16,1026,0,0,0,0,0,0,0,0,0,0,0,1207,180,112,54,26,14,23,6,0,29,1645
124051470,426,80,87,55,75,20,6,33,3423,0,0,0,0,0,0,0,0,0,4,10,3710,670,551,100,105,60,85,32,7,93,5415
124051580,518,139,95,78,62,33,12,35,2848,0,0,0,0,0,0,0,0,0,4,11,2150,672,613,166,121,94,96,36,16,68,4031
124051581,572,149,137,142,137,59,17,39,3529,0,3,4,0,0,0,0,0,0,49,54,2616,960,738,186,181,189,175,79,19,146,5297
125011475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125011582,1760,525,991,1355,1199,312,62,362,11876,3,4,3,0,0,5,0,0,0,17,45,4007,1672,1839,541,1014,1404,1238,320,66,413,12518
125011583,1121,386,725,1157,1026,218,20,210,7582,4,0,0,3,0,4,3,0,0,18,37,1808,1093,1158,396,750,1199,1061,228,20,236,7955
125011584,581,107,163,146,128,47,11,105,4183,0,0,0,0,0,0,5,0,0,5,16,2445,684,611,114,168,152,132,52,11,123,4488
125011585,599,137,224,252,242,42,15,145,4609,0,3,0,0,4,0,0,0,0,4,17,2528,733,642,153,240,263,255,44,15,159,5027
125011586,1568,487,695,891,786,201,37,332,12466,6,0,8,0,0,3,3,0,0,88,104,6334,1970,1696,524,724,928,831,219,40,457,13720
