SA2_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
314011387,15,16,23,39,61,41,11,0,0,205,14,15,18,62,73,44,8,8,3,245,448,429,586,1206,1904,1239,319,39,3,6180
314021389,16,72,160,100,85,41,14,0,0,497,12,60,162,120,74,51,11,0,0,485,624,1226,3453,2972,2102,1222,243,26,0,11849
314021576,0,16,37,28,21,10,6,0,0,115,7,11,39,25,28,9,5,0,0,127,136,346,791,621,498,274,43,4,0,2719
314021577,21,46,149,78,73,49,13,0,0,434,28,54,119,118,82,62,8,0,0,471,580,986,2548,2223,1903,1358,269,15,0,9879
314021578,14,35,67,77,54,13,4,0,0,258,16,29,96,98,56,21,11,0,0,326,451,703,1848,2432,1473,593,118,0,0,7627
314021579,27,46,121,106,98,44,5,3,0,454,38,27,133,132,88,42,5,0,0,467,863,998,2254,3019,2820,1271,263,27,4,11517
314031391,10,35,61,70,35,36,9,0,0,250,14,26,49,55,50,22,4,0,0,217,321,431,1040,1188,986,630,171,12,0,4772
314031392,3,19,46,48,20,14,3,0,0,157,12,23,39,50,40,20,4,3,0,190,191,333,852,783,634,431,90,11,0,3317
314031393,0,26,40,32,52,28,9,0,0,186,11,19,38,40,44,23,7,0,0,182,283,436,866,915,1027,686,133,10,0,4366
314031394,14,35,84,71,61,33,14,0,0,303,9,38,83,68,57,46,15,0,0,313,321,643,1556,1517,1193,886,224,19,0,6354
315011395,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,7,5,16,40,29,36,31,4,0,0,159
315011396,6,13,26,21,26,14,0,3,0,114,18,6,32,19,25,21,16,6,0,141,123,255,716,636,752,745,226,27,3,3477
315011397,0,0,0,5,5,0,0,0,0,9,7,4,4,0,12,9,0,3,0,33,31,50,115,112,177,208,75,19,0,779
315011398,0,0,0,0,3,0,0,0,0,8,0,3,9,4,3,4,0,0,0,24,14,46,112,89,92,56,15,0,0,425
315011399,0,0,8,7,3,7,0,0,0,27,9,5,16,9,9,8,0,0,0,47,44,115,238,205,203,166,39,5,0,1016
315011400,7,7,18,12,17,10,0,0,0,73,10,14,12,21,31,20,14,4,0,121,109,148,327,364,565,526,170,38,0,2253
315011401,0,3,6,11,4,8,4,0,0,36,3,7,16,8,8,10,0,0,0,56,70,151,406,386,345,286,75,4,0,1719
315011402,0,0,3,0,0,0,0,0,0,3,0,4,6,6,5,0,4,0,0,29,16,77,261,247,228,155,43,0,0,1027
315011403,4,8,9,12,8,14,0,0,0,61,7,14,22,10,12,17,0,0,0,76,126,223,658,520,530,314,65,0,0,2446
315021404,4,9,16,14,19,17,3,0,0,78,4,9,21,13,22,10,9,3,0,90,99,230,429,374,433,473,173,18,0,2226
315021405,24,52,101,70,67,52,19,4,0,386,38,35,88,79,60,37,18,0,0,347,605,948,2481,2045,1721,1363,321,41,6,9535
315021406,0,11,15,15,18,17,5,0,0,81,6,9,16,19,15,7,6,0,0,78,140,296,666,643,600,497,144,24,0,3012
315021407,4,6,7,13,0,3,0,0,0,32,3,14,11,10,10,12,5,7,0,64,88,173,444,367,361,405,140,44,3,2025
315031408,9,4,12,11,13,12,3,0,0,55,4,8,19,15,26,9,9,0,0,92,135,209,437,428,515,514,243,58,3,2542
315031409,0,5,15,14,7,14,3,0,0,66,16,7,25,20,19,28,10,3,0,116,84,150,404,319,394,465,153,20,0,1985
315031410,0,8,4,7,10,5,0,0,0,31,0,0,8,10,13,14,8,0,0,45,64,124,241,198,301,332,132,14,0,1414
315031411,0,0,12,5,4,9,3,0,0,35,0,5,10,14,13,8,5,0,0,55,48,109,282,238,294,354,133,19,0,1478
315031412,11,8,12,19,11,19,8,0,0,92,11,11,13,15,20,23,13,0,0,100,122,173,383,387,384,440,176,16,5,2076
316011413,10,16,57,55,73,54,18,0,0,276,18,39,52,69,61,58,22,9,0,335,504,540,1184,1658,1890,1492,454,38,4,7761
316011414,22,31,47,71,61,55,16,0,0,304,26,18,68,65,66,46,7,4,0,300,733,767,1400,1717,2153,1523,405,34,3,8732
316011415,13,24,51,78,53,24,9,0,0,250,22,26,56,61,49,32,4,0,0,255,547,500,1084,1507,1525,850,146,17,0,6179
316011416,17,27,48,54,41,21,7,0,0,206,25,29,54,45,25,18,5,0,0,207,688,808,1140,1106,1031,545,127,8,0,5457
316021417,18,17,31,41,36,25,13,0,0,181,18,15,29,40,43,32,4,3,0,191,378,354,725,1047,1106,870,194,14,0,4690
316021418,10,9,25,22,22,21,3,0,0,117,13,22,24,29,29,40,9,3,0,167,236,273,590,616,736,598,188,32,0,3268
