SA3_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
51104,18856,46303,1697,2767,450,885,2151,3655,334,523,18,22,4,7,0,0,13,21,369,569,1172,2201,159,268,141,183,44,95,1514,2753,380,674,23274,53950,4123,..,27394,53950
59797,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,5,12,8,23,13,37,0,..,13,37
60101,6573,17775,103,174,30,68,133,243,691,1249,0,0,0,0,0,0,11,29,701,1274,0,13,0,0,0,0,0,0,6,12,4,9,7423,19312,340,..,7757,19312
60102,21734,54057,853,1308,388,682,1246,1990,198,304,75,115,0,0,0,0,19,50,295,474,57,91,48,77,0,0,14,32,120,200,39,69,23429,56792,1416,..,24848,56792
60103,19495,49331,974,1599,315,635,1289,2238,2668,4725,46,81,0,0,0,0,15,38,2729,4842,60,82,26,39,19,23,64,159,177,307,55,91,23739,56803,1361,..,25111,56803
60104,12979,33705,469,707,301,644,760,1352,218,350,11,21,0,0,0,0,11,33,241,410,17,46,37,58,0,0,22,57,80,164,17,39,14085,35666,792,..,14876,35666
60105,15261,38636,988,1846,1589,3244,2577,5087,2582,4721,986,1647,634,1113,31,47,100,180,4341,7712,0,6,25,44,74,73,101,221,204,348,102,191,22475,51976,2316,..,24795,51976
60106,7403,17662,93,153,25,49,124,202,10,16,0,0,0,0,0,0,4,9,14,24,25,41,20,39,9,19,7,11,61,117,30,52,7622,18051,1291,..,8914,18051
60201,29260,72298,2465,4106,941,1987,3401,6091,2773,4363,118,194,36,50,11,26,122,228,3057,4862,25,39,3,10,55,66,110,189,200,302,91,155,36005,83703,2638,..,38645,83703
60202,9596,22740,200,307,59,158,261,468,68,98,0,0,0,0,0,0,9,17,78,116,75,119,29,62,6,18,26,45,141,238,21,43,10102,23610,1287,..,11388,23610
60203,15829,36220,543,789,57,142,604,926,522,783,0,0,0,0,0,0,3,5,525,785,152,223,46,92,18,30,37,80,260,426,48,107,17254,38463,4089,..,21342,38463
60301,4923,12010,23,30,10,12,27,44,42,53,0,0,0,0,0,0,0,0,42,54,21,33,25,43,5,7,14,25,61,111,20,37,5073,12253,2083,..,7157,12253
60302,8552,20406,133,189,4,0,134,191,29,53,0,0,0,0,0,0,7,8,30,57,81,156,67,100,17,25,23,48,183,326,28,60,8934,21039,2194,..,11127,21039
