SA3_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
11303,6762,8801,6746,6934,5048,4007,2826,5245,836,47211
11401,5396,7943,6973,6329,4642,4003,2096,4633,705,42727
11402,3879,5299,3794,2595,2645,2017,1331,2273,410,24236
11501,14190,26511,6214,5310,11370,5912,1909,3057,1162,75636
11502,2902,3117,1996,999,1974,1080,476,837,249,13636
11503,2037,2110,2490,1263,1869,901,963,1123,222,12974
11504,5321,8185,3499,2480,4530,2401,1305,1490,461,29674
11601,6085,13786,7084,6373,9355,4672,7476,5883,1409,62114
11602,10095,21734,6788,6258,11071,5271,4691,3956,1295,71171
11603,3222,6637,4801,4943,6464,3528,7332,5281,1059,43274
11701,4086,8139,3577,3135,4278,2567,1750,2364,628,30529
11702,5214,12438,2602,2336,3713,1795,837,1331,456,30731
11703,24327,53994,9619,10427,13889,8060,2638,5608,2324,130883
11801,15675,29150,3733,4056,6692,4676,804,1657,1511,67949
11802,12068,25333,6187,5603,8331,4619,1894,3081,1163,68273
11901,7664,14946,7741,6579,10863,5714,5099,5690,1598,65893
11902,5861,11606,5828,5576,7201,4997,3882,4848,1329,51129
11903,7698,16296,6184,5966,8929,5284,2970,4632,1255,59217
11904,8853,18705,7396,6551,10004,5987,3714,5812,1425,68445
12001,8926,15774,3550,2951,6488,3295,1007,1722,803,44523
12002,7324,13080,1856,1841,3262,1858,424,721,386,30757
12003,11171,28468,7274,7236,10598,6238,3007,6139,1656,81784
12101,12561,25590,3616,3863,7155,3971,893,1766,1024,60432
12102,6789,15810,4244,4184,5947,2938,1194,2423,597,44133
12103,12959,24354,2889,3665,7202,4062,744,1553,1014,58443
12104,12215,23196,2534,2937,6072,3221,506,1051,901,52626
12201,5762,8962,1390,1570,2296,1605,315,539,359,22797
12202,6572,8797,3863,2722,3838,2602,820,1457,509,31178
12203,15807,23454,9391,7616,10142,6749,2698,4325,1130,81308
12301,5180,7097,5557,4164,5795,3404,2902,2762,618,37469
12302,7013,13825,8785,8608,10892,6284,8274,7595,1719,72997
12303,3073,3270,4137,2244,3123,1742,2003,2112,430,22139
12401,5065,11083,4546,4266,4499,2432,1446,2439,480,36246
12402,0,0,0,0,0,0,0,0,0,7
12403,9288,14084,10895,8546,12543,6440,7595,6669,1469,77517
12404,2105,2581,3047,2021,2422,1417,1755,1746,334,17442
12405,2177,3311,3246,2691,4111,2060,3719,2628,540,24501
12501,4868,11291,4695,4464,5292,3371,2925,4770,1396,43066
12502,4825,10236,3444,2696,5053,2530,1384,1844,667,32677
12503,5505,10985,6549,5645,8283,4490,5053,5528,1567,53601
12504,8553,25283,6145,6077,9988,4949,4741,4952,1516,72203
12601,4302,11395,1862,1849,3520,1750,506,990,406,26569
12602,12139,27316,6357,5504,10324,5520,1893,3291,1294,73645
12701,7095,11541,7446,5795,9176,5018,6249,5220,1281,58818
12702,5369,10213,7285,5824,8664,5259,8054,7964,1725,60354
12703,5965,11942,6318,6121,8358,4184,5112,4460,1163,53621
12801,10752,15335,7503,5873,8988,4876,2047,2930,983,59284
