SED_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
SED23502,1045,8590,9860,3809,2278,25585,2017,27599
SED23602,1005,8087,8921,3415,2259,23693,1657,25351
SED23702,806,7673,10284,4106,3063,25930,1203,27126
SED23806,2633,11922,8377,2039,964,25940,962,26899
SED23901,1873,10459,9860,2482,1099,25773,945,26720
SED24006,1188,8305,9203,2663,1321,22684,683,23360
SED24105,1367,7216,9577,3692,1958,23814,969,24788
SED24207,1155,8787,12951,4506,2347,29750,1715,31464
SED24308,1895,9533,9478,3139,1868,25911,1644,27551
SED24408,1221,7835,8496,3723,2641,23912,1543,25462
SED24504,550,6291,9861,4100,2856,23661,1348,25010
SED24606,2219,10664,8314,2048,1054,24299,960,25259
SED24703,27547,22786,5735,866,359,57293,5126,62419
SED24808,1427,10700,12858,4446,2552,31976,2259,34238
SED24904,1517,8358,9045,3587,2248,24743,2398,27147
SED25003,747,7109,9727,3559,2118,23262,1127,24385
SED25102,474,5070,8922,3401,2449,20316,641,20961
SED25205,1399,9369,10377,2616,1312,25072,819,25891
SED25302,850,7583,10456,3253,1929,24065,843,24902
SED25402,1631,9359,9633,3580,2143,26344,1948,28286
SED25501,1131,8221,9327,2749,1150,22576,819,23397
SED25605,1413,7403,9059,2758,1471,22109,1022,23130
SED25704,1333,8043,9272,3803,2478,24923,1980,26901
SED25802,1297,8995,10941,4401,3051,28687,1903,30590
SED25905,766,6137,9035,3542,2244,21722,1193,22913
SED26005,625,6320,11238,4417,2597,25198,1180,26377
SED26102,1029,10252,11416,3344,1711,27746,2045,29785
SED26207,1293,7824,9391,2770,1536,22809,814,23627
SED26303,3627,13623,7926,1729,755,27657,988,28645
SED26406,3070,12550,9257,2173,1047,28099,1157,29258
SED26504,1166,8029,8967,3284,2136,23580,1785,25361
SED26603,2909,13399,9842,2438,1218,29811,1487,31298
SED26708,927,7612,9573,3997,2865,24973,1701,26682
SED26806,8770,20603,6478,1042,417,37308,2540,39855
SED26903,3344,12752,8180,2068,1024,27365,1594,28958
SED27003,7334,18669,6869,1255,372,34500,2004,36503
SED27101,1598,10217,9564,2294,1234,24904,893,25791
SED27208,1246,8884,9793,4078,2792,26791,2099,28889
SED27305,402,4524,8337,3240,2150,18662,491,19156
SED27406,1473,10222,10037,2380,1151,25265,835,26103
SED27504,1381,9129,10050,4021,2454,27031,2350,29385
SED27608,882,9659,15099,4339,2455,32431,1123,33553
SED27708,1236,8713,10028,3630,2147,25745,1574,27324
SED27807,2462,9677,8197,3076,1502,24910,2263,27176
SED27907,999,7843,9980,3446,2018,24276,1107,25381
SED28007,704,6223,10371,4430,2886,24613,1040,25653
SED28107,1182,13135,16890,4879,2440,38522,2578,41101
SED28203,1806,9626,10803,3242,1576,27057,1467,28523
SED28301,660,6065,9120,3237,2253,21335,577,21915
SED28408,1700,10013,9325,2710,1371,25119,1243,26355
SED28507,1662,11810,11663,3382,1767,30278,1913,32195
SED28607,2432,12151,10376,2281,938,28180,1222,29400
SED28704,599,8550,15079,5239,3374,32841,1257,34102
SED28803,1029,10505,16852,5815,3405,37612,2064,39674
SED29797,0,0,0,0,0,0,0,0
SED30001,729,6340,8843,2934,1477,20323,955,21282
SED30002,1037,6257,8343,2514,1379,19538,550,20091
SED30003,849,7272,7952,2734,1556,20362,934,21297
SED30004,701,7768,8787,2714,1288,21261,1316,22577
SED30005,1570,10344,7603,2069,986,22563,1660,24224
SED30006,757,7354,7954,2445,1200,19705,1100,20811
SED30007,794,6801,8246,2706,1397,19948,853,20795
SED30008,1176,8754,8712,2235,1094,21975,863,22836
SED30009,1724,8330,6519,2229,1124,19929,1216,21143
SED30010,1210,8392,9052,2934,1394,22977,1730,24707
SED30011,870,6884,7739,2829,1705,20024,2176,22205
SED30012,994,7542,7762,2250,1111,19663,1226,20889
SED30013,578,7262,7806,2850,1702,20202,1538,21734
SED30014,2571,9887,6875,1962,938,22233,2341,24567
SED30015,783,6090,6867,2977,2011,18731,2477,21213
SED30016,993,8168,8427,2594,1479,21658,1075,22730
SED30017,781,5906,7567,2811,1709,18774,633,19408
SED30018,721,5671,7918,2478,1422,18213,529,18747
