SED_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
SED30034,61,1305,305,4,1680,55,997,299,61,1417,169,2338,836,365,3705,274,2226,633,107,3248,437,2695,564,11,3706,635,3598,448,17,4698,489,3917,462,9,4882,237,1830,250,4,2323,55,471,103,0,627,2416,19373,3920,573,26284,77,1194,226,0,1502,54,839,142,30,1074,282,2313,383,122,3106,493,2332,358,57,3236,767,2693,383,18,3859,955,3545,396,8,4908,673,3380,387,9,4450,266,1677,245,5,2193,34,654,148,0,833,3598,18626,2676,253,25148,143,2498,532,7,3180,108,1834,449,96,2486,450,4654,1222,488,6809,770,4555,994,166,6484,1199,5384,956,24,7566,1589,7151,839,29,9603,1161,7301,848,16,9333,503,3502,497,5,4516,90,1122,253,0,1464,6012,38003,6597,824,51437
SED30035,55,1289,111,0,1452,69,1256,103,4,1429,206,2818,216,14,3255,324,2531,207,0,3060,328,2424,213,3,2970,421,2705,195,3,3327,318,2530,222,0,3066,159,1120,126,0,1404,25,268,48,0,337,1899,16935,1430,37,20301,77,1225,89,0,1390,81,1144,78,0,1306,366,2977,227,6,3574,583,2655,203,4,3449,580,2360,219,0,3152,703,2439,175,8,3322,429,2238,205,3,2877,152,963,123,0,1238,15,371,51,0,434,2985,16366,1371,22,20738,130,2515,199,0,2842,148,2399,178,4,2733,575,5789,444,19,6824,909,5186,413,4,6509,910,4780,429,3,6125,1124,5151,371,13,6653,750,4764,423,4,5945,310,2082,246,5,2637,37,638,98,0,776,4887,33297,2801,51,41043
SED30036,109,1994,254,7,2354,131,1992,480,4,2609,293,3891,1444,7,5634,371,3277,1181,4,4833,413,3038,634,3,4094,392,2678,349,13,3434,230,1668,160,11,2062,140,833,79,5,1049,33,277,39,0,351,2105,19653,4625,45,26428,138,1810,164,4,2115,145,1907,177,4,2230,478,4033,477,10,4988,631,3495,386,7,4515,689,3189,230,9,4113,566,2586,178,18,3354,316,1867,122,14,2322,128,1172,101,11,1421,33,491,58,0,580,3120,20543,1892,74,25637,245,3801,416,5,4469,281,3898,662,5,4841,767,7919,1917,16,10618,1002,6771,1572,5,9351,1103,6227,865,12,8210,955,5259,533,35,6784,545,3534,279,32,4391,265,2012,184,10,2473,67,772,93,0,933,5231,40195,6517,124,52062
SED30037,81,1464,94,8,1639,88,1417,119,0,1625,217,3072,259,6,3555,353,2660,237,3,3250,417,2371,175,0,2969,419,2191,153,5,2766,280,1556,152,4,1990,123,850,114,0,1085,52,238,89,0,375,2031,15814,1396,25,19267,78,1390,88,0,1561,115,1397,108,3,1616,407,3239,251,7,3904,604,2586,210,4,3405,695,2333,196,4,3230,690,2131,142,9,2973,356,1667,133,4,2162,145,1064,174,4,1390,25,518,198,0,739,3106,16324,1506,30,20971,155,2853,190,8,3198,202,2812,223,3,3245,627,6312,507,6,7462,957,5246,448,7,6653,1113,4707,371,3,6195,1107,4323,293,17,5738,638,3218,289,12,4153,270,1912,286,4,2472,73,755,289,0,1119,5138,32143,2904,53,40238
SED30038,96,1586,156,0,1832,108,1515,301,5,1928,226,2844,624,13,3707,360,2652,433,3,3452,423,2592,243,0,3265,455,2424,151,0,3032,305,1790,91,0,2191,148,901,82,0,1126,21,261,30,0,313,2151,16559,2115,33,20860,98,1526,155,0,1781,131,1464,143,0,1748,443,2962,237,7,3649,673,2562,162,3,3405,768,2611,180,0,3562,784,2270,123,0,3181,427,1826,116,0,2363,166,1097,119,0,1379,21,345,68,0,433,3511,16669,1304,21,21498,192,3110,310,0,3614,237,2986,443,8,3673,667,5805,863,25,7361,1033,5223,599,7,6853,1198,5196,429,3,6824,1243,4693,273,6,6216,730,3617,209,4,4561,312,1994,201,0,2504,41,605,96,0,748,5659,33222,3416,55,42354
SED30039,81,2268,122,3,2467,80,1909,117,4,2107,264,4234,238,7,4741,523,4873,246,10,5649,453,3848,168,0,4467,346,2415,96,12,2873,189,1350,59,12,1608,89,517,26,0,630,15,81,9,0,105,2029,21500,1067,53,24643,118,2235,112,0,2468,122,1854,97,0,2079,507,4676,262,3,5452,824,4956,240,3,6024,802,3658,176,9,4638,577,2256,99,27,2953,278,1394,71,21,1762,83,525,30,3,643,3,133,11,0,143,3315,21691,1089,73,26166,198,4501,232,3,4937,203,3763,218,8,4188,767,8918,496,8,10190,1342,9832,487,12,11672,1256,7502,338,11,9110,916,4671,194,43,5827,467,2748,130,31,3369,169,1044,59,3,1275,22,212,9,0,247,5338,43188,2160,125,50807
SED30040,62,1555,86,0,1700,66,1199,74,0,1337,142,2360,203,5,2699,270,2547,155,0,2969,372,2635,148,8,3168,380,2319,132,0,2830,317,2144,118,7,2585,224,1529,138,6,1897,65,586,105,0,762,1895,16870,1155,28,19947,60,1440,79,0,1578,64,1203,88,0,1347,243,2574,180,7,3005,482,2761,184,4,3428,670,2850,130,8,3663,789,2505,136,7,3439,497,2496,149,7,3153,264,1856,200,3,2325,59,832,184,0,1074,3126,18514,1334,37,23013,122,2989,161,0,3279,128,2399,154,0,2689,378,4933,385,11,5704,747,5308,338,3,6397,1047,5489,281,15,6829,1163,4830,272,11,6275,815,4644,264,14,5739,494,3382,337,12,4220,123,1418,289,3,1830,5018,35386,2486,70,42962
SED30041,87,1534,147,0,1776,65,1167,99,3,1330,176,2417,225,9,2830,261,2499,210,5,2981,346,2426,209,3,2986,508,2714,202,0,3427,375,2661,233,3,3276,189,1346,139,0,1681,42,335,60,0,438,2065,17084,1534,24,20714,79,1404,126,4,1614,87,1118,121,7,1328,347,2644,196,6,3200,527,2653,209,0,3387,687,2562,193,0,3437,876,2855,211,7,3940,522,2536,209,5,3267,224,1356,157,8,1734,39,443,66,0,543,3387,17563,1478,33,22459,172,2937,276,4,3388,152,2283,214,8,2660,524,5059,426,14,6026,789,5147,424,10,6365,1035,4985,395,7,6421,1383,5562,412,5,7364,897,5192,441,8,6538,412,2699,295,5,3418,86,777,123,0,984,5451,34652,3012,59,43175
SED30042,82,1892,108,0,2093,95,1750,67,0,1903,225,3272,194,5,3699,376,3079,140,0,3597,450,3109,127,0,3687,409,2403,97,0,2907,277,1713,62,0,2052,112,823,49,0,983,24,203,14,0,238,2054,18237,852,12,21156,108,1817,95,6,2027,107,1633,87,0,1830,453,3365,194,3,4019,718,3266,176,3,4158,884,2980,150,3,4020,642,2311,93,4,3047,420,1827,72,0,2319,134,956,56,5,1147,16,320,17,0,354,3486,18476,950,17,22925,193,3713,206,4,4118,200,3384,156,0,3739,681,6638,387,11,7718,1093,6340,312,3,7754,1337,6093,284,4,7714,1047,4713,190,6,5950,702,3535,137,0,4373,242,1774,104,3,2123,38,524,32,0,592,5535,36711,1799,34,44086
SED30043,85,1446,164,0,1692,88,1240,118,5,1459,194,2572,251,25,3042,332,2358,216,0,2912,446,2644,231,5,3323,515,2730,194,0,3439,348,2302,154,0,2801,184,1131,122,0,1433,29,234,51,0,315,2227,16651,1490,38,20411,114,1499,144,0,1765,95,1256,152,14,1514,380,2647,327,19,3377,643,2462,286,7,3401,740,2540,236,0,3512,856,2453,181,0,3487,490,2022,167,0,2684,157,1063,145,0,1364,14,356,93,0,456,3482,16312,1730,45,21568,199,2943,308,0,3453,186,2497,277,14,2974,574,5222,575,44,6415,979,4820,498,10,6311,1184,5181,461,3,6834,1370,5177,380,0,6931,831,4328,318,3,5479,341,2193,268,0,2800,43,595,137,0,772,5710,32956,3222,88,41973
SED30044,65,1940,137,0,2147,116,1877,172,0,2167,306,4033,374,6,4726,437,3357,288,8,4088,416,3103,232,6,3752,451,2777,174,4,3409,295,2101,106,12,2519,147,992,74,7,1217,28,225,16,0,267,2264,20400,1578,46,24291,107,1771,144,0,2024,153,1923,174,0,2253,575,4228,395,0,5197,759,3217,296,3,4269,757,2992,226,6,3981,730,2686,151,15,3577,437,2161,147,13,2748,144,1127,108,8,1385,22,360,37,0,422,3681,20449,1683,40,25855,171,3708,292,0,4168,267,3800,351,4,4420,879,8262,771,14,9922,1201,6573,580,11,8357,1169,6090,458,8,7736,1177,5457,323,16,6982,734,4258,254,21,5272,288,2116,186,13,2604,54,579,57,3,690,5940,40852,3261,88,50145
SED30045,55,1536,60,0,1652,74,1292,50,0,1418,154,2609,133,3,2898,325,3142,130,5,3600,479,3239,154,4,3875,470,2648,99,7,3219,299,1927,87,8,2317,141,1080,83,0,1302,44,337,78,6,457,2034,17804,868,25,20741,76,1355,51,0,1479,87,1200,49,0,1339,275,2772,113,4,3164,559,3332,132,3,4035,847,3173,126,0,4147,807,2465,98,4,3372,445,2099,91,10,2651,196,1309,154,0,1658,38,655,136,0,834,3331,18365,956,24,22681,135,2890,116,3,3139,157,2493,102,0,2760,426,5383,247,5,6065,880,6476,263,7,7634,1324,6416,279,4,8015,1278,5115,194,8,6593,741,4029,175,15,4963,339,2387,236,0,2963,81,994,215,6,1296,5371,36168,1825,52,43415
SED30046,94,1702,164,0,1962,91,1764,182,0,2045,283,3689,393,10,4376,381,3179,325,8,3889,388,2890,266,7,3550,412,2450,165,5,3032,300,2066,115,3,2487,168,1096,86,0,1348,26,294,29,0,347,2145,19134,1728,29,23032,111,1536,154,0,1797,138,1670,167,0,1981,539,3709,397,8,4649,679,3037,302,4,4015,745,2814,242,3,3810,655,2481,183,5,3329,455,2231,151,4,2849,170,1227,123,0,1522,20,468,44,0,525,3507,19180,1752,26,24463,199,3237,316,0,3754,231,3437,352,3,4026,823,7397,785,18,9022,1054,6215,624,8,7902,1139,5710,508,7,7361,1070,4933,348,11,6358,758,4304,264,10,5328,338,2323,204,0,2868,44,763,72,0,879,5656,38312,3481,55,47497
SED30047,59,1472,137,0,1662,78,1497,172,0,1748,173,3005,370,3,3551,271,2792,363,7,3430,348,2847,339,13,3552,449,2792,343,4,3600,269,2187,230,5,2692,149,1078,175,5,1400,44,383,89,0,514,1840,18054,2207,43,22146,86,1377,128,0,1590,85,1456,184,4,1733,315,3029,347,13,3709,498,2869,304,3,3670,647,2738,251,0,3637,683,2638,231,7,3561,420,2140,197,5,2763,224,1371,187,0,1774,31,699,127,3,857,2992,18308,1959,41,23296,141,2842,268,0,3250,169,2953,359,4,3479,488,6033,714,12,7257,759,5661,663,13,7103,997,5586,591,15,7190,1131,5435,574,18,7154,694,4323,426,16,5451,369,2444,359,4,3183,79,1081,210,3,1371,4826,36363,4163,80,45440
SED30048,99,2538,64,14,2715,114,4076,183,22,4394,194,4950,244,27,5417,313,3667,131,15,4125,439,2871,107,16,3428,380,1978,75,21,2442,231,1622,82,18,1951,154,940,76,5,1179,37,265,40,0,343,1961,22903,1004,130,25991,77,2678,96,9,2865,131,4063,151,16,4364,231,4731,268,22,5250,468,3706,122,13,4316,662,2868,108,20,3662,629,1927,75,23,2654,426,1765,100,26,2309,183,1030,90,0,1306,22,431,80,4,527,2829,23198,1090,132,27246,175,5220,162,18,5579,249,8131,331,42,8756,427,9686,512,47,10672,782,7377,254,29,8443,1104,5737,208,37,7090,1004,3908,145,39,5096,652,3384,179,41,4260,337,1969,167,8,2478,58,693,119,5,866,4786,46099,2090,261,53241
SED30049,76,1891,75,3,2054,92,1883,113,3,2088,227,3487,189,18,3922,355,3727,163,10,4261,525,3082,129,0,3740,415,2114,104,9,2644,252,1501,49,20,1821,146,953,64,5,1166,48,358,37,0,451,2146,18997,931,66,22141,84,1860,85,0,2036,115,1748,73,8,1949,294,3655,179,17,4147,575,4011,159,10,4752,784,2997,110,12,3909,693,2073,79,26,2863,362,1704,62,21,2147,178,1205,76,0,1470,35,579,67,0,681,3117,19836,908,89,23945,164,3756,162,3,4088,211,3626,183,14,4036,527,7143,366,27,8063,929,7737,328,16,9015,1310,6082,242,13,7653,1102,4183,186,33,5509,614,3201,116,37,3967,333,2160,143,6,2639,83,939,104,0,1128,5260,38832,1838,162,46094
SED30050,49,1062,86,3,1197,50,1190,137,8,1390,160,2824,296,78,3355,204,2500,278,31,3017,317,2561,253,24,3150,455,2846,259,15,3574,378,3078,303,16,3777,178,1741,235,20,2169,61,461,102,0,624,1852,18260,1946,194,22249,50,1004,81,3,1137,61,1402,139,8,1614,209,3027,316,54,3609,381,2533,225,26,3173,588,2639,247,13,3480,809,3202,319,12,4335,545,3169,336,22,4068,233,1812,267,10,2317,36,690,184,0,900,2914,19472,2117,148,24643,97,2067,167,7,2337,110,2596,283,12,3000,369,5850,612,135,6960,588,5040,501,60,6185,901,5198,495,32,6632,1263,6047,574,25,7916,925,6243,641,41,7847,409,3547,505,29,4492,91,1148,279,0,1523,4761,37733,4063,338,46895
SED30051,84,1271,136,0,1490,76,980,189,0,1244,198,1769,410,0,2382,285,1856,365,0,2505,460,2369,289,4,3122,610,3173,230,0,4018,578,3743,234,4,4564,274,1836,161,3,2278,45,399,51,0,492,2614,17394,2073,22,22097,77,1126,109,0,1308,100,864,72,0,1041,336,1720,168,5,2229,562,1932,178,3,2671,791,2350,156,5,3305,1014,3198,205,4,4420,811,3440,249,5,4499,266,1678,167,4,2116,32,599,70,0,705,3991,16899,1378,21,22283,163,2393,245,0,2803,176,1844,266,0,2281,533,3483,578,7,4609,844,3789,544,3,5175,1248,4721,450,10,6424,1624,6371,436,12,8439,1389,7184,483,7,9057,546,3514,328,7,4392,82,996,123,0,1193,6600,34295,3448,47,44387
SED30052,46,1137,107,12,1303,124,3669,403,34,4237,375,9678,1238,146,11443,375,5473,839,85,6773,359,3363,634,62,4424,429,2546,456,61,3488,220,1597,251,27,2094,82,790,152,6,1041,17,204,52,0,275,2030,28459,4139,443,35073,48,1337,126,9,1514,176,4238,464,48,4917,480,9524,1093,119,11217,430,4380,646,59,5526,544,2757,425,19,3748,558,2115,379,38,3091,297,1500,212,13,2025,110,782,143,9,1043,15,385,83,0,482,2659,27015,3573,322,33564,91,2474,232,26,2820,305,7908,864,83,9155,856,19198,2338,268,22663,806,9852,1484,147,12294,901,6125,1055,87,8168,985,4660,833,96,6578,511,3095,463,41,4120,193,1570,297,14,2076,28,590,137,5,760,4685,55473,7714,763,68635
SED30053,46,1407,79,0,1528,58,1606,103,0,1775,152,3569,316,17,4054,221,3155,203,13,3598,352,2843,153,5,3352,375,2198,122,15,2713,204,2045,99,10,2355,155,1133,113,9,1402,37,306,68,0,408,1608,18263,1252,67,21188,71,1398,65,4,1538,85,1866,117,8,2076,255,3937,300,21,4515,446,3320,183,10,3962,612,2889,153,15,3671,599,2335,139,20,3097,412,2267,130,13,2818,170,1253,148,4,1576,25,540,175,0,737,2680,19798,1405,95,23986,115,2800,139,8,3062,148,3467,221,9,3850,407,7508,617,37,8562,671,6474,385,27,7558,967,5732,309,20,7028,979,4537,260,29,5808,615,4310,230,18,5178,323,2390,257,8,2976,63,848,242,0,1146,4288,38068,2659,161,45174
SED30054,55,1399,30,4,1481,73,1759,63,0,1889,180,3259,137,7,3581,303,3201,119,9,3637,464,2853,115,6,3435,431,2065,110,5,2613,242,1396,71,5,1716,113,735,45,0,888,36,276,23,0,336,1892,16945,707,42,19587,59,1415,29,4,1507,106,1758,50,5,1928,240,3296,112,15,3657,479,3408,102,9,3997,733,2709,86,5,3538,717,1882,81,7,2680,385,1442,47,0,1880,166,898,62,4,1125,33,515,47,0,603,2917,17325,620,52,20916,108,2813,58,4,2991,173,3516,117,8,3818,420,6552,250,22,7244,782,6607,228,19,7637,1199,5558,201,13,6975,1149,3940,186,11,5292,627,2841,116,12,3592,277,1631,108,4,2016,73,797,69,0,941,4807,34272,1334,91,40503
SED30055,49,1293,183,0,1529,52,1072,230,0,1356,145,2160,586,7,2904,246,2331,545,0,3114,335,2453,446,0,3242,421,2831,392,0,3648,305,2431,320,10,3062,111,1037,151,0,1305,23,218,32,0,267,1695,15824,2877,26,20427,64,1182,176,0,1427,79,977,108,3,1168,241,2330,291,4,2862,474,2357,308,3,3148,595,2390,299,4,3285,711,2565,312,3,3591,379,1958,253,5,2592,116,881,128,0,1127,19,254,37,0,310,2679,14897,1915,22,19504,116,2479,360,4,2951,131,2043,339,4,2521,383,4492,873,12,5765,719,4684,858,3,6265,934,4845,742,6,6525,1131,5401,701,4,7241,684,4387,571,14,5656,234,1922,276,0,2433,39,469,68,0,579,4376,30721,4787,47,39930
SED30056,67,1953,34,3,2050,55,1257,40,0,1353,105,1569,43,11,1725,298,2842,60,10,3207,489,3276,64,10,3837,456,2401,46,4,2900,316,1867,30,14,2220,155,1187,41,0,1386,60,365,47,0,465,1993,16705,402,58,19152,67,1623,41,6,1732,56,1047,13,3,1124,154,1728,39,3,1927,479,3150,64,4,3700,832,3255,69,7,4163,725,2275,50,12,3064,480,1992,48,7,2524,219,1231,62,4,1515,28,588,86,0,699,3042,16897,472,48,20455,131,3573,79,6,3786,119,2308,51,5,2480,260,3294,82,17,3646,773,5995,122,18,6906,1322,6537,128,14,8000,1176,4674,98,18,5968,795,3857,72,24,4743,376,2422,109,3,2906,84,954,129,0,1169,5034,33600,865,104,39610
SED30057,84,1664,143,0,1891,106,1697,157,8,1970,310,3355,320,51,4026,361,2670,258,10,3304,426,2670,211,4,3306,420,2425,157,6,3010,320,2097,148,4,2565,168,1193,133,6,1497,31,363,58,0,459,2220,18136,1578,84,22022,112,1621,149,0,1886,153,1731,174,5,2060,554,3474,358,44,4433,800,2719,267,8,3796,841,2623,215,3,3678,720,2550,150,0,3416,502,2290,156,8,2955,175,1357,133,0,1676,30,569,129,0,726,3878,18943,1731,78,24625,190,3288,291,0,3772,257,3426,333,11,4029,862,6831,677,94,8462,1161,5388,525,21,7101,1266,5289,423,5,6982,1134,4978,302,9,6427,818,4392,305,14,5522,347,2554,268,9,3168,62,936,182,6,1184,6101,37074,3312,160,46646
SED30058,70,1543,46,0,1662,85,1280,42,5,1405,178,2727,96,9,3009,341,3220,110,3,3680,442,2842,88,10,3381,441,2329,72,3,2844,300,1941,64,4,2305,149,1027,34,5,1222,36,336,26,0,405,2038,17244,587,38,19913,81,1441,42,0,1568,81,1218,43,0,1347,267,2875,110,4,3257,516,3339,114,8,3977,727,2832,72,3,3638,634,2339,55,8,3041,436,2061,72,7,2571,151,1179,53,7,1396,23,646,51,0,722,2916,17940,610,41,21511,151,2983,84,3,3226,167,2501,85,4,2752,440,5604,204,9,6267,855,6565,229,7,7662,1165,5671,164,12,7018,1072,4663,132,15,5884,729,4003,136,14,4877,306,2207,91,13,2618,58,983,80,0,1128,4957,35184,1201,77,41424
SED30059,83,1825,100,0,2008,63,1396,110,4,1576,144,2589,178,3,2915,333,3290,214,8,3851,490,3360,193,11,4053,406,2710,142,13,3269,293,2186,164,11,2645,182,1245,130,3,1558,32,319,98,0,452,2032,18922,1328,57,22327,91,1731,87,0,1911,91,1426,105,0,1621,248,2920,223,0,3389,583,3595,275,8,4458,786,3496,206,9,4501,738,2782,141,18,3679,492,2262,136,16,2908,180,1298,173,3,1652,21,458,238,0,712,3243,19964,1579,50,24837,177,3554,185,4,3918,158,2822,210,5,3197,385,5509,400,7,6305,923,6889,481,12,8308,1282,6855,398,17,8552,1151,5491,284,26,6950,782,4446,295,28,5552,361,2541,305,4,3216,54,774,337,0,1167,5272,38887,2902,104,47168
SED30060,92,1734,197,0,2032,83,1370,153,0,1613,223,2938,365,5,3527,328,2760,329,3,3423,430,2734,274,5,3447,395,2442,227,8,3075,270,1945,218,11,2436,108,850,104,0,1053,25,180,58,0,268,1955,16948,1928,38,20875,120,1529,201,0,1846,106,1330,164,0,1603,409,3099,351,13,3878,602,3029,348,4,3990,776,2807,273,3,3855,645,2329,243,9,3219,392,1883,171,3,2457,141,908,138,0,1187,20,247,86,0,353,3213,17151,1975,44,22381,214,3263,399,0,3880,195,2701,317,4,3210,631,6030,726,27,7408,933,5789,682,8,7411,1200,5544,548,14,7305,1035,4772,470,20,6298,661,3829,389,8,4889,240,1755,238,5,2239,46,425,144,0,618,5164,34101,3899,84,43258
SED30061,105,1718,221,5,2047,99,2184,724,27,3041,213,2869,829,51,3966,249,2292,517,13,3071,374,2379,332,0,3084,387,2102,239,7,2734,255,1625,197,3,2084,135,887,153,6,1181,31,244,84,0,361,1852,16299,3300,111,21559,85,1843,170,0,2096,129,2052,231,4,2416,290,2665,364,6,3330,446,2409,284,5,3144,603,2386,226,3,3215,630,2113,177,3,2920,363,1606,174,10,2155,182,1117,146,0,1445,24,512,149,0,683,2750,16699,1923,40,21410,187,3560,389,3,4145,229,4234,957,35,5458,505,5539,1194,63,7296,695,4700,809,16,6215,979,4757,550,3,6296,1016,4213,415,8,5660,619,3229,374,13,4235,313,2008,300,4,2624,53,757,229,0,1040,4602,33001,5220,148,42973
SED30062,93,1847,91,0,2029,87,1877,110,0,2073,326,4512,296,9,5134,477,4347,244,4,5070,427,3229,171,3,3828,370,2253,106,8,2734,294,1769,77,7,2146,152,926,79,9,1167,33,274,68,0,382,2257,21038,1241,38,24568,131,1871,101,0,2098,143,2039,111,0,2295,583,5067,305,4,5963,861,4216,271,7,5353,805,3172,145,10,4130,675,2422,90,20,3214,414,2036,100,12,2568,173,1191,121,6,1483,35,503,168,0,711,3819,22524,1407,61,27808,222,3718,185,0,4126,233,3917,216,0,4361,909,9572,601,13,11095,1338,8567,510,11,10424,1233,6405,315,15,7966,1048,4667,196,35,5945,708,3807,174,17,4708,321,2122,200,5,2651,68,781,244,6,1099,6073,43558,2650,98,52379
SED30063,98,1210,190,0,1498,82,931,126,0,1140,184,1991,262,20,2452,305,1997,259,11,2562,440,2438,327,0,3198,538,3008,371,4,3921,532,3305,377,0,4214,241,1771,241,0,2258,40,396,59,0,492,2459,17041,2201,38,21736,85,1161,173,0,1421,100,906,119,0,1125,336,1904,236,8,2484,539,1862,263,0,2670,772,2328,314,0,3416,934,2846,340,7,4124,676,2999,357,0,4032,247,1536,217,3,2005,35,525,90,0,651,3718,16078,2110,20,21930,184,2378,363,0,2919,184,1837,243,3,2270,524,3894,494,28,4936,842,3857,526,11,5230,1206,4770,637,0,6611,1471,5856,715,13,8046,1212,6304,729,7,8245,493,3312,465,3,4270,74,922,145,0,1139,6176,33121,4310,59,43668
SED30064,84,1278,91,0,1450,74,1030,73,0,1185,159,2248,174,4,2586,289,2290,231,8,2821,402,2496,203,7,3107,409,2584,176,6,3172,368,2302,143,5,2823,216,1308,112,8,1638,47,400,82,0,531,2054,15940,1285,36,19318,78,1264,82,0,1425,97,1034,71,4,1206,285,2225,185,8,2697,548,2391,207,5,3152,752,2640,183,3,3573,822,2575,157,6,3561,528,2385,129,4,3051,215,1433,122,0,1776,35,612,136,0,786,3355,16556,1283,23,21227,163,2541,180,0,2880,169,2068,144,9,2391,445,4474,356,9,5280,840,4682,443,9,5970,1149,5140,383,10,6678,1235,5160,334,10,6733,899,4689,273,5,5875,433,2738,236,8,3415,85,1007,217,0,1315,5411,32504,2565,63,40538
