SED_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
SED30025,25524,26874,52399,1626,1502,3123,3725,3566,7294,1798,1733,3530,1705,1614,3322,3377,3471,6846,3550,4007,7552,3737,4022,7755,2805,3067,5876,1931,2202,4135,1007,1240,2244,268,461,727,40,36,77,25435,26790,52229,84,86,173,477,472,953,43,47,92,33,25,62,556,548,1099,20129,21091,41224,4992,5357,10351,22828,23745,46574,2224,2650,4870,23488,24668,48154,536,500,1037,3638,3488,7130,1469,1480,2946,632,681,1313,848,1325,2175,13655,14966,28622,1471,1322,2788,3435,3756,7198,690,660,1346,426,575,996,51,51,106
SED30026,25457,26137,51598,1704,1538,3241,3909,3572,7483,1891,1620,3510,1759,1444,3204,3369,3456,6825,3775,4179,7955,3631,3810,7432,2261,2500,4755,1815,2114,3932,1034,1210,2241,320,700,1024,23,20,43,24600,25644,50243,862,500,1357,546,490,1041,52,38,88,28,35,62,635,559,1191,20253,20602,40861,4563,4987,9547,22606,22986,45592,2163,2577,4739,23312,23834,47146,569,482,1050,3796,3484,7282,1456,1369,2832,584,665,1246,927,1435,2362,13738,14560,28294,1301,1147,2449,2998,3423,6423,643,625,1269,439,620,1062,64,68,135
SED30027,24270,25300,49572,1453,1358,2817,3385,3202,6586,1558,1490,3055,1442,1312,2756,3034,3261,6289,3300,3559,6867,3289,3548,6836,2847,3094,5944,2203,2473,4677,1345,1486,2829,407,515,916,43,47,90,24220,25234,49449,54,67,122,603,632,1239,25,19,40,18,45,61,650,697,1345,17043,17299,34345,6172,6918,13092,20662,21156,41817,2550,3077,5633,20306,21103,41414,444,405,853,3148,3011,6164,1121,1115,2239,407,468,874,628,1269,1895,10010,11491,21500,1842,1772,3612,4697,4699,9388,1251,1048,2299,572,621,1201,66,69,129
SED30028,25892,25062,50959,1676,1614,3289,3869,3764,7637,1679,1633,3314,1404,1330,2731,3252,3367,6623,3433,3395,6829,3665,3542,7205,3512,3103,6619,2281,2024,4308,877,948,1825,236,342,579,41,24,64,24653,24574,49222,1238,494,1735,1408,1442,2848,61,56,123,152,178,327,1631,1677,3306,20382,19959,40342,3564,3660,7218,22418,21872,44291,1541,1757,3297,22446,21940,44387,446,412,852,3619,3483,7099,1097,1170,2267,186,265,450,441,1137,1580,8663,9505,18167,2118,1890,4011,5557,5066,10623,1295,1120,2419,832,789,1617,76,40,116
SED30029,24953,24528,49482,1202,1154,2358,3089,2968,6054,1512,1353,2864,1245,996,2240,2822,2469,5289,2964,2994,5960,3432,3478,6908,3457,3803,7264,3209,3358,6563,1642,1481,3125,381,476,859,92,48,143,23081,24139,47215,1875,389,2266,951,658,1604,27,21,51,58,26,86,1038,703,1739,19690,18887,38576,3873,4230,8104,21293,22145,43437,891,1070,1957,20931,21863,42787,322,308,628,2842,2745,5589,997,982,1977,207,289,501,430,1033,1464,9210,10955,20159,1643,1558,3204,6252,4965,11220,1190,965,2153,839,625,1468,61,41,102
SED30030,25861,27561,53425,1628,1470,3101,3056,2856,5906,1406,1380,2787,1961,2302,4259,4760,5188,9950,4262,4328,8588,3534,3624,7161,2446,2659,5102,1614,1872,3479,840,1167,2006,358,720,1081,29,33,67,25428,26958,52388,432,606,1036,308,370,676,26,32,57,18,20,33,352,415,767,18835,19788,38621,6099,6773,12869,20594,21640,42234,4257,4865,9121,22337,23657,45992,476,425,899,2920,2750,5672,1189,1212,2399,898,1181,2079,1328,1846,3171,16030,17485,33517,1068,937,2006,2169,2574,4748,544,549,1095,370,545,919,70,97,170
SED30031,25051,21487,46540,1368,1358,2726,3070,2996,6066,1218,1024,2238,1448,1268,2724,3465,2962,6431,3429,2875,6304,3516,2679,6196,3592,2969,6561,2709,2262,4963,1020,855,1875,206,242,455,388,91,472,20777,20249,41030,4272,1235,5510,1522,1606,3134,65,44,111,124,113,235,1705,1766,3474,18130,16751,34882,2337,2293,4626,19479,18035,37520,1027,1047,2078,19349,17898,37244,298,309,610,2734,2673,5402,660,569,1226,110,212,321,361,714,1072,7192,8072,15264,1569,1326,2899,5186,4119,9304,1228,788,2016,1024,613,1636,72,44,118
SED30032,26944,27385,54323,1274,1213,2483,3321,3083,6400,1630,1457,3088,1140,1049,2191,2410,2529,4944,2554,2985,5535,3345,3617,6962,4230,4560,8791,4385,4126,8514,2155,2087,4235,502,683,1185,33,24,62,26459,26998,53450,485,384,872,1060,1032,2094,71,64,134,60,74,134,1192,1170,2363,21792,21977,43767,3104,3466,6568,24462,24756,49218,633,894,1525,24134,24587,48725,303,275,577,3030,2803,5829,967,1013,1979,147,251,393,335,956,1286,7819,9331,17145,1986,1992,3986,7254,7101,14349,1834,1533,3365,1507,1294,2809,84,68,148
SED30033,27028,29987,57019,1090,1047,2140,3096,2980,6070,1435,1425,2860,1108,1082,2190,2236,2520,4761,2351,2857,5212,2855,3441,6291,3739,4659,8396,5052,5446,10502,3239,3342,6579,820,1191,2013,51,56,106,25811,28588,54402,1219,1400,2616,1207,1244,2449,53,46,97,66,80,144,1325,1370,2691,20470,22402,42875,4720,5621,10339,24143,26581,50726,1141,1589,2730,23859,26482,50343,286,315,600,2870,2795,5660,873,991,1867,160,266,421,465,1007,1472,8587,10290,18874,2147,2286,4429,6775,7777,14554,1887,1956,3844,1510,1481,2991,80,84,164
SED30034,31547,29904,61450,1445,1332,2776,3815,3427,7243,1680,1502,3180,1417,1074,2486,3705,3106,6809,3248,3236,6484,3706,3859,7566,4698,4908,9603,4882,4450,9333,2323,2193,4516,627,833,1464,577,251,827,29045,28785,57829,2499,1120,3620,2433,1934,4371,442,321,764,530,422,957,3408,2680,6083,23573,22292,45874,4195,4353,8549,24614,24583,49194,2236,2275,4511,25423,25439,50862,293,270,556,3275,2978,6253,962,982,1946,126,186,317,345,957,1296,9419,10638,20053,2149,2078,4228,7734,6623,14353,1656,1351,3003,1650,1347,2997,169,139,307
SED30035,26183,25995,52182,1881,1633,3517,3997,3626,7628,1452,1390,2842,1429,1306,2733,3255,3574,6824,3060,3449,6509,2970,3152,6125,3327,3322,6653,3066,2877,5945,1404,1238,2637,337,434,776,37,22,51,25802,25692,51493,387,306,693,1462,1456,2920,154,110,263,194,166,362,1811,1732,3541,22015,21600,43612,2549,2900,5453,23620,23325,46949,1011,1211,2222,23874,23556,47433,533,457,989,3687,3364,7050,946,989,1936,211,346,553,483,1097,1581,8679,10229,18916,1936,1851,3789,5760,5340,11101,1353,1046,2405,1068,864,1929,67,68,135
SED30036,33414,32116,65533,2424,2142,4573,4561,4335,8896,2354,2115,4469,2609,2230,4841,5634,4988,10618,4833,4515,9351,4094,4113,8210,3434,3354,6784,2062,2322,4391,1049,1421,2473,351,580,933,47,83,130,29964,31598,61561,3453,519,3973,1516,1101,2620,107,64,171,107,87,195,1732,1255,2988,18677,16214,34882,13068,14177,27243,15634,15916,31548,12880,14008,26886,23763,24616,48380,541,493,1033,4102,3891,7992,1588,1645,3240,754,906,1656,998,1687,2680,14163,14588,28755,1699,1623,3323,5622,4114,9729,1078,1180,2259,1310,1567,2882,628,906,1536
SED30037,24649,25974,50617,1716,1585,3307,3665,3408,7073,1639,1561,3198,1625,1616,3245,3555,3904,7462,3250,3405,6653,2969,3230,6195,2766,2973,5738,1990,2162,4153,1085,1390,2472,375,739,1119,28,30,58,23865,25185,49053,781,785,1563,1366,1401,2767,56,57,112,65,71,143,1486,1535,3020,20122,21053,41173,3214,3549,6757,21615,22529,44144,1524,1838,3363,21972,23084,45055,464,396,864,3412,3191,6601,1098,1110,2201,305,422,721,633,1272,1901,9127,10499,19619,1639,1525,3161,4851,5041,9895,1217,1173,2389,973,1113,2081,116,116,230
SED30038,26622,26813,53433,1765,1561,3321,3995,3758,7754,1832,1781,3614,1928,1748,3673,3707,3649,7361,3452,3405,6853,3265,3562,6824,3032,3181,6216,2191,2363,4561,1126,1379,2504,313,433,748,33,21,54,25162,26378,51539,1456,437,1894,1674,1587,3263,56,54,109,78,48,130,1812,1692,3502,22158,22249,44403,3050,3220,6269,23345,24204,47548,1026,1240,2266,23253,24272,47524,467,426,891,3726,3534,7266,1150,1260,2408,310,452,767,558,1193,1747,9308,10619,19929,1687,1664,3342,5946,5503,11451,1305,1221,2530,1103,1112,2216,101,82,180
SED30039,33733,34837,68568,2854,2767,5625,6234,5907,12139,2467,2468,4937,2107,2079,4188,4741,5452,10190,5649,6024,11672,4467,4638,9110,2873,2953,5827,1608,1762,3369,630,643,1275,105,143,247,52,79,129,33617,34767,68388,113,72,182,1036,1095,2135,45,50,96,64,55,121,1149,1202,2353,23043,23374,46416,9583,10311,19893,25967,26474,52441,6513,7074,13586,28553,29124,57683,840,792,1631,5908,5582,11490,1757,1923,3680,535,716,1253,974,1851,2827,14824,16681,31499,2058,2087,4142,4929,4638,9573,1144,997,2140,591,560,1156,120,170,289
SED30040,24635,27457,52090,1261,1216,2475,3430,3227,6649,1700,1578,3279,1337,1347,2689,2699,3005,5704,2969,3428,6397,3168,3663,6829,2830,3439,6275,2585,3153,5739,1897,2325,4220,762,1074,1830,37,39,78,24074,26690,50767,559,770,1325,588,582,1167,31,20,49,18,30,54,635,631,1268,18773,20629,39399,4721,5559,10284,22159,24573,46726,1315,1623,2940,21721,24143,45868,376,398,771,3226,3040,6267,1175,1234,2406,396,491,880,585,1220,1799,10545,12169,22719,1772,1905,3678,4631,5593,10231,1056,1093,2150,701,819,1520,52,49,99
SED30041,26155,27473,53633,1557,1438,2997,3884,3575,7457,1776,1614,3388,1330,1328,2660,2830,3200,6026,2981,3387,6365,2986,3437,6421,3427,3940,7364,3276,3267,6538,1681,1734,3418,438,543,984,24,33,59,25429,26870,52295,729,601,1332,1319,1428,2745,95,67,166,128,118,243,1541,1611,3154,21388,22384,43774,3098,3421,6518,22974,24243,47213,1527,1607,3131,23301,24522,47821,401,382,778,3629,3338,6968,1141,1155,2300,262,368,631,499,1121,1617,9239,11078,20308,1784,1771,3551,5648,5820,11461,1351,1174,2522,1100,1056,2158,76,65,146
SED30042,27664,29056,56718,1940,1835,3777,4568,4293,8859,2093,2027,4118,1903,1830,3739,3699,4019,7718,3597,4158,7754,3687,4020,7714,2907,3047,5950,2052,2319,4373,983,1147,2123,238,354,592,16,22,38,27525,28809,56331,145,249,392,930,1007,1935,43,49,89,53,45,101,1026,1104,2122,21919,22602,44530,4830,5438,10268,25040,25903,50941,1648,2113,3760,24771,25865,50639,604,529,1134,4344,4067,8409,1435,1530,2964,425,572,992,662,1359,2020,11167,12767,23937,1894,1843,3733,5286,5305,10593,1213,1147,2360,689,799,1493,89,83,172
SED30043,25874,26449,52330,1579,1411,2983,3894,3479,7370,1692,1765,3453,1459,1514,2974,3042,3377,6415,2912,3401,6311,3323,3512,6834,3439,3487,6931,2801,2684,5479,1433,1364,2800,315,456,772,38,45,88,25511,25695,51211,364,756,1114,1186,1307,2492,49,44,95,61,70,130,1297,1422,2714,20890,21192,42081,3327,3769,7094,22831,23010,45844,1513,1726,3242,22675,22959,45633,414,355,772,3609,3223,6833,1063,1249,2309,272,521,792,479,1056,1537,7753,9794,17547,1661,1659,3320,6227,5894,12120,1635,1359,2996,1465,1258,2715,167,117,286
SED30044,31955,33190,65146,2599,2458,5057,5070,4880,9950,2147,2024,4168,2167,2253,4420,4726,5197,9922,4088,4269,8357,3752,3981,7736,3409,3577,6982,2519,2748,5272,1217,1385,2604,267,422,690,44,43,94,31760,32891,64653,195,302,495,1241,1315,2558,41,52,92,72,66,139,1351,1438,2790,22937,23545,46485,7192,7759,14953,25888,26863,52750,4179,4385,8564,26494,27593,54084,632,596,1231,4608,4480,9089,1415,1443,2855,412,602,1016,622,1425,2049,11407,13502,24912,2231,2104,4335,6350,6105,12451,1638,1366,3008,915,868,1781,185,241,428
SED30045,25980,27713,53694,1623,1570,3201,3619,3461,7081,1652,1479,3139,1418,1339,2760,2898,3164,6065,3600,4035,7634,3875,4147,8015,3219,3372,6593,2317,2651,4963,1302,1658,2963,457,834,1296,25,29,63,25699,27320,53022,282,392,678,731,726,1455,41,45,85,44,55,101,815,828,1645,19285,20357,39647,5863,6449,12317,22855,23964,46818,2222,2754,4980,22705,24174,46876,497,500,995,3451,3292,6740,1293,1229,2518,451,518,972,648,1243,1890,12209,13651,25864,1673,1477,3149,4265,4569,8836,906,957,1864,725,918,1641,71,73,145
SED30046,29499,30665,60163,2109,2017,4134,4354,4177,8533,1962,1797,3754,2045,1981,4026,4376,4649,9022,3889,4015,7902,3550,3810,7361,3032,3329,6358,2487,2849,5328,1348,1522,2868,347,525,879,29,26,55,29324,30442,59763,171,228,396,1142,1266,2413,60,59,120,56,56,108,1265,1378,2643,20400,20884,41288,7141,7834,14977,24148,24903,49056,3316,3769,7078,23932,24951,48882,586,527,1116,3893,3799,7691,1278,1228,2510,391,533,926,638,1349,1986,11054,12400,23452,2100,2009,4112,5495,5753,11245,1534,1365,2896,958,989,1950,156,185,334
SED30047,27463,28413,55882,1651,1534,3182,3675,3586,7260,1662,1590,3250,1748,1733,3479,3551,3709,7257,3430,3670,7103,3552,3637,7190,3600,3561,7154,2692,2763,5451,1400,1774,3183,514,857,1371,43,44,90,26030,27291,53323,1435,1118,2550,1229,1243,2475,421,398,823,350,380,724,2005,2017,4021,21421,22049,43468,3732,4270,8008,22999,23797,46797,2114,2464,4576,23461,24432,47895,422,380,799,3370,3274,6642,1029,1091,2119,309,380,687,557,1156,1712,9532,10967,20496,1867,1800,3672,5947,5904,11853,1303,1252,2550,1185,1217,2399,84,87,163
SED30048,30586,31742,62330,1230,1203,2431,3364,3297,6662,2715,2865,5579,4394,4364,8756,5417,5250,10672,4125,4316,8443,3428,3662,7090,2442,2654,5096,1951,2309,4260,1179,1306,2478,343,527,866,145,144,288,28611,29704,58311,1980,2043,4017,232,245,480,26,32,56,20,19,41,281,295,578,19031,19521,38556,10493,11126,21621,22070,22395,44470,7344,8172,15519,24273,24871,49146,411,409,816,3266,3187,6452,2457,2596,5058,2867,2928,5795,2309,2642,4955,21764,22504,44267,936,970,1902,1431,1827,3256,451,448,898,193,251,441,55,61,112
SED30049,27950,29515,57465,1673,1528,3200,4132,4038,8175,2054,2036,4088,2088,1949,4036,3922,4147,8063,4261,4752,9015,3740,3909,7653,2644,2863,5509,1821,2147,3967,1166,1470,2639,451,681,1128,75,96,172,27470,29079,56546,476,440,919,351,356,716,26,39,65,45,38,80,424,442,860,16586,17037,33623,10429,11552,21982,17161,17700,34864,9742,10776,20512,22670,23729,46403,540,478,1018,3981,3895,7873,1710,1788,3491,989,1026,2016,1086,1707,2788,15731,16859,32584,1241,1123,2359,2705,3193,5900,701,748,1448,616,846,1463,150,186,339
SED30050,25811,27865,53681,1145,1021,2163,2419,2196,4620,1197,1137,2337,1390,1614,3000,3355,3609,6960,3017,3173,6185,3150,3480,6632,3574,4335,7916,3777,4068,7847,2169,2317,4492,624,900,1523,202,149,358,24048,26028,50073,1764,1832,3604,465,478,944,28,26,48,19,21,35,513,522,1028,18257,19551,37809,5407,6172,11584,21713,23427,45139,1878,2157,4042,21120,22885,44002,295,280,581,2222,2005,4229,830,844,1675,370,631,1005,787,1392,2178,11855,13509,25362,1930,1889,3819,4690,5257,9947,963,967,1935,551,633,1188,56,45,104
SED30051,26386,26285,52675,1152,1081,2234,3134,2924,6056,1490,1308,2803,1244,1041,2281,2382,2229,4609,2505,2671,5175,3122,3305,6424,4018,4420,8439,4564,4499,9057,2278,2116,4392,492,705,1193,23,29,50,25271,25966,51247,1117,317,1435,1367,1180,2548,86,67,150,88,61,141,1536,1306,2840,21941,21362,43303,2819,3354,6173,23658,24012,47669,633,921,1556,23524,23880,47404,287,321,603,2905,2730,5629,900,879,1779,120,217,334,367,898,1267,7274,8409,15680,1800,1880,3681,7863,7376,15240,1832,1724,3552,1692,1325,3012,101,75,171
SED30052,37712,36204,73914,1075,1054,2134,1562,1582,3148,1303,1514,2820,4237,4917,9155,11443,11217,22663,6773,5526,12294,4424,3748,8168,3488,3091,6578,2094,2025,4120,1041,1043,2076,275,482,760,468,355,821,32049,31549,63601,5661,4656,10313,478,465,949,41,37,84,33,26,60,553,533,1090,19825,18479,38304,13457,13869,27327,24209,22341,46547,8870,9851,18722,25167,23484,48654,255,259,519,1386,1417,2800,997,1197,2193,2060,2536,4595,3362,4039,7400,25507,25144,50652,1610,1389,3004,2392,2260,4656,557,440,997,373,327,704,134,125,260
SED30053,25549,28134,53680,1374,1221,2592,2983,2931,5916,1528,1538,3062,1775,2076,3850,4054,4515,8562,3598,3962,7558,3352,3671,7028,2713,3097,5808,2355,2818,5178,1402,1576,2976,408,737,1146,76,106,178,24930,27298,52225,619,835,1456,388,411,799,15,22,43,13,10,28,417,446,869,17008,18145,35149,7345,8687,16034,20701,22264,42967,3607,4572,8176,20985,22909,43896,425,393,819,2821,2779,5602,1168,1274,2447,747,967,1719,1067,1695,2764,13532,15395,28928,1645,1682,3328,3492,3949,7440,771,854,1619,412,511,921,80,88,174
SED30054,24232,25312,49545,1390,1363,2753,3253,3037,6293,1481,1507,2991,1889,1928,3818,3581,3657,7244,3637,3997,7637,3435,3538,6975,2613,2680,5292,1716,1880,3592,888,1125,2016,336,603,941,44,59,104,23940,25073,49013,290,240,528,265,300,559,27,26,51,11,19,37,302,346,648,17800,18552,36355,5747,6162,11909,19926,20541,40471,3587,4098,7689,21410,22360,43770,452,446,901,3165,2945,6110,1288,1368,2652,962,1084,2048,1235,1620,2857,15092,16110,31201,982,879,1859,1891,2261,4153,490,496,989,365,460,824,95,71,166
SED30055,25452,24371,49824,1535,1520,3052,3498,3351,6841,1529,1427,2951,1356,1168,2521,2904,2862,5765,3114,3148,6265,3242,3285,6525,3648,3591,7241,3062,2592,5656,1305,1127,2433,267,310,579,28,25,50,24316,24108,48424,1137,265,1401,1247,1002,2252,170,149,327,174,125,302,1598,1278,2874,21184,20118,41309,1725,1894,3618,21689,21448,43134,655,757,1420,21720,21509,43229,382,337,719,3136,3016,6151,903,952,1857,182,283,472,300,819,1120,6747,8464,15212,1703,1578,3279,6754,5421,12177,1481,1120,2599,1385,912,2296,81,48,132
SED30056,24549,25544,50097,1248,1203,2445,4144,3889,8038,2050,1732,3786,1353,1124,2480,1725,1927,3646,3207,3700,6906,3837,4163,8000,2900,3064,5968,2220,2524,4743,1386,1515,2906,465,699,1169,61,50,115,24362,25147,49502,187,401,591,169,193,361,4,18,25,13,13,30,188,224,415,16305,16824,33132,7808,8241,16052,20391,20733,41125,3676,4294,7969,21920,22555,44478,448,419,869,4048,3808,7849,1798,1567,3369,723,669,1396,717,1319,2039,14590,15417,30004,1106,1094,2204,2087,2360,4444,561,541,1098,265,310,577,42,39,77
SED30057,28341,30567,58905,1956,1883,3840,4364,4054,8420,1891,1886,3772,1970,2060,4029,4026,4433,8462,3304,3796,7101,3306,3678,6982,3010,3416,6427,2565,2955,5522,1497,1676,3168,459,726,1184,88,81,169,27848,29893,57742,497,669,1165,1589,1801,3389,52,60,114,104,100,211,1752,1964,3708,21680,22770,44449,4808,5801,10608,24532,25934,50460,1909,2580,4486,24178,25873,50047,521,496,1020,3957,3690,7647,1151,1261,2410,325,528,857,600,1387,1985,9229,11035,20270,2036,2144,4178,5958,6398,12355,1692,1626,3325,1216,1255,2470,152,145,293
SED30058,25085,26310,51391,1554,1414,2968,3615,3384,6995,1662,1568,3226,1405,1347,2752,3009,3257,6267,3680,3977,7662,3381,3638,7018,2844,3041,5884,2305,2571,4877,1222,1396,2618,405,722,1128,41,45,81,24802,25833,50630,281,476,755,308,332,639,20,15,39,21,23,39,350,363,719,16634,16985,33617,7865,8754,16620,18808,19243,38051,5634,6412,12044,22215,23081,45297,508,474,986,3489,3291,6782,1391,1398,2789,587,711,1295,892,1379,2267,14344,15225,29571,1233,1139,2375,2503,3000,5503,621,589,1208,432,626,1062,140,166,309
SED30059,28360,30514,58877,1726,1519,3245,4306,4160,8462,2008,1911,3918,1576,1621,3197,2915,3389,6305,3851,4458,8308,4053,4501,8552,3269,3679,6950,2645,2908,5552,1558,1652,3216,452,712,1167,55,63,121,27632,29565,57199,729,950,1683,536,545,1081,21,24,49,28,25,49,586,588,1173,19545,20564,40110,7436,8532,15969,24071,25364,49436,2862,3576,6434,24075,25664,49740,593,499,1088,4031,3932,7962,1573,1582,3157,534,633,1177,761,1451,2209,12639,14759,27399,1978,1984,3956,4677,4893,9568,1095,1041,2139,568,554,1122,49,67,123
SED30060,27287,28607,55887,1904,1850,3752,4512,4371,8879,2032,1846,3880,1613,1603,3210,3527,3878,7408,3423,3990,7411,3447,3855,7305,3075,3219,6298,2436,2457,4889,1053,1187,2239,268,353,618,38,44,84,26772,28108,54879,512,495,1006,2829,3242,6064,711,786,1504,819,870,1688,4361,4897,9258,21256,21461,42718,3808,4866,8672,21142,21572,42720,3771,4594,8366,23799,24533,48328,483,484,961,4031,3903,7934,1275,1229,2503,235,417,648,555,1353,1908,9369,11203,20567,2139,2038,4178,5276,5002,10274,1209,1146,2351,819,805,1622,153,206,357
SED30061,26039,25636,51671,1256,1182,2440,3220,3040,6259,2047,2096,4145,3041,2416,5458,3966,3330,7296,3071,3144,6215,3084,3215,6296,2734,2920,5660,2084,2155,4235,1181,1445,2624,361,683,1040,114,40,153,22458,23696,46153,3583,1935,5518,1675,1478,3150,275,254,523,310,302,612,2256,2028,4283,19393,19330,38726,4183,4621,8802,19625,20309,39934,2894,3221,6114,20974,21813,42782,372,326,693,2991,2818,5813,1358,1606,2963,766,1161,1927,812,1319,2131,11095,11990,23084,1571,1402,2972,4551,4388,8937,927,879,1803,790,865,1656,121,132,252
SED30062,32911,35291,68205,2821,2535,5355,5524,4953,10470,2029,2098,4126,2073,2295,4361,5134,5963,11095,5070,5353,10424,3828,4130,7966,2734,3214,5945,2146,2568,4708,1167,1483,2651,382,711,1099,43,67,103,32749,34979,67724,162,312,475,1123,1217,2347,73,61,133,70,80,153,1265,1360,2633,23404,24815,48219,8347,9215,17561,26758,28613,55372,4859,5255,10115,27804,29730,57534,766,738,1505,5229,4687,9919,1438,1579,3018,456,710,1162,912,1982,2891,13779,16089,29870,2131,2148,4281,5300,5845,11147,1233,1233,2470,807,928,1733,117,131,251
SED30063,26393,26206,52597,1280,1166,2444,3380,3106,6483,1498,1421,2919,1140,1125,2270,2452,2484,4936,2562,2670,5230,3198,3416,6611,3921,4124,8046,4214,4032,8245,2258,2005,4270,492,651,1139,40,26,69,25892,25789,51679,504,418,927,1811,1916,3732,22,29,50,77,103,177,1912,2048,3969,20980,20817,41798,2808,2981,5790,22970,22996,45966,1049,1053,2105,23007,23009,46015,256,246,501,2967,2760,5722,837,905,1733,106,220,320,285,741,1026,6896,8352,15248,1641,1737,3383,6861,6503,13362,2009,1531,3536,1898,1555,3455,99,86,187
SED30064,23854,25590,49439,1264,1283,2546,3276,3079,6356,1450,1425,2880,1185,1206,2391,2586,2697,5280,2821,3152,5970,3107,3573,6678,3172,3561,6733,2823,3051,5875,1638,1776,3415,531,786,1315,40,25,62,23450,25065,48516,402,519,923,727,711,1432,31,41,67,40,44,86,793,794,1588,18611,19821,38434,3927,4510,8434,21589,23078,44673,938,1245,2178,21187,22850,44037,347,351,691,3018,2837,5858,961,1023,1986,252,365,617,513,1131,1644,9143,10945,20088,1822,1793,3617,4981,5317,10299,1126,1003,2127,839,771,1613,94,71,161
SED30065,27306,28989,56291,1645,1491,3143,4162,3906,8068,1684,1581,3267,1130,1084,2209,2470,2910,5377,3574,4068,7640,3721,4097,7814,3382,3888,7268,3322,3525,6848,1768,1808,3575,455,634,1093,41,45,86,26971,28534,55504,330,457,792,523,593,1120,29,24,56,39,30,73,596,650,1243,20796,21715,42507,5500,6217,11717,24883,26209,51098,1364,1663,3027,24283,25578,49858,556,470,1033,3963,3709,7669,1233,1250,2482,284,386,665,585,1265,1852,11756,13687,25441,2025,2004,4027,4982,5209,10191,1127,1018,2141,611,598,1211,44,42,82
SED30066,24909,26546,51453,936,868,1801,2885,2719,5604,1410,1297,2703,910,835,1743,1914,1947,3856,2474,2921,5402,3395,3853,7250,3738,4518,8256,4200,4311,8511,2448,2428,4874,603,853,1457,130,139,274,23659,25264,48918,1257,1277,2537,410,345,757,14,11,26,7,8,15,436,363,800,17719,18530,36254,5634,6451,12088,21995,23234,45230,1372,1743,3117,21511,22860,44372,277,281,556,2646,2538,5180,1009,1035,2040,202,295,501,463,946,1403,11820,13040,24862,1894,2030,3925,4360,4716,9078,972,912,1879,500,530,1033,38,43,82
