SED_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SED10081,66,356,2511,12035,9524,1791,425,1915,28621,20,305,1334,432,34,4,0,294,2420,5,80,235,63,11,3,0,61,455,21,390,1570,491,44,3,0,356,2873,13,146,267,52,8,6,0,71,559,0,0,21,0,0,0,0,10,29,0,0,23,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,3,6,11,0,0,4,0,27,13,148,317,58,10,6,3,85,645,35,100,46,24,9,5,4,133,354,8,32,33,31,12,0,3,36,150,148,1028,4469,12642,9599,1799,439,2526,32644
SED10082,41,401,2601,7836,9132,3028,645,849,24532,0,100,1026,420,19,3,3,154,1734,0,45,234,587,103,9,3,60,1050,5,146,1264,1008,124,19,11,215,2785,7,110,530,765,124,15,5,133,1683,0,14,175,153,15,0,0,18,381,7,18,70,54,6,0,0,32,178,0,0,0,0,0,0,0,0,5,4,16,35,21,11,9,4,9,115,9,163,809,995,160,21,10,191,2357,0,18,119,30,3,0,0,12,178,0,8,8,6,6,0,4,0,38,59,737,4798,9869,9428,3069,667,1268,29891
SED10083,48,278,1699,9293,7597,1921,478,851,22164,17,288,1504,899,45,7,4,190,2951,6,199,586,1157,133,12,3,171,2274,24,487,2095,2063,178,23,8,361,5228,6,150,469,196,21,0,0,64,904,0,40,286,66,3,0,0,24,416,0,56,475,103,4,0,4,39,688,0,10,122,11,0,0,0,5,154,0,14,41,12,5,0,0,3,71,11,264,1391,395,36,4,6,138,2241,35,70,58,19,4,0,0,70,252,6,18,12,12,0,0,3,5,51,117,1108,5255,11775,7816,1949,493,1436,29941
SED10084,84,525,2149,7771,7242,1548,333,1059,20711,7,213,1594,2177,101,8,7,234,4334,6,153,910,1551,113,11,3,175,2921,15,360,2507,3724,212,24,12,408,7256,31,245,937,337,22,3,0,163,1737,0,127,1083,337,8,3,0,127,1686,3,78,372,176,9,0,0,36,666,9,77,355,134,12,0,0,73,654,4,26,19,3,6,3,0,0,66,41,559,2755,983,45,9,0,402,4809,153,432,288,32,9,9,0,243,1169,25,49,31,17,8,0,4,14,145,311,1928,7733,12529,7526,1589,349,2119,34084
SED10085,122,512,2648,11269,9520,1856,476,1822,28229,9,190,648,470,67,14,4,172,1579,0,50,224,122,16,7,0,61,475,12,247,870,594,84,17,3,234,2054,5,89,219,69,16,0,0,39,436,0,0,9,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,5,87,231,74,16,5,3,38,458,31,138,73,30,10,5,4,80,377,15,29,23,24,10,6,4,9,116,177,1011,3838,11999,9635,1885,493,2181,31231
SED10086,9,43,283,1626,2817,1574,434,239,7031,0,32,448,649,234,50,6,55,1476,0,46,264,941,788,170,20,102,2332,4,72,710,1593,1025,219,27,161,3808,32,651,2112,997,137,38,18,242,4225,194,1715,5913,1934,175,22,7,531,10483,109,1042,3239,1310,87,5,3,356,6150,72,231,716,469,21,3,4,128,1649,0,6,31,29,12,4,0,7,87,410,3647,12017,4734,426,71,32,1256,22595,10,72,88,67,4,6,0,34,275,12,28,24,15,5,0,0,29,99,433,3865,13120,8034,4278,1865,500,1714,33812
SED10087,49,220,2203,11721,9886,1802,319,1409,27612,13,154,893,206,25,3,0,158,1458,0,8,121,97,5,0,0,14,248,13,164,1017,299,28,4,0,175,1703,10,302,1588,205,20,6,3,210,2344,0,46,54,16,0,0,0,8,121,0,15,22,11,0,0,0,3,53,0,0,0,0,0,0,0,0,3,0,5,9,8,7,0,0,0,28,11,365,1673,238,23,6,3,222,2547,18,46,40,21,10,3,5,61,213,10,16,16,26,12,0,5,42,130,104,810,4960,12315,9964,1817,335,1904,32208
SED10088,90,262,967,5674,6856,2882,750,410,17896,26,118,105,81,34,4,0,21,392,19,312,455,672,149,21,8,71,1696,49,431,556,755,176,21,3,95,2090,85,638,679,173,40,7,5,120,1749,34,763,3214,340,9,6,4,154,4510,60,656,1694,318,8,0,0,133,2874,4,151,229,120,0,0,0,18,515,3,40,104,37,22,9,0,9,227,191,2252,5914,983,79,27,11,433,9881,0,13,35,16,3,0,0,18,82,0,14,9,5,4,0,0,3,44,328,2971,7483,7427,7120,2933,767,958,29998
SED10089,60,332,3474,12656,7443,1577,407,821,26768,5,182,1548,754,64,9,6,172,2753,20,172,575,843,74,17,4,124,1834,26,354,2126,1598,142,27,8,303,4578,21,460,398,108,14,3,5,134,1156,22,137,193,14,0,0,0,50,422,7,22,23,0,0,0,0,5,47,0,0,0,0,0,0,0,0,0,6,43,74,57,11,9,0,19,218,57,665,686,178,32,20,11,201,1849,4,13,19,9,8,3,0,8,65,5,10,12,11,0,0,0,3,43,146,1373,6317,14449,7621,1627,426,1335,33297
SED10090,23,78,999,4638,5147,2020,380,267,13549,5,57,618,636,156,15,0,35,1514,3,97,418,1209,280,27,10,45,2087,4,154,1034,1840,439,50,11,83,3605,33,592,1507,595,52,7,3,139,2932,44,1056,2721,613,16,4,0,157,4608,141,1290,2326,711,11,5,0,180,4664,73,1149,2136,765,27,0,6,146,4305,0,11,22,11,15,3,4,4,68,293,4098,8719,2696,112,22,14,628,16571,7,37,55,24,3,0,0,13,127,0,18,17,3,0,0,0,7,56,329,4383,10815,9196,5697,2090,401,987,33909
SED10091,56,354,1754,8481,11634,3171,901,1130,27478,3,110,663,348,50,3,0,75,1261,0,3,120,220,29,3,0,11,392,3,117,789,572,76,6,4,85,1657,4,89,205,39,8,0,0,23,378,0,3,17,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,16,25,11,9,4,107,4,117,250,56,37,11,9,33,513,22,60,42,26,7,5,0,30,194,0,11,16,21,15,0,3,3,74,92,658,2857,9150,11774,3190,920,1281,29919
SED10092,29,319,2504,9404,5288,1238,294,876,19951,6,136,557,335,42,4,0,90,1171,3,173,733,1086,114,16,10,157,2286,11,302,1294,1417,153,20,10,253,3459,45,759,1739,398,56,15,8,256,3279,19,330,1654,326,18,0,0,254,2602,14,449,2122,938,37,0,3,225,3782,12,243,1114,657,35,0,0,95,2168,0,27,42,29,17,3,6,13,134,94,1811,6670,2354,161,26,14,843,11968,10,112,195,50,11,8,4,59,447,6,21,17,10,4,0,7,26,82,152,2563,10678,13236,5623,1286,331,2047,35918
SED10093,68,415,2645,9444,10431,1909,477,1293,26685,24,97,664,619,61,9,3,203,1686,0,55,225,407,36,0,6,72,805,24,154,883,1027,102,9,5,275,2485,8,239,834,362,30,4,0,175,1648,0,7,56,0,0,0,0,9,78,9,8,70,10,0,0,0,10,112,0,0,0,0,0,0,0,0,0,0,10,39,12,0,4,0,4,70,20,261,999,383,31,7,0,196,1912,12,42,35,10,3,0,0,36,137,5,8,13,11,6,0,0,5,57,132,878,4579,10885,10574,1933,489,1809,31273
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,0,46,402,848,533,98,12,73,2020,4,254,1949,1768,467,60,14,157,4679,15,209,1078,2560,719,95,15,262,4955,16,463,3026,4330,1189,155,28,420,9636,165,732,955,177,16,4,7,212,2266,111,1556,2086,380,18,3,0,337,4492,86,1706,2950,716,30,5,7,399,5900,45,4903,9030,1952,78,8,8,1020,17040,3,7,6,8,7,0,0,0,26,404,8907,15027,3232,147,12,24,1962,29726,16,186,192,41,6,0,0,88,532,6,35,37,14,4,0,0,27,120,443,9639,18687,8470,1882,274,66,2574,42037
SED20207,21,72,1618,11796,14513,1836,186,1448,31481,9,84,956,693,464,28,3,112,2351,5,20,460,1256,449,77,8,121,2392,11,103,1412,1947,912,113,9,232,4744,10,77,614,258,25,3,0,59,1053,0,57,9,0,0,0,0,13,77,0,36,245,11,0,0,0,16,310,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,17,10,172,875,278,25,3,8,90,1457,0,7,8,3,0,0,0,0,23,0,4,3,4,3,0,0,0,17,46,354,3920,14030,15449,1949,199,1768,37722
SED20302,60,276,3044,14882,16370,2083,341,2051,39092,4,169,1278,415,140,10,4,159,2184,0,12,190,533,112,16,0,67,939,6,184,1470,948,253,24,6,228,3123,0,80,206,115,11,0,0,52,461,5,16,22,9,0,0,0,0,55,0,4,0,3,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,11,3,0,7,0,0,0,13,4,104,233,135,21,0,0,54,548,17,106,101,15,4,0,0,44,286,0,5,7,16,10,0,0,3,51,86,674,4861,15990,16648,2109,349,2379,43104
SED20401,18,135,2092,9867,5299,1046,188,669,19325,5,178,1627,1011,240,38,9,160,3272,0,24,718,703,115,4,0,66,1628,5,204,2345,1713,356,43,14,222,4902,4,122,307,156,3,0,6,43,631,0,49,167,15,0,0,0,24,256,0,20,33,0,0,0,0,13,67,0,0,0,0,0,0,0,0,0,0,4,5,3,0,5,0,3,25,4,200,517,169,4,5,6,81,978,0,0,4,5,0,0,0,0,17,3,6,4,8,4,0,0,3,26,33,545,4962,11760,5659,1093,202,983,25240
SED20508,25,163,2303,12656,9280,1266,221,1121,27029,4,89,699,360,35,3,0,82,1277,0,0,102,250,62,3,0,26,449,4,97,797,608,99,10,4,107,1724,0,3,61,75,3,0,0,9,152,0,0,4,7,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,0,8,79,79,3,0,0,13,173,16,74,74,28,3,3,0,54,257,4,0,4,10,7,0,0,0,24,54,340,3255,13387,9395,1271,228,1291,29212
SED20604,49,290,2385,11977,8362,1005,170,1366,25608,5,249,1080,234,13,0,0,214,1796,0,3,48,38,3,0,0,14,104,5,252,1124,271,18,4,0,225,1894,3,76,249,29,3,0,0,34,393,6,0,6,3,0,0,0,0,19,0,0,0,0,0,0,0,0,4,0,3,6,3,0,0,0,0,13,0,3,0,3,0,0,0,0,15,4,85,256,40,9,4,0,38,437,21,56,29,25,13,4,3,96,254,4,9,15,22,11,7,3,22,92,89,693,3817,12335,8412,1016,180,1750,28292
SED20704,24,225,2441,11755,8939,1094,207,1134,25813,13,224,1085,356,32,4,0,183,1904,0,11,69,132,24,0,0,15,252,13,234,1162,489,60,4,0,197,2154,0,3,76,19,5,0,0,21,117,0,0,3,3,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,5,0,11,80,23,3,0,0,22,146,10,20,25,18,5,0,0,42,127,5,8,16,13,17,3,0,9,69,50,498,3713,12303,9022,1108,214,1403,28308
SED20804,52,457,3876,12353,5774,754,146,1283,24695,6,304,752,218,10,0,0,146,1445,0,30,94,86,10,0,0,17,246,9,337,846,307,28,6,0,158,1688,11,89,150,55,3,0,0,50,348,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,5,13,11,93,154,61,4,0,0,51,371,17,41,29,19,4,0,0,35,147,7,16,13,9,7,0,0,0,52,83,946,4918,12745,5821,759,148,1527,26952
SED20906,13,63,1725,7462,5234,1097,161,442,16191,8,88,1031,818,82,11,0,94,2136,0,8,343,1003,842,45,5,67,2312,4,95,1384,1825,925,47,9,159,4449,5,307,1465,699,147,13,5,166,2805,0,79,421,57,3,0,0,35,598,14,272,689,74,0,0,0,49,1102,0,13,79,0,0,0,0,11,103,0,5,3,3,9,0,0,0,11,19,680,2653,829,161,13,8,255,4621,0,15,43,9,3,0,0,12,87,0,0,11,15,0,0,0,0,36,44,855,5811,10140,6321,1163,173,875,25378
SED21001,6,84,1277,6581,5427,1558,227,340,15497,8,224,2702,1618,178,29,3,252,5000,10,34,589,1370,526,47,6,112,2700,18,254,3290,2987,705,70,8,363,7704,5,174,1083,184,35,7,3,68,1552,43,305,666,83,7,0,0,75,1173,44,522,683,38,0,0,0,103,1390,5,422,1057,40,0,0,0,221,1751,0,4,0,0,0,0,0,0,16,92,1425,3498,354,43,4,3,464,5887,0,6,9,9,0,0,0,5,33,0,8,13,3,5,0,0,8,41,118,1775,8090,9939,6172,1644,237,1178,29153
SED21106,8,72,1110,4454,4605,1467,202,361,12278,17,130,1236,930,138,17,0,95,2560,0,54,579,1348,451,48,6,104,2584,14,184,1811,2274,588,63,10,203,5147,38,573,1740,402,29,3,4,181,2975,27,1023,2087,386,23,3,0,225,3777,4,350,674,114,9,0,0,55,1207,0,8,52,8,0,0,0,3,75,0,0,0,0,3,0,0,3,7,69,1957,4564,905,62,10,7,469,8041,0,25,67,19,3,0,0,12,127,0,4,7,6,0,0,0,4,24,96,2239,7565,7653,5260,1542,221,1044,25616
SED21203,28,225,1526,12158,3366,674,118,1426,19517,4,163,622,756,67,9,0,213,1830,6,31,885,718,105,8,0,166,1912,9,191,1507,1469,169,18,0,379,3746,0,110,354,392,23,9,0,134,1024,0,0,0,0,0,0,0,0,0,18,21,56,14,0,0,0,30,134,0,0,0,0,0,0,0,0,0,0,10,3,7,0,0,0,9,30,17,142,410,415,25,9,0,176,1192,9,100,18,4,0,0,0,47,183,3,6,7,14,0,0,0,5,41,66,664,3470,14064,3556,700,119,2036,24672
SED21303,8,134,2551,6472,2736,459,83,302,12738,13,329,2185,1006,172,34,6,128,3866,9,219,1789,1713,353,94,11,145,4330,21,545,3975,2721,525,129,17,274,8197,40,1286,1990,225,28,0,7,201,3782,31,506,1003,76,13,0,0,113,1745,62,1891,2712,202,10,0,4,261,5151,6,664,770,33,0,0,4,52,1524,0,3,3,3,9,0,0,4,24,140,4352,6474,549,67,4,7,638,12223,3,31,95,65,12,8,3,62,282,0,8,11,6,0,0,0,9,36,178,5059,13103,9809,3345,595,110,1276,33477
SED21401,8,50,619,6604,7570,1860,329,464,17505,4,65,642,611,140,8,3,51,1526,0,16,348,1402,1041,115,8,76,3004,7,80,985,2016,1183,129,13,130,4531,7,50,356,225,19,0,0,27,686,0,62,275,66,3,0,0,11,421,0,207,626,131,0,0,0,60,1029,10,215,844,187,3,0,0,65,1321,0,0,3,0,0,0,0,0,4,16,537,2112,609,23,3,0,160,3461,0,0,8,3,0,0,0,0,5,0,6,7,8,5,0,0,0,23,29,670,3725,9232,8784,1993,343,753,25528
SED21503,18,103,1093,9625,5534,1012,202,571,18161,8,122,852,455,94,6,6,82,1630,0,34,603,787,268,23,4,69,1788,6,161,1455,1248,364,35,8,153,3421,0,59,203,93,24,0,0,24,410,18,151,242,14,0,0,0,17,447,11,160,264,18,0,0,0,53,506,0,18,57,6,0,0,0,3,81,0,5,3,0,0,0,0,0,16,34,395,769,134,23,6,0,101,1469,0,0,3,0,0,0,0,13,22,0,6,0,4,3,0,3,8,25,65,658,3325,11008,5921,1050,220,840,23090
SED21608,57,260,2495,11066,7372,1033,213,1161,23651,8,237,1003,686,122,9,8,172,2250,0,3,61,48,11,3,0,11,127,8,241,1063,734,133,10,8,183,2376,0,54,127,77,0,0,0,21,275,0,0,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,19,0,57,142,81,5,0,0,28,308,8,30,27,16,4,0,0,28,118,0,6,0,7,8,0,3,9,41,73,598,3729,11897,7522,1044,221,1410,26491
SED21706,20,89,1630,6541,5934,1589,250,471,16516,11,192,1561,911,141,15,3,125,2961,0,20,356,1343,689,69,0,94,2572,14,213,1914,2259,821,84,10,218,5530,22,228,740,630,87,8,4,111,1830,33,178,319,50,4,0,0,33,612,15,257,347,37,0,0,0,40,701,0,74,100,3,0,0,0,11,182,0,11,0,3,6,0,0,0,28,75,746,1508,721,94,11,3,197,3351,0,18,28,14,3,3,0,5,69,0,0,5,3,7,0,0,6,31,107,1064,5085,9531,6862,1691,259,894,25499
SED21805,36,192,1554,10403,6184,939,131,808,20248,13,269,1974,1365,182,10,0,211,4021,5,22,741,1520,257,30,3,121,2694,14,294,2708,2888,436,37,6,327,6718,5,145,422,198,10,0,0,65,849,0,9,189,31,0,0,0,14,238,0,11,81,30,0,0,0,3,125,0,0,0,0,0,0,0,0,0,0,8,8,0,3,0,0,3,30,9,170,697,262,16,0,0,86,1241,14,123,103,12,5,0,0,92,350,4,6,8,6,0,0,0,5,25,73,784,5075,13572,6643,977,140,1313,28586
SED21906,9,71,964,3736,3431,1105,281,302,9895,12,183,2025,1798,235,29,10,155,4443,12,60,734,1525,489,60,7,110,3004,21,249,2764,3323,724,86,22,267,7449,30,1760,2935,560,57,9,12,331,5698,10,709,2000,235,8,0,0,142,3106,24,477,1087,79,7,0,0,114,1789,0,172,199,13,0,0,0,12,397,0,4,3,11,4,0,0,3,19,62,3117,6222,890,74,9,15,606,11001,6,48,91,37,6,0,0,17,198,0,5,15,10,6,0,0,7,32,98,3492,10047,8001,4240,1201,314,1201,28582
SED22005,34,98,1563,9960,4735,963,231,690,18287,9,252,2097,1310,149,11,9,233,4069,5,32,509,1403,609,79,11,126,2771,11,280,2604,2716,756,92,18,360,6841,3,245,1000,208,35,8,0,119,1618,6,86,329,25,0,0,0,28,476,0,74,281,10,0,0,0,23,390,0,0,0,0,0,0,0,0,0,0,9,0,6,4,0,0,5,14,7,407,1607,251,39,8,0,172,2504,0,0,8,6,0,0,0,7,23,4,3,8,10,0,0,0,3,30,57,800,5790,12943,5540,1065,250,1242,27679
SED22105,28,97,1211,13199,17411,2001,248,1647,35840,8,40,1212,1144,519,37,7,213,3183,0,21,155,502,128,14,0,78,897,11,59,1372,1645,646,53,9,285,4078,0,18,423,41,15,0,0,47,547,0,16,5,0,0,0,0,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,13,0,42,434,41,15,0,0,52,586,0,0,4,0,0,0,0,0,3,0,4,5,13,7,0,0,3,38,35,201,3015,14906,18082,2058,257,1997,40552
SED22201,18,179,3004,10194,5907,1071,147,610,21127,5,144,901,445,53,10,0,61,1619,0,30,240,431,57,3,0,29,791,0,179,1147,881,109,8,0,88,2416,0,29,133,48,8,0,0,16,233,0,32,217,28,0,0,0,17,296,0,18,88,0,0,0,0,4,111,0,0,0,0,0,0,0,0,0,0,0,5,3,6,0,0,3,27,0,75,446,79,15,5,4,38,656,0,0,0,6,0,0,0,7,13,0,5,6,13,0,0,0,5,32,25,438,4604,11165,6039,1085,154,740,24246
SED22305,29,155,1467,10193,3816,823,181,1172,17834,8,378,2512,871,147,13,4,395,4324,10,29,679,851,202,19,7,125,1918,13,410,3186,1724,350,34,5,522,6246,17,242,1445,253,30,0,4,251,2234,0,34,218,18,0,0,0,31,299,0,112,166,13,0,0,0,22,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,22,395,1826,276,30,4,8,307,2858,17,33,19,20,0,0,0,17,104,3,11,12,17,0,0,3,46,95,79,1003,6503,12221,4199,858,194,2067,27132
SED22404,104,529,3024,10766,5994,1272,374,1623,23692,9,111,347,187,4,3,0,56,728,0,0,14,43,3,3,0,0,68,9,117,361,227,9,4,0,63,798,4,20,48,20,8,5,3,19,123,0,9,8,21,9,7,0,8,62,0,7,13,13,3,0,0,5,48,0,0,0,0,0,0,0,0,4,0,0,4,3,0,0,0,0,14,3,37,79,62,19,9,3,25,241,36,137,116,29,9,0,0,71,395,3,5,21,25,5,6,6,8,69,154,822,3599,11106,6037,1293,387,1793,25198
SED22501,12,91,1082,8355,7315,1561,236,361,19015,3,103,546,281,21,3,0,40,997,0,28,194,425,76,7,0,26,750,3,129,741,701,88,12,3,62,1750,0,40,289,257,30,4,0,34,656,0,42,46,0,0,0,0,5,88,0,4,16,8,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,16,0,91,356,263,28,4,0,43,788,0,0,3,3,0,0,0,6,11,0,3,0,4,0,0,0,0,15,20,319,2188,9328,7436,1578,235,477,21579
SED22607,11,67,1579,5773,4091,1028,169,312,13026,7,102,1280,834,167,14,3,87,2490,4,203,987,1426,354,22,0,140,3139,9,300,2271,2255,524,36,5,229,5637,11,597,1739,453,28,0,7,180,3014,54,950,1492,119,9,0,0,355,2977,5,1218,2174,181,10,0,0,211,3795,7,320,520,202,3,0,0,150,1202,0,3,0,0,0,0,0,0,7,76,3087,5926,963,45,3,6,896,11002,0,19,46,19,6,0,0,13,106,0,3,4,9,0,0,0,9,28,100,3480,9822,9024,4668,1070,184,1451,29791
SED22704,103,546,3045,12426,7053,1058,272,1985,26477,3,278,1007,223,15,0,3,161,1690,0,0,18,29,0,0,0,11,57,3,278,1019,246,20,0,0,168,1747,8,9,19,19,0,0,0,10,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,12,8,10,20,19,4,0,0,13,72,38,135,56,32,10,3,0,172,449,0,13,19,9,9,0,0,11,60,159,975,4153,12743,7090,1063,277,2346,28802
SED22802,19,191,1254,9773,6793,1458,350,605,20448,0,199,546,178,8,0,0,58,995,0,6,278,194,9,0,0,19,517,0,206,828,373,20,0,0,82,1507,0,0,5,0,0,0,0,0,7,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,3,0,3,25,0,14,19,3,0,3,0,3,41,10,45,12,4,0,0,0,11,86,0,5,9,13,0,3,0,0,30,31,460,2114,10166,6818,1464,357,696,22113
SED22901,14,110,1203,8321,6685,1601,270,495,18690,0,211,982,363,132,9,0,101,1796,0,14,218,705,188,42,12,46,1225,0,224,1202,1068,320,50,12,141,3022,5,32,42,24,3,0,0,13,116,0,22,48,9,0,0,0,8,92,0,37,117,12,0,0,0,11,176,0,79,85,3,0,0,0,14,182,0,4,8,0,0,4,5,3,27,7,166,298,55,4,4,5,52,588,0,0,20,3,9,0,0,3,29,0,3,0,0,3,0,0,0,14,21,506,2727,9455,7015,1654,285,694,22347
SED23007,26,222,2535,9015,3626,678,131,804,17041,20,463,1181,741,93,13,7,256,2771,11,129,1436,2780,777,113,10,261,5518,30,588,2620,3521,872,123,15,517,8287,18,686,1425,225,17,0,3,288,2669,15,322,836,177,12,0,0,119,1478,41,678,1408,157,3,0,0,212,2499,28,591,690,98,8,0,0,108,1530,0,11,13,8,0,0,0,11,48,98,2292,4375,670,47,5,4,735,8230,3,35,44,30,9,0,0,20,138,3,15,15,7,7,0,0,10,58,155,3150,9588,13244,4560,805,161,2085,33753
SED23101,13,66,794,7754,7009,1553,271,400,17865,4,261,1064,947,170,29,6,123,2610,3,12,142,552,301,55,5,34,1092,8,270,1200,1495,471,86,12,159,3702,80,127,96,68,11,0,0,32,412,0,28,77,16,0,0,0,3,128,0,84,227,18,0,0,0,22,352,0,0,0,0,0,0,0,0,0,0,4,3,4,4,0,3,5,22,77,243,400,106,14,3,4,64,911,0,0,10,6,0,0,0,4,22,0,0,3,0,0,0,0,3,11,102,580,2407,9366,7504,1639,286,628,22508
