SED_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
SED20106,316,297,621,110,128,237,8,4,10,1297,1544,2843,79,110,194,7004,4251,11250,302,510,810,49,3,50,259,40,297,694,328,1023,161,117,278,1930,1814,3738,12208,9147,21357,57,61,122,0,0,0,124,137,266,11,9,14,0,10,10,39,24,67,233,248,478,0,0,0,30,45,81,7,6,10,0,4,4,3,10,11,47,61,104,202,181,377,476,485,966,101,112,212,7,7,13,38,20,53,148,142,284,10094,10950,21039,1915,2866,4782,93,83,179,24933,23677,48609
SED20207,615,677,1289,62,118,184,12,0,12,3,5,15,53,64,115,14632,9653,24289,756,1154,1908,157,5,167,118,13,129,132,43,179,121,82,209,157,243,399,16824,12065,28882,135,197,329,0,0,0,29,50,80,183,95,280,25,61,87,26,8,36,406,412,818,0,0,0,0,0,0,10,9,18,18,31,44,0,3,3,26,42,69,173,101,272,606,558,1161,132,187,320,3,6,13,4,3,9,138,198,339,8048,8474,16518,2002,3226,5222,134,87,223,27747,24598,52347
SED20302,303,294,600,49,75,124,10,5,14,3,5,9,47,48,98,18680,13548,32228,918,1123,2040,401,9,412,82,9,90,111,46,156,165,83,245,403,426,822,21174,15664,36838,63,104,167,0,0,0,13,12,28,93,49,140,10,23,29,14,4,18,200,186,391,0,0,0,0,0,0,7,3,7,7,15,30,6,4,3,23,21,44,174,113,289,396,325,724,37,64,97,4,3,9,12,0,10,50,71,118,4043,5362,9411,2093,3795,5888,205,151,357,27959,25370,53332
SED20401,295,237,535,93,86,179,0,5,6,0,0,0,24,21,45,9782,7524,17301,466,555,1023,151,6,158,60,3,66,105,19,125,56,33,89,169,159,324,11208,8649,19861,49,42,90,0,0,0,9,13,20,68,42,103,10,14,21,10,3,14,137,117,252,0,0,0,0,0,0,3,3,9,5,16,15,7,5,10,20,23,37,97,58,155,258,196,450,24,40,59,0,0,0,8,5,10,35,38,72,3845,4399,8240,1285,2634,3919,57,37,93,16680,15956,32635
SED20508,43,21,65,59,81,144,11,0,16,7,0,9,13,11,23,9790,8373,18171,498,554,1052,167,3,170,45,6,51,112,48,159,57,36,94,223,267,493,11026,9416,20442,6,0,4,0,0,0,3,0,8,34,15,51,0,3,5,0,0,0,49,24,74,0,0,0,0,0,0,0,5,12,4,14,14,4,4,3,5,24,31,76,47,126,127,100,229,16,5,24,0,3,3,4,0,4,19,11,27,3092,3870,6967,1426,2625,4049,110,91,202,15806,16113,31918
SED20604,3,0,3,42,36,81,13,0,12,3,5,5,23,18,39,11609,10276,21886,660,695,1355,202,5,211,120,19,138,158,51,207,175,87,266,961,766,1731,13963,11957,25924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,7,0,0,0,0,0,0,4,0,3,0,10,8,0,8,6,7,14,19,123,61,180,126,78,208,0,0,0,0,5,5,8,0,8,8,6,11,1822,2334,4153,1364,2324,3684,114,108,225,17393,16804,34202
SED20704,21,11,35,101,107,198,3,3,7,0,3,9,17,18,36,11529,10095,21628,705,849,1554,212,4,216,78,14,92,128,54,186,50,35,88,313,284,602,13165,11478,24643,7,0,6,0,0,0,0,0,4,0,0,4,0,4,4,4,0,4,15,6,18,0,0,0,0,0,0,5,0,11,15,11,26,7,8,10,27,26,48,104,70,174,144,95,238,4,4,5,5,7,6,7,4,8,12,6,22,2114,2776,4895,1409,2604,4013,91,71,163,16930,17038,33972
SED20804,54,47,98,60,99,153,3,0,7,0,0,0,19,21,44,9197,7944,17139,619,651,1273,178,5,183,59,4,68,168,81,245,47,30,74,483,474,956,10894,9353,20242,3,8,6,0,0,0,3,0,3,9,8,18,0,4,6,24,3,27,35,19,55,0,0,0,0,0,0,9,3,9,3,20,25,6,5,7,13,30,40,80,45,131,127,96,227,4,8,11,0,0,8,0,0,0,6,10,18,1908,2608,4517,1205,2114,3321,91,71,166,14237,14261,28496
SED20906,469,374,843,80,101,178,3,0,3,11,6,16,25,27,53,7426,6126,13555,328,531,860,90,5,94,71,9,80,181,48,229,61,46,105,218,295,517,8962,7565,16523,68,73,143,0,0,0,23,35,57,77,46,123,4,11,21,18,7,22,196,173,370,0,0,0,0,0,0,0,3,10,3,13,13,0,8,7,9,22,32,68,45,114,269,243,511,45,39,85,5,3,4,0,0,0,48,45,89,6443,6724,13166,1460,2434,3897,62,47,108,17233,17064,34299
SED21001,646,597,1246,189,256,448,3,4,5,52,88,136,26,26,51,7553,5853,13411,397,742,1138,68,3,69,59,8,69,130,44,172,80,56,137,444,657,1100,9644,8328,17979,131,124,258,0,0,0,56,72,127,49,24,80,11,19,30,20,8,29,271,251,521,0,0,0,9,16,27,16,17,26,7,21,22,9,12,15,36,63,99,77,60,131,378,379,751,81,97,174,7,4,14,3,0,9,93,105,196,6625,6430,13058,1582,2648,4237,75,51,124,18404,17943,36345
SED21106,419,316,736,48,52,105,4,0,5,61,106,172,30,24,56,6038,4705,10751,238,330,567,44,0,44,63,4,71,293,120,415,56,49,106,292,404,694,7594,6123,13722,34,28,58,0,0,0,18,41,64,27,19,43,4,10,10,19,0,22,100,97,200,0,0,0,9,22,32,0,4,8,0,3,3,5,0,5,17,24,42,40,48,96,164,172,335,32,35,66,0,3,0,4,4,12,34,43,79,6755,7427,14179,1280,2098,3381,60,56,115,15892,15913,31807
SED21203,486,383,872,112,117,228,4,0,0,5,9,11,89,31,122,9415,4935,14346,504,612,1108,224,4,234,69,5,74,80,19,90,89,50,139,119,124,243,11190,6282,17464,87,88,179,0,0,0,37,37,82,68,34,102,14,26,35,17,8,24,225,198,422,0,0,0,3,4,9,13,0,13,10,18,26,3,11,12,29,36,67,107,66,175,364,300,663,61,81,144,4,3,11,6,0,6,71,90,157,1841,2143,3981,1087,1327,2416,139,64,203,14684,10203,24887
SED21303,302,279,581,83,118,199,7,5,7,902,1189,2093,68,81,144,6580,5000,11582,245,482,725,62,0,61,135,21,156,1318,892,2209,89,79,170,573,698,1269,10361,8848,19209,49,59,106,0,0,0,126,134,259,15,20,34,0,13,13,31,27,53,225,244,474,0,0,0,75,99,171,6,8,11,5,9,15,0,8,9,85,116,206,188,160,346,497,527,1022,84,89,174,15,24,40,12,15,28,111,128,243,8598,10223,18825,2121,3247,5370,82,55,142,21775,23029,44804
SED21401,39,31,66,374,474,854,0,0,0,8,0,8,22,21,45,8280,6100,14378,328,696,1025,112,0,113,50,3,49,30,8,39,76,60,133,125,192,320,9436,7594,17025,59,42,98,0,0,0,0,0,0,24,12,36,0,7,8,4,0,3,91,55,149,0,0,0,40,32,77,33,31,64,14,25,40,4,8,13,89,96,187,59,61,120,238,215,455,31,16,50,10,13,23,0,0,0,49,34,77,4851,5028,9883,1281,2013,3295,77,62,142,15942,14940,30876
SED21503,296,269,571,98,139,239,5,0,3,88,107,192,34,35,69,8849,6400,15247,404,574,980,115,3,120,58,3,69,71,11,83,75,50,118,156,178,331,10255,7773,18021,45,50,97,0,0,0,24,28,48,64,48,113,10,13,18,12,5,18,152,142,295,0,0,0,20,44,67,3,10,13,7,11,14,9,3,8,31,63,102,76,52,128,262,260,524,56,57,117,13,4,18,7,3,11,77,67,145,3656,3977,7630,1338,2331,3676,68,44,111,15650,14456,30110
SED21608,70,50,118,67,79,139,0,4,6,0,3,0,37,37,72,10628,8674,19306,677,676,1351,258,14,261,50,9,56,75,21,98,65,29,98,288,243,534,12216,9835,22052,7,4,6,0,0,0,6,8,12,26,17,33,4,3,8,11,0,11,44,30,69,0,0,0,0,0,0,5,3,5,3,13,15,5,6,11,11,26,36,125,59,180,183,115,290,17,15,30,0,4,6,14,4,13,27,17,44,2357,2957,5316,1303,2305,3603,105,100,203,16199,15316,31512
SED21706,425,282,709,125,174,300,5,0,5,112,133,244,21,44,68,7365,5862,13224,305,612,918,70,0,70,66,8,73,158,41,202,74,37,113,214,271,485,8930,7470,16403,76,89,169,0,0,0,51,41,93,74,34,110,12,18,34,25,9,33,231,201,430,0,0,0,24,37,59,10,10,21,5,17,20,0,5,6,45,65,107,78,73,150,346,343,687,51,54,112,3,11,11,4,6,11,68,69,135,6691,6549,13240,1477,2527,4009,67,55,125,17578,17020,34599
SED21805,203,151,353,75,76,153,11,0,18,0,0,0,32,25,55,12046,9020,21061,594,611,1212,178,7,188,82,12,87,90,13,104,63,46,114,155,155,308,13525,10122,23643,58,47,110,0,0,0,7,6,17,55,30,80,7,8,16,15,5,16,135,94,233,0,0,0,0,0,0,10,3,9,6,16,24,3,3,4,18,22,37,108,50,155,262,167,433,26,34,62,4,7,7,5,0,3,35,36,71,3081,4536,7617,1392,2692,4088,69,67,137,18370,17622,35991
SED21906,664,625,1290,47,79,127,3,6,11,213,261,473,37,49,91,7003,5302,12302,249,489,735,55,0,56,121,7,133,247,97,344,69,68,138,373,519,891,9085,7508,16589,64,42,110,0,0,0,112,138,252,36,27,66,6,16,24,34,20,48,257,251,505,0,0,0,18,15,31,0,6,6,3,5,5,4,0,3,20,28,52,91,73,167,373,349,723,67,55,123,0,3,6,9,13,21,77,73,148,7391,7770,15160,1494,2357,3848,57,75,131,18483,18125,36610
SED22005,590,548,1146,179,309,486,0,3,8,3,0,7,89,81,171,11062,6865,17929,560,1062,1617,148,4,155,76,5,82,140,46,182,127,68,193,305,412,720,13291,9403,22697,165,222,386,0,0,0,43,42,84,100,57,155,15,32,52,13,9,23,339,370,711,0,0,0,0,0,0,9,7,15,17,44,61,4,16,17,26,70,105,127,74,200,498,512,1009,88,124,216,7,15,23,0,0,6,92,146,243,4238,4414,8645,1435,2143,3577,112,61,175,19667,16680,36345
SED22105,510,437,946,128,183,309,3,0,8,0,3,4,109,93,196,22724,15220,37948,1169,1530,2700,452,9,464,130,5,130,51,13,62,207,106,308,118,223,336,25612,17806,43418,136,196,337,0,0,0,13,18,32,150,89,234,10,55,71,15,13,29,327,367,696,0,0,0,0,0,0,9,14,24,18,29,54,0,10,9,31,50,82,215,144,356,573,558,1136,113,136,242,14,4,17,11,3,10,131,140,276,4049,5447,9502,2033,3834,5864,158,106,264,32558,27898,60456
SED22201,220,172,392,81,74,160,9,0,5,3,0,3,19,30,44,9101,7175,16268,447,529,981,140,4,147,37,5,46,66,11,82,53,32,79,126,139,260,10304,8160,18466,69,74,141,0,0,0,12,3,13,61,50,110,12,11,22,10,0,9,155,135,292,0,0,0,0,0,0,3,0,3,9,4,18,0,0,0,12,9,22,89,39,127,259,184,442,31,36,68,0,0,6,0,4,4,32,39,72,3722,4428,8148,1270,2544,3818,59,66,118,15646,15419,31062
SED22305,286,246,532,262,348,606,4,0,0,0,4,3,67,65,130,12616,6324,18941,721,996,1711,249,9,255,35,7,40,71,14,82,146,76,218,150,167,320,14608,8246,22855,76,143,216,0,0,0,8,6,17,53,44,100,9,16,19,12,6,20,154,211,364,0,0,0,0,0,0,17,12,30,13,40,59,10,14,27,40,69,106,134,72,204,330,350,677,58,83,143,8,7,15,0,3,3,67,93,155,1857,2253,4115,1017,1471,2487,154,97,249,18035,12501,30536
SED22404,22,19,37,52,34,86,3,0,0,3,5,8,4,4,4,9404,7057,16465,519,429,945,342,8,346,42,8,48,59,30,85,97,61,164,628,642,1275,11169,8298,19470,10,7,19,0,0,0,0,0,3,37,17,47,4,5,4,0,0,3,48,29,78,0,0,0,0,0,0,5,5,12,15,3,17,0,0,3,20,6,26,107,38,147,173,78,252,14,8,23,0,0,4,3,0,4,20,12,32,2453,3340,5790,1419,2404,3828,128,95,227,15367,14233,29602
SED22501,286,172,459,56,65,114,6,3,8,0,0,0,12,13,17,7919,6204,14123,315,411,726,136,0,136,47,0,52,61,15,80,50,43,95,115,119,237,9000,7044,16046,21,28,49,0,0,0,11,15,26,56,44,104,12,13,21,11,7,12,112,104,218,0,0,0,0,0,0,5,9,12,3,12,10,0,0,9,12,19,31,60,27,89,179,156,333,30,17,45,4,0,4,3,0,3,31,20,54,4904,5487,10398,1348,2516,3864,42,32,71,15518,15252,30772
SED22607,630,600,1230,65,69,141,4,0,3,294,486,780,53,46,90,8040,5812,13857,348,532,879,74,3,74,88,7,104,375,129,499,88,66,156,345,463,815,10405,8227,18632,66,86,149,0,0,0,141,165,304,43,33,78,13,26,35,32,17,42,289,318,606,0,0,0,16,22,40,4,4,11,4,11,15,0,3,3,36,40,73,97,90,186,418,446,867,85,67,146,0,5,5,15,0,19,98,72,174,6619,7632,14252,1708,2852,4559,56,55,118,19312,19285,38598
SED22704,65,39,99,28,10,39,7,0,7,0,0,0,4,16,22,10243,8235,18477,657,545,1201,340,16,353,92,4,100,83,42,127,115,52,164,754,513,1261,12372,9470,21842,3,5,11,0,0,0,5,0,5,26,10,40,0,0,0,4,0,4,40,21,55,0,0,0,0,0,0,0,5,12,0,4,7,0,5,4,4,11,18,120,49,167,168,77,243,13,4,14,0,0,0,12,4,14,21,10,30,2116,2733,4849,1134,1951,3083,159,137,298,15968,14373,30347
SED22802,140,110,246,57,57,113,6,4,11,0,0,0,16,12,32,10437,7621,18060,565,525,1086,279,5,290,51,3,61,33,0,37,63,29,95,148,139,287,11798,8506,20301,41,42,79,0,0,0,0,0,4,46,34,77,3,8,12,3,0,10,97,86,183,0,0,0,0,0,0,5,3,8,15,14,29,0,3,3,18,21,42,108,36,144,227,141,363,21,24,47,0,0,0,0,0,0,28,25,54,2922,3881,6799,1358,2757,4115,58,36,95,16376,15353,31727
SED22901,193,121,309,95,118,217,9,0,9,0,3,4,23,22,44,8904,6941,15842,415,587,1005,123,0,127,40,0,36,67,11,84,61,48,114,93,119,211,10035,7980,18014,41,33,78,0,0,0,8,6,12,67,44,112,13,15,22,8,0,5,132,106,241,0,0,0,7,0,7,7,5,11,12,15,28,4,5,13,31,27,54,76,46,125,241,184,426,22,32,51,5,3,10,6,0,6,34,36,67,3797,4057,7852,1186,2067,3256,42,38,82,15331,14362,29693
SED23007,739,650,1388,247,327,573,4,4,4,57,110,167,90,74,159,11254,6715,17966,532,905,1438,118,4,126,164,17,180,320,134,457,104,67,167,313,393,708,13934,9404,23333,179,268,442,0,0,0,113,131,246,82,70,152,18,51,65,46,23,67,433,532,970,0,0,0,17,43,59,16,11,25,14,25,40,8,10,15,56,88,143,170,109,275,660,729,1392,158,212,367,5,13,20,0,0,4,164,226,390,5851,6706,12559,1835,2630,4462,123,77,198,22561,19776,42340
SED23101,236,168,405,112,125,234,4,0,4,41,59,98,21,18,40,7283,5590,12872,353,604,959,86,0,86,35,6,44,53,9,63,46,39,88,150,135,280,8414,6754,15163,87,70,157,0,0,0,9,11,20,82,47,134,11,8,19,7,5,12,198,140,333,0,0,0,16,15,28,7,4,16,12,19,31,0,6,7,33,49,81,82,64,150,315,250,565,77,74,153,7,9,16,4,3,8,91,84,171,4707,4678,9389,1227,1902,3127,57,39,97,14807,13701,28509
SED23205,141,86,222,110,144,249,3,5,10,0,0,0,32,24,56,9164,6901,16066,520,530,1046,131,0,134,68,7,71,75,30,106,65,39,105,211,218,431,10510,7986,18498,37,40,72,0,0,0,0,0,4,47,15,60,5,5,11,12,0,17,106,63,171,0,0,0,0,0,0,4,0,5,15,17,33,3,12,18,20,36,51,85,51,137,210,153,361,29,24,48,0,9,10,6,0,9,32,33,63,2606,3485,6094,1324,2484,3808,51,61,110,14735,14203,28938
SED23308,129,67,200,139,222,357,5,4,8,0,0,0,52,57,109,10274,8398,18673,570,724,1292,100,0,100,79,15,91,271,107,369,60,37,104,578,730,1313,12260,10366,22627,15,11,19,0,0,0,8,3,8,26,15,43,0,3,7,14,5,23,66,39,100,0,0,0,0,0,0,7,7,17,14,17,28,5,8,18,26,30,57,108,64,172,195,134,335,15,14,32,8,10,12,7,5,14,26,30,53,3010,3824,6836,1382,2614,3997,61,67,123,16943,17033,33975
SED23402,271,230,498,21,42,66,8,0,11,0,0,0,21,26,43,14433,10317,24746,738,765,1503,316,6,322,92,7,97,37,12,47,87,51,135,152,155,307,16170,11609,27779,45,71,117,0,0,0,7,11,18,75,33,110,11,15,31,15,10,24,162,133,297,0,0,0,0,0,0,4,4,5,0,11,14,0,3,4,5,17,24,139,56,196,306,204,515,50,57,108,0,3,3,4,0,4,51,55,109,3966,5348,9316,1616,3172,4792,74,64,140,22187,20462,42656
SED23502,4,4,8,34,20,49,8,3,11,0,3,3,14,10,26,8632,7814,16452,574,574,1151,214,7,223,72,7,80,96,34,130,110,61,174,489,420,909,10260,8947,19208,3,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,4,4,3,3,0,4,0,3,3,7,4,9,140,82,221,156,91,239,7,0,7,5,0,5,11,4,11,20,4,24,1419,1896,3311,1086,1756,2842,142,133,270,13076,12823,25897
SED23602,7,3,13,21,26,42,3,3,4,3,7,6,11,10,15,8383,7150,15530,479,529,1009,188,8,193,79,18,98,132,51,186,119,66,183,715,591,1306,10139,8457,18591,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,4,3,6,3,4,8,0,0,0,10,6,15,93,45,135,102,54,158,4,0,0,0,0,0,5,0,9,3,5,13,1934,2230,4160,1070,1798,2866,145,123,269,13392,12658,26054
SED23702,61,31,87,60,50,111,6,8,9,0,0,0,15,9,24,12558,9509,22069,682,556,1237,438,16,453,57,0,60,69,13,85,156,75,226,793,367,1159,14895,10631,25524,15,12,28,0,0,0,0,0,0,39,22,62,3,0,9,0,0,3,62,38,99,0,0,0,0,0,0,3,0,8,6,10,22,0,0,0,14,10,29,129,52,180,210,103,310,13,8,17,4,0,8,4,0,8,20,12,27,2205,3812,6020,1497,2961,4463,72,73,145,18894,17596,36483
SED23806,639,626,1265,12,11,30,4,3,5,203,295,494,20,26,50,5884,4816,10693,212,421,631,24,0,24,79,11,85,294,89,388,65,41,97,532,621,1148,7961,6959,14919,36,37,69,0,0,0,116,123,241,38,23,56,10,21,24,28,14,43,223,214,431,0,0,0,8,18,28,5,4,5,0,0,0,0,0,0,11,21,31,85,66,155,319,294,618,54,62,113,0,0,0,0,4,6,59,65,121,7600,7901,15496,1475,2380,3852,38,46,81,17456,17638,35098
SED23901,477,398,880,122,138,259,4,0,4,7,6,6,32,23,62,7568,5947,13515,324,508,831,84,0,84,71,4,73,215,70,287,112,58,169,545,604,1150,9562,7759,17321,58,59,113,0,0,0,31,40,69,60,40,100,5,16,27,24,16,35,179,164,346,0,0,0,11,11,22,11,0,13,10,19,31,4,10,14,33,41,74,87,67,150,299,275,572,33,48,82,3,5,9,0,0,0,35,54,86,6055,6350,12404,1502,2557,4063,70,50,121,17524,17048,34572
SED24006,92,105,198,149,185,334,3,3,6,231,223,448,23,20,43,6827,5367,12197,285,601,887,43,0,43,66,8,71,205,66,270,52,57,109,266,334,603,8242,6965,15212,19,17,42,0,0,0,29,20,42,14,25,43,0,9,13,3,0,9,66,73,143,0,0,0,32,39,66,10,14,19,9,12,20,8,0,13,55,63,116,97,100,199,221,229,453,26,31,63,13,10,24,0,7,10,40,47,90,6077,5977,12047,1364,2056,3422,59,56,115,16009,15336,31341
SED24105,294,315,606,108,179,281,5,0,5,0,0,0,59,50,105,12431,8616,21043,864,1307,2167,192,5,197,39,0,45,65,16,78,103,60,167,94,151,244,14249,10694,24944,96,150,241,0,0,0,10,22,28,96,53,149,8,18,28,5,6,12,211,246,463,0,0,0,0,0,0,8,3,12,11,30,41,7,12,15,26,44,71,156,90,247,397,380,784,73,101,173,5,7,11,3,0,6,80,110,188,2858,3357,6215,1124,1729,2855,81,59,147,18797,16335,35135
SED24207,390,425,815,73,132,199,4,0,3,3,5,9,71,53,122,15661,9975,25630,835,1270,2114,285,0,285,40,3,43,50,9,57,158,77,234,100,120,221,17667,12068,29732,76,148,223,0,0,0,18,39,53,159,130,290,13,51,66,9,11,14,268,379,650,0,0,0,0,0,0,16,12,26,15,29,41,0,0,0,31,37,65,183,99,281,482,520,993,90,177,267,5,5,13,6,0,6,97,180,283,3926,4802,8728,1795,2852,4650,128,89,222,24092,20520,44612
SED24308,160,111,268,91,191,279,10,0,13,0,0,0,60,43,100,10857,8293,19148,739,778,1516,170,8,174,65,6,73,124,28,158,72,44,111,182,216,400,12521,9726,22244,11,29,40,0,0,0,8,9,17,50,31,75,3,5,9,14,0,14,79,78,156,0,0,0,0,0,0,5,6,9,14,19,30,3,12,16,28,33,57,116,65,183,224,176,401,16,24,38,8,4,13,0,0,0,22,30,56,1896,2674,4569,1183,2059,3236,126,79,202,15962,14741,30706
SED24408,0,0,0,21,9,31,6,0,3,0,0,4,16,15,31,9104,7629,16727,540,545,1086,200,7,211,57,19,74,158,37,192,167,54,221,882,766,1646,11140,9092,20236,4,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,5,5,7,4,3,9,0,0,0,12,6,18,124,41,165,141,50,189,0,0,0,0,3,5,15,6,19,19,9,23,1942,2035,3973,820,1656,2473,127,125,247,14188,12954,27140
SED24504,145,103,248,8,4,14,3,0,8,0,0,3,9,6,16,8983,6989,15970,529,544,1068,285,6,290,17,0,23,40,16,63,65,59,119,349,369,717,10435,8099,18540,5,3,11,0,0,0,7,9,17,50,18,71,15,6,12,8,0,12,87,36,125,0,0,0,0,0,0,0,6,12,0,5,3,0,0,0,4,4,13,75,23,99,168,71,236,16,19,35,0,0,0,6,7,8,23,26,44,3946,4676,8621,1420,2334,3749,101,99,195,16086,15302,31390
SED24606,606,483,1092,35,57,93,0,0,0,170,261,430,23,36,62,6105,4685,10791,197,425,625,34,3,35,56,11,70,224,73,291,63,46,108,317,472,795,7843,6553,14391,41,48,92,0,0,0,74,114,188,28,22,53,7,10,21,22,11,36,176,208,382,0,0,0,5,6,6,3,0,3,5,3,6,0,3,3,12,13,23,54,65,121,243,283,524,45,60,107,0,6,5,5,0,9,52,65,119,6579,6911,13488,1248,2115,3365,58,51,106,16027,15976,31997
SED24703,1404,1580,2989,287,343,625,7,0,12,2877,3504,6376,115,148,270,6388,3917,10308,330,574,904,45,0,49,389,89,475,1274,705,1983,217,160,379,4420,4452,8870,17759,15469,33231,294,286,584,0,0,0,405,475,883,52,34,86,27,49,71,80,63,145,863,907,1764,0,0,0,75,75,153,8,5,16,4,11,19,9,15,28,104,109,209,352,297,646,1311,1309,2620,279,306,586,10,8,21,38,28,64,330,342,671,14258,13687,27946,3779,5581,9360,160,131,287,37595,36523,74115
SED24808,375,312,684,32,83,119,3,3,4,0,4,4,34,27,64,15275,9940,25216,931,961,1896,367,9,378,63,6,69,32,15,43,110,72,180,144,194,341,17373,11624,28999,50,67,121,0,0,0,15,24,42,84,72,156,9,28,39,14,4,19,172,204,371,0,0,0,0,0,0,9,0,12,13,21,30,5,6,6,24,30,52,165,90,251,359,319,679,71,82,155,0,3,9,0,3,3,74,92,160,2632,4143,6776,1758,2868,4625,119,90,211,22312,19134,41446
SED24904,5,4,9,144,48,192,3,0,3,0,0,0,27,24,48,10667,8862,19532,1009,1167,2175,207,8,207,73,15,87,75,44,121,106,45,151,640,561,1204,12955,10779,23734,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,6,6,7,4,8,15,3,0,3,7,16,25,112,58,171,127,74,201,0,0,0,0,5,6,10,3,12,10,7,16,1232,1592,2829,857,1493,2353,185,144,323,15369,14098,29470
SED25003,357,297,650,105,139,245,6,0,3,0,13,15,28,32,55,12095,8356,20449,586,712,1299,212,0,217,44,4,51,31,5,39,105,52,155,57,92,153,13632,9699,23332,86,95,182,0,0,0,7,22,34,73,66,139,6,15,20,9,7,15,185,203,386,0,0,0,3,6,7,4,10,15,15,19,34,3,4,5,25,42,66,112,54,162,320,296,619,47,64,108,3,10,12,7,0,6,56,73,130,2950,3852,6806,1387,2469,3855,79,69,147,18423,16467,34892
SED25102,155,105,261,44,39,83,8,4,11,0,0,0,4,7,11,8982,6777,15761,457,420,876,228,7,234,66,3,71,37,11,50,56,35,96,196,183,387,10256,7597,17842,48,24,71,0,0,0,8,3,12,53,28,76,8,10,18,10,4,11,118,70,191,0,0,0,0,0,0,8,3,7,3,7,15,0,0,0,11,11,20,73,32,104,204,109,315,19,10,28,0,5,5,8,0,7,25,15,40,3642,4414,8051,1434,2564,3996,54,43,95,15612,14736,30348
