SAL_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SAL21995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21996,0,6,6,8,11,9,0,0,0,41,0,3,10,11,14,10,0,0,0,45,38,63,128,164,211,148,48,5,0,801
SAL21997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5
SAL21998,0,6,35,28,23,19,3,0,0,110,5,14,37,37,20,13,4,0,0,131,114,370,1038,999,655,440,84,5,0,3709
SAL21999,3,0,0,0,0,3,0,0,0,12,0,0,0,0,0,4,0,0,0,9,22,26,25,48,67,41,9,6,0,234
SAL22000,3,15,34,25,41,19,7,5,0,146,3,13,51,39,46,21,10,0,0,191,182,502,1147,935,951,632,159,18,0,4533
SAL22001,0,8,35,25,38,17,5,0,0,130,0,17,55,44,21,18,5,0,0,158,105,397,1054,808,692,400,83,11,0,3552
SAL22002,8,20,26,43,42,26,9,0,0,174,4,25,65,43,42,30,17,3,0,236,181,424,1191,1183,985,753,191,15,0,4917
SAL22003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,11
SAL22004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL22005,18,17,47,70,48,42,12,0,0,257,18,13,54,59,60,36,16,6,7,267,522,538,1378,2100,2002,1509,412,42,7,8511
SAL22006,8,38,135,89,61,33,11,0,0,372,4,35,162,123,66,47,7,0,0,459,420,868,3178,2750,1620,852,189,12,0,9894
SAL22007,0,0,8,3,6,0,0,0,0,25,0,4,13,5,5,7,4,0,0,33,10,50,282,142,55,47,16,4,0,602
SAL22008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,7,0,0,0,23
SAL22009,0,0,5,0,6,5,0,0,0,29,5,0,3,13,12,0,0,0,0,44,48,50,115,177,235,184,64,10,0,884
SAL22010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,13,6,9,8,8,0,0,59
SAL22011,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,5,15,40,39,35,40,15,9,0,197
SAL22012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL22013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,6,9,13,10,6,0,0,48
SAL22014,5,0,3,7,9,4,4,0,0,26,3,0,5,8,5,3,0,0,0,27,45,39,118,119,144,181,58,14,4,718
SAL22015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,12,19,12,10,0,0,65
SAL22016,7,11,30,24,25,20,3,0,0,121,3,17,43,41,42,32,7,3,0,177,230,442,1081,974,1033,650,196,19,0,4633
SAL22017,0,3,0,0,0,3,0,0,0,4,0,0,5,0,0,0,0,0,0,7,13,16,37,29,30,75,18,0,0,215
SAL22018,0,0,0,0,0,0,0,0,0,5,0,7,0,0,4,0,5,0,0,10,14,13,8,29,39,25,20,0,0,141
SAL22019,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,8,10,15,17,8,29,36,14,6,0,132
SAL22020,4,0,5,4,0,0,0,0,0,16,3,0,4,3,8,7,0,0,0,25,24,34,116,80,87,112,52,13,0,517
SAL22021,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,5,3,20,13,22,26,13,0,0,106
SAL22022,0,0,7,0,0,3,0,0,0,15,0,0,0,5,0,3,0,0,0,12,32,15,45,77,75,84,31,9,0,357
SAL22023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,25
SAL22024,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,3,0,0,22
SAL22025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,7,0,4,3,0,0,26
SAL22026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
SAL22027,42,103,352,246,164,96,31,3,0,1031,48,137,391,396,249,140,45,0,0,1407,1268,2392,7235,6534,4597,2659,606,45,6,25342
SAL22028,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,4,8,19,21,15,22,18,16,5,0,122
SAL22029,0,0,6,3,5,8,0,0,0,27,4,3,4,6,11,7,0,0,0,30,49,53,75,120,153,153,51,6,0,661
SAL22030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,4,5,0,0,25
SAL22031,6,0,0,5,0,3,0,0,0,10,0,0,3,0,0,0,0,0,0,10,10,13,44,36,38,63,17,0,0,233
SAL22032,0,0,4,0,5,5,0,0,0,13,0,0,5,3,3,5,0,0,0,20,26,56,59,88,142,135,48,5,0,566
