SAL_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SAL14041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL14042,0,8,8,15,0,19,3,0,7,4,0,4,3,0,3,0,0,0,31,13,43
SAL14043,0,3,7,8,3,11,0,0,3,0,0,0,0,0,0,0,0,0,13,13,21
SAL14044,0,3,3,4,0,6,0,0,0,0,0,0,3,0,3,0,0,0,9,11,18
SAL14045,0,6,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0
SAL14046,0,16,16,19,9,27,4,0,4,8,0,8,0,0,0,0,0,0,27,25,54
SAL14047,0,8,8,15,0,19,14,0,14,9,0,9,3,0,3,0,0,0,42,12,49
SAL14048,0,15,20,31,6,36,10,0,10,3,0,3,0,0,0,3,0,3,52,25,75
SAL14049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL14050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL14051,0,49,50,92,16,101,20,0,20,21,3,20,8,3,11,8,0,8,150,70,221
SAL14052,0,8,8,9,3,11,3,0,3,0,0,3,0,0,0,0,0,0,14,10,22
SAL14053,0,60,60,19,12,35,14,6,19,15,7,17,0,0,4,3,0,3,49,85,137
SAL14054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL14055,0,13,13,16,6,25,5,0,3,5,0,5,0,0,0,0,0,0,26,22,49
SAL14056,0,6,6,3,0,6,3,0,3,0,0,0,0,0,0,0,0,0,5,5,13
SAL14057,0,5,5,3,3,7,0,0,4,0,0,0,0,0,0,0,0,0,11,6,15
SAL14058,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4
SAL14059,5,40,44,94,14,111,43,6,46,47,0,50,24,9,28,20,0,20,227,70,295
SAL14060,0,4,4,10,3,8,0,0,0,7,0,7,0,0,0,0,0,0,13,8,16
SAL14061,0,9,12,14,5,20,8,0,8,4,0,11,3,0,3,4,0,4,37,11,49
SAL14062,5,9,13,12,3,13,4,4,4,3,0,3,0,0,0,0,0,0,20,15,30
SAL14063,0,20,20,13,5,14,5,0,9,4,0,4,0,0,0,0,0,0,29,22,52
SAL14064,0,3,3,8,0,13,0,3,3,4,0,7,0,0,0,0,0,0,17,8,19
