SAL_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
SAL13336,38,3846,774,475,2250,0.8,2349,3.2
SAL13337,42,0,1124,200,1749,0.8,1749,3
SAL13338,35,2000,920,440,2416,0.7,2200,2.9
SAL13339,36,1408,1187,200,3374,0.8,3124,3.2
SAL13340,37,1517,654,325,1535,0.8,1294,2.5
SAL13341,43,3000,885,445,2721,0.8,2692,3.3
SAL13342,58,1842,612,400,1538,0.7,1228,2.3
SAL13343,61,2947,649,270,1125,1,1125,2.5
SAL13344,46,694,849,200,1874,0.6,1624,2.3
SAL13345,58,0,575,190,725,0.5,1649,2
SAL13346,45,1073,710,220,1656,0.7,1319,2.4
SAL13347,56,1517,575,325,1419,0.8,1154,2.2
SAL13348,61,2236,1899,0,3250,1,3250,2
SAL13349,47,1767,807,338,1906,0.7,1847,2.7
SAL13350,40,2500,885,365,2937,0.8,2583,2.9
SAL13351,59,1083,465,865,1312,0.7,949,1.9
SAL13352,36,2804,1182,500,3263,1,2135,1.9
SAL13353,48,2300,770,420,2684,0.8,1579,2.4
SAL13354,34,0,1166,215,2499,0.6,2499,2.6
SAL13355,43,2450,787,210,2333,0.8,1583,2.7
SAL13356,46,1717,658,240,1906,1,1416,2.6
SAL13357,57,537,668,135,1437,0.7,1624,2.2
SAL13358,36,1950,564,370,1560,1,1401,3
SAL13359,36,2500,978,400,2553,0.8,2174,2.8
SAL13360,50,1860,514,240,1583,0.8,833,2.1
SAL13361,53,1733,939,300,2062,0.9,1875,2.4
SAL13362,50,4000,949,120,2749,0.8,2749,2.4
SAL13363,35,1495,900,220,2250,0.8,1910,2.9
SAL13364,36,2511,980,620,2616,0.7,2377,2.9
SAL13365,50,1170,696,265,1541,1,1218,2.5
SAL13366,49,1729,671,405,1739,0.8,1432,2.5
SAL13367,40,2050,718,303,1625,1,1394,2.8
SAL13368,52,959,459,0,900,0.8,725,2.3
SAL13369,38,2470,721,450,2140,0.9,1840,2.9
SAL13370,35,2726,1001,650,2789,0.8,2673,3.1
SAL13371,36,1950,1125,140,2583,0.8,2125,2.5
SAL13372,32,2500,1114,560,2404,1.2,2176,2.2
SAL13373,52,0,459,210,1583,0.5,725,1.6
SAL13374,40,1235,949,0,2250,0.7,1812,2.7
SAL13375,43,1825,743,375,1816,0.8,1350,2.1
SAL13376,51,2167,876,405,2125,0.7,2016,2.6
SAL13377,34,5000,1271,490,2374,1.1,2749,3.4
SAL13378,37,2362,971,240,2812,0.9,3124,3.3
SAL13379,47,1300,693,360,1375,0.8,1325,2.6
SAL13380,46,2500,942,0,2333,0.6,1625,2.1
SAL13381,61,1430,624,0,1416,0.6,1062,1.8
SAL13382,55,1647,732,415,1674,0.7,1520,2.5
SAL13383,32,2513,901,450,2298,0.8,2135,2.9
SAL13384,52,303,0,0,0,0.6,0,2
SAL13385,42,4333,1401,1000,4841,0.8,4715,3.2
SAL13386,40,2167,565,300,1563,1,1207,2.5
SAL13387,44,0,725,265,2124,0.9,2249,2.4
SAL13388,46,2034,695,313,1875,0.7,1499,2.6
SAL13389,47,2000,811,450,2135,0.7,1753,2.5
SAL13390,47,2167,1043,234,2860,0.7,2694,2.9
SAL13391,47,3250,1087,250,2550,0.7,2625,3.3
SAL13392,48,1733,917,203,2562,0.7,2178,2.6
SAL13393,52,1517,691,320,1465,0.9,1336,2.4
SAL13394,34,2167,803,460,2024,1.1,1903,2.6
